user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
301356	Jamwa	2474	0	2149	2010-06-09	2010-06-09	NULL	55	2014-03-20	2014-05-22
232642	PrimusK	9563	0	7524	2010-02-12	2010-02-12	NULL	48	2011-04-09	2011-05-17
1122708	zaizone	2637	0	1359	2013-09-11	2013-09-11	NULL	6	2013-09-22	2013-09-23
429920	othuol	2412	0	2142	2011-04-14	2011-04-14	NULL	39	2012-12-19	2012-12-20
261003	omino	6413	0	4003	2010-04-19	2010-04-19	NULL	40	2012-06-28	2013-05-09
19239	ebrelsford	2469	0	99	2010-08-11	2010-08-11	NULL	10	2010-09-28	2010-10-14
35018	WingedStone	2771	10	1881	2010-02-25	2010-02-25	2011-04-10	22	2011-05-05	2011-06-19
21640	namtih58	9377	23	1165	2007-12-12	2007-12-12	2007-12-12	4	2008-08-19	2008-01-08
651221	Pallle	2857	22	2785	2012-06-14	2012-06-14	2012-06-14	2	2012-06-16	2012-06-16
215343	Map Kibera	6475	0	6475	2010-01-12	2010-01-12	NULL	1	2010-01-12	2010-01-12
60110	dale_p	9365	52	8554	2012-09-24	2012-09-24	2012-10-01	6	2012-11-05	2012-10-18
261009	Blasio	8241	2	5734	2010-04-08	2010-04-08	2012-11-20	95	2013-04-04	2012-10-09
343553	mathias_on_the_road	25770	399	20888	2010-09-10	2010-09-10	2010-11-09	166	2012-04-27	2011-12-10
18236	bo_robert_pedersen	38540	331	29589	2008-04-13	2008-04-13	2008-04-13	95	2009-03-19	2008-10-28
261050	muindre	3831	0	1777	2010-04-14	2010-04-14	NULL	61	2012-09-23	2012-10-23
408968	ngendahayojc	41931	1	41191	2011-02-14	2011-02-14	2011-08-16	48	2011-08-24	2011-08-26
101038	PZastoupil	3596	97	2875	2009-08-24	2009-08-24	2009-08-25	78	2010-01-25	2010-01-12
596047	Rps333	25338	90	23727	2012-07-27	2012-07-27	2013-06-20	62	2013-11-30	2014-02-04
224440	Syl	8	0	0	2012-10-03	NULL	NULL	2	2012-10-04	2012-10-04
421504	u_kubota	449	0	449	2013-09-29	2013-09-29	NULL	1	2013-09-29	2013-09-29
531109	Kevin91	511	0	486	2011-10-03	2011-10-03	NULL	7	2012-08-24	2012-12-23
181135	Manu1400	396	0	0	2013-05-17	NULL	NULL	13	2013-10-02	2013-10-20
392438	paddyoneil	501	1	489	2011-01-06	2011-01-06	2011-01-06	1	2011-01-07	2011-01-07
494109	drfuse	408	0	274	2011-07-22	2011-07-22	NULL	6	2012-01-06	2012-01-11
2148477	eosano	534	4	534	2014-07-22	2014-07-22	2014-12-03	5	2014-10-29	2014-11-29
1486839	ypid	450	0	0	2013-09-08	NULL	NULL	7	2013-12-11	2013-11-21
17497	katpatuka	386	115	385	2008-09-07	2008-09-07	2008-09-07	3	2009-01-06	2009-02-03
70260	Gerit Wagner	438	0	418	2010-11-25	2010-11-25	NULL	1	2010-11-25	2010-11-25
579394	ekala	534	0	475	2012-01-04	2012-01-04	NULL	2	2012-01-05	2012-01-05
562199	jameli	549	0	548	2011-11-30	2011-11-30	NULL	1	2011-11-30	2011-11-30
178186	mdk	419	0	205	2014-11-11	2014-11-11	NULL	1	2014-11-12	2014-11-12
657892	Sefer	344	4	273	2012-08-03	2012-08-03	2012-08-03	1	2012-08-03	2012-08-03
1794962	wawasp	451	0	254	2013-11-04	2013-11-04	NULL	1	2013-11-04	2013-11-04
599371	iskenderun	470	7	444	2012-02-04	2012-02-04	2012-02-04	5	2012-11-06	2012-12-21
429943	chairman huruma	526	0	491	2011-04-07	2011-04-07	NULL	9	2012-02-02	2012-03-16
