user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
228639	Cot	20	0	0	2010-02-03	NULL	NULL	1	2010-02-03	2010-02-03
224440	Syl	1	0	0	2014-12-23	NULL	NULL	1	2014-12-23	2014-12-23
3471845	Johanne Lavallée	443	0	419	2015-12-21	2015-12-21	NULL	1	2015-12-21	2015-12-21
3209663	mr25	741	0	686	2015-09-04	2015-09-04	NULL	5	2015-09-12	2015-09-11
42429	42429	1319	0	1093	2012-04-17	2012-04-17	NULL	8	2012-09-02	2012-09-12
167425	Louis Lamontagne	7057	0	4268	2009-09-04	2009-09-04	NULL	67	2010-12-08	2010-08-06
2195436	Le Vélurbaniste	4005	0	1866	2014-10-12	2014-10-12	NULL	70	2015-04-11	2015-02-12
1712401	Géoludic	31499	0	16964	2013-08-12	2013-08-12	NULL	69	2013-10-20	2013-10-12
2506705	E G	2092	0	1597	2014-12-07	2014-12-07	NULL	11	2015-02-11	2015-01-30
223056	mcwetboy	1525	0	836	2011-08-19	2011-08-19	NULL	5	2014-04-01	2014-09-16
101184	jfd553	21753	0	13588	2009-05-28	2009-05-28	NULL	62	2013-02-03	2013-06-12
68231	spou	9189	0	6576	2008-09-16	2008-09-16	NULL	63	2013-09-15	2013-02-07
332182	mgervais	2422	0	2172	2010-08-13	2010-08-13	NULL	13	2012-01-12	2012-09-06
430861	Martin Levesque	11351	0	11351	2012-01-02	2012-01-02	NULL	2	2012-01-03	2012-01-02
60435	sebandjohn	927	0	775	2011-08-16	2011-08-16	NULL	19	2014-05-28	2014-08-02
37993	fsteggink	81972	0	61985	2008-05-14	2008-05-14	NULL	129	2009-05-22	2009-09-05
2638978	Lévis_imports	639	0	180	2015-02-08	2015-02-08	NULL	13	2015-02-20	2015-02-13
253476	Frédéric Laurent	1611	0	608	2010-03-28	2010-03-28	NULL	21	2013-07-26	2013-09-11
1259039	AtomicJo	579	0	481	2013-03-10	2013-03-10	NULL	8	2013-11-18	2013-08-05
388276	Dreff	877	0	789	2010-12-27	2010-12-27	NULL	15	2011-04-13	2011-03-22
130472	fx99	1302	0	1013	2013-02-02	2013-02-02	NULL	27	2013-11-03	2013-10-02
188450	gtalbot	2477	0	1955	2011-05-25	2011-05-25	NULL	122	2014-02-21	2014-04-11
856266	sgarneau	1343	0	1111	2012-09-04	2012-09-04	NULL	14	2012-09-11	2012-09-11
6367	mackerski	1	0	0	2008-10-04	NULL	NULL	1	2008-10-04	2008-10-04
1963402	Apuq	3988	0	2773	2014-03-02	2014-03-02	NULL	14	2015-09-10	2015-10-28
701345	TristanA	765	0	710	2015-06-01	2015-06-01	NULL	10	2015-06-08	2015-06-08
24555	Francois Marier	1741	0	1719	2014-08-16	2014-08-16	NULL	12	2015-10-20	2015-12-22
1785732	Danny Lapierre	529	0	448	2013-11-01	2013-11-01	NULL	1	2013-11-01	2013-11-01
3450062	Sylvie Quebec	15851	0	15723	2015-12-21	2015-12-21	NULL	5	2015-12-23	2015-12-23
156089	VA2EC	672	0	494	2009-08-16	2009-08-16	NULL	12	2010-05-18	2011-05-08
