user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
NULL	NULL	21	0	0	2007-10-08	NULL	NULL	2	2007-10-15	2007-10-09
224440	Syl	7	0	0	2012-10-04	NULL	NULL	3	2013-10-18	2013-12-18
351532	tothod	4	0	0	2012-07-27	NULL	NULL	1	2012-07-27	2012-07-27
1193886	CNipper	1	0	1	2013-01-10	2013-01-10	NULL	1	2013-01-09	2013-01-09
318696	n76	3	0	0	2014-02-09	NULL	NULL	1	2014-02-09	2014-02-09
259816	yjs	2	0	0	2010-04-06	NULL	NULL	1	2010-04-06	2010-04-06
162110	tahongawaka	1	0	0	2010-12-20	NULL	NULL	1	2010-12-19	2010-12-19
682	SteveC	6746	0	2442	2008-07-25	2008-07-25	NULL	23	2010-08-09	2009-02-04
322178	rgreinho	6277	0	5960	2012-11-23	2012-11-23	NULL	18	2013-05-22	2013-03-24
354807	LostSparky	6228	0	2122	2010-10-04	2010-10-04	NULL	38	2012-02-29	2011-07-14
14351	WBSKI	3501	0	3286	2012-05-13	2012-05-13	NULL	5	2012-06-12	2012-05-28
178321	txrxio	3336	0	2557	2009-09-26	2009-09-26	NULL	50	2010-08-09	2010-06-27
1824629	jakeroot	4816	0	4076	2013-12-01	2013-12-01	NULL	21	2014-05-05	2014-02-17
1778296	Paul McCombs	4601	0	4549	2013-10-18	2013-10-18	NULL	17	2014-08-04	2014-11-23
137875	lukobe	4134	0	3815	2009-12-11	2009-12-11	NULL	70	2014-07-21	2014-08-07
491645	ghph	5960	5	4388	2012-03-18	2012-03-18	2012-03-18	45	2012-09-09	2012-07-29
183462	MrShrike	3063	0	2688	2009-10-09	2009-10-09	NULL	4	2009-10-11	2009-10-11
1507560	Pracheer	3255	0	3252	2013-06-01	2013-06-01	NULL	1	2013-06-01	2013-06-01
183737	tkmedia	2808	0	2211	2009-10-09	2009-10-09	NULL	16	2011-12-17	2012-07-03
1593364	Yeliena	5222	0	2473	2013-09-12	2013-09-12	NULL	22	2013-10-13	2013-10-05
416346	Brian@Brea	4826	0	4460	2011-10-28	2011-10-28	NULL	16	2011-12-20	2011-11-25
32687	ac7ss	4368	0	1186	2008-03-30	2008-03-30	NULL	21	2008-05-11	2008-04-16
757237	emorye	3405	0	2688	2012-07-24	2012-07-24	NULL	10	2013-01-01	2012-08-18
168517	Milo	2781	0	1415	2010-05-10	2010-05-12	NULL	116	2011-10-13	2011-08-06
28775	StellanL	2600	0	508	2012-08-02	2012-08-02	NULL	7	2012-09-05	2012-08-19
2604212	Glassman_Import	5018	0	5013	2015-01-26	2015-01-26	NULL	1	2015-01-25	2015-01-25
81405	Jason Robar	2774	1	531	2008-11-23	2008-11-23	2008-11-23	1	2008-11-23	2008-11-23
186170	KeumpSeattle	3278	0	2929	2009-10-14	2009-10-14	NULL	22	2012-06-26	2013-06-26
407391	PeterAv	2781	0	1558	2011-02-10	2011-02-10	NULL	80	2012-02-14	2012-01-10
4732	iandees	5514	69	5440	2007-12-30	2007-12-30	2008-05-10	4	2009-09-24	2008-11-08
19219	chricycle	4631	1	1163	2007-11-15	2007-11-16	2007-11-20	27	2008-09-06	2008-05-31
243973	Mike Shappell	3402	0	2159	2010-03-12	2010-03-12	NULL	4	2010-09-05	2010-03-12
100023	skwash	5475	0	2610	2009-02-16	2009-02-16	NULL	18	2009-05-10	2009-04-21
96132	KShawcroft	3436	0	969	2009-02-07	2009-02-07	NULL	4	2009-02-09	2009-02-07
1268477	licyeus	2827	0	2827	2013-08-01	2013-08-01	NULL	2	2013-11-15	2013-08-01
2318	Latze	3275	0	3269	2011-01-11	2011-01-11	NULL	5	2012-06-18	2011-04-23
36028	sc694	3243	0	2840	2008-04-25	2012-07-22	NULL	15	2012-05-19	2012-04-14
631740	MrArfArf	3210	0	2830	2012-03-18	2012-03-18	NULL	6	2012-08-17	2012-04-19
15378	Lantius	3498	4	3498	2007-10-04	2007-10-04	2007-10-04	2	2007-10-04	2007-10-04
373360	Camwow13	3179	0	2374	2010-11-24	2010-11-24	NULL	24	2012-09-16	2013-04-12
2146187	Originalplan	1	0	0	2014-06-25	NULL	NULL	1	2014-06-25	2014-06-25
1110270	afdreher	226	0	197	2013-09-04	2013-09-04	NULL	2	2013-09-29	2013-10-24
6975	ulfl	22	0	0	2008-07-03	NULL	NULL	9	2008-12-18	2008-11-30
1963128	James Blackwell	85	0	80	2014-03-02	2014-03-02	NULL	1	2014-03-02	2014-03-02
136860	indigomc	1	0	0	2014-05-13	NULL	NULL	1	2014-05-13	2014-05-13
379166	Borbus	1	0	0	2012-04-15	NULL	NULL	1	2012-04-15	2012-04-15
1137098	RChew	1	0	1	2013-01-20	2013-01-20	NULL	1	2013-01-20	2013-01-20
1194174	AndyMap	4	0	1	2014-02-03	2014-02-03	NULL	1	2014-02-02	2014-02-02
1923269	angelesmell	1	0	1	2014-02-22	2014-02-22	NULL	1	2014-02-22	2014-02-22
1804193	Gearbox Photo	3	0	1	2013-11-13	2013-11-13	NULL	1	2013-11-13	2013-11-13
374643	Josh Ebersol	49	0	36	2010-12-01	2010-12-01	NULL	1	2010-12-01	2010-12-01
36443	jman1983	9	0	3	2012-09-26	2012-09-26	NULL	1	2012-09-26	2012-09-26
1255286	David W Robinson	423	0	202	2013-03-08	2013-03-08	NULL	18	2013-07-09	2013-07-17
1756419	channelkat	3	0	2	2013-09-25	2013-09-25	NULL	1	2013-09-25	2013-09-25
2431410	shortnick	7	0	7	2014-10-29	2014-10-29	NULL	1	2014-10-28	2014-10-28
2358739	avakristianna	3	0	3	2014-09-25	2014-09-25	NULL	1	2014-09-24	2014-09-24
317618	kimhi	6	0	4	2011-07-27	2011-08-04	NULL	4	2011-08-22	2011-08-16
1707861	datasquirrel	1	0	1	2013-08-07	2013-08-07	NULL	1	2013-08-07	2013-08-07
1748382	Kolenka	4	0	3	2014-01-07	2014-01-07	NULL	1	2014-01-07	2014-01-07
2014579	madisonallen	2	0	1	2014-04-03	2014-04-03	NULL	2	2014-04-03	2014-04-03
2014441	BigbyWolf20	4	0	4	2014-04-02	2014-04-02	NULL	1	2014-04-02	2014-04-02
1529630	Brad Meteor	13435	11	12135	2013-06-11	2013-06-11	2013-06-24	46	2013-12-03	2013-11-19
