user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
4363	Pmz	1	0	0	2012-10-31	NULL	NULL	1	2012-10-31	2012-10-31
5553	dkt	4276	109	4276	2008-02-01	2008-02-01	2008-02-01	1	2008-02-02	2008-02-02
714035	namuori	5084	9	3545	2012-07-06	2012-07-06	2012-07-19	18	2012-09-01	2012-08-29
150368	Cicerone	9713	0	8671	2009-08-10	2009-08-10	NULL	23	2010-02-17	2010-03-05
365274	thbz	7885	0	6160	2014-03-11	2014-03-11	NULL	110	2014-10-01	2014-10-14
476671	aquilegia	3934	0	1400	2014-06-11	2014-06-11	NULL	19	2014-06-25	2014-06-21
427807	samden	8016	0	5521	2013-09-05	2013-09-05	NULL	18	2013-10-17	2013-10-04
7213	alimamo	4350	1	2516	2009-01-09	2009-11-07	2010-08-14	23	2010-11-06	2010-09-21
223224	IRTC1015	8845	0	4330	2011-01-13	2011-01-13	NULL	32	2013-09-28	2014-02-14
72307	whome	9370	0	0	2008-10-11	NULL	NULL	7	2008-10-19	2008-10-15
77114	LLAQWA	6037	0	6006	2014-05-27	2014-05-27	NULL	6	2014-07-04	2014-07-11
2050413	Amjoong	7097	0	6517	2014-04-28	2014-04-28	NULL	31	2014-07-12	2014-06-24
269948	minimini	10545	0	9120	2013-11-26	2013-11-26	NULL	53	2014-02-24	2014-01-26
356129	MapPlus	14380	0	13912	2013-11-12	2013-11-12	NULL	16	2014-02-19	2013-12-16
477186	bizarre07	14309	0	12260	2013-08-25	2013-08-25	NULL	29	2014-09-20	2014-09-29
433575	mwtree	10171	0	9470	2013-03-20	2013-03-20	NULL	33	2013-07-18	2013-07-18
103568	dezpim	10870	0	612	2009-03-03	2009-03-03	NULL	9	2009-03-08	2009-03-08
613089	전기곰돌	32816	5	31110	2012-03-01	2012-03-01	2012-03-01	35	2014-02-07	2014-03-21
74529	cyana	168901	451	100354	2008-10-23	2008-10-23	2008-10-27	60	2009-07-21	2009-06-13
