user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
288333	RM87	1263	0	0	2011-08-03	NULL	NULL	1	2011-08-03	2011-08-03
539656	kragon77	18668	2	14949	2012-07-27	2012-07-27	2013-07-09	14	2013-01-12	2012-11-22
149824	LucaPescatore	14688	125	13995	2009-07-27	2009-07-27	2009-09-25	40	2010-01-15	2009-11-14
19080	guenter	3000	61	1397	2008-10-29	2008-10-29	2008-10-29	4	2008-11-24	2008-12-08
750240	pragmatik	6466	1	4436	2012-07-25	2012-07-28	2012-07-28	44	2012-09-19	2012-08-18
493173	KristiG	1693	1	1551	2011-07-21	2011-07-21	2011-07-21	3	2011-07-24	2011-07-21
71486	humboldtmap	5855	54	1458	2008-10-05	2008-10-05	2008-10-05	5	2008-10-07	2008-10-07
1980916	guidoaltendorf	4076	2	3577	2014-03-12	2014-03-12	2014-03-22	28	2014-04-13	2014-03-28
712336	DenisJu	1119	0	1048	2014-12-24	2014-12-24	NULL	1	2014-12-24	2014-12-24
350549	f00bar	1246	1	800	2013-02-06	2013-02-07	2013-02-07	2	2013-02-07	2013-02-07
235925	Massimiliano Rossi	5402	30	5402	2010-04-10	2010-04-10	2010-04-10	5	2010-04-14	2010-04-14
39504	malenki	3467	1	2247	2011-08-12	2011-08-12	2013-06-21	28	2013-08-17	2013-08-31
1751908	Blues Brothers	18757	2	16594	2013-11-07	2013-11-07	2013-11-21	22	2014-05-11	2014-05-27
318127	kaprik	1541	1	1235	2010-07-12	2010-07-12	2011-06-27	16	2011-04-11	2011-03-13
70696	xybot	72	0	0	2009-09-21	NULL	NULL	13	2011-03-24	2011-11-16
1383408	shyrsio	31	0	12	2013-04-23	2013-04-23	NULL	1	2013-04-23	2013-04-23
1238662	Krawujewatz	59	0	3	2013-08-03	2013-08-03	NULL	1	2013-08-03	2013-08-03
9839	Ronald	163	0	163	2010-08-04	2010-08-04	NULL	2	2010-10-05	2010-08-10
72235	Basstoelpel	60	2	57	2012-12-16	2012-12-16	2012-12-16	1	2012-12-16	2012-12-16
335871	zenonp	42	0	2	2010-08-20	2010-08-20	NULL	1	2010-08-20	2010-08-20
12295	mapper_07	30	7	25	2007-11-27	2007-11-27	2007-11-27	3	2012-01-26	2009-05-13
48310	DFae	105	22	105	2008-06-28	2008-06-28	2008-06-28	2	2008-06-29	2008-06-28
610556	atelhaj	80	0	25	2012-03-22	2012-03-22	NULL	3	2012-04-12	2012-05-06
44514	MarsmanRom	74	0	68	2014-06-29	2014-06-29	NULL	1	2014-06-29	2014-06-29
77322	Enif	45	0	44	2012-09-20	2012-09-20	NULL	1	2012-09-20	2012-09-20
430175	Elke Haas	33	0	26	2011-03-31	2011-03-31	NULL	3	2011-07-09	2011-07-15
42429	42429	69	0	30	2009-11-08	2009-11-08	NULL	2	2009-12-13	2009-11-09
560090	jeffthimm	69	0	49	2012-01-03	2012-01-03	NULL	4	2012-12-29	2013-04-15
18069	Claudius Henrichs	63	2	58	2009-06-04	2009-06-04	2009-06-04	2	2009-12-25	2009-06-10
170106	sanchi	91	0	40	2012-08-15	2012-08-15	NULL	1	2012-08-15	2012-08-15
152028	ervin	135	0	88	2011-10-07	2011-10-07	NULL	2	2011-10-18	2011-10-08
521572	James Michael DuPont	64	0	64	2011-09-15	2011-09-15	NULL	3	2012-09-29	2012-05-25
33589	zenfunk	43	0	21	2009-06-26	2009-06-26	NULL	1	2009-06-26	2009-06-26
1832470	Megaphone	110	0	75	2013-12-29	2013-12-30	NULL	16	2014-01-29	2014-01-11
1868065	Arjela-Megaphone	73	0	65	2014-01-07	2014-01-07	NULL	2	2014-01-08	2014-01-08
574540	bgodole	137	0	72	2011-12-26	2011-12-26	NULL	2	2011-12-27	2011-12-27
171169	bledar	30	0	15	2009-09-12	2009-09-12	NULL	2	2010-08-19	2010-06-11
1743062	Bledi81	71	0	16	2013-09-12	2013-09-12	NULL	1	2013-09-12	2013-09-12
2076591	endri giomo 2	74	0	49	2014-05-15	2014-05-15	NULL	4	2014-05-18	2014-05-19
13203	bahnpirat	149	2	134	2010-03-18	2010-03-18	2010-03-18	1	2010-03-18	2010-03-18
393545	Endri	81	1	77	2011-01-22	2011-01-22	2011-03-11	5	2011-03-07	2011-03-15
220664	Zoti Raki	67	0	60	2010-03-03	2010-03-03	NULL	5	2010-08-28	2010-07-23
566051	nethysa	129	0	80	2013-02-25	2013-02-25	NULL	2	2014-01-17	2013-11-25
467392	hillscott	72	1	72	2011-06-27	2011-06-27	2011-07-12	4	2011-07-12	2011-07-13
1638195	elioqoshi	83	0	56	2013-07-12	2013-07-12	NULL	5	2014-05-13	2013-12-26
2164923	JolaHysko	37	0	18	2014-07-04	2014-07-04	NULL	2	2014-09-03	2014-10-31
51290	Elton Manoku	29	2	29	2008-07-10	2008-07-10	2008-07-10	1	2008-07-10	2008-07-10
338611	marek kleciak	110	0	15	2013-07-02	2013-07-02	NULL	1	2013-07-02	2013-07-02
37809	Fede_Reghe	37	3	37	2009-05-01	2009-05-01	2009-05-01	1	2009-05-01	2009-05-01
278195	FiFa	9	0	5	2012-07-15	2012-07-15	NULL	3	2012-07-20	2012-07-20
86504	Thomas8122	19	0	8	2009-04-07	2009-06-21	NULL	2	2009-05-15	2009-05-09
2056708	Endri Giomo	11	0	7	2014-05-01	2014-05-01	NULL	2	2014-05-03	2014-05-03
707823	Maxetech	14	0	1	2013-04-04	2013-04-05	NULL	2	2013-04-05	2013-04-05
34555	Max--	11	0	4	2011-09-25	2011-09-25	NULL	1	2011-09-25	2011-09-25
651220	Hotel Boutique Kotoni	11	0	4	2012-04-11	2012-04-11	NULL	1	2012-04-11	2012-04-11
150368	Cicerone	17	1	11	2009-08-03	2009-08-03	2009-08-03	1	2009-08-03	2009-08-03
2031785	Ministria e Kultures	11	0	9	2014-04-16	2014-04-16	NULL	8	2014-06-10	2014-05-28
653592	Advertalis Shpk	14	0	6	2012-04-10	2012-04-10	NULL	1	2012-04-10	2012-04-10
2329279	gjmart	16	0	1	2014-09-22	2014-09-22	NULL	1	2014-09-22	2014-09-22
64578	Serpens	17	0	0	2014-04-02	NULL	NULL	3	2014-07-03	2014-11-15
57645	KartoGrapHiti	19	0	19	2013-02-04	2013-02-04	NULL	2	2013-02-14	2013-02-16
131059	h4ck3rm1k3	11	0	0	2010-03-06	NULL	NULL	1	2010-03-06	2010-03-06
361348	arekushi	14	0	6	2011-05-18	2011-05-18	NULL	2	2011-05-22	2011-05-22
1976357	hotel idea	10	0	8	2014-03-09	2014-03-09	NULL	2	2014-06-30	2014-09-06
855862	rskikuli	11	0	2	2012-09-03	2012-09-03	NULL	4	2013-10-08	2013-01-27
1995928	klodi79	9	0	8	2014-03-25	2014-03-25	NULL	1	2014-03-25	2014-03-25
290680	wheelmap_visitor	14	0	0	2013-09-24	NULL	NULL	5	2013-12-16	2013-12-14
2513544	tomikallanxh	11	0	8	2014-12-10	2014-12-10	NULL	1	2014-12-10	2014-12-10
384322	erion123	14	0	14	2010-12-16	2010-12-16	NULL	1	2010-12-16	2010-12-16
68842	noperante	12	0	7	2012-02-26	2012-02-26	NULL	2	2012-03-11	2012-03-02
2461388	vittorio1990	23	0	17	2014-11-13	2014-11-13	NULL	1	2014-11-13	2014-11-13
355102	BesfortGuri	6	0	6	2014-05-03	2014-05-03	NULL	1	2014-05-03	2014-05-03
439587	armandozina	4	0	3	2011-04-18	2011-04-18	NULL	1	2011-04-18	2011-04-18
92274	adjuva	4	0	0	2014-03-15	NULL	NULL	4	2014-05-09	2014-05-09
45671	Mogi	9	0	3	2008-09-30	2008-09-30	NULL	1	2008-09-30	2008-09-30
17682	Bedee	5	0	0	2007-10-29	NULL	NULL	1	2007-10-29	2007-10-29
338843	TorCguy	20	0	3	2014-10-23	2014-10-23	NULL	1	2014-10-23	2014-10-23
189212	Kosta Bidoshi	6	0	6	2009-10-23	2009-10-23	NULL	2	2009-11-04	2009-11-07
74983	Wolfram Sobotta	21	0	5	2012-08-08	2012-08-08	NULL	1	2012-08-08	2012-08-08
121415	edvac	23	0	4	2011-10-31	2011-10-31	NULL	1	2011-10-31	2011-10-31
612923	lennyaspen	4	0	1	2012-02-29	2012-02-29	NULL	1	2012-02-29	2012-02-29
670285	Ermir	4	0	4	2012-04-29	2012-04-29	NULL	1	2012-04-29	2012-04-29
395156	GxE	4	0	4	2014-02-26	2014-02-26	NULL	1	2014-02-26	2014-02-26
88515	Lorenc Çala	26	0	15	2009-01-02	2009-01-02	NULL	2	2009-04-20	2009-03-01
34558	kledi	8	0	0	2008-04-17	NULL	NULL	1	2008-04-17	2008-04-17
227502	ajk	20	0	20	2013-10-11	2013-10-11	NULL	1	2013-10-11	2013-10-11
131561	filot	4	0	1	2014-10-05	2014-10-05	NULL	1	2014-10-05	2014-10-05
2027590	MinTurizmi	4	0	1	2014-04-11	2014-04-11	NULL	1	2014-04-11	2014-04-11
1069176	landfahrer	28	0	7	2015-01-07	2015-01-07	NULL	1	2015-01-07	2015-01-07
78090	Roman Fischer	6	0	4	2010-08-13	2010-08-13	NULL	1	2010-08-13	2010-08-13
43996	motophil	6	0	0	2009-01-25	NULL	NULL	1	2009-01-25	2009-01-25
275821	Ramzes	22	0	0	2010-09-28	NULL	NULL	2	2011-03-30	2010-10-16
1753325	Saimiri	4	0	4	2013-09-23	2013-09-23	NULL	4	2013-10-05	2013-10-05
675682	Gjagji	4	0	4	2012-05-16	2012-05-16	NULL	3	2012-06-25	2012-07-15
359416	Evald	7	0	7	2010-10-16	2010-10-16	NULL	1	2010-10-16	2010-10-16
2594241	Saimir	4	0	2	2015-01-22	2015-01-22	NULL	1	2015-01-22	2015-01-22
2227942	Department of Eagles	4	0	3	2014-08-02	2014-08-02	NULL	2	2014-08-06	2014-08-07
2167392	GretaDoci	3	0	1	2014-07-07	2014-07-07	NULL	1	2014-07-07	2014-07-07
559500	johanemilsson	7	0	7	2012-08-18	2012-08-18	NULL	1	2012-08-18	2012-08-18
510836	Rub21	8	0	4	2014-07-11	2014-07-11	NULL	1	2014-07-11	2014-07-11
2099796	fraWilly	6	0	6	2014-07-16	2014-07-16	NULL	1	2014-07-16	2014-07-16
16465	tmtm	8	0	5	2009-12-05	2009-12-05	NULL	2	2009-12-07	2009-12-08
16783	JBogdani	4	0	0	2007-10-17	NULL	NULL	1	2007-10-17	2007-10-17
2500350	SelcomTr	6	0	6	2014-12-03	2014-12-03	NULL	1	2014-12-03	2014-12-03
572666	Wurzle	3	0	3	2011-12-21	2011-12-21	NULL	1	2011-12-21	2011-12-21
28145	amillar	1	0	0	2009-06-17	NULL	NULL	1	2009-06-17	2009-06-17
13832	Peter14	1	0	0	2010-10-13	NULL	NULL	1	2010-10-13	2010-10-13
9176	Maarten Deen	306	0	9	2010-10-29	2010-10-29	NULL	2	2011-10-03	2011-05-23
121180	ivank	279	0	109	2009-07-04	2009-07-04	NULL	3	2009-10-03	2009-07-05
722137	OSMF Redaction Account	201	0	0	2012-07-20	NULL	NULL	1	2012-07-20	2012-07-20
2219338	RichRico	2	0	0	2014-10-07	NULL	NULL	2	2014-10-10	2014-10-10
5164	woodpeck	1	0	0	2013-08-06	NULL	NULL	1	2013-08-06	2013-08-06
555103	korabi	822	0	614	2012-02-25	2012-02-25	NULL	5	2012-05-03	2012-06-25
