user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
222120	hfu	1190	0	1175	2013-03-26	2013-03-26	NULL	8	2013-06-13	2013-04-21
1000189	328	20	0	10	2012-10-24	2012-10-24	NULL	3	2012-11-02	2012-10-27
1070614	u_kubota_imp	27987	0	27987	2012-12-31	2012-12-31	NULL	4	2013-01-04	2013-01-02
282725	zenjiro	7321	0	6425	2010-05-05	2010-05-05	NULL	42	2010-10-31	2010-10-16
1812076	jan_ardy	8460	0	8103	2014-03-29	2014-03-29	NULL	37	2014-05-18	2014-04-26
192395	BBO	1	0	0	2010-09-14	NULL	NULL	1	2010-09-14	2010-09-14
1286413	Nuko	25499	0	15489	2013-03-20	2013-03-20	NULL	175	2013-07-14	2013-06-14
2352862	Netzach	6711	0	1618	2014-11-09	2014-11-09	NULL	22	2014-12-11	2014-12-20
19532	gaku	24557	647	18504	2007-11-19	2007-11-19	2007-11-19	84	2009-09-11	2010-03-07
1040662	Zawaja	9208	0	7341	2012-11-10	2012-11-10	NULL	14	2013-07-15	2013-04-27
1825985	urilou	4610	0	3569	2013-12-02	2013-12-02	NULL	24	2014-03-14	2014-04-17
356907	enosan	7617	0	5532	2010-10-11	2010-10-11	NULL	21	2010-12-18	2010-12-01
161485	joelheethaar	6576	0	4636	2009-08-21	2009-08-21	NULL	10	2009-09-04	2009-09-09
60649	tom-a	6841	91	3227	2008-08-20	2008-08-20	2008-08-20	55	2009-09-29	2009-03-29
650871	AK1000	7432	0	1295	2012-04-30	2012-04-30	NULL	27	2012-05-20	2012-05-13
78082	usuyu	7665	32	6966	2008-11-08	2008-11-08	2008-11-08	96	2009-08-24	2009-07-15
72618	chikara	8329	0	1377	2008-10-13	2008-10-13	NULL	6	2008-10-18	2008-10-15
1244491	m_sugaw	7119	0	6087	2013-03-01	2013-03-01	NULL	83	2014-01-20	2013-07-14
149796	pasiri	4282	0	3653	2009-07-26	2009-07-26	NULL	62	2010-12-30	2011-05-27
902727	javbw	8920	0	7669	2013-11-30	2013-11-30	NULL	16	2014-04-04	2013-12-26
914195	haniwa2k	4105	0	3028	2012-09-24	2012-09-24	NULL	53	2012-12-21	2012-11-30
19799	daveemtb	4837	252	2191	2008-01-06	2008-01-06	2008-01-06	13	2008-01-23	2008-01-14
159716	satochin	4930	145	4424	2009-08-18	2009-08-18	2009-08-18	26	2009-10-26	2009-10-27
510836	Rub21	4527	0	1807	2014-07-15	2014-07-16	NULL	25	2014-09-20	2014-11-06
205130	inamura3520014	6426	18	5660	2010-01-03	2010-01-03	2010-01-04	41	2010-04-08	2010-04-12
704960	MJQ	7184	0	5750	2012-06-15	2012-06-15	NULL	35	2012-07-24	2012-07-15
