user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
356740	norbody2	883	0	749	2010-10-09	2010-10-09	NULL	39	2012-05-25	2012-05-12
2550748	jamaps	981	0	424	2015-01-03	2015-01-03	NULL	51	2015-07-12	2015-08-09
91657	Pink Duck	933	0	0	2010-06-10	NULL	NULL	1	2010-06-10	2010-06-10
28895	PurpleMustang	1086	1	1039	2008-03-30	2008-11-08	2012-02-07	10	2011-06-22	2012-02-15
110263	werner2101	1074	0	821	2011-07-28	2013-11-17	NULL	3	2013-02-17	2013-12-02
103816	tsapiano	1376	0	1332	2009-12-27	2009-12-27	NULL	5	2010-03-07	2009-12-28
56884	echo7	1046	3	915	2008-08-16	2008-08-16	2008-09-04	9	2008-09-01	2008-08-30
76908	zoke	1623	1	994	2009-01-04	2009-01-04	2009-01-04	8	2010-03-16	2009-09-20
445671	flierfy	1401	0	949	2015-03-30	2015-03-30	NULL	7	2015-04-13	2015-04-02
83854	David Henderson	1140	0	0	2008-12-05	NULL	NULL	5	2008-12-10	2008-12-11
36223	dalmond	1176	0	648	2008-04-28	2008-04-28	NULL	25	2010-07-26	2008-12-25
205828	wdtaylor	1047	0	976	2009-12-07	2009-12-07	NULL	21	2010-01-12	2010-01-02
109002	stevenlundy	1009	0	0	2009-03-20	NULL	NULL	1	2009-03-19	2009-03-19
3365078	sssmc	921	0	911	2015-11-27	2015-11-27	NULL	6	2015-12-17	2015-12-28
1425239	Mapster2013	1387	0	1154	2013-05-07	2013-05-07	NULL	17	2014-01-07	2013-12-17
84464	OC_Transpo	1591	0	5	2008-12-20	2008-12-20	NULL	1	2008-12-20	2008-12-20
51600	brandoncote	961	0	548	2009-08-07	2009-08-07	NULL	29	2012-11-02	2013-10-20
1717128	Greying_Geezer	1846	0	1513	2014-12-16	2014-12-16	NULL	45	2015-06-13	2015-06-07
74448	Martina Riehm	1656	0	324	2008-11-25	2008-11-25	NULL	1	2008-11-25	2008-11-25
92076	cholmes	920	0	154	2009-01-16	2009-01-16	NULL	2	2010-08-13	2009-01-17
329962	edred	1148	0	1020	2012-05-03	2012-05-03	NULL	9	2012-08-11	2012-05-18
1066031	Terrametrics	908	0	532	2012-12-20	2012-12-22	NULL	9	2014-08-01	2014-10-24
802468	Toronto Zoo	1460	0	1103	2012-08-13	2012-08-13	NULL	8	2013-05-20	2012-10-11
28236	The_Tom	1583	0	868	2008-02-24	2008-02-24	NULL	34	2010-05-24	2010-01-13
290680	wheelmap_visitor	1463	0	0	2010-09-09	NULL	NULL	98	2012-08-19	2011-08-18
99083	CyberStingray	1009	0	378	2009-02-11	2009-02-11	NULL	7	2010-06-05	2009-04-27
8047	scruss	1837	0	1469	2010-07-29	2010-07-29	NULL	153	2013-06-24	2013-06-03
156137	Darren Best	1379	0	1301	2010-08-09	2010-08-09	NULL	5	2010-08-19	2010-08-25
186708	Mauitz	899	0	380	2009-10-15	2009-10-16	NULL	22	2009-11-13	2009-11-16
11810	alecs	993	44	992	2007-08-10	2007-08-10	2007-09-13	10	2007-09-22	2007-09-24
149100	Muskoka	877	0	415	2012-02-13	2012-02-13	NULL	4	2012-02-15	2012-02-14
2417	mmather	1861	9	1787	2007-06-28	2007-06-28	2007-07-03	40	2007-09-22	2007-09-14
14273	Joe42	1818	3	1406	2007-09-23	2007-09-23	2007-10-02	18	2008-06-01	2008-01-16
596047	Rps333	1090	0	722	2012-04-19	2012-04-19	NULL	36	2013-12-26	2013-12-17
1154235	chuthan20	627	0	627	2013-12-15	2013-12-15	NULL	2	2013-12-18	2013-12-18
91313	Aquarius47	355	0	0	2009-01-14	NULL	NULL	4	2009-01-18	2009-01-21
83120	Adam_Canada	586	0	0	2008-12-27	NULL	NULL	5	2009-01-20	2009-01-09
117548	starcrafty	590	0	0	2009-04-16	NULL	NULL	1	2009-04-16	2009-04-16
2381715	ahinves	699	0	466	2015-09-03	2015-09-03	NULL	3	2015-09-13	2015-09-17
13203	bahnpirat	708	0	2	2009-02-25	2009-02-25	NULL	1	2009-02-25	2009-02-25
60346	taavi	832	0	761	2010-08-11	2010-08-11	NULL	17	2011-09-19	2010-11-27
62654	fuego	669	0	633	2009-08-28	2009-08-28	NULL	6	2013-10-26	2013-12-19
42429	42429	765	0	356	2012-05-25	2012-05-25	NULL	5	2012-09-07	2012-06-14
96702	chrisl_22	716	1	302	2009-02-04	2009-02-04	2009-02-19	2	2009-02-11	2009-02-12
94578	andygol	811	0	774	2015-04-07	2015-04-07	NULL	8	2015-07-01	2015-08-23
141070	Sergei Mutovkin	686	0	378	2009-07-06	2009-07-06	NULL	12	2011-04-29	2011-09-10
8430	idarwin	686	85	654	2007-07-08	2007-07-08	2007-07-08	33	2009-01-20	2009-07-14
76689	maptiga	653	15	251	2009-01-23	2009-01-23	2009-01-23	2	2009-01-24	2009-01-24
20714	hdevalence	630	0	601	2007-12-02	2007-12-02	NULL	5	2008-10-28	2008-08-05
41214	Crypto Willy	586	8	577	2008-05-30	2008-05-30	2008-05-30	7	2008-06-07	2008-06-05
130472	fx99	673	1	267	2012-03-29	2013-01-19	2013-01-19	18	2013-07-26	2013-04-12
1591284	cdrini	723	0	169	2013-06-28	2013-06-28	NULL	7	2013-07-08	2013-07-08
1539943	acli	843	0	696	2013-06-12	2013-06-12	NULL	14	2013-08-31	2013-06-26
47978	Christoph Lotz	80	0	0	2015-10-15	NULL	NULL	2	2015-11-29	2016-01-11
80005	DMR88	36	0	0	2008-11-16	NULL	NULL	1	2008-11-16	2008-11-16
99762	aestus	21	0	0	2009-02-14	NULL	NULL	1	2009-02-14	2009-02-14
46239	MatthieuMartin	14	0	0	2014-11-10	NULL	NULL	2	2015-04-23	2014-12-03
178186	mdk	3	0	0	2010-05-22	NULL	NULL	1	2010-05-22	2010-05-22
544936	CYL	5	0	0	2011-12-19	NULL	NULL	1	2011-12-18	2011-12-18
249383	Tempel	4	0	0	2010-03-23	NULL	NULL	1	2010-03-23	2010-03-23
1417459	bigfoot2	3	0	3	2013-05-05	2013-05-05	NULL	1	2013-05-05	2013-05-05
38588	mentor	2	0	0	2012-11-20	NULL	NULL	1	2012-11-20	2012-11-20
822901	ChiefScout2000	2	0	1	2012-08-22	2012-08-22	NULL	1	2012-08-21	2012-08-21
1211655	robinkraft	2	0	0	2013-01-26	NULL	NULL	1	2013-01-26	2013-01-26
655700	akarnick	2	0	2	2012-04-10	2012-04-10	NULL	1	2012-04-10	2012-04-10
656894	Mikefattori	2	0	2	2012-04-12	2012-04-12	NULL	1	2012-04-12	2012-04-12
2089603	BradEdwards	2	0	1	2014-05-23	2014-05-23	NULL	1	2014-05-23	2014-05-23
1782960	emacsen_dwg	2	0	0	2014-11-24	NULL	NULL	2	2014-11-26	2014-11-26
2086756	ZedSmart	2	0	1	2014-05-22	2014-05-22	NULL	1	2014-05-21	2014-05-21
2088224	zjwang	2	0	2	2014-05-22	2014-05-22	NULL	1	2014-05-22	2014-05-22
387431	ralmada	2	0	2	2010-12-24	2010-12-24	NULL	1	2010-12-23	2010-12-23
3497841	CGmuzzi	2	0	1	2016-01-03	2016-01-03	NULL	1	2016-01-03	2016-01-03
2103963	AtomSplitter97	2	0	2	2014-06-02	2014-06-02	NULL	1	2014-06-02	2014-06-02
2877466	AutomaticJ	1	0	0	2015-04-30	NULL	NULL	1	2015-04-29	2015-04-29
1211661	TakW	1	0	0	2013-01-26	NULL	NULL	1	2013-01-26	2013-01-26
2611068	camiardit	2	0	2	2015-01-28	2015-01-28	NULL	1	2015-01-28	2015-01-28
1966020	wiseguyz	3	0	3	2014-03-04	2014-03-04	NULL	1	2014-03-03	2014-03-03
2185655	Decentral	3	0	0	2014-07-14	NULL	NULL	2	2014-08-10	2014-08-19
3363664	Emma Gangbar	3	0	2	2015-11-05	2015-11-05	NULL	1	2015-11-05	2015-11-05
2349071	dsk1	3	0	2	2015-01-24	2015-01-24	NULL	1	2015-01-24	2015-01-24
2012449	Dami_Tn	2	0	0	2015-05-09	NULL	NULL	1	2015-05-08	2015-05-08
2160	Laurence	2	0	2	2013-10-24	2013-10-24	NULL	1	2013-10-23	2013-10-23
1832932	edge2003	3	0	3	2013-12-06	2013-12-06	NULL	1	2013-12-06	2013-12-06
1918779	xamount	3	0	2	2014-02-04	2014-02-04	NULL	2	2014-08-27	2014-06-20
1215186	Miroslav Glavic	3	0	2	2013-01-29	2013-01-29	NULL	1	2013-01-29	2013-01-29
1186161	Elisabeth Antonacci	2	0	1	2013-01-04	2013-01-04	NULL	1	2013-01-04	2013-01-04
2016441	patcon	3	0	2	2014-08-09	2014-08-09	NULL	2	2015-03-20	2015-06-02
1141064	RetroOptics	3	0	2	2014-06-01	2014-06-01	NULL	2	2014-07-11	2014-06-27
1624486	thetornado76	3	0	0	2015-11-06	NULL	NULL	3	2015-12-08	2015-12-08
1890709	aventurus	3	0	2	2014-01-17	2014-01-17	NULL	1	2014-01-17	2014-01-17
1868380	feeei	3	0	1	2014-01-05	2014-01-05	NULL	1	2014-01-05	2014-01-05
275378	phro	2	0	1	2012-02-02	2012-02-02	NULL	1	2012-02-02	2012-02-02
418347	JeffreyM	2	0	2	2011-04-20	2011-04-20	NULL	1	2011-04-19	2011-04-19
411528	jekjek1989	2	0	2	2011-02-19	2011-02-19	NULL	1	2011-02-19	2011-02-19
2593767	Payvand	3	0	2	2015-01-21	2015-01-21	NULL	1	2015-01-21	2015-01-21
2481760	Euro Flowers	3	0	0	2014-11-23	NULL	NULL	1	2014-11-23	2014-11-23
1980351	a3camero	3	0	1	2014-03-12	2014-03-12	NULL	2	2014-04-22	2014-04-08
1155330	digicult	3	0	0	2015-08-07	NULL	NULL	1	2015-08-07	2015-08-07
113934	554	229	0	0	2009-04-05	NULL	NULL	1	2009-04-05	2009-04-05
224440	Syl	19	0	0	2011-03-01	NULL	NULL	5	2013-03-31	2014-03-16
297482	don-vip	4	0	0	2011-06-04	NULL	NULL	1	2011-06-03	2011-06-03
1015531	kkellam	4	0	4	2012-10-30	2012-10-30	NULL	1	2012-10-30	2012-10-30
385396	johnlancia	3	0	0	2010-12-18	NULL	NULL	1	2010-12-18	2010-12-18
581407	reXam	4	0	3	2012-01-20	2012-01-20	NULL	1	2012-01-20	2012-01-20
60185	hasienda	3	0	2	2009-02-10	2009-02-10	NULL	1	2009-02-10	2009-02-10
245853	natzilla	3	0	3	2012-11-04	2012-11-04	NULL	1	2012-11-03	2012-11-03
34328	mappingdude	3	0	1	2008-04-14	2008-04-14	NULL	1	2008-04-14	2008-04-14
81432	tomtux	3	0	3	2013-05-11	2013-05-11	NULL	1	2013-05-11	2013-05-11
368614	trini_man	1	0	1	2010-11-08	2010-11-08	NULL	1	2010-11-08	2010-11-08
153195	MRJ	3	0	2	2009-08-04	2009-08-04	NULL	1	2009-08-04	2009-08-04
372105	woarkie	1	0	1	2014-01-21	2014-01-21	NULL	1	2014-01-21	2014-01-21
2110102	gyr	1	0	1	2014-06-06	2014-06-06	NULL	1	2014-06-06	2014-06-06
621280	anonhacker482	4	0	4	2012-03-09	2012-03-09	NULL	1	2012-03-09	2012-03-09
583539	tyki	3	0	3	2012-01-10	2012-01-10	NULL	1	2012-01-10	2012-01-10
273986	dakaye	3	0	3	2012-06-17	2012-06-17	NULL	1	2012-06-17	2012-06-17
2149701	MrEnneract	1	0	0	2014-06-26	NULL	NULL	1	2014-06-26	2014-06-26
355512	Sergey B	1	0	1	2010-10-06	2010-10-06	NULL	1	2010-10-06	2010-10-06
131004	Karl Siroky	3	0	2	2009-06-05	2009-06-05	NULL	1	2009-06-05	2009-06-05
70742	Ezhick	3	0	0	2011-04-08	NULL	NULL	1	2011-04-08	2011-04-08
2108375	youngerwand	1	0	0	2014-06-05	NULL	NULL	1	2014-06-05	2014-06-05
3296371	GMY	4	0	4	2015-10-08	2015-10-08	NULL	1	2015-10-08	2015-10-08
842611	joudit	3	0	2	2012-08-29	2012-08-29	NULL	1	2012-08-29	2012-08-29
2070701	OpenBeerMapContributor	2	0	0	2014-10-22	NULL	NULL	2	2014-10-22	2014-10-22
2474226	wolfewylie	1	0	0	2014-11-20	NULL	NULL	1	2014-11-19	2014-11-19
239998	Sundance	80	0	49	2013-02-11	2013-02-11	NULL	1	2013-02-11	2013-02-11
722137	OSMF Redaction Account	199	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18
205423	theonlysandman	4	0	3	2009-12-08	2009-12-08	NULL	3	2010-01-12	2010-01-24
203688	jorge_o	318	0	72	2013-01-14	2013-01-22	NULL	15	2013-02-08	2013-02-02
1211692	TranscendentalPi	10	0	0	2013-01-26	NULL	NULL	1	2013-01-26	2013-01-26
411561	Thadeaux	5	0	4	2011-02-19	2011-02-19	NULL	3	2011-02-23	2011-02-22
28906	Muhammad Kamran Shafi	15	2	15	2008-02-27	2008-02-27	2008-02-27	1	2008-02-27	2008-02-27
359990	skynaut	87	0	58	2010-10-18	2010-10-18	NULL	2	2010-10-18	2010-10-18
1989383	ElieMak	4	0	4	2014-03-17	2014-03-17	NULL	1	2014-03-17	2014-03-17
482720	tibiduka	1	0	0	2011-07-05	NULL	NULL	1	2011-07-05	2011-07-05
335349	redace	5	0	4	2010-08-18	2010-08-18	NULL	2	2010-08-31	2010-09-03
