user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
NULL	NULL	342	24	342	2007-06-13	2007-06-13	2007-06-14	6	2007-06-30	2007-06-18
2333190	smileyboy07	4	0	4	2014-09-14	2014-09-14	NULL	1	2014-09-13	2014-09-13
9607	hfs	1	0	0	2013-01-23	NULL	NULL	1	2013-01-23	2013-01-23
135851	z-dude	138821	5	126350	2009-06-16	2009-06-16	2010-12-01	444	2011-08-14	2011-07-21
392827	pnorman_mechanical	125361	1	123760	2011-01-08	2011-01-08	2012-03-26	33	2011-07-05	2011-02-13
2067100	laurentr	2	0	1	2014-05-08	2014-05-08	NULL	1	2014-05-08	2014-05-08
355617	pnorman	142156	52	108638	2010-10-06	2010-10-06	2010-11-04	440	2012-04-22	2011-09-22
14351	WBSKI	117331	157	103433	2007-09-23	2007-09-23	2009-09-01	269	2010-11-13	2010-11-05
714980	Nicholas Fong	161	0	104	2012-07-01	2012-07-01	NULL	17	2012-11-22	2012-08-27
161327	homebug	45	0	33	2009-08-21	2009-08-21	NULL	3	2009-08-22	2009-08-22
1921100	MappityDoo	12	0	5	2014-02-05	2014-02-05	NULL	2	2014-04-09	2014-05-11
1914737	Daniel Friesen	9	0	8	2014-02-18	2014-02-18	NULL	1	2014-02-18	2014-02-18
536252	Exiton	63	0	39	2011-10-20	2011-10-20	NULL	3	2012-06-10	2012-07-24
552794	digitaldirect	1323	0	668	2011-11-12	2011-11-12	NULL	19	2013-05-09	2013-05-01
549677	HeatCraig99	2	0	2	2011-11-05	2011-11-05	NULL	1	2011-11-05	2011-11-05
385888	castellan	2	0	2	2010-12-20	2010-12-20	NULL	1	2010-12-20	2010-12-20
1964811	punwod	7	0	7	2014-03-03	2014-03-03	NULL	1	2014-03-03	2014-03-03
1466795	WhiteMoose	1	0	1	2013-05-20	2013-05-20	NULL	1	2013-05-19	2013-05-19
160148	Charles_Smothers	1	0	0	2013-01-10	NULL	NULL	1	2013-01-10	2013-01-10
1172468	PhoenixEx	199	0	83	2012-12-29	2012-12-29	NULL	3	2013-12-20	2014-06-06
53073	Aaron Lidman	33	0	6	2013-06-06	2013-06-06	NULL	3	2013-06-30	2013-07-10
8703	rolandg	31	0	8	2013-02-10	2013-02-10	NULL	4	2013-02-22	2013-02-11
20564	Moosehead	24	1	14	2007-11-29	2007-11-29	2007-11-29	2	2010-03-05	2012-01-22
1812051	Neil M	8	0	7	2013-11-19	2013-11-19	NULL	2	2013-11-20	2013-11-19
2482738	sukhovvitya	1	0	0	2014-11-28	NULL	NULL	1	2014-11-28	2014-11-28
298879	Darryls99	86	0	66	2010-06-04	2010-06-04	NULL	2	2010-06-06	2010-06-05
2451094	Kurez	439	0	330	2014-11-08	2014-11-08	NULL	1	2014-11-07	2014-11-07
216634	Boris Mann	1	0	1	2011-04-21	2011-04-21	NULL	1	2011-04-20	2011-04-20
284569	futongrab	17	0	4	2014-08-05	2014-08-05	NULL	1	2014-08-04	2014-08-04
625033	PCIexpress	98	0	93	2012-03-11	2012-03-11	NULL	3	2012-04-01	2012-03-12
128017	wmann	3	0	0	2011-11-03	NULL	NULL	2	2012-12-02	2012-07-23
820593	TiloWiki	1	0	0	2012-08-21	NULL	NULL	1	2012-08-20	2012-08-20
242551	hmpfgnrrr	1	0	0	2014-01-08	NULL	NULL	1	2014-01-08	2014-01-08
2505339	Serguei Okountsev	91	0	91	2014-12-09	2014-12-09	NULL	1	2014-12-09	2014-12-09
115102	errt	36	0	36	2011-07-19	2011-07-19	NULL	1	2011-07-19	2011-07-19
67540	Cobra	17	0	0	2012-03-27	NULL	NULL	1	2012-03-27	2012-03-27
620005	theheraldofstory	49	0	49	2012-03-08	2012-03-08	NULL	1	2012-03-08	2012-03-08
237380	pvimos	8	0	7	2010-02-24	2010-02-24	NULL	2	2010-03-24	2010-03-10
2485560	aguthrie	4	0	4	2014-11-25	2014-11-25	NULL	1	2014-11-25	2014-11-25
1408522	Omnific	29	0	5	2014-11-23	2014-11-23	NULL	2	2014-11-27	2014-11-23
1817447	bennysdad	286	0	222	2013-11-24	2013-11-24	NULL	20	2014-03-11	2014-02-20
2405628	leo6969	19	0	19	2014-10-16	2014-10-16	NULL	1	2014-10-16	2014-10-16
1963387	Magrath	9	0	5	2014-03-02	2014-03-02	NULL	1	2014-03-02	2014-03-02
2509847	YogaNerd	3	0	1	2014-12-08	2014-12-08	NULL	1	2014-12-08	2014-12-08
576596	VE7KIX	5	0	5	2011-12-29	2011-12-29	NULL	1	2011-12-29	2011-12-29
1871403	DamirT	1	0	1	2014-01-07	2014-01-07	NULL	1	2014-01-06	2014-01-06
201361	kshark8	2	0	0	2009-11-25	NULL	NULL	1	2009-11-24	2009-11-24
367681	humbach	45	0	37	2012-10-08	2012-10-08	NULL	1	2012-10-08	2012-10-08
427084	purelywasted	3	0	3	2011-03-25	2011-03-25	NULL	1	2011-03-24	2011-03-24
25804	germin8	854	33	733	2010-05-16	2010-05-16	2010-05-16	7	2010-11-04	2010-08-17
1824834	Gamedeals	1	0	1	2013-12-01	2013-12-01	NULL	1	2013-11-30	2013-11-30
339917	Hedaja	1	0	0	2013-03-18	NULL	NULL	1	2013-03-18	2013-03-18
183051	whiterocker	245	0	149	2009-10-08	2009-10-08	NULL	3	2011-05-19	2012-02-08
356749	Bob107D	13	0	13	2010-10-09	2010-10-09	NULL	1	2010-10-09	2010-10-09
31231	Andre68	9	0	2	2013-06-30	2013-06-30	NULL	1	2013-06-29	2013-06-29
591702	lmelin	11	0	7	2012-01-22	2012-01-22	NULL	1	2012-01-21	2012-01-21
642908	imaginet	18	0	12	2012-03-29	2012-03-29	NULL	2	2012-07-16	2012-08-21
23143	the506	3	0	3	2012-07-23	2012-07-23	NULL	1	2012-07-22	2012-07-22
119304	GVRD	5466	34	4193	2009-04-25	2009-04-25	2009-04-25	19	2010-07-31	2009-06-08
2002584	brilang	171	0	156	2014-03-26	2014-03-26	NULL	4	2014-05-18	2014-04-25
3095	Alan	6597	111	5258	2007-09-03	2007-09-03	2007-09-03	37	2009-05-02	2008-06-22
315854	MaryBennett	8	0	6	2010-07-08	2010-07-08	NULL	1	2010-07-08	2010-07-08
1818820	pcolli	2	0	2	2013-11-26	2013-11-26	NULL	1	2013-11-26	2013-11-26
383858	digital0533	54	0	0	2014-03-23	NULL	NULL	1	2014-03-23	2014-03-23
65148	tixuwuoz	7	0	0	2010-09-20	NULL	NULL	4	2010-09-30	2010-09-28
70260	Gerit Wagner	91	0	91	2009-06-02	2009-06-02	NULL	1	2009-06-02	2009-06-02
1807283	debbers	4	0	4	2013-11-15	2013-11-15	NULL	1	2013-11-15	2013-11-15
1398352	GPPKPOC	248	0	191	2013-04-28	2013-04-28	NULL	7	2013-09-24	2013-08-19
933368	Iron Beaver	16	0	16	2012-09-29	2012-09-29	NULL	1	2012-09-29	2012-09-29
2047896	maitriedit	2	0	1	2014-04-25	2014-04-25	NULL	1	2014-04-25	2014-04-25
1228800	Luke Vivier	3	0	2	2013-02-13	2013-02-13	NULL	1	2013-02-12	2013-02-12
1972521	Kachnitel	98	0	98	2014-03-07	2014-03-07	NULL	1	2014-03-07	2014-03-07
164711	dktyr	10	0	3	2009-08-29	2009-08-29	NULL	1	2009-08-28	2009-08-28
1164	dmgroom	374	0	71	2009-03-02	2009-03-02	NULL	1	2009-03-02	2009-03-02
423291	Aquin	1	0	0	2013-01-22	NULL	NULL	1	2013-01-21	2013-01-21
207857	matteditmsts	69	0	55	2010-01-02	2010-01-02	NULL	2	2010-01-03	2010-01-02
2266821	Art Olin	4	0	4	2014-08-16	2014-08-16	NULL	2	2014-10-23	2014-11-26
2263273	Todd Chisholm	4	0	2	2014-09-08	2014-09-08	NULL	1	2014-09-08	2014-09-08
232126	RetiredInNH	4	0	0	2013-02-10	NULL	NULL	4	2013-07-03	2013-07-03
337684	felipeedwards	4	0	4	2014-06-22	2014-06-22	NULL	1	2014-06-22	2014-06-22
1806397	IvanGayton	4	0	4	2014-06-19	2014-06-19	NULL	1	2014-06-19	2014-06-19
244239	Vutu	10	0	0	2010-03-10	NULL	NULL	1	2010-03-09	2010-03-09
322409	Adra_	11	0	6	2010-07-21	2010-07-21	NULL	1	2010-07-21	2010-07-21
130472	fx99	191	0	172	2009-08-02	2009-08-02	NULL	10	2011-12-08	2012-01-10
550961	goalcam	6	0	6	2011-11-08	2011-11-08	NULL	1	2011-11-07	2011-11-07
63303	wooster	170	0	8	2008-10-23	2008-10-23	NULL	1	2008-10-22	2008-10-22
920008	Peter Eller	8	0	6	2012-09-25	2012-09-25	NULL	1	2012-09-25	2012-09-25
4731	pray4mojo	50	0	50	2007-07-04	2007-07-04	NULL	1	2007-07-04	2007-07-04
156015	mgb	8	0	0	2009-08-12	NULL	NULL	2	2009-08-16	2009-08-19
33154	Dylan McCall	91	0	16	2008-04-04	2008-04-04	NULL	2	2008-06-28	2008-05-18
700497	kyoshino	9	0	3	2012-06-10	2012-06-10	NULL	2	2012-06-15	2012-06-16
20013	rcr	19	0	0	2008-04-28	NULL	NULL	1	2008-04-27	2008-04-27
505667	Bullroarer	38	0	18	2014-09-21	2014-09-21	NULL	1	2014-09-21	2014-09-21
350508	knakonechny	2	0	2	2010-09-23	2010-09-23	NULL	1	2010-09-23	2010-09-23
781700	cjstepney	627	0	525	2014-03-25	2014-03-25	NULL	2	2014-03-28	2014-03-31
300630	ShadowChaser	208	0	4	2010-06-08	2010-06-08	NULL	1	2010-06-07	2010-06-07
350549	f00bar	13	0	10	2013-01-20	2013-01-20	NULL	1	2013-01-20	2013-01-20
2384457	Mad_Mapper	8	0	2	2014-10-08	2014-10-08	NULL	2	2014-10-08	2014-10-07
17047	KaiRo	8	0	7	2008-08-03	2008-08-03	NULL	1	2008-08-02	2008-08-02
1936147	kalupa	4	0	1	2014-02-15	2014-02-15	NULL	1	2014-02-14	2014-02-14
411523	Shannoncox	56	0	21	2014-12-15	2014-12-15	NULL	1	2014-12-14	2014-12-14
722137	OSMF Redaction Account	159	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18
1841060	findfreddy	28	0	11	2013-12-13	2013-12-13	NULL	6	2014-05-09	2014-03-22
1943871	Amirness	1	0	1	2014-03-02	2014-03-02	NULL	1	2014-03-02	2014-03-02
432375	Lawn Gnome	1	0	0	2013-05-15	NULL	NULL	1	2013-05-15	2013-05-15
2219338	RichRico	60	0	43	2014-08-21	2014-08-21	NULL	9	2014-10-27	2014-10-26
203688	jorge_o	16	0	4	2013-01-19	2013-02-15	NULL	4	2013-02-14	2013-02-20
70696	xybot	92	0	0	2008-12-21	NULL	NULL	27	2011-04-13	2011-04-03
1938337	FrostyVic	2	0	1	2014-02-16	2014-02-16	NULL	1	2014-02-16	2014-02-16
802493	Lucas Panjer	4	0	4	2012-08-13	2012-08-13	NULL	1	2012-08-13	2012-08-13
128186	malcolmh	68	0	0	2011-06-16	NULL	NULL	9	2013-06-07	2012-05-02
7516	he1ix	188	0	171	2009-08-16	2009-08-16	NULL	2	2009-08-21	2009-08-25
1332799	Marcfrem	1	0	0	2013-04-19	NULL	NULL	1	2013-04-19	2013-04-19
1358707	JesseVader08	2	0	0	2014-10-04	NULL	NULL	1	2014-10-04	2014-10-04
102360	gkornelson	16	0	6	2009-02-26	2009-02-26	NULL	2	2009-02-26	2009-02-25
152289	cgu66	47	0	8	2010-10-26	2013-01-24	NULL	13	2012-08-13	2012-12-16
559802	blahblah123	1	0	1	2011-11-26	2011-11-26	NULL	1	2011-11-25	2011-11-25
1909653	jaypeecee	4	0	4	2014-01-30	2014-01-30	NULL	1	2014-01-29	2014-01-29
84681	SK53	7	0	2	2010-10-22	2010-10-22	NULL	3	2011-12-27	2011-12-20
181135	Manu1400	11	0	0	2013-05-10	NULL	NULL	9	2013-10-23	2013-09-26
417324	hjonescox	5	0	5	2011-03-04	2011-03-04	NULL	1	2011-03-04	2011-03-04
350250	katbyte	27	0	26	2010-09-23	2010-09-23	NULL	2	2010-09-23	2010-09-23
682767	iainfromthelibrary	102	0	73	2013-03-22	2013-03-22	NULL	3	2013-06-24	2013-03-27
64578	Serpens	2	0	0	2010-11-18	NULL	NULL	2	2012-07-26	2012-07-26
1861053	TowmanBC	11	0	9	2013-12-30	2013-12-30	NULL	1	2013-12-30	2013-12-30
1214881	ryandrake	6	0	0	2013-02-06	NULL	NULL	3	2013-02-15	2013-02-16
1944029	mixedusage	11	0	9	2014-03-04	2014-03-04	NULL	1	2014-03-03	2014-03-03
665145	zhangrong5301	7	0	5	2012-04-22	2012-04-22	NULL	1	2012-04-22	2012-04-22
21010	mweisman	2	0	0	2009-10-23	NULL	NULL	1	2009-10-23	2009-10-23
1818912	Jason Leach	3	0	1	2013-11-26	2013-11-26	NULL	2	2013-11-26	2013-11-25
566126	Chesterfield	317	0	317	2011-12-09	2011-12-09	NULL	1	2011-12-08	2011-12-08
28923	California Bear	31	0	14	2013-02-05	2013-02-05	NULL	1	2013-02-05	2013-02-05
691678	vanbhills	64	0	50	2012-05-29	2012-05-29	NULL	1	2012-05-29	2012-05-29
628673	dommage	48	0	7	2014-07-07	2014-07-07	NULL	1	2014-07-07	2014-07-07
1206943	willcraft	19	0	18	2013-01-21	2013-01-21	NULL	1	2013-01-21	2013-01-21
1733683	sansell	645	0	637	2013-09-04	2013-09-04	NULL	11	2014-03-21	2014-04-24
232312	ike88	2	0	0	2010-04-26	NULL	NULL	1	2010-04-26	2010-04-26
297062	Simoneyes	21918	1	21460	2012-05-30	2012-05-30	2013-04-08	29	2013-03-19	2013-04-02
2370021	dbaroni	36	0	13	2014-09-30	2014-09-30	NULL	1	2014-09-30	2014-09-30
1827361	hfourstu	6	0	6	2013-12-03	2013-12-03	NULL	1	2013-12-02	2013-12-02
713811	jameswang669	5	0	5	2012-06-27	2012-06-27	NULL	1	2012-06-27	2012-06-27
17991	bobjr777	76	0	17	2007-11-02	2007-11-02	NULL	4	2007-11-03	2007-11-02
741392	George Tomlinson	10	0	3	2012-07-18	2012-07-18	NULL	1	2012-07-17	2012-07-17
1247592	snafu109	3	0	0	2014-01-23	NULL	NULL	1	2014-01-23	2014-01-23
457438	KaabiStar	59	0	41	2011-09-30	2011-09-30	NULL	2	2011-10-14	2011-09-30
145201	Darrell	9	0	1	2014-07-20	2014-07-20	NULL	1	2014-07-19	2014-07-19
128059	petko	2	0	0	2009-05-24	NULL	NULL	1	2009-05-24	2009-05-24
473760	WestCoastChemist	2	0	2	2011-06-20	2011-06-20	NULL	1	2011-06-19	2011-06-19
136244	kurtal	2	0	0	2009-06-17	NULL	NULL	2	2009-06-17	2009-06-17
2042461	jorphi	26	0	13	2014-04-22	2014-04-22	NULL	2	2014-04-23	2014-04-23
1874186	JGairns	4	0	4	2014-01-08	2014-01-08	NULL	1	2014-01-08	2014-01-08
620591	pedrampd	2	0	2	2012-03-08	2012-03-08	NULL	1	2012-03-08	2012-03-08
341150	JimBelton	184	0	59	2010-09-01	2010-09-01	NULL	3	2010-09-02	2010-09-01
657317	lachliggity	1445	0	1329	2012-04-13	2012-04-13	NULL	7	2012-07-30	2012-06-10
412610	PCS	59	0	43	2011-03-23	2011-03-23	NULL	1	2011-03-23	2011-03-23
39600	tschoerbi	15	0	5	2011-09-17	2011-09-17	NULL	1	2011-09-17	2011-09-17
472957	tippobot	14	0	0	2011-06-18	NULL	NULL	1	2011-06-18	2011-06-18
1869679	Kevin Mooney	4	0	3	2014-01-06	2014-01-06	NULL	1	2014-01-05	2014-01-05
1996755	Shareable Vancouver	1	0	1	2014-03-24	2014-03-24	NULL	1	2014-03-23	2014-03-23
1172685	UnChosen	93	0	2	2012-12-29	2012-12-29	NULL	1	2012-12-29	2012-12-29
42429	42429	12	0	12	2010-12-11	2010-12-11	NULL	1	2010-12-11	2010-12-11
2139216	jheaslip	4	0	1	2014-06-22	2014-06-22	NULL	1	2014-06-21	2014-06-21
