user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
216346	web	82	0	0	2010-01-08	NULL	NULL	1	2010-01-08	2010-01-08	1.0	NULL
15212	Sec	78628	3	25588	2007-10-08	2007-10-08	2007-10-16	102	2008-07-26	2008-06-28	0.3505	0.5511
665748	sebastic	76156	0	26259	2012-04-28	2012-05-03	NULL	135	2013-06-01	2013-08-02	0.0287	0.0322
14498	Jan Westerhof	41539	0	26893	2007-09-24	2007-09-24	NULL	741	2013-09-10	2012-12-19	0.2259	0.3375
2078081	Casecold_BAG	59328	0	58973	2014-05-16	2014-05-16	NULL	1	2014-05-16	2014-05-16	0.4784	0.5542
978786	padvinder	50505	0	37503	2012-10-17	2012-10-17	NULL	178	2014-08-11	2014-08-16	0.1307	0.1231
121724	jutezak	2636	0	1563	2009-05-10	2009-05-10	NULL	146	2012-10-23	2012-08-17	0.3649	0.2991
9953	pjr	6850	0	3634	2008-07-21	2008-07-21	NULL	45	2009-07-12	2009-07-06	0.8844	0.9743
590907	cbdavis	3989	0	3414	2012-01-20	2012-01-20	NULL	11	2012-03-03	2012-03-02	0.0225	0.0372
2758	Stefan de Konink	5492	0	3439	2008-07-08	2008-07-08	NULL	11	2009-05-01	2008-12-31	0.0397	0.0675
327477	Sander H	2762	0	2540	2013-09-13	2013-09-13	NULL	28	2015-01-26	2015-07-03	0.0157	0.0229
7702	milovanderlinden	2536	0	657	2007-06-10	2007-06-10	NULL	23	2011-12-26	2012-06-27	0.0088	0.0037
1726913	Ted Groentjes	2314	0	1018	2013-09-29	2013-09-29	NULL	35	2014-07-14	2014-07-01	0.0257	0.0234
10927	Skywave	18093	2	13575	2007-09-21	2007-09-21	2007-09-25	104	2010-01-28	2010-06-19	0.0028	0.0026
83411	jduffhues	2393	0	1406	2013-05-20	2013-05-20	NULL	26	2014-03-16	2014-01-26	0.0755	0.05
327498	HanW	2542	0	691	2012-05-14	2012-05-14	NULL	14	2012-11-22	2012-08-09	0.0633	0.0505
1429526	Django de Hond	13812	0	7192	2013-05-08	2013-05-08	NULL	57	2014-01-27	2013-06-04	0.5311	0.6315
204153	mfvl	40619	0	7288	2009-12-02	2009-12-02	NULL	321	2010-12-14	2010-12-25	0.5988	0.637
242798	AnkEric	5860	0	758	2012-01-25	2012-01-25	NULL	98	2014-06-02	2013-12-20	0.0218	0.0238
179778	JulienBalas	2408	0	0	2014-07-14	NULL	NULL	3	2014-07-15	2014-07-14	0.0006	0.0
37993	fsteggink	2366	0	2012	2010-06-30	2010-06-30	NULL	17	2011-02-16	2010-11-25	0.0016	0.0049
608371	Kerstkonijn	5443	0	2997	2012-02-20	2012-02-20	NULL	87	2014-08-01	2014-03-30	0.6835	0.8761
402366	gerrit_dankelman	2896	0	2896	2015-12-23	2015-12-23	NULL	1	2015-12-23	2015-12-23	0.0049	0.0081
175600	grossing	10527	0	0	2010-03-14	NULL	NULL	1	2010-03-14	2010-03-14	0.0084	0.0
33338	rullzer	29315	0	26561	2008-05-08	2008-05-08	NULL	137	2009-10-07	2009-10-01	0.0614	0.0742
2337040	IIVQ	2693	0	2078	2014-09-16	2014-10-25	NULL	52	2015-06-17	2015-04-16	0.2827	0.3192
1895218	mnegrini	8989	0	3393	2014-10-30	2014-10-30	NULL	20	2014-12-05	2014-11-14	0.4345	0.2754
476664	Nico Witteman	2846	0	1475	2011-06-25	2011-06-25	NULL	88	2012-02-19	2011-11-06	0.7832	1.0
657581	Hendrikklaas	5577	0	2659	2012-07-20	2012-07-20	NULL	52	2014-03-01	2013-12-19	0.0104	0.0097
67958	West Erop	2627	0	1006	2009-02-20	2009-02-20	NULL	7	2011-11-03	2012-02-19	0.0124	0.0141
253082	Mcke	3442	0	1686	2010-07-05	2010-07-05	NULL	61	2013-02-04	2012-06-07	0.0443	0.039
392827	pnorman_mechanical	4824	0	0	2014-07-30	NULL	NULL	3	2014-08-02	2014-08-04	0.0008	0.0
9176	Maarten Deen	11354	0	3152	2008-12-05	2009-02-17	NULL	90	2012-11-16	2014-10-08	0.0128	0.0123
8909	mvexel	13063	2	9779	2007-06-10	2007-06-10	2007-06-10	241	2009-11-11	2009-10-05	0.0686	0.0823
