user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
775808	Rory Keegan	4938	0	4894	2012-08-04	2012-08-04	NULL	5	2012-09-04	2012-08-18	0.9968	1.0
1485475	crepels	3915	0	3804	2013-06-09	2013-06-09	NULL	7	2013-11-29	2013-06-29	0.251	0.2879
31580	Spudooli	3500	20	3441	2008-04-25	2008-04-25	2008-04-25	3	2008-05-03	2008-04-28	0.9977	0.9988
833786	barnaclebarnes_linz	77423	20	76897	2012-08-29	2012-08-29	2012-08-29	25	2013-05-09	2014-07-17	0.1028	0.1263
252775	LINZ Data Upload	42244	25	41187	2010-05-13	2010-05-13	2010-11-27	52	2012-06-10	2013-09-13	0.0043	0.0044
61992	derekc	7145	40	6749	2008-08-25	2008-08-25	2008-08-25	8	2009-03-13	2008-09-05	0.7171	0.9175
1560805	GeoffL	3514	0	3435	2013-06-19	2013-06-19	NULL	32	2014-08-13	2014-02-21	0.8298	0.9619
81451	Tali'sman	6438	4	232	2009-02-07	2009-02-07	2009-02-07	1	2009-02-07	2009-02-07	0.0249	0.0015
66045	greatmaster	4356	0	2957	2012-05-21	2012-05-21	NULL	43	2013-09-15	2013-08-25	0.1576	0.1578
102173	Jonathan Chen	1284	0	633	2009-02-25	2009-02-25	NULL	29	2009-03-26	2009-03-09	0.9625	1.0
306740	muriwai_wanderers	3243	0	2492	2010-07-01	2010-07-19	NULL	41	2011-04-01	2012-02-09	0.2563	0.262
142831	Rudy355	543578	65	396912	2009-07-07	2009-07-09	2009-11-27	1104	2012-07-28	2012-08-11	0.1665	0.154
1227701	mrsid_linz	73179	163	73179	2013-02-23	2013-02-23	2013-02-23	18	2014-01-28	2013-09-09	0.0097	0.0098
398817	ullus	3216	0	3155	2014-07-18	2014-07-18	NULL	6	2015-05-16	2014-09-17	0.0106	0.0121
423330	Larifari77	11899	0	9888	2011-08-29	2011-08-29	NULL	29	2012-02-23	2012-02-27	0.0253	0.0254
