user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
31435	COP	1451	0	0	2008-04-20	NULL	NULL	8	2008-06-18	2008-06-26	0.5284	NULL	0.5284
12671	sladen	557	0	339	2012-12-24	2012-12-24	NULL	3	2012-12-27	2012-12-25	0.0012	0.0012	0.0011
2804917	Teddy D	80	0	60	2015-04-03	2015-04-03	NULL	1	2015-04-03	2015-04-03	0.9302	1.0	0.7692
265019	robgendreau	11	0	6	2010-04-13	2010-04-13	NULL	3	2010-04-26	2010-04-17	0.9167	1.0	0.8333
461078	AlbertoDeRoma	3	0	2	2011-05-26	2011-05-26	NULL	1	2011-05-26	2011-05-26	1.0	1.0	NULL
1956182	dcarner	2	0	2	2014-02-26	2014-02-26	NULL	1	2014-02-26	2014-02-26	1.0	1.0	-0.0
722137	OSMF Redaction Account	20579	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18	0.0011	NULL	0.0011
316427	Mike Perham	2	0	2	2010-07-09	2010-07-09	NULL	1	2010-07-09	2010-07-09	1.0	1.0	-0.0
334354	monica-at-sfgov	2	0	2	2010-08-16	2010-08-16	NULL	1	2010-08-16	2010-08-16	1.0	1.0	NULL
242352	BK_man	25663	0	19366	2012-03-08	2012-03-08	NULL	217	2014-04-30	2013-10-20	0.3741	0.4345	0.2621
2254194	bierce	2	0	1	2014-12-06	2014-12-06	NULL	1	2014-12-05	2014-12-05	1.0	1.0	1.0
436419	wvdp	21313	2	14719	2014-02-20	2014-02-20	2014-10-09	18	2014-12-19	2014-12-15	0.0089	0.0145	0.0048
2374455	Madison90	2	0	2	2014-10-03	2014-10-03	NULL	1	2014-10-02	2014-10-02	0.009	0.0114	0.0
381909	JessAk71	29330	26	24129	2010-12-14	2010-12-14	2011-02-08	113	2012-01-14	2011-10-23	0.1767	0.1682	0.2301
364581	Yasser Ebrahim	2	0	2	2012-02-07	2012-02-07	NULL	1	2012-02-07	2012-02-07	1.0	1.0	-0.0
2180523	pbuechner	2	0	1	2014-07-11	2014-07-11	NULL	1	2014-07-11	2014-07-11	1.0	1.0	1.0
416274	t8burst	2	0	1	2011-03-01	2011-03-01	NULL	1	2011-03-01	2011-03-01	1.0	1.0	NULL
