user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
59724	dgromer	25	0	25	2012-05-23	2012-05-23	NULL	2	2012-05-27	2012-05-24	0.0003	0.0003	0.0
18069	Claudius Henrichs	132	0	20	2008-02-29	2010-03-24	NULL	24	2010-06-16	2010-08-13	0.0002	0.0001	0.0005
106291	eddyfox	6	0	1	2014-08-12	2014-08-12	NULL	1	2014-08-12	2014-08-12	0.0282	0.0058	0.125
3360808	Tribunal Supremo Electoral	1	0	1	2015-11-16	2015-11-16	NULL	1	2015-11-16	2015-11-16	0.0093	0.0133	0.0
2230854	RadFr	1	0	0	2014-09-09	NULL	NULL	1	2014-09-09	2014-09-09	0.0	0.0	0.0
1804641	mareginator	7	0	4	2013-11-27	2013-11-27	NULL	1	2013-11-27	2013-11-27	1.0	1.0	1.0
2504937	thevoid	283	0	0	2014-12-31	NULL	NULL	2	2015-01-04	2015-01-05	0.7447	0.0	0.8984
56491	Oszedo	2849	0	2092	2008-08-03	2008-08-03	NULL	30	2008-09-27	2008-08-28	0.9777	0.9948	0.9334
726071	chessman66	7	0	4	2012-07-11	2012-07-11	NULL	1	2012-07-11	2012-07-11	1.0	1.0	1.0
698221	Frauke Mielke	76	0	25	2013-06-07	2015-07-10	NULL	3	2014-10-29	2015-05-31	0.7308	0.5814	0.8361
805325	luelegrisa	113	0	100	2012-08-14	2012-08-14	NULL	8	2012-08-29	2012-08-30	0.0308	0.0358	0.0148
1869781	AndiG88	305	0	7	2014-05-11	2014-05-11	NULL	22	2014-09-14	2014-09-23	0.0055	0.0002	0.0114
120777	Anna1	6	0	6	2009-10-25	2009-10-25	NULL	1	2009-10-26	2009-10-26	0.0007	0.0008	0.0
99378	Mittagsgast	28	0	7	2009-03-19	2009-04-03	NULL	3	2009-04-18	2009-04-01	0.0026	0.0063	0.0022
2113657	Jothatelde	2	0	2	2015-08-08	2015-08-08	NULL	1	2015-08-08	2015-08-08	1.0	1.0	NULL
1774448	Hitabis	2	0	1	2013-10-14	2013-10-14	NULL	1	2013-10-14	2013-10-14	1.0	1.0	NULL
588364	danielorth	9	0	8	2012-01-17	2012-01-17	NULL	1	2012-01-17	2012-01-17	1.0	1.0	NULL
577840	kuehlborn	10	0	1	2013-10-05	2013-10-05	NULL	1	2013-10-06	2013-10-06	0.0007	0.0001	0.0016
191898	CacheFux	4337	0	3516	2009-10-30	2009-10-30	NULL	44	2010-02-24	2009-12-27	0.9355	0.991	0.7546
1451799	k-einar	47	0	16	2015-05-19	2015-05-19	NULL	2	2015-05-20	2015-05-20	0.0382	0.027	0.0486
