user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
1397177	Cyphase	2	0	0	2013-05-01	NULL	NULL	1	2013-05-01	2013-05-01	0.002	0.0	0.0426
722137	OSMF Redaction Account	737	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18	0.0	NULL	0.0
640756	gutelius	693	0	410	2012-03-28	2012-03-28	NULL	4	2013-01-06	2013-01-30	0.372	0.283	0.6836
36080	polderrunner	834	0	418	2013-04-17	2013-04-17	NULL	3	2013-04-18	2013-04-18	0.0007	0.0006	0.0009
131059	h4ck3rm1k3	964	0	946	2009-12-10	2009-12-10	NULL	2	2009-12-11	2009-12-11	0.0015	0.0021	0.0001
163396	pokey	706	0	195	2013-01-26	2013-01-26	NULL	5	2013-08-23	2014-01-07	0.0033	0.0014	0.0067
3511398	aguy0523	813	0	612	2016-01-17	2016-01-17	NULL	2	2016-01-17	2016-01-17	0.0656	0.066	0.0643
54419	giovanni berlanda	1167	0	731	2010-03-20	2010-03-20	NULL	11	2012-07-14	2012-09-26	0.3891	0.4045	0.3658
61257	mregan	1043	0	678	2011-11-21	2011-12-14	NULL	30	2014-01-04	2013-05-07	0.3697	0.4183	0.3042
30112	dannya222	889	0	842	2008-06-30	2008-06-30	NULL	1	2008-06-30	2008-06-30	0.1914	0.2599	0.0335
1029828	Roadies	959	0	859	2013-07-05	2013-07-05	NULL	8	2014-01-22	2013-11-17	0.2314	0.2625	0.1148
39330	chehrlic	1280	0	8	2008-10-30	2008-10-30	NULL	1	2008-10-30	2008-10-30	0.0055	0.0004	0.006
1224649	Bill Robichaud	953	0	643	2013-02-26	2013-02-26	NULL	23	2014-11-23	2014-12-08	0.6144	0.7948	0.4178
384894	Trex2001	1003	0	842	2011-01-05	2011-01-05	NULL	11	2011-04-22	2011-04-16	0.0077	0.0079	0.0068
108687	afeinman	836	0	5	2009-03-19	2009-03-20	NULL	2	2009-03-20	2009-03-20	0.9812	1.0	0.9811
602100	autonomy	1127	0	907	2012-03-10	2012-03-10	NULL	17	2012-10-22	2012-08-01	0.0764	0.0661	0.214
671338	PDelahanty	761	0	561	2012-04-30	2012-04-30	NULL	6	2012-08-06	2012-06-22	0.1687	0.2149	0.1053
677304	onurozgun	1286	0	1217	2013-02-12	2013-02-12	NULL	14	2014-03-20	2014-07-19	0.0505	0.059	0.0143
48162	Markus346	699	0	583	2010-12-27	2010-12-27	NULL	1	2010-12-27	2010-12-27	0.3992	0.3825	0.511
2049458	kparenteau	783	0	725	2015-04-30	2015-04-30	NULL	1	2015-04-30	2015-04-30	0.0686	0.0673	0.0915
1679	andrewpmk	1064	0	607	2008-05-23	2009-01-24	NULL	31	2012-11-29	2009-09-13	0.0001	0.0001	0.0002
933797	oba510	757	0	468	2012-12-30	2012-12-30	NULL	5	2013-05-09	2013-03-21	0.0062	0.0062	0.0061
23500	aroach	722	0	682	2008-09-27	2008-09-27	NULL	5	2009-06-01	2008-10-18	0.0061	0.0293	0.0004
146680	ceyockey	951	0	668	2010-10-22	2010-10-22	NULL	3	2011-10-12	2012-03-08	0.0008	0.0008	0.0008
42918	sco	1	0	0	2014-03-19	NULL	NULL	1	2014-03-19	2014-03-19	0.0	0.0	0.0
296492	phyzome	1192	0	1015	2010-07-07	2015-05-15	NULL	24	2015-04-09	2015-04-30	0.8418	1.0	0.4414
84681	SK53	1273	0	94	2009-08-01	2009-08-01	NULL	8	2011-03-10	2013-02-10	0.0005	0.0001	0.001
200535	Griffin2007	668	0	597	2009-11-22	2009-11-22	NULL	2	2009-11-24	2009-11-24	0.5045	0.5487	0.3008
2462466	EvanMula	855	0	24	2014-11-13	2014-11-13	NULL	24	2015-02-15	2014-12-20	0.6315	0.1846	0.6789
626620	GlenAsp	855	0	403	2012-03-31	2012-05-13	NULL	19	2013-08-13	2013-06-14	0.0251	0.0184	0.037
101433	abschiff	1033	0	449	2009-04-01	2009-04-01	NULL	3	2009-04-01	2009-03-31	0.0041	0.0027	0.0068
1424293	bassettsj	707	0	638	2013-05-07	2013-05-07	NULL	5	2013-05-09	2013-05-08	0.8477	0.9494	0.4259
9034	FloppusMaximus	1109	0	351	2008-03-28	2008-04-04	NULL	3	2008-04-12	2008-04-05	0.2111	0.1595	0.2482
28805	Matthew Truch	1399	0	1210	2011-07-19	2011-07-19	NULL	17	2013-04-18	2013-02-07	0.1477	0.1772	0.0714
389309	Pat O'Reilly	1030	0	519	2010-12-29	2010-12-30	NULL	8	2011-08-07	2011-03-21	0.7305	1.0	0.5735
608928	mjg0519	767	0	716	2012-02-22	2012-03-27	NULL	4	2012-07-18	2012-04-25	0.9624	1.0	0.6296
2604353	GeoStudent	1042	0	1033	2015-01-28	2015-01-28	NULL	7	2015-02-02	2015-02-01	0.0109	0.0112	0.0028
1044753	premillard	20	0	20	2012-11-26	2012-11-26	NULL	2	2013-02-06	2013-02-21	0.0662	0.0669	0.0
166771	kayak1234	5	0	0	2009-09-03	NULL	NULL	1	2009-09-02	2009-09-02	1.0	NULL	1.0
145231	woodpeck_repair	586	0	0	2011-03-04	NULL	NULL	12	2014-04-20	2015-08-26	0.0001	0.0	0.0001
1742930	sdo_riga	617	0	428	2013-09-12	2013-09-12	NULL	3	2013-10-03	2013-10-13	0.9449	1.0	0.84
3582	davidearl	608	0	3	2008-12-06	2008-12-06	NULL	1	2008-12-06	2008-12-06	0.0016	0.0	0.0029
11154	beej71	607	3	607	2007-12-09	2007-12-09	2007-12-09	1	2007-12-09	2007-12-09	0.001	0.0011	0.0
2219338	RichRico	575	0	255	2014-08-21	2014-10-27	NULL	19	2015-05-14	2015-08-19	0.0003	0.0002	0.0003
137651	Maynewoods	560	0	349	2012-03-03	2012-03-03	NULL	5	2013-07-09	2012-04-01	0.6542	1.0	0.4162
2985760	jaforward	571	0	571	2015-06-16	2015-06-16	NULL	1	2015-06-16	2015-06-16	0.7474	0.7563	0.0
222828	Schwinn	655	0	652	2010-01-23	2010-01-23	NULL	5	2010-02-01	2010-01-25	0.7555	0.8883	0.0226
2409696	david1293a	48	0	36	2014-10-18	2014-10-18	NULL	1	2014-10-18	2014-10-18	1.0	1.0	1.0
104167	dcsohl	3012	0	4	2009-03-05	2009-03-05	NULL	4	2011-01-09	2009-03-14	0.9469	0.0252	0.9954
97411	Will White	70	5	30	2012-07-06	2012-07-06	2012-07-06	1	2012-07-06	2012-07-06	0.001	0.0005	0.0024
1719706	anthonyl42	1	0	1	2013-08-20	2013-08-20	NULL	1	2013-08-20	2013-08-20	1.0	1.0	NULL
109572	ypod	10	0	0	2009-03-21	NULL	NULL	1	2009-03-21	2009-03-21	1.0	NULL	1.0
2817093	aplus_max	1	0	1	2015-04-09	2015-04-09	NULL	1	2015-04-09	2015-04-09	1.0	1.0	NULL
409119	mterry	146	0	48	2011-02-15	2011-02-16	NULL	6	2014-03-21	2015-08-10	0.6919	1.0	0.6012
3323723	pameepo	4	0	4	2015-10-20	2015-10-20	NULL	1	2015-10-20	2015-10-20	1.0	1.0	NULL
619982	triii	4	0	2	2012-03-08	2012-03-08	NULL	1	2012-03-08	2012-03-08	1.0	1.0	1.0
16669	Ted Mielczarek (borders upload)	196	18	196	2007-10-16	2007-10-16	2007-10-16	1	2007-10-16	2007-10-16	0.0105	0.0105	NULL
2013018	draiz89	4	0	0	2015-05-14	NULL	NULL	1	2015-05-14	2015-05-14	0.5714	0.0	1.0
3496530	Marina&Eddie	1	0	1	2016-01-02	2016-01-02	NULL	1	2016-01-02	2016-01-02	NULL	1.0	-0.0
2120951	JeffTakle	1	0	1	2014-06-12	2014-06-12	NULL	1	2014-06-12	2014-06-12	1.0	1.0	NULL
668315	cbIxDDJp6rQ	49	0	35	2012-04-25	2012-04-25	NULL	1	2012-04-25	2012-04-25	0.5385	1.0	0.25
553094	stallman65	23	0	19	2011-11-12	2011-11-12	NULL	1	2011-11-12	2011-11-12	1.0	1.0	1.0
1758931	Jack Pham	2	0	2	2013-10-17	2013-10-17	NULL	1	2013-10-17	2013-10-17	0.0001	0.0001	0.0
305762	cawag98	1	0	1	2013-02-12	2013-02-12	NULL	1	2013-02-12	2013-02-12	NULL	1.0	-0.0
28378	PHerison	180	0	118	2015-11-24	2015-11-24	NULL	1	2015-11-24	2015-11-24	0.0001	0.0001	0.0001
123633	stevea	135	0	119	2014-07-30	2014-07-30	NULL	5	2014-10-01	2014-08-05	0.0001	0.0002	0.0
3396423	emilypbernier	1	0	0	2015-11-18	NULL	NULL	1	2015-11-18	2015-11-18	1.0	NULL	1.0
334153	Alexander Roalter	3	0	0	2011-11-10	NULL	NULL	2	2011-11-11	2011-11-10	0.0	0.0	0.0
2517419	Dick Golembeski	2	0	2	2014-12-12	2014-12-12	NULL	1	2014-12-12	2014-12-12	1.0	1.0	NULL
347924	cbabuska	1	0	0	2010-09-16	NULL	NULL	1	2010-09-16	2010-09-16	NULL	NULL	NULL
3167447	Mat Collins	1	0	1	2015-08-20	2015-08-20	NULL	1	2015-08-20	2015-08-20	1.0	1.0	NULL
94849	Ben Wade	8	0	8	2012-04-08	2012-04-08	NULL	1	2012-04-08	2012-04-08	1.0	1.0	NULL
164341	stoneyb	1	0	0	2009-08-28	NULL	NULL	1	2009-08-28	2009-08-28	1.0	NULL	1.0
1771944	dkwolf	17	0	16	2014-01-08	2014-01-08	NULL	1	2014-01-08	2014-01-08	0.0002	0.0006	0.0
251543	ChrissW-R1	5	0	0	2014-02-25	NULL	NULL	4	2015-06-11	2015-03-08	0.0001	0.0	0.0006
2412184	youngbasedallah	2	0	0	2014-12-07	NULL	NULL	1	2014-12-06	2014-12-06	0.0	0.0	0.0004
7050	moonwashed	73	0	0	2008-09-29	NULL	NULL	1	2008-09-29	2008-09-29	0.0002	0.0	0.0002
