user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
88164	Med	30	0	0	2014-09-17	NULL	NULL	2	2015-01-16	2015-02-09	0.0005	0.0
207745	NE2	21	0	0	2010-08-06	NULL	NULL	1	2010-08-06	2010-08-06	0.0	0.0
236412	dcs	12	0	0	2011-03-04	NULL	NULL	1	2011-03-04	2011-03-04	0.0001	0.0
2115749	srividya_c	2	0	0	2015-04-08	NULL	NULL	1	2015-04-08	2015-04-08	0.0	0.0
1856060	patodiez	62162	0	21336	2014-02-25	2014-02-25	NULL	42	2014-08-26	2014-08-28	0.0494	0.0215
215693	Beerforfree	65762	106	28728	2010-01-05	2010-01-05	2010-01-17	424	2012-06-24	2012-05-22	0.4136	0.3443
79602	Zalitoar	31485	18	19210	2008-11-14	2008-11-14	2008-11-14	243	2013-11-15	2013-05-12	0.4058	0.3712
418336	Matias 18	6312	0	6096	2012-03-07	2012-03-07	NULL	13	2012-05-26	2012-03-24	0.6771	0.8194
6293	niqueco	3932	0	2112	2010-08-20	2010-08-20	NULL	117	2014-04-28	2014-07-04	0.4354	0.3943
1692368	donlaser	5711	0	5651	2014-07-29	2014-08-07	NULL	5	2014-09-03	2014-09-20	0.0261	0.0286
165869	chdr	5583	118	4847	2010-03-06	2010-03-06	2010-03-06	22	2010-05-09	2010-04-23	0.011	0.01
466854	alpertron	16396	12	10716	2012-09-04	2012-09-06	2012-09-09	151	2013-09-10	2013-09-16	0.0602	0.0493
485898	Víctor L	28579	2	20011	2013-04-26	2013-12-01	2014-08-04	194	2015-02-10	2014-11-10	0.0811	0.0735
72347	Hernan	4770	0	2806	2008-10-09	2008-11-15	NULL	88	2013-10-24	2014-07-21	0.0929	0.0662
1009211	nicolas17	10384	0	3945	2012-10-27	2012-11-01	NULL	159	2013-11-07	2013-06-20	0.18	0.0912
431039	ninomap	4191	4	3938	2011-09-29	2011-09-29	2011-11-07	51	2012-06-28	2012-01-15	0.7703	0.8143
755114	muralito	18338	1	5699	2013-08-26	2013-08-26	2014-01-30	197	2015-04-03	2015-02-24	0.021	0.0108
