user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
28052	CvR	3	0	0	2008-03-26	NULL	NULL	1	2008-03-26	2008-03-26	0.0016	0.0	0.002
722137	OSMF Redaction Account	1980	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18	0.0001	NULL	0.0001
101842	bruck4	2295	0	670	2009-10-25	2009-10-25	NULL	9	2009-11-06	2009-11-07	0.1079	0.0781	0.128
316022	dmcbride98	2480	0	1695	2012-01-12	2012-01-12	NULL	7	2012-07-14	2012-08-09	0.098	0.1449	0.0577
37137	Derick Rethans	2206	0	1856	2010-05-17	2010-05-17	NULL	11	2012-05-23	2012-10-02	0.0074	0.0099	0.0031
35667	encleadus	2647	0	2217	2008-04-23	2008-04-23	NULL	17	2009-05-25	2008-12-21	0.0372	0.0443	0.0203
1609355	Czech	2276	0	2065	2013-07-05	2013-07-05	NULL	21	2013-09-06	2013-07-26	0.8537	0.892	0.6011
1240849	ediyes	1878	0	1658	2014-03-06	2014-03-06	NULL	35	2015-05-07	2015-03-25	0.0006	0.0007	0.0002
33888	aphedox	2277	0	1066	2008-04-09	2008-04-09	NULL	19	2009-11-12	2009-06-26	0.019	0.0875	0.0113
1964214	MyNameIsName	2050	0	2021	2014-03-03	2014-03-03	NULL	4	2014-03-04	2014-03-04	0.9771	1.0	0.3766
592819	Andrew Fish	2059	0	1869	2012-01-24	2012-02-04	NULL	12	2013-02-21	2013-10-01	0.0538	0.0651	0.02
195807	BobM	1893	0	605	2009-11-11	2009-11-11	NULL	7	2011-08-19	2010-03-14	0.6287	0.7469	0.5852
335847	Blue Nacho	2470	0	1629	2010-09-13	2010-09-13	NULL	26	2012-01-08	2012-02-23	0.5009	0.4538	0.6271
2219338	RichRico	1735	0	1600	2014-08-23	2014-12-16	NULL	35	2015-05-17	2015-04-07	0.0008	0.0015	0.0001
437322	ksturm2	2436	0	1433	2011-05-04	2011-05-04	NULL	8	2011-05-11	2011-05-13	0.1055	0.096	0.1229
135163	MikeN	2675	0	1656	2009-08-11	2009-08-11	NULL	26	2012-04-02	2011-01-22	0.0046	0.0061	0.0032
939355	fredr	2288	0	1674	2012-11-11	2012-11-11	NULL	12	2012-12-14	2012-12-14	0.3277	0.3268	0.3299
