user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
93165	hkm	40	0	0	2010-01-13	NULL	NULL	10	2014-07-29	2014-07-27	0.0013	0.0	0.0028
2415386	EasyXs	20918	0	17786	2014-10-21	2014-10-21	NULL	91	2015-09-21	2015-10-20	0.8675	0.9478	0.5857
384084	Kostik	19722	68	10694	2012-03-24	2012-03-24	2013-04-03	89	2014-06-23	2014-09-08	0.0071	0.0092	0.0056
158067	Silver Ghost	20738	94	19223	2014-03-01	2014-03-01	2014-03-03	36	2014-05-26	2014-03-27	0.3475	0.3906	0.1449
1180736	langoor	21537	68	21464	2014-03-22	2014-03-22	2014-03-22	6	2014-03-26	2014-03-28	0.0857	0.0924	0.0038
391050	olede4	15980	40	14172	2014-03-21	2014-03-21	2014-03-21	14	2014-06-14	2014-03-29	0.0132	0.0146	0.0075
127550	Павел Башинский	10433	72	8704	2009-05-23	2009-05-23	2009-05-23	37	2009-12-08	2009-09-11	0.9442	1.0	0.7373
336354	esaulenka	19013	46	15690	2013-04-18	2013-04-18	2013-04-18	10	2014-04-14	2014-02-09	0.011	0.013	0.0064
451665	Solundir	13901	18	12009	2011-05-10	2011-05-10	2011-05-10	37	2011-12-15	2011-07-24	0.9221	0.9655	0.7175
1997564	KanSung	19160	158	18080	2014-03-22	2014-03-22	2014-03-22	11	2014-03-27	2014-03-27	0.9978	1.0	0.9617
605402	xscvxc	10664	9	10641	2014-03-22	2014-03-22	2014-03-22	7	2014-03-25	2014-03-24	0.0042	0.0045	0.0002
235335	Art'y	18870	27	14290	2011-04-01	2011-04-01	2011-04-01	29	2011-08-10	2011-08-12	0.0237	0.0248	0.0209
717463	ttg43	11536	0	11259	2014-03-23	2014-03-23	NULL	6	2014-03-26	2014-03-26	0.0461	0.0537	0.0068
736485	Kengaru	13889	0	9363	2012-07-16	2012-07-16	NULL	25	2013-01-27	2013-01-07	0.9001	0.888	0.9261
313036	gryphon	11306	2	10412	2013-07-14	2013-07-15	2014-03-23	9	2014-01-28	2014-03-25	0.129	0.1578	0.0413
613264	shura0	14117	189	13470	2012-06-18	2013-03-04	2013-03-09	16	2013-08-15	2013-09-20	0.2259	0.2738	0.0487
1669433	ivan_mamaev	14186	17	13797	2014-06-19	2014-06-19	2014-06-19	24	2014-07-11	2014-07-07	0.0152	0.0152	0.0189
92110	kem	14504	200	13878	2010-03-05	2010-03-05	2010-04-14	59	2011-02-06	2010-12-26	0.9701	0.9741	0.8892
401970	200metrov	12702	0	12180	2011-12-06	2011-12-06	NULL	6	2011-12-09	2011-12-07	0.3144	0.3965	0.0539
348939	guanchzhou	12111	148	11895	2014-03-20	2014-03-20	2014-03-20	5	2014-03-23	2014-03-22	0.0113	0.0119	0.0028
411783	SergeiChe	17369	0	15040	2014-03-26	2014-03-26	NULL	25	2014-04-30	2014-04-03	0.3801	0.5758	0.119
51196	garl	16148	351	15848	2009-09-16	2010-08-13	2010-11-02	20	2012-08-27	2014-01-25	0.0164	0.0208	0.0013
304287	sp!rt	11958	52	7249	2011-02-17	2011-02-17	2011-02-17	11	2012-03-28	2012-05-30	0.1127	0.1198	0.1033
127299	Batareikin	16146	2	13306	2014-03-22	2014-03-22	2014-03-29	4	2014-03-26	2014-03-28	0.0235	0.0259	0.0163
383200	Takuto	15296	98	12465	2011-08-15	2011-08-15	2014-03-24	13	2013-07-01	2014-02-05	0.0143	0.0172	0.0082
1937991	Антон-1983	15267	48	12909	2014-04-11	2014-04-11	2014-09-04	98	2015-06-17	2015-06-25	0.0304	0.038	0.0145
579168	Fosbery	13191	0	11024	2012-01-03	2012-01-03	NULL	23	2012-05-22	2012-04-10	0.8605	0.9171	0.6551
234385	Cos	194	0	138	2010-03-25	2010-03-25	NULL	3	2011-01-16	2011-04-27	0.0006	0.0005	0.0038
425810	Renshi	4	0	3	2011-03-22	2011-03-22	NULL	1	2011-03-22	2011-03-22	1.0	1.0	NULL
2809125	teddyfox78	4	0	0	2015-09-30	NULL	NULL	1	2015-09-30	2015-09-30	0.0001	0.0	0.0006
3007940	sedrik86	4	0	3	2015-06-23	2015-08-14	NULL	2	2015-07-19	2015-08-01	0.8	1.0	0.5
3507692	ShtirlitzJK	4	0	3	2016-01-07	2016-01-07	NULL	1	2016-01-07	2016-01-07	0.0179	0.0167	0.0227
786015	smarty77	4	0	0	2012-08-07	NULL	NULL	1	2012-08-07	2012-08-07	0.0093	0.0	0.0113
1915042	jaroshenko	4	0	4	2014-02-11	2014-02-11	NULL	1	2014-02-11	2014-02-11	0.1	0.1379	0.0
16620	earthtirol	4	0	4	2014-05-05	2014-05-05	NULL	1	2014-05-05	2014-05-05	0.0	0.0	0.0
1769044	pchelca333	4	0	4	2014-06-12	2014-06-12	NULL	1	2014-06-12	2014-06-12	0.0002	0.0003	0.0
2947179	NikitaGV	4	0	0	2015-05-28	NULL	NULL	1	2015-05-28	2015-05-28	0.6667	NULL	0.6667
128017	wmann	4	0	0	2011-08-31	NULL	NULL	2	2012-10-02	2012-03-17	0.0002	0.0	0.0003
2819371	Diabolis	4	0	0	2015-04-11	NULL	NULL	1	2015-04-11	2015-04-11	0.8	NULL	0.8
1876375	Tamsung	4	0	0	2014-01-10	NULL	NULL	1	2014-01-10	2014-01-10	1.0	NULL	1.0
644952	gbmr	4	0	4	2012-10-21	2012-10-21	NULL	1	2012-10-21	2012-10-21	0.0042	0.0042	0.0
585472	MapKafa	4	0	4	2012-01-19	2012-01-19	NULL	1	2012-01-19	2012-01-19	1.0	1.0	-0.0
609960	Queeq	4	0	1	2012-05-09	2012-05-09	NULL	1	2012-05-09	2012-05-09	0.0141	0.0046	0.0462
3213799	Treleks	4	0	4	2015-09-04	2015-09-04	NULL	1	2015-09-04	2015-09-04	1.0	1.0	NULL
1141672	pticin2008	4	0	4	2013-02-26	2013-02-26	NULL	1	2013-02-26	2013-02-26	1.0	1.0	-0.0
336854	magvay	4	0	4	2010-08-22	2010-08-22	NULL	1	2010-08-22	2010-08-22	0.2667	0.2857	0.0
2815163	tlk888	4	0	2	2015-04-09	2015-04-09	NULL	1	2015-04-09	2015-04-09	1.0	1.0	1.0
2736927	chormeister	4	0	1	2015-03-06	2015-03-06	NULL	2	2015-04-23	2015-05-17	1.0	1.0	1.0
3228042	Escander	4	0	1	2015-09-10	2015-09-10	NULL	2	2015-09-12	2015-09-12	1.0	1.0	1.0
2134956	underborlord228	4	0	4	2014-06-19	2014-06-19	NULL	1	2014-06-19	2014-06-19	1.0	1.0	NULL
449223	Andreyy	4	0	0	2014-03-19	NULL	NULL	1	2014-03-19	2014-03-19	0.0	0.0	0.0001
1052575	sdehaerne	4	0	4	2015-02-17	2015-02-17	NULL	1	2015-02-17	2015-02-17	0.0003	0.0004	0.0
624241	dimoto	4	0	1	2013-12-29	2013-12-29	NULL	1	2013-12-30	2013-12-30	0.0909	0.0417	0.15
3506771	Дмитрий Пархоменко	4	0	1	2016-01-06	2016-01-06	NULL	1	2016-01-06	2016-01-06	1.0	1.0	1.0
1428367	tatamo	11	0	5	2013-05-08	2013-05-08	NULL	1	2013-05-08	2013-05-08	1.0	1.0	1.0
623454	john1123	12	0	12	2012-03-13	2012-03-13	NULL	3	2013-06-01	2013-02-12	0.0185	0.043	0.0
562165	AlekseyKorolev	11	0	11	2011-12-04	2011-12-04	NULL	1	2011-12-04	2011-12-04	1.0	1.0	NULL
3229023	VitTurov	12	0	12	2015-09-10	2015-09-10	NULL	1	2015-09-10	2015-09-10	1.0	1.0	NULL
37558	Ruslanti	12	0	9	2008-09-12	2008-09-12	NULL	1	2008-09-12	2008-09-12	0.0004	0.0005	0.0002
817016	kelma	12	0	12	2012-08-30	2012-08-30	NULL	1	2012-08-30	2012-08-30	0.0678	0.0968	0.0
1307183	kedrova	12	0	3	2013-03-27	2013-03-27	NULL	1	2013-03-27	2013-03-27	1.0	1.0	1.0
3518794	Dionis07	11	0	9	2016-01-10	2016-01-10	NULL	1	2016-01-10	2016-01-10	1.0	1.0	1.0
58440	andbox	12	0	9	2014-12-15	2014-12-15	NULL	1	2014-12-15	2014-12-15	0.0	0.0	0.0
1880341	bah1tgul	12	0	12	2014-01-13	2014-01-13	NULL	1	2014-01-13	2014-01-13	0.9231	1.0	0.0
408497	Zakrevitz	11	0	11	2012-09-24	2012-09-24	NULL	1	2012-09-24	2012-09-24	0.003	0.0036	0.0
473181	runor	12	0	12	2011-06-19	2011-06-19	NULL	4	2011-12-29	2011-08-24	1.0	1.0	NULL
