user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
28237	lyx	771	0	26	2009-05-24	2009-05-24	NULL	13	2009-06-02	2009-06-02	0.0003	0.0
87933	CyPosS	22	0	0	2008-12-29	NULL	NULL	1	2008-12-29	2008-12-29	0.8462	NULL
86887	HKS	3	0	0	2008-12-23	NULL	NULL	1	2008-12-23	2008-12-23	1.0	NULL
162827	Hb-	1	0	0	2015-05-19	NULL	NULL	1	2015-05-19	2015-05-19	0.0002	0.0
119313	muffu	122057	259	95177	2009-11-19	2009-11-19	2009-11-19	146	2012-06-14	2012-03-19	0.6158	0.7491
172507	vit	5507	0	4688	2011-07-03	2011-07-03	NULL	30	2012-08-17	2012-08-19	0.1963	0.2099
137818	thomasdmuc	17307	269	9575	2010-09-26	2010-09-26	2010-09-26	18	2011-02-26	2011-02-03	0.8744	0.8196
4554	Tim	16229	1112	15852	2006-11-04	2006-11-04	2006-11-04	70	2007-06-14	2007-05-08	0.6162	0.6123
2345879	kathekas	26698	4	25813	2014-09-23	2014-09-23	2014-10-30	69	2015-04-27	2015-03-23	0.847	0.8603
1567539	Artemi541	54708	121	42400	2013-10-27	2013-10-27	2013-10-31	30	2014-01-07	2014-01-07	0.1261	0.162
23746	Lignegnaiar	14349	24	7238	2008-01-09	2008-01-09	2008-01-09	64	2008-04-10	2008-02-12	0.9626	0.9994
42045	Waldrenner	15142	35	14632	2014-07-06	2014-07-06	2014-08-17	17	2014-08-22	2014-08-25	0.1179	0.1604
1585507	p_daltan	30826	9	27218	2013-06-26	2013-06-26	2013-06-26	27	2013-07-15	2013-07-11	0.7734	1.0
11617	tomasCY	161988	2150	97566	2007-08-07	2007-08-07	2007-08-08	259	2008-04-21	2008-05-04	0.7706	0.8723
1685262	RenosNicolaou	15827	4	14109	2013-07-27	2013-07-27	2014-01-11	90	2014-08-20	2014-06-03	0.9757	1.0
623324	Anton Lavrov	27797	12	24604	2013-04-10	2013-04-10	2013-04-12	11	2013-04-20	2013-05-07	0.1134	0.1214
514939	Trubshaw	33868	163	28730	2013-01-08	2013-01-08	2013-01-09	31	2013-02-23	2013-02-07	0.1184	0.1256
61855	Zenon	172132	1562	99493	2008-08-24	2008-08-24	2008-08-24	322	2010-04-18	2010-03-06	0.9604	0.9976
411843	technologic	15180	57	6612	2011-02-20	2011-02-20	2011-02-22	11	2011-02-26	2011-02-24	0.9196	0.9947
57086	Agnieszka Chwalibogowska	18213	13	8886	2008-08-29	2008-08-29	2008-09-08	19	2009-03-06	2009-01-15	0.7836	1.0
143266	Sergey Astakhov	268853	236	144913	2010-09-29	2010-09-29	2010-10-24	176	2012-05-25	2012-08-10	0.1116	0.0841
44221	dcp	49032	61	28475	2008-08-10	2008-11-03	2008-11-11	208	2012-03-11	2012-03-25	0.0882	0.0927
16762	djanda	107112	239	52327	2007-10-23	2007-10-23	2007-10-23	189	2009-08-06	2009-10-26	0.7592	0.9794
1206536	mx1user	26749	42	11844	2013-01-21	2013-01-21	2013-01-24	75	2013-05-05	2013-02-25	0.9509	0.9876
1474894	byronbay	26392	31	15633	2015-02-15	2015-02-15	2015-02-15	46	2015-04-05	2015-04-03	0.3584	0.3096
753788	chestnut	1	0	0	2012-07-23	NULL	NULL	1	2012-07-23	2012-07-23	NULL	NULL
716518	Dreamer3	65	0	50	2012-07-02	2012-07-02	NULL	7	2013-02-04	2012-10-27	0.5118	0.7576
93992	tupac151	133	0	0	2009-01-23	NULL	NULL	1	2009-01-23	2009-01-23	1.0	NULL
24965	Ævar Arnfjörð Bjarmason	2	0	0	2009-08-13	NULL	NULL	2	2009-08-26	2009-08-26	0.0	0.0
91362	cartOMike	4706	32	2425	2009-01-13	2009-01-13	2009-02-18	105	2009-10-16	2009-05-29	0.7084	0.8149
4388	hakan	7343	775	7343	2007-05-01	2007-05-01	2007-05-01	10	2007-09-27	2007-09-14	0.0184	0.019
570390	Thomas Costi	3	0	3	2011-12-16	2011-12-16	NULL	1	2011-12-16	2011-12-16	1.0	1.0
369711	_faber_	4471	0	3124	2011-09-29	2011-09-29	NULL	10	2011-10-20	2011-10-02	0.849	0.8606
46479	dmassey	3810	25	3424	2008-06-18	2008-06-18	2008-06-18	3	2010-10-12	2011-11-24	0.9727	0.9867
2114646	Kappa777	3	0	2	2014-06-09	2014-06-09	NULL	1	2014-06-09	2014-06-09	0.25	1.0
90243	Rekrutacja	11178	38	10759	2014-06-15	2014-06-15	2014-06-15	9	2014-07-02	2014-06-22	0.0422	0.0462
73428	kleanthis	3	0	0	2008-10-23	NULL	NULL	1	2008-10-23	2008-10-23	1.0	NULL
1241472	studio9	3	0	2	2013-02-26	2013-02-26	NULL	1	2013-02-26	2013-02-26	1.0	1.0
2010003	Valeriano67	2	0	2	2014-03-31	2014-03-31	NULL	1	2014-03-31	2014-03-31	1.0	1.0
99577	Paulvn	3	0	0	2009-02-14	NULL	NULL	1	2009-02-14	2009-02-14	1.0	NULL
78656	Walter Schlögl	8445	8	6037	2010-02-25	2013-12-28	2013-12-28	21	2013-03-10	2014-02-03	0.0093	0.0089
560896	Ghybu	2	0	0	2012-04-15	NULL	NULL	1	2012-04-15	2012-04-15	0.0	0.0
521292	Stebe	2	0	1	2011-09-13	2011-09-13	NULL	1	2011-09-13	2011-09-13	1.0	1.0
11837	einarr	3	0	0	2009-10-12	NULL	NULL	1	2009-10-13	2009-10-13	0.0	0.0
413449	Anto110	2	0	0	2014-12-21	NULL	NULL	1	2014-12-21	2014-12-21	0.0	0.0
36569	Snoopy88	2	0	0	2010-01-06	NULL	NULL	1	2010-01-06	2010-01-06	0.0	0.0
494564	coderabbit	6847	23	5516	2013-01-20	2013-01-20	2013-01-21	10	2013-08-12	2013-08-31	0.963	0.9686
100364	sugarakis	3	0	0	2009-03-03	NULL	NULL	1	2009-03-03	2009-03-03	1.0	NULL
491885	panagiotism	3	0	3	2011-07-19	2011-07-19	NULL	1	2011-07-19	2011-07-19	1.0	1.0
300525	Panayiotou aris	3	0	0	2010-06-07	NULL	NULL	1	2010-06-07	2010-06-07	1.0	NULL
642562	AstasK	2	0	2	2012-03-29	2012-03-29	NULL	1	2012-03-29	2012-03-29	1.0	1.0
1832883	Jake Strine	3	0	0	2014-05-07	NULL	NULL	1	2014-05-07	2014-05-07	0.0	0.0
10549	toaster	4968	217	3538	2009-04-16	2009-04-16	2009-05-13	11	2009-06-12	2009-07-06	0.0096	0.0096
581997	yolcu	11030	38	7257	2012-10-27	2012-10-27	2012-10-27	16	2013-06-24	2013-01-09	0.3501	0.4053
2867258	Loppas	2	0	1	2015-04-27	2015-04-27	NULL	1	2015-04-28	2015-04-28	0.2857	1.0
23966	Thomas Petillon	2	0	0	2009-08-13	NULL	NULL	2	2011-05-19	2011-05-19	0.0	0.0
20597	glidefan	1	0	0	2007-12-07	NULL	NULL	1	2007-12-07	2007-12-07	NULL	NULL
2380514	mavis2264	1	0	1	2014-10-06	2014-10-06	NULL	1	2014-10-06	2014-10-06	1.0	1.0
2462087	eloselos	1	0	1	2014-11-13	2014-11-13	NULL	1	2014-11-13	2014-11-13	0.0008	0.0009
2427955	vrekshta	1	0	0	2014-10-27	NULL	NULL	1	2014-10-27	2014-10-27	0.0526	NULL
2368621	Alionay	1	0	1	2014-09-30	2014-09-30	NULL	1	2014-09-30	2014-09-30	1.0	1.0
88771	mjn	49	0	25	2011-05-08	2012-12-22	NULL	4	2012-11-01	2013-05-01	0.0016	0.0022
9176	Maarten Deen	3423	0	378	2008-11-08	2008-11-08	NULL	10	2013-11-20	2014-12-28	0.0039	0.0015
18776	Max Vasilev	1	0	0	2012-03-02	NULL	NULL	1	2012-03-02	2012-03-02	0.0	0.0
2263849	Jacob_F	3364	0	2461	2014-08-15	2014-08-15	NULL	8	2014-08-23	2014-08-18	0.5962	0.5943
16591	neuhausr	1	0	0	2015-01-16	NULL	NULL	1	2015-01-16	2015-01-16	0.0	0.0
15565	kempelen	1	0	0	2010-08-14	NULL	NULL	1	2010-08-15	2010-08-15	0.0	0.0
2497868	Luska kon	1	0	0	2014-12-02	NULL	NULL	1	2014-12-02	2014-12-02	1.0	NULL
2417133	kallakis	1	0	0	2014-10-22	NULL	NULL	1	2014-10-22	2014-10-22	1.0	NULL
813813	Kees Zeelenberg	242	0	235	2012-12-27	2012-12-27	NULL	1	2012-12-27	2012-12-27	0.4306	0.4709
4363	Pmz	2	0	0	2012-11-01	NULL	NULL	1	2012-11-01	2012-11-01	0.0	0.0
16881	ulil	2651	0	1783	2011-07-29	2011-07-29	NULL	3	2013-05-09	2011-12-01	0.0005	0.0004
154804	ieskok	3093	5	2235	2012-08-28	2012-08-28	2012-08-28	4	2012-09-08	2012-09-04	0.0124	0.0182
378610	Jorieke V	2143	11	882	2011-03-24	2011-03-24	2011-03-24	3	2011-05-14	2011-05-20	0.0056	0.0034
1016290	Amaroussi	2526	3	2445	2014-04-30	2014-04-30	2015-03-15	6	2015-02-01	2015-05-21	0.003	0.0036
242551	hmpfgnrrr	3064	23	2988	2011-01-29	2011-01-29	2011-01-29	7	2011-02-11	2011-02-07	0.0188	0.0258
1694420	Little Brother	3326	0	953	2013-10-29	2013-10-29	NULL	23	2014-08-02	2014-03-11	0.0549	0.0799
3292520	pascal_cyclist	3167	29	3135	2015-11-10	2015-11-10	2015-11-10	1	2015-11-10	2015-11-10	0.0555	0.0565
592097	Dombo	2350	0	2232	2014-11-26	2014-11-26	NULL	11	2015-02-20	2014-12-14	0.0212	0.0209
370051	Vitalka	2741	7	2537	2012-10-24	2012-10-24	2012-11-22	7	2012-11-18	2012-11-21	0.0196	0.0199
343066	hhami	2206	3	1274	2010-09-06	2010-09-06	2010-09-13	2	2010-09-10	2010-09-10	0.5733	1.0
44359	pdleirer	3061	17	1497	2008-10-12	2008-10-12	2008-10-12	32	2010-09-15	2009-03-16	0.9855	1.0
43850	seasack	132	0	128	2013-03-13	2013-03-13	NULL	2	2013-03-17	2013-03-13	0.0808	0.0906
357825	fatihyilmaz	1	0	0	2010-10-12	NULL	NULL	1	2010-10-12	2010-10-12	NULL	NULL
91842	CharlesNepote	1	0	1	2014-09-10	2014-09-10	NULL	1	2014-09-10	2014-09-10	0.0	0.0
30525	The Maarssen Mapper	167	0	45	2010-06-19	2010-06-19	NULL	6	2011-05-25	2010-10-07	0.0001	0.0
27791	Savvas	21	0	0	2008-11-01	NULL	NULL	1	2008-11-01	2008-11-01	0.6364	NULL
344494	Iamhere	1	0	1	2010-09-09	2010-09-09	NULL	1	2010-09-09	2010-09-09	1.0	1.0
32431	leontios	13	0	0	2008-10-08	NULL	NULL	1	2008-10-08	2008-10-08	0.619	NULL
88164	Med	5	0	0	2014-09-15	NULL	NULL	2	2015-01-29	2015-01-02	0.0001	0.0
2910020	aenimus	1	0	1	2015-05-12	2015-05-12	NULL	1	2015-05-13	2015-05-13	1.0	1.0
7037	Gregory Williams	1	0	0	2009-01-05	NULL	NULL	1	2009-01-05	2009-01-05	0.0	0.0
2631411	alistaircom	1	0	0	2015-03-21	NULL	NULL	1	2015-03-21	2015-03-21	0.0001	0.0
6275	CirruZZ	1	0	1	2009-06-02	2009-06-02	NULL	1	2009-06-02	2009-06-02	0.125	0.1667
2904	Emilio Gomez	1	0	0	2013-02-24	NULL	NULL	1	2013-02-24	2013-02-24	0.0	0.0
398117	gery	1	0	1	2015-12-27	2015-12-27	NULL	1	2015-12-27	2015-12-27	0.0909	0.0833
392827	pnorman_mechanical	1	0	0	2014-08-11	NULL	NULL	1	2014-08-11	2014-08-11	0.0	0.0
2798022	Lefteris Zacharia	1	0	1	2015-03-31	2015-03-31	NULL	1	2015-03-31	2015-03-31	1.0	1.0
3007512	Andrey Kubov	1	0	0	2015-06-23	NULL	NULL	1	2015-06-23	2015-06-23	0.5	0.0
