user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
23724	colonia	58	0	54	2010-01-20	2010-01-20	NULL	1	2010-01-20	2010-01-20	0.0014	0.0018	0.0004
8619	cetest	122	0	0	2010-01-15	NULL	NULL	3	2010-01-21	2010-01-20	0.0209	0.0	0.023
221246	EvM	2	0	0	2010-01-20	NULL	NULL	1	2010-01-20	2010-01-20	1.0	NULL	1.0
224350	alyssa	506	0	0	2010-01-25	NULL	NULL	1	2010-01-25	2010-01-25	1.0	NULL	1.0
722137	OSMF Redaction Account	9101	0	0	2012-07-21	NULL	NULL	1	2012-07-21	2012-07-21	0.0005	NULL	0.0005
613808	Hmasterdm	8401	16	7654	2012-04-12	2012-04-12	2012-04-12	8	2012-04-26	2012-04-25	0.9514	0.9999	0.6357
594427	Casseus Peres	10060	0	3453	2012-01-26	2012-01-26	NULL	52	2012-10-11	2013-01-21	0.7812	0.6812	0.8462
5735	ColinMarquardt	8424	60	6232	2010-01-14	2010-01-14	2010-01-17	7	2010-01-20	2010-01-20	0.055	0.0606	0.0436
593988	willes louis	11799	4	8635	2012-01-26	2012-01-26	2012-04-30	34	2012-03-25	2012-04-11	0.9457	0.9826	0.8577
29632	ablansinger	9169	474	8611	2010-01-17	2010-01-17	2010-01-17	12	2010-01-23	2010-01-20	0.0129	0.0142	0.0053
594069	Bregneve	10430	1	8491	2012-01-27	2012-01-27	2013-06-20	37	2013-04-11	2013-04-14	0.6592	0.6719	0.6088
616181	RLStedham	10309	10	10064	2012-04-30	2012-04-30	2012-04-30	9	2012-05-09	2012-05-10	0.9799	1.0	0.5373
593984	michel evens	11813	0	3083	2012-01-25	2012-01-25	NULL	82	2012-10-16	2012-11-14	0.5179	0.2639	0.7846
1339815	Evens Louis	11759	5	9684	2013-04-11	2013-04-11	2013-06-05	33	2013-07-09	2013-06-27	0.668	0.6813	0.6123
72235	Basstoelpel	9108	141	5436	2010-01-15	2010-01-15	2010-01-15	9	2010-01-25	2010-01-24	0.0084	0.0068	0.0126
1712848	Marcus Love	11543	35	10610	2014-03-28	2014-03-28	2014-03-28	7	2014-04-01	2014-03-31	0.1761	0.1674	0.4296
1342894	EDOUARD Cherline	8198	0	6856	2013-04-09	2013-04-09	NULL	12	2013-05-11	2013-05-27	0.904	0.8963	0.9451
13203	bahnpirat	8934	22	5467	2009-08-11	2010-01-13	2010-01-13	17	2011-09-20	2012-01-31	0.0078	0.009	0.0065
