user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
230707	stanton	6447	0	5900	2013-07-01	2013-07-01	NULL	8	2013-07-07	2013-07-04	0.0646	0.0821	0.0196
1686268	gezginrocker	19854	22	11466	2013-08-27	2013-08-27	2013-09-27	45	2013-10-23	2013-09-08	0.129	0.1242	0.1361
1253108	ALADDIN111	10835	0	8021	2013-06-21	2013-06-21	NULL	19	2013-07-03	2013-07-05	0.6539	0.7062	0.54
44750	besiktastan	6058	0	4219	2008-06-09	2008-06-09	NULL	7	2008-10-23	2008-06-11	0.8302	0.869	0.7531
473445	Gero	14030	24	9756	2012-10-11	2012-10-11	2012-10-20	23	2013-05-22	2013-06-15	0.0163	0.0132	0.0351
332493	bazgal	5595	0	5244	2011-04-16	2011-04-16	NULL	23	2011-09-14	2011-05-10	0.0238	0.0273	0.0082
1386706	nesim	30592	11	27038	2013-05-29	2013-05-29	2014-06-10	97	2015-02-03	2015-01-25	0.033	0.0321	0.0418
1292682	kardsm	6023	1	5963	2013-04-01	2013-04-01	2013-04-01	2	2013-04-02	2013-04-02	0.1114	0.1393	0.0053
1250401	VinothS	21823	3	21524	2013-03-28	2013-03-28	2013-04-02	6	2013-04-02	2013-04-01	0.1579	0.1601	0.079
1224362	yusufmert	13188	29	12405	2013-02-10	2013-02-10	2013-02-11	55	2013-07-23	2013-07-24	0.1113	0.1127	0.0928
1805161	Sultanstrail	12161	60	11776	2013-12-11	2013-12-11	2013-12-11	29	2014-05-11	2014-05-08	0.165	0.1652	0.159
1339635	sefabaris	11369	0	6958	2013-04-13	2013-04-13	NULL	67	2015-01-16	2015-01-25	0.2583	0.2437	0.2854
621821	Oytun	23846	0	17171	2012-03-09	2012-03-09	NULL	83	2013-07-31	2013-03-31	0.794	0.8893	0.6224
1293414	dinesh15167	6506	1	6019	2013-04-08	2013-04-10	2013-04-11	11	2013-04-14	2013-04-12	0.0229	0.0386	0.0038
90687	StefanNoebel	5255	1	4512	2012-12-27	2012-12-27	2014-07-09	12	2014-01-11	2014-01-23	0.0705	0.0802	0.0408
1238288	anand 2013	11774	0	9062	2013-04-11	2013-04-11	NULL	6	2013-04-15	2013-04-13	0.0516	0.0877	0.0217
1253065	hari t	12671	3	12558	2013-03-28	2013-03-28	2013-04-02	8	2013-04-06	2013-04-02	0.2106	0.2239	0.0276
18675	JeLuF	134671	999	76248	2009-02-22	2009-02-22	2009-02-22	110	2010-06-29	2009-09-23	0.2868	0.2398	0.3854
1800585	batıormanı	8066	0	7891	2013-11-09	2013-11-09	NULL	38	2014-06-19	2014-01-14	0.8608	0.8656	0.689
1292335	ananth06	6301	0	6002	2013-04-01	2013-04-01	NULL	5	2013-05-06	2013-04-10	0.1523	0.1565	0.0991
677304	onurozgun	8892	15	8508	2012-05-08	2012-05-08	2012-07-11	17	2012-12-15	2012-10-14	0.349	0.4121	0.0795
1649181	Dogan_M	5147	2	4458	2013-07-16	2013-07-16	2013-11-20	21	2013-11-15	2013-11-28	0.7459	0.818	0.4752
175523	mapistanbul	7380	24	5417	2009-09-20	2009-09-20	2010-01-22	56	2010-01-05	2009-12-05	0.1968	0.216	0.158
294096	SalihB	4928	0	3085	2010-07-10	2010-07-10	NULL	40	2010-11-12	2010-12-08	0.5301	0.5318	0.5272
1587888	JOTH03	21342	0	15278	2013-06-27	2013-06-27	NULL	24	2013-07-12	2013-07-14	0.8705	0.9387	0.7357
150368	Cicerone	87374	16	86107	2009-08-08	2009-08-08	2010-04-01	85	2010-10-22	2010-11-27	0.2341	0.3215	0.012
1587943	Sakthi20	24296	1	17283	2013-06-27	2013-06-27	2013-07-06	25	2013-07-11	2013-07-11	0.1463	0.1163	0.4036
1293442	lingavel	19508	0	15980	2013-04-11	2013-04-11	NULL	7	2013-04-16	2013-04-13	0.0966	0.1199	0.0514
1679	andrewpmk	23596	111	23296	2009-04-08	2009-04-08	2009-04-08	26	2010-01-27	2009-05-30	0.002	0.0024	0.0001
1274545	surendran1	10902	0	10373	2013-03-28	2013-03-28	NULL	6	2013-04-02	2013-04-01	0.1584	0.162	0.1106
1293431	suresh ruban	13507	0	13029	2013-04-09	2013-04-09	NULL	9	2013-04-13	2013-04-12	0.1463	0.1572	0.0508
4388	hakan	13323	441	13206	2007-03-09	2007-03-09	2007-03-09	22	2008-02-20	2007-12-03	0.0333	0.0342	0.0086
17497	katpatuka	78050	1333	63765	2008-01-27	2008-02-17	2008-02-17	145	2011-07-09	2010-11-30	0.0029	0.0028	0.0036
1233282	sheik farid	7540	0	7325	2013-04-02	2013-04-02	NULL	4	2013-04-04	2013-04-04	0.0924	0.1023	0.0215
481116	bigalxyz123	93422	98	81954	2011-11-23	2011-11-23	2011-11-23	78	2013-08-05	2012-07-05	0.0701	0.0751	0.0475
3023874	BallisticBanana	10	0	9	2015-06-29	2015-06-29	NULL	2	2015-07-12	2015-07-07	0.7143	1.0	0.2
38873	jnmbk	466	2	414	2008-05-23	2008-05-23	2008-05-23	4	2011-04-09	2009-07-23	0.9339	1.0	0.6118
2961759	tuana hotel	1	0	1	2015-06-03	2015-06-03	NULL	1	2015-06-03	2015-06-03	1.0	1.0	NULL
712557	rmemis	1	0	1	2012-06-26	2012-06-26	NULL	1	2012-06-26	2012-06-26	NULL	1.0	-0.0
207745	NE2	7	0	0	2010-08-06	NULL	NULL	2	2010-08-07	2010-08-07	0.0	0.0	0.0
635080	bibi6	1	0	0	2015-05-16	NULL	NULL	1	2015-05-16	2015-05-16	0.0001	0.0	0.0001
364	Edward	1	0	0	2015-03-03	NULL	NULL	1	2015-03-03	2015-03-03	0.0	0.0	0.0
3242571	EvApartments	3	0	1	2015-09-16	2015-09-16	NULL	1	2015-09-16	2015-09-16	0.2727	1.0	0.2
44139	DJBadBoy	55	0	39	2014-10-15	2014-10-15	NULL	1	2014-10-15	2014-10-15	0.0004	0.0003	0.0009
2897685	Cihan çakır	1	0	0	2015-05-07	NULL	NULL	1	2015-05-07	2015-05-07	0.5	NULL	0.5
497488	manameric	6	0	6	2011-07-29	2011-07-29	NULL	1	2011-07-29	2011-07-29	1.0	1.0	NULL
1783785	R0bst3r	1	0	0	2015-04-22	NULL	NULL	1	2015-04-22	2015-04-22	0.0	0.0	0.0
1883015	Cktn	21	0	20	2014-01-14	2014-01-14	NULL	1	2014-01-14	2014-01-14	1.0	1.0	NULL
1269648	kadirekinci	265	0	235	2013-03-14	2013-03-14	NULL	2	2013-03-15	2013-03-15	0.8129	1.0	0.3297
396425	rearsd79	3	0	3	2011-01-18	2011-01-18	NULL	1	2011-01-18	2011-01-18	1.0	1.0	-0.0
68982	kisaa	3	0	0	2015-05-23	NULL	NULL	1	2015-05-23	2015-05-23	0.0	0.0	0.0
340741	CRCulver	15	0	15	2010-11-02	2010-11-02	NULL	2	2011-11-26	2011-02-14	0.0011	0.0015	0.0
939649	aknxy	1	0	1	2012-10-02	2012-10-02	NULL	1	2012-10-02	2012-10-02	NULL	1.0	-0.0
2397204	terkin	581	0	504	2014-10-13	2014-10-13	NULL	5	2014-10-18	2014-10-15	0.954	1.0	0.7333
2091836	antonisb	1	0	1	2014-12-24	2014-12-24	NULL	1	2014-12-24	2014-12-24	0.0065	0.0156	0.0
596047	Rps333	2	0	0	2015-01-04	NULL	NULL	1	2015-01-04	2015-01-04	0.0	0.0	0.0
974237	tuche	269	1	38	2012-10-22	2012-10-22	2012-10-22	1	2012-10-22	2012-10-22	0.0596	1.0	0.0516
1069176	landfahrer	55	0	13	2013-04-07	2013-04-07	NULL	8	2013-08-25	2013-08-01	0.0001	0.0001	0.0001
710645	denizyalcin	246	0	180	2012-06-23	2012-06-23	NULL	3	2012-07-10	2012-08-02	0.8601	1.0	0.6226
1651798	oldenburg69	5	0	5	2013-11-21	2013-11-21	NULL	5	2014-01-08	2014-01-08	0.0042	0.0049	0.0
1263741	MrCoopan	8	0	6	2013-03-13	2013-03-13	NULL	1	2013-03-13	2013-03-13	0.8889	1.0	0.6667
1923373	fozoglu	52	0	50	2014-02-07	2014-02-07	NULL	2	2014-02-15	2014-02-22	1.0	1.0	1.0
1118693	investurk34	6	0	4	2012-12-07	2012-12-07	NULL	1	2012-12-07	2012-12-07	1.0	1.0	1.0
158826	cquest	24	0	24	2013-06-19	2013-06-19	NULL	1	2013-06-19	2013-06-19	0.0	0.0	0.0
709355	Alexander Myczko	66	0	66	2014-03-12	2014-03-12	NULL	1	2014-03-12	2014-03-12	0.0015	0.0015	0.0
3191895	Doğru Bilişim	2	0	1	2015-08-28	2015-08-28	NULL	2	2015-09-02	2015-09-02	1.0	1.0	NULL
20587	balrog-kun	3195	1	2299	2008-07-08	2008-07-08	2008-07-15	6	2008-09-13	2008-07-14	0.0011	0.0009	0.002
1958067	emre85	20	0	18	2014-02-27	2014-02-27	NULL	2	2014-02-28	2014-02-27	0.3125	1.0	0.0435
806825	Alpervan	615	0	40	2012-08-15	2012-08-15	NULL	1	2012-08-15	2012-08-15	1.0	1.0	1.0
5359	user_5359	1	0	0	2012-11-03	NULL	NULL	1	2012-11-03	2012-11-03	0.0	0.0	0.0
386720	tormator	83	0	30	2012-04-12	2012-04-12	NULL	2	2012-04-13	2012-04-12	0.9651	1.0	0.9464
2784059	mtnzrsln	1	0	0	2015-06-17	NULL	NULL	1	2015-06-17	2015-06-17	1.0	NULL	1.0
1772553	Burhanettin	1	0	0	2013-10-12	NULL	NULL	1	2013-10-12	2013-10-12	1.0	NULL	1.0
2500	jamesks	2974	1	2937	2010-06-11	2010-06-11	2010-06-11	4	2010-06-16	2010-06-17	0.0009	0.0014	0.0
29975	OxKing	3238	0	2589	2011-03-27	2011-03-27	NULL	7	2011-12-02	2011-06-15	0.0202	0.0253	0.0112
4951	PeterEastern	3110	2	1978	2011-12-22	2011-12-22	2011-12-22	10	2013-05-13	2013-06-15	0.0023	0.008	0.001
3406922	scelik	1877	0	806	2015-11-22	2015-11-22	NULL	6	2015-12-05	2015-12-07	0.8738	0.9372	0.8315
473104	AlaskaDave	2045	0	945	2015-04-11	2015-04-11	NULL	9	2015-04-15	2015-04-14	0.0016	0.0011	0.0028
1233271	SVishnu	1276	0	672	2013-03-11	2013-03-11	NULL	4	2013-04-04	2013-04-11	0.0105	0.006	0.0612
408220	Denis des Clayes	1165	49	1082	2013-01-10	2013-01-10	2013-01-10	8	2013-03-17	2013-03-21	0.009	0.0092	0.0068
1205786	westnordost	2037	0	811	2015-03-29	2015-03-29	NULL	2	2015-03-30	2015-03-29	0.0078	0.0044	0.0157
2377377	abel801	2543	0	416	2015-02-27	2015-04-01	NULL	13	2015-05-25	2015-04-09	0.0018	0.0006	0.0029
1292347	Alavudeen	1960	0	1954	2013-04-01	2013-04-01	NULL	2	2013-04-02	2013-04-02	0.1439	0.1482	0.0139
2423977	Zia-M	1120	0	788	2014-11-05	2014-11-05	NULL	12	2015-02-06	2014-12-09	0.9211	0.9949	0.783
400112	forlax_12	2998	0	2033	2014-02-16	2014-02-16	NULL	7	2014-02-23	2014-02-27	0.1621	0.1851	0.1284
585009	malumatfuruş	1341	0	1015	2012-01-12	2012-01-12	NULL	4	2012-02-12	2012-01-25	0.3927	0.4975	0.2371
123364	Tronikon	2359	7	1901	2011-03-04	2011-03-04	2011-03-10	9	2011-03-11	2011-03-11	0.0044	0.0046	0.0039
1240849	ediyes	2765	0	2598	2014-07-16	2014-07-16	NULL	16	2015-02-22	2015-03-29	0.0008	0.0011	0.0002
132640	tilt	1364	0	1053	2010-03-23	2010-03-23	NULL	9	2010-05-15	2010-04-09	0.124	0.1104	0.2127
12295	mapper_07	3764	62	3665	2007-11-27	2007-11-27	2007-11-27	16	2010-01-13	2008-02-16	0.0021	0.0032	0.0002
893707	sinyol	1236	0	650	2012-09-18	2012-09-18	NULL	3	2012-09-20	2012-09-20	0.4394	0.3023	0.8839
83061	Sadhu	1150	4	810	2012-09-04	2012-09-04	2012-09-04	4	2013-09-12	2012-09-05	0.3418	0.5836	0.172
2792648	merttoka	1238	0	1153	2015-04-19	2015-04-19	NULL	3	2015-04-26	2015-04-19	0.9634	1.0	0.6439
1780879	wikist org	1446	0	1284	2013-10-21	2013-10-21	NULL	13	2014-08-27	2014-09-02	0.7954	0.8486	0.5311
