user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
853905	mohamedop	2	0	0	2012-09-03	NULL	NULL	1	2012-09-03	2012-09-03	1.0	NULL	1.0
220932	mor	4	0	0	2011-03-04	NULL	NULL	2	2011-05-22	2011-06-30	0.0	0.0	0.0
409733	liutas4x4	9991	0	3432	2011-02-16	2011-02-16	NULL	21	2011-08-06	2011-08-14	0.9095	1.0	0.8684
617220	raniedwianugrah	6253	0	5838	2014-08-05	2014-08-05	NULL	5	2014-08-08	2014-08-06	0.0113	0.0167	0.002
606821	Pinux	9378	0	4852	2014-01-21	2014-01-21	NULL	16	2014-08-10	2014-08-14	0.2895	0.2091	0.4922
79965	Eli Hadad	6037	6	4006	2008-11-15	2008-11-15	2008-11-15	27	2008-12-12	2008-12-12	0.9743	1.0	0.9274
1803589	mazorsh	8305	0	7961	2013-11-12	2013-11-12	NULL	28	2014-08-09	2014-09-02	0.2459	0.2572	0.1219
2381260	berlinyiyi	8262	0	8121	2014-10-07	2014-10-07	NULL	4	2014-10-09	2014-10-08	0.9946	1.0	0.7581
219843	mides	9438	0	9094	2014-08-04	2014-08-04	NULL	4	2014-08-06	2014-08-05	0.0039	0.0041	0.0017
77074	Ophir	8537	2	6039	2008-11-07	2008-11-20	2009-10-04	58	2009-11-26	2009-11-20	0.7393	0.7191	0.793
15275	Yuri	8053	273	7149	2008-07-21	2008-07-21	2008-07-21	51	2008-12-09	2009-01-07	0.8296	0.8453	0.7232
365141	נועם המטייל	6185	6	5024	2010-10-31	2010-10-31	2014-01-14	56	2013-09-29	2013-11-11	0.7823	0.9582	0.436
2381619	UCL_shucheng	8957	0	8952	2014-10-07	2014-10-07	NULL	4	2014-10-09	2014-10-09	1.0	1.0	1.0
1075986	the_knife	9800	0	6380	2014-08-04	2014-08-04	NULL	13	2014-08-19	2014-09-07	0.0156	0.0137	0.021
223012	Siana40	6233	0	6119	2014-08-27	2014-08-27	NULL	12	2014-09-11	2014-08-30	0.1405	0.1397	0.1932
1812009	Maeve (CartONG)	7172	0	7158	2014-08-03	2014-08-03	NULL	5	2014-08-13	2014-08-11	0.4994	0.5095	0.0446
1723311	arthurzam	9960	0	8638	2013-08-26	2013-08-26	NULL	78	2013-11-26	2013-10-23	0.9696	1.0	0.8091
11567	Metehyi	8124	776	7667	2007-08-16	2007-08-16	2007-08-16	21	2010-08-10	2013-04-19	0.0084	0.0133	0.0012
2381283	Bingqian Liu	7038	0	6744	2014-10-07	2014-10-07	NULL	4	2014-10-10	2014-10-09	0.9729	1.0	0.6
2921553	Ahlam Serhan	8189	14	8179	2015-05-17	2015-05-17	2015-05-18	10	2015-06-14	2015-06-21	0.436	0.4378	0.1
1715087	ParisDip	1	0	1	2013-08-15	2013-08-15	NULL	1	2013-08-15	2013-08-15	0.0057	0.006	0.0
619295	binawsome	685	0	599	2012-03-07	2012-03-07	NULL	4	2012-03-09	2012-03-09	0.917	1.0	0.5811
1768498	noybx2	27	0	24	2013-10-20	2013-10-20	NULL	3	2013-11-02	2013-11-06	1.0	1.0	1.0
