user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
2600695	jlcod	32	0	0	2015-05-01	NULL	NULL	3	2015-05-07	2015-05-07	0.0003	0.0
224440	Syl	7	0	0	2011-03-02	NULL	NULL	3	2012-09-29	2012-10-02	0.0001	0.0
2246826	vichada	17694	1	16533	2015-04-27	2015-04-27	2015-05-02	13	2015-05-05	2015-05-02	0.0102	0.0106
91490	Heinz_V	18794	5	8405	2015-02-28	2015-02-28	2015-03-27	57	2015-06-24	2015-07-02	0.0017	0.0009
236945	shashish	19470	2	16612	2012-02-28	2012-02-28	2012-11-18	74	2013-10-09	2013-04-18	0.6872	0.8072
1060238	LenainKtm	17625	0	16172	2012-11-23	2012-11-23	NULL	25	2012-12-29	2012-12-26	0.7594	0.7814
1218796	and_pod	17899	0	16086	2015-04-27	2015-04-27	NULL	6	2015-05-01	2015-05-01	0.4274	0.441
179581	Geofreund1	17016	5	15203	2011-08-17	2011-08-17	2011-08-17	10	2013-08-17	2014-01-25	0.0062	0.0065
1396340	shahasan	6213	0	5576	2013-04-27	2013-04-27	NULL	32	2013-05-27	2013-05-24	0.9154	0.9765
2595286	Daisyfields75	8462	0	7005	2015-05-01	2015-05-01	NULL	9	2015-05-08	2015-05-08	0.2063	0.2064
2516487	Pujan Poudyal	15469	0	15318	2014-12-12	2014-12-12	NULL	19	2015-03-26	2015-04-11	0.1242	0.1252
178186	mdk	11360	0	7166	2012-05-08	2015-04-28	NULL	10	2014-11-14	2015-04-30	0.0042	0.0041
578519	DaCor	10898	0	10607	2013-02-23	2013-02-23	NULL	3	2013-02-24	2013-02-24	0.0071	0.0076
647540	sures	12597	0	11735	2012-11-10	2012-11-10	NULL	57	2013-05-24	2013-04-09	0.9652	1.0
2262221	marcale	6008	0	5420	2014-08-14	2014-08-14	NULL	2	2014-08-15	2014-08-15	0.9706	0.9731
38591	hatochan	7720	0	7098	2015-04-26	2015-04-26	NULL	4	2015-04-29	2015-04-28	0.0104	0.0104
1233206	sabn98	7772	0	7359	2013-02-18	2013-02-18	NULL	4	2013-05-16	2013-06-15	0.9923	1.0
719424	austi1996	7001	1	4853	2015-03-04	2015-03-04	2015-03-07	9	2015-04-08	2015-04-13	0.0402	0.0421
730682	Max1234-ITA	7215	0	7195	2015-04-30	2015-04-30	NULL	1	2015-04-30	2015-04-30	0.0035	0.0039
2377377	abel801	16522	0	8496	2015-03-24	2015-04-27	NULL	19	2015-05-17	2015-05-07	0.0118	0.0126
2870589	HOT_Helper_0002	5581	0	5578	2015-04-30	2015-04-30	NULL	5	2015-05-02	2015-05-02	0.3931	0.4096
1286351	Bijesh	12451	1	10789	2013-03-20	2013-03-20	2013-07-07	39	2013-05-30	2013-04-23	0.8929	0.9981
239546	DF45	14131	1	12818	2015-04-25	2015-04-25	2015-04-25	9	2015-05-10	2015-05-09	0.0073	0.0072
443130	Alan Bragg	5668	0	4120	2015-04-29	2015-04-29	NULL	6	2015-05-10	2015-05-09	0.0106	0.0135
149451	redrace	6340	0	3577	2012-10-12	2012-10-12	NULL	7	2014-11-22	2015-04-21	0.011	0.0106
63375	Divjo	5431	0	5263	2013-02-22	2013-02-22	NULL	2	2013-02-23	2013-02-23	0.0021	0.0031
350005	prabhasp	5759	1	5098	2011-07-02	2011-07-02	2011-08-15	70	2013-04-14	2012-05-10	0.2267	0.2143
129157	Scare!	15955	0	14373	2015-04-30	2015-04-30	NULL	13	2015-05-12	2015-05-06	0.092	0.0968
150478	Coyau	6702	0	5395	2015-04-27	2015-04-27	NULL	3	2015-05-02	2015-04-29	0.1727	0.1551
2862647	drekmaby	6545	0	3754	2015-04-29	2015-04-29	NULL	8	2015-05-04	2015-05-03	0.1751	0.1531
311318	luiswoo	8745	0	7914	2015-04-28	2015-04-28	NULL	2	2015-04-29	2015-04-28	0.0052	0.0059
826065	Nirab Pudasaini	6838	4	6278	2012-08-28	2012-08-28	2013-08-13	47	2014-02-23	2013-11-11	0.1411	0.1431
685891	saese (adyota)	8175	0	2557	2012-06-28	2012-07-25	NULL	31	2012-09-06	2012-08-29	0.96	1.0
186592	Johnwhelan	5476	0	514	2015-05-10	2015-05-10	NULL	1	2015-05-11	2015-05-11	0.0027	0.0003
160164	mahau	6679	0	4839	2015-04-27	2015-04-27	NULL	2	2015-04-28	2015-04-27	0.0048	0.006
92596	Domschl	5810	25	2199	2009-01-25	2009-01-25	2009-01-25	14	2009-05-13	2009-03-23	0.9981	1.0
695662	Umesh Bhurtyal	5561	0	5533	2012-07-22	2012-07-22	NULL	5	2013-03-17	2013-05-30	0.9961	0.9964
1829683	Luis36995	6250	0	2870	2015-04-30	2015-04-30	NULL	7	2015-05-21	2015-05-05	0.0027	0.0018
419280	oconnorholmesbailey	6515	0	6301	2015-04-27	2015-04-27	NULL	7	2015-05-01	2015-04-29	0.9731	0.976
2888657	cabern	11660	0	6237	2015-05-05	2015-05-05	NULL	2	2015-05-06	2015-05-06	0.7272	0.7601
239936	Agile Eye	5863	8	3936	2010-03-19	2010-03-19	2010-03-21	21	2012-01-27	2011-03-19	0.8918	1.0
2862823	Shushuf	14130	0	12569	2015-04-27	2015-04-27	NULL	7	2015-05-03	2015-05-01	0.1608	0.1582
1215436	nawaraj	7717	0	7200	2013-02-10	2013-02-10	NULL	16	2013-07-17	2013-06-03	0.7301	0.7341
684247	jake958	9919	3	921	2012-05-18	2012-05-18	2012-06-11	21	2012-06-12	2012-06-13	0.7198	0.3117
750985	Poshan	9618	1	7950	2013-02-18	2013-02-18	2013-06-11	69	2013-12-25	2013-07-21	0.2752	0.2766
408202	BFX	11048	115	10969	2012-03-02	2012-03-02	2012-03-02	5	2012-03-09	2012-03-09	0.031	0.0453
2873718	Sarısakal	5945	0	4273	2015-04-29	2015-04-29	NULL	5	2015-05-03	2015-04-30	0.62	0.6525
361003	Cascafico	6221	0	5931	2015-04-28	2015-04-28	NULL	8	2015-05-05	2015-05-03	0.0099	0.0117
1041644	david nhemaphuki	14407	0	11895	2012-11-10	2012-11-10	NULL	29	2014-04-30	2013-09-11	0.5348	0.4954
103464	Ben Allard	9029	111	4936	2009-03-15	2009-03-15	2009-03-15	2	2009-03-16	2009-03-15	0.0259	0.0175
953001	tomasy	7422	0	1456	2015-04-29	2015-04-29	NULL	7	2015-05-21	2015-05-13	0.0113	0.0026
455576	ngt	7972	0	7252	2015-04-27	2015-04-27	NULL	7	2015-07-13	2015-07-24	0.0215	0.0224
458641	uvi	311	0	205	2014-04-14	2014-04-14	NULL	2	2014-04-16	2014-04-16	0.0029	0.0027
2892865	Ricardo(nemo)	817	0	801	2015-05-05	2015-05-05	NULL	1	2015-05-06	2015-05-06	0.9867	1.0
2895222	tombewernick	530	0	509	2015-05-06	2015-05-06	NULL	1	2015-05-06	2015-05-06	0.9233	0.9604
2898370	Jessica Uy	335	0	335	2015-05-07	2015-05-07	NULL	1	2015-05-08	2015-05-08	0.2389	0.2395
2863497	FIREsin	269	0	269	2015-04-28	2015-04-28	NULL	1	2015-04-28	2015-04-28	0.0988	0.099
53848	anttiklemm	128	0	0	2015-05-04	NULL	NULL	1	2015-05-04	2015-05-04	0.0052	0.0
1206270	pukkaraz	35	0	32	2013-01-21	2013-01-21	NULL	1	2013-01-21	2013-01-21	1.0	1.0
2323578	Apex_Dipak	15	0	7	2014-09-17	2014-09-17	NULL	1	2014-09-17	2014-09-17	0.1974	0.1111
2878828	sekkiiiii	15	0	15	2015-05-12	2015-05-12	NULL	1	2015-05-12	2015-05-12	0.0168	0.0168
2864974	人人人人人ˊ人人人人人人人	14	0	14	2015-04-29	2015-04-29	NULL	1	2015-04-29	2015-04-29	0.0276	0.0276
3356729	kewal shrestha	14	0	14	2015-11-03	2015-11-03	NULL	1	2015-11-03	2015-11-03	0.7778	1.0
3289490	AmritaT	14	0	11	2015-10-06	2015-10-06	NULL	1	2015-10-06	2015-10-06	0.7368	0.6875
