user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
496923	abellaofernandez	40182	0	37468	2011-08-25	2011-08-25	NULL	173	2014-07-12	2014-08-28	0.1039	0.1141
152074	beweta	5412	0	2559	2011-01-08	2011-01-08	NULL	30	2014-06-07	2014-04-19	0.0074	0.0075
12434	nm7s9	21402	1	16595	2008-07-20	2008-07-20	2015-08-27	138	2013-05-06	2012-12-30	0.0277	0.0533
336460	robgeb	47404	4	43262	2011-05-24	2011-05-24	2011-06-06	44	2011-10-04	2011-10-06	0.0992	0.1244
6513	Glen	6625	0	5725	2013-04-01	2013-04-01	NULL	11	2013-04-10	2013-04-08	0.016	0.0207
7168	DaveHansenTiger	110448	1448	110448	2007-11-27	2007-11-27	2007-11-27	1	2007-11-27	2007-11-27	0.0006	0.0006
398919	gMitchellD	53440	23	48518	2011-01-26	2011-01-26	2011-01-26	22	2011-02-06	2011-02-05	0.737	0.9318
120146	TIGERcnl	13074	76	13074	2009-07-10	2009-07-10	2009-07-10	1	2009-07-10	2009-07-10	0.0025	0.0025
310589	hno2	6924	0	5532	2012-09-12	2012-09-12	NULL	16	2013-09-10	2013-04-26	0.0205	0.0233
870195	babas56	5346	0	4941	2012-09-24	2012-09-24	NULL	6	2012-09-27	2012-09-26	0.4899	0.5685
2736609	el_konquistador	6500	8	6500	2015-05-02	2015-05-02	2015-05-02	1	2015-05-02	2015-05-02	0.9825	1.0
50005	n7xsd	6674	0	1702	2008-07-05	2008-07-05	NULL	39	2009-04-11	2009-06-13	0.1259	0.0947
147510	woodpeck_fixbot	101735	0	0	2009-09-25	NULL	NULL	4	2009-11-24	2009-11-12	0.0006	NULL
2533093	carciofo	6	0	0	2015-06-07	NULL	NULL	1	2015-06-07	2015-06-07	0.0	0.0
1783785	R0bst3r	2	0	0	2015-04-02	NULL	NULL	2	2015-04-08	2015-04-08	0.0	0.0
50118	Hawkeye	16	0	11	2012-10-06	2012-10-06	NULL	1	2012-10-06	2012-10-06	0.0001	0.0001
618879	van Rees	2	0	1	2012-12-02	2012-12-07	NULL	2	2012-12-05	2012-12-05	0.0	0.0
10475	riad	8	0	8	2008-03-08	2008-03-08	NULL	1	2008-03-08	2008-03-08	0.0002	0.0002
274546	AskCDE	1	0	0	2010-04-25	NULL	NULL	1	2010-04-25	2010-04-25	0.05	0.0
574563	OldTome	1	0	0	2011-12-26	NULL	NULL	1	2011-12-26	2011-12-26	1.0	NULL
22773	christof	1	0	1	2009-10-10	2009-10-10	NULL	1	2009-10-10	2009-10-10	0.0002	0.0002
103107	EdHillsman	22	0	22	2014-03-17	2014-03-17	NULL	1	2014-03-17	2014-03-17	0.0001	0.0001
3232835	Alexhats	66	0	54	2015-11-29	2015-11-29	NULL	1	2015-11-29	2015-11-29	0.0085	0.0093
28609	bcrosby	6	0	6	2010-12-17	2010-12-17	NULL	1	2010-12-16	2010-12-16	0.0001	0.0001
