user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
178186	mdk	141	0	23	2010-05-23	2012-04-29	NULL	9	2012-12-28	2013-10-05	0.0001	0.0
4805	Tyom	11	0	7	2007-04-16	2007-04-16	NULL	2	2011-03-18	2012-12-28	0.8462	0.7778
52700	DomRamsey	3	0	1	2008-07-18	2008-07-18	NULL	1	2008-07-18	2008-07-18	0.3333	0.1429
8732	xylome2	3	0	0	2008-10-08	NULL	NULL	2	2008-12-31	2009-01-27	0.0	0.0
453989	racshalom	2	0	0	2011-05-13	NULL	NULL	1	2011-05-13	2011-05-13	0.0256	0.0
20420	Killarney	3	0	0	2008-01-04	NULL	NULL	1	2008-01-04	2008-01-04	0.0361	NULL
556199	JaH	1	0	0	2011-11-18	NULL	NULL	1	2011-11-18	2011-11-18	NULL	NULL
298757	Orion189	2	0	2	2010-06-04	2010-06-04	NULL	1	2010-06-04	2010-06-04	0.5	0.4
123348	prn	11061	0	10361	2009-05-10	2009-05-10	NULL	23	2013-04-09	2013-06-14	0.9641	0.9941
327499	Skyguy	10165	0	4285	2010-08-12	2010-08-12	NULL	74	2013-07-10	2013-07-15	0.7205	0.794
486343	peregrination	8803	0	7355	2011-07-12	2011-07-12	NULL	80	2014-11-10	2015-06-07	0.809	0.9955
451982	Lxsch	10453	0	10322	2011-05-18	2011-05-18	NULL	28	2013-07-20	2014-06-24	0.7103	0.7136
232386	_yog	10972	0	5957	2010-02-11	2010-02-11	NULL	68	2015-02-26	2015-09-26	0.1247	0.2297
8938	Bud	9672	11	9672	2007-06-10	2007-06-10	2007-06-11	46	2007-08-09	2007-07-29	0.8055	0.8302
1878856	yourealwaysbe	8646	0	6496	2014-01-12	2014-01-12	NULL	161	2015-01-22	2014-09-09	0.6842	0.7813
6634	DrMark	11475	50	8675	2007-03-16	2007-03-16	2007-03-16	223	2008-04-14	2008-02-23	0.1792	0.1753
348243	andreamar	7978	0	5059	2011-03-24	2011-03-24	NULL	90	2012-09-22	2012-10-17	0.6774	0.7828
5926	c2r	7815	2	5929	2007-02-10	2007-02-10	2007-08-05	107	2011-09-15	2012-02-01	0.0114	0.0102
735	blackadder	11645	30	9441	2005-12-15	2005-12-15	2005-12-15	25	2010-04-25	2011-09-08	0.0124	0.0132
221923	michaelinredhill	7649	0	6023	2010-10-09	2010-10-09	NULL	204	2012-08-26	2012-06-07	0.0734	0.0791
1679	andrewpmk	10672	1	5452	2007-08-04	2007-08-04	2008-03-05	206	2010-10-17	2010-03-17	0.0009	0.0006
2262383	addavies	9516	0	9516	2014-09-15	2014-09-15	NULL	1	2014-09-15	2014-09-15	0.1057	0.1057
17021	ShakespeareFan00	12476	22	8085	2007-10-21	2007-10-21	2007-10-21	76	2009-10-14	2009-08-18	0.0812	0.0982
72963	dtr20	8094	0	7035	2009-06-02	2009-06-02	NULL	106	2010-11-06	2011-03-02	0.7733	0.7875
3762	stev	11533	0	5668	2007-02-06	2007-02-06	NULL	186	2009-03-19	2008-12-13	0.1543	0.1195
1437121	nicolasmonk	9632	0	8024	2013-05-10	2013-05-10	NULL	21	2014-03-15	2014-07-03	0.3752	0.3534
57884	EdLoach	11469	0	9097	2008-10-29	2008-11-24	NULL	60	2011-10-13	2011-09-04	0.0032	0.0071
82905	SimpCup	9040	0	1688	2008-11-30	2008-11-30	NULL	29	2009-07-25	2009-01-20	0.6638	0.4671
2914169	mattyallen13	8000	0	6053	2015-05-14	2015-05-14	NULL	14	2015-06-07	2015-05-29	0.8084	0.9178
7514	Loomyer	11084	0	8754	2010-02-06	2010-02-06	NULL	240	2012-08-30	2012-10-19	0.4435	0.4646
322039	MacLondon	10337	0	5444	2012-12-11	2012-12-11	NULL	137	2014-12-15	2014-12-11	0.3002	0.2495
364	Edward	9949	25	7294	2007-01-01	2007-01-01	2007-01-21	228	2009-05-22	2009-03-15	0.0528	0.1439
1066089	damdab77	1	0	1	2014-01-23	2014-01-23	NULL	1	2014-01-23	2014-01-23	0.0002	0.0004
45820	Paper	165	0	109	2010-11-29	2010-11-29	NULL	11	2012-05-14	2012-03-16	0.0044	0.0081
357346	Azizur	1	0	1	2011-12-31	2011-12-31	NULL	1	2011-12-31	2011-12-31	0.04	0.0625
162708	David-en8	2	0	2	2009-08-25	2009-08-25	NULL	2	2010-07-16	2010-07-16	1.0	1.0
146680	ceyockey	2	0	2	2012-01-28	2012-01-28	NULL	1	2012-01-28	2012-01-28	0.0	0.0
69602	Simon George	19	0	18	2008-09-24	2008-09-24	NULL	1	2008-09-24	2008-09-24	0.7917	1.0
627934	Gravy_davey	8	0	3	2012-03-14	2012-03-14	NULL	1	2012-03-14	2012-03-14	1.0	1.0
505632	Peterko64	7448	0	3027	2011-08-13	2011-08-13	NULL	38	2013-04-27	2012-04-25	0.8543	0.89
7742	sygopet	7380	18	3263	2007-05-13	2007-05-13	2007-06-03	263	2010-11-04	2010-03-20	0.2142	0.1955
1257165	Andrew HS	7080	0	3936	2013-03-12	2013-03-12	NULL	56	2013-06-03	2013-05-03	0.3952	0.329
682	SteveC	6976	62	5870	2006-03-21	2006-03-21	2006-04-28	125	2007-08-14	2007-08-25	0.0702	0.154
3111727	pollyanna	4958	0	3584	2015-08-04	2015-08-04	NULL	12	2015-08-18	2015-08-16	0.8814	0.9713
71317	Flux Matta	6465	0	1370	2008-10-08	2008-10-08	NULL	10	2010-08-07	2009-10-25	0.0617	0.0232
515	Frankie Roberto	6184	4	6022	2005-07-25	2005-07-25	2005-07-27	41	2007-12-14	2007-08-28	0.3317	0.5097
74923	vicarage	6073	0	369	2008-10-23	2008-10-23	NULL	38	2011-03-10	2009-01-14	0.9813	0.9413
