user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
1586162	stugobia	2	0	0	2015-06-30	NULL	NULL	1	2015-06-30	2015-06-30	0.0001	0.0	0.0003
1796678	cmathew	9	0	9	2013-11-05	2013-11-05	NULL	1	2013-11-05	2013-11-05	1.0	1.0	NULL
373434	hca	2	0	0	2012-11-23	NULL	NULL	2	2014-01-16	2014-01-16	0.0	0.0	0.0
25510	Apo42	51676	56	46855	2009-01-28	2009-01-28	2009-07-22	32	2009-09-09	2009-09-18	0.0345	0.0671	0.006
977071	nathansnider	57926	0	42440	2012-10-15	2012-10-15	NULL	74	2013-08-19	2013-05-19	0.938	0.9527	0.8999
44659	Phil Shipley	56971	5	2366	2009-01-10	2009-01-10	2009-01-12	19	2009-04-08	2009-03-23	0.024	0.0054	0.0282
1240849	ediyes	52537	1	51089	2014-07-21	2014-07-21	2014-09-16	70	2015-04-30	2015-09-13	0.0156	0.0212	0.0015
2748195	karitotp	59797	0	58535	2015-04-16	2015-04-16	NULL	55	2015-07-23	2015-12-15	0.0487	0.0913	0.0021
2226712	dannykath	59821	0	57982	2014-08-20	2014-08-20	NULL	74	2015-06-30	2015-12-14	0.0447	0.0771	0.0031
2511706	calfarome	65532	0	64704	2015-01-21	2015-01-21	NULL	58	2015-06-24	2015-12-22	0.051	0.0833	0.0016
20783	Sam  Richards	60458	15	15531	2007-12-03	2007-12-07	2008-01-20	104	2008-09-22	2008-07-14	0.6396	0.5341	0.6864
36121	Chris Lawrence	63952	173	63928	2009-04-12	2009-04-12	2009-04-12	7	2010-09-29	2009-04-13	0.0183	0.0204	0.0001
1822709	PLAVEBAPPS	4	0	2	2013-11-29	2013-11-29	NULL	1	2013-11-29	2013-11-29	1.0	1.0	1.0
8821	norky	106	0	0	2011-08-25	NULL	NULL	1	2011-08-25	2011-08-25	0.0008	0.0	0.0011
351693	ctr112280	47062	2	33699	2010-09-28	2010-09-30	2012-11-28	155	2012-11-23	2012-11-03	0.4553	0.4995	0.3723
1707766	Christine_E	47295	0	37780	2013-08-07	2013-08-07	NULL	97	2014-12-26	2015-01-20	0.6495	0.7316	0.4493
194231	Chris Bell in California	40084	30	17412	2010-04-11	2010-04-11	2010-06-22	92	2011-01-08	2011-01-17	0.1024	0.1134	0.0953
2318	Latze	28215	0	28008	2011-01-19	2011-01-19	NULL	11	2012-03-28	2011-08-02	0.0196	0.0211	0.0018
24452	Speight	42665	2	2231	2008-08-20	2008-08-20	2009-04-02	24	2009-03-22	2008-12-06	0.0356	0.0151	0.0385
1829683	Luis36995	40661	0	39906	2014-07-16	2014-07-16	NULL	63	2015-05-17	2015-11-03	0.0174	0.025	0.001
157189	wrk3	37496	2	16567	2012-07-27	2012-07-27	2012-11-22	126	2013-04-06	2013-02-09	0.5155	0.5982	0.4646
313196	The Temecula Mapper	27634	1	24145	2010-07-18	2010-07-18	2012-08-01	49	2013-05-01	2013-04-15	0.0449	0.0459	0.0393
123633	stevea	31763	44	31378	2011-01-16	2011-01-16	2013-02-22	31	2014-07-10	2013-03-18	0.0342	0.0595	0.001
2412184	youngbasedallah	42777	0	40396	2014-10-20	2014-10-20	NULL	90	2015-04-01	2015-02-09	0.7029	0.7224	0.4828
725620	Rockear	41239	0	20649	2012-07-15	2012-07-23	NULL	51	2012-10-15	2012-09-15	0.5782	0.6323	0.5325
905003	staticfish	2	0	1	2012-09-21	2012-09-21	NULL	1	2012-09-21	2012-09-21	1.0	1.0	1.0
692631	bjake	97	0	63	2012-05-30	2012-05-30	NULL	1	2012-05-30	2012-05-30	0.7405	1.0	0.5
678281	Nick_T	224	0	121	2014-12-15	2014-12-15	NULL	1	2014-12-14	2014-12-14	0.0051	0.0068	0.0039
1904612	freewillisanillusion	194	0	175	2014-01-27	2014-01-27	NULL	6	2014-04-10	2014-02-23	0.9604	1.0	0.7037
182082	kdiep1982	2	0	0	2009-11-03	NULL	NULL	1	2009-11-03	2009-11-03	1.0	NULL	1.0
556666	Mahmud	1	0	1	2011-11-20	2011-11-20	NULL	1	2011-11-19	2011-11-19	NULL	1.0	-0.0
2376	Bman	3433	4	276	2007-11-03	2007-12-08	2010-03-29	13	2009-10-13	2008-11-29	0.0298	0.0064	0.044
632378	3yoda	1411	0	1377	2014-08-15	2014-08-15	NULL	2	2014-08-16	2014-08-15	0.0027	0.0046	0.0002
