user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
207745	NE2	3	0	0	2010-08-06	NULL	NULL	1	2010-08-06	2010-08-06	0.0	0.0
298530	ferval	77828	32	34062	2010-06-06	2010-06-06	2010-10-22	261	2011-10-07	2012-01-14	0.5686	0.5525
9083	bit	8219	498	7998	2007-06-14	2007-06-14	2007-06-14	22	2007-09-06	2007-07-08	0.6466	0.6404
1744907	roderik707	14963	70	13347	2014-09-23	2014-10-05	2014-10-05	2	2014-09-29	2014-10-05	0.0214	0.0245
216398	Totte	20892	19	15577	2012-10-17	2012-10-17	2013-01-24	164	2014-06-15	2014-04-29	0.587	0.5819
101199	macgirl	14596	0	2962	2009-02-21	2009-02-21	NULL	11	2009-03-14	2009-03-12	0.9606	1.0
83169	mgoscar	10073	12	2919	2008-12-02	2008-12-02	2008-12-02	19	2011-10-26	2010-05-03	0.5946	0.3458
1476146	Alecs01	10487	1	7063	2014-12-03	2014-12-03	2014-12-03	16	2015-07-31	2015-08-08	0.009	0.0083
2625821	nobeeakon	17907	6	17172	2015-02-03	2015-02-03	2015-05-21	21	2015-05-16	2015-05-22	0.3854	0.3857
58410	tlacuilo	15882	67	6159	2008-08-22	2008-08-22	2008-08-27	48	2010-07-07	2009-11-23	0.0073	0.0066
2191238	Abbendymion	17207	0	11689	2014-07-19	2014-07-19	NULL	34	2015-02-24	2015-03-28	0.9605	0.988
43293	ulfinger	58700	656	49369	2008-06-03	2008-06-03	2008-06-03	43	2008-06-30	2008-06-25	0.6723	0.7385
330562	juane90	43736	0	29583	2014-01-31	2014-01-31	NULL	104	2014-12-28	2015-01-21	0.3093	0.2651
105022	Ken Arroyo Ohori	34516	81	28688	2009-03-09	2009-03-09	2010-03-15	50	2010-12-21	2011-02-18	0.8668	0.8781
84642	mdelatorre	119865	28	19004	2008-12-11	2008-12-11	2009-01-05	61	2009-12-30	2009-04-16	0.6752	0.632
3295563	mexico_boundaries_import	14505	0	14494	2015-10-20	2015-10-20	NULL	2	2015-11-01	2015-10-20	0.0091	0.0135
1679	andrewpmk	36599	200	34387	2009-03-05	2009-03-05	2009-04-04	86	2010-08-23	2009-06-18	0.0031	0.0035
510836	Rub21	99636	114	98587	2012-04-25	2012-04-25	2012-04-25	37	2013-12-09	2013-01-19	0.0255	0.0319
328056	Gerrard	19549	3	11555	2010-08-03	2010-08-03	2010-08-08	50	2013-06-09	2013-09-15	0.2681	0.2311
88164	Med	11	0	0	2015-05-16	NULL	NULL	3	2015-06-13	2015-06-23	0.0002	0.0
211220	Montok	4	0	0	2009-12-23	NULL	NULL	1	2009-12-23	2009-12-23	1.0	NULL
99311	Federico Mena Quintero	1368	0	1230	2013-12-27	2013-12-27	NULL	34	2015-03-14	2015-06-10	0.0103	0.0105
5359	user_5359	1403	1	1273	2013-01-25	2013-01-25	2013-02-15	7	2013-02-11	2013-02-14	0.0056	0.0099
236212	kpw	35	0	27	2013-06-20	2013-06-20	NULL	1	2013-06-20	2013-06-20	0.162	0.2967
47681	jot	6	0	3	2013-01-26	2013-01-26	NULL	1	2013-01-26	2013-01-26	0.0	0.0
461005	cronoser	995	0	875	2014-07-02	2014-07-02	NULL	3	2014-09-21	2014-09-10	0.001	0.0011
94578	andygol	1149	0	492	2014-12-04	2014-12-08	NULL	9	2015-03-18	2015-03-14	0.0005	0.0003
396380	Javier Ramirez Lopez	1124	0	1000	2011-01-17	2011-01-17	NULL	1	2011-01-17	2011-01-17	0.4492	0.4303
278150	GeoTomDe	1032	0	874	2011-01-16	2011-01-16	NULL	6	2011-02-15	2011-02-21	0.0135	0.0131
252215	Urbeline	1253	1	981	2010-03-25	2010-03-25	2011-01-09	12	2010-12-02	2010-11-19	0.6085	0.6063
2031702	Oscar Jimenez	960	0	670	2014-04-14	2014-04-14	NULL	7	2014-07-14	2014-09-14	0.3304	0.3162
204388	hug99x	1088	3	1043	2009-12-02	2009-12-02	2009-12-03	3	2010-04-08	2009-12-14	0.8065	1.0
2202395	6U5T4V	1180	0	931	2014-07-22	2014-07-22	NULL	2	2014-07-22	2014-07-21	0.4008	0.3985
622419	David López	989	0	530	2012-03-09	2012-03-09	NULL	6	2013-01-17	2012-05-09	0.8966	1.0
162382	Alejandro Lobos Kunstmann	1335	0	683	2009-08-24	2009-08-24	NULL	7	2010-02-04	2009-10-09	0.8111	1.0
172617	Erzei	1013	10	850	2009-09-15	2009-09-15	2009-09-15	7	2009-09-21	2009-09-17	0.6785	0.6967
1901434	Daniel Rodríguez	948	0	249	2014-01-24	2014-01-24	NULL	4	2014-02-23	2014-01-27	0.9054	0.7733
402624	bdiscoe	1022	2	981	2013-01-26	2013-01-26	2015-11-14	4	2015-03-05	2015-10-14	0.0	0.0003
3348588	Re Glez	1184	0	1169	2015-11-05	2015-11-05	NULL	3	2015-11-18	2015-11-07	0.6019	0.6076
237777	dintrans_g	1055	5	1039	2013-12-01	2013-12-01	2013-12-01	1	2013-12-01	2013-12-01	0.0056	0.0074
1975174	jimirp	1084	0	1034	2014-03-08	2014-03-08	NULL	10	2014-12-15	2014-07-28	0.981	0.9895
35273	Ernst Poulsen	961	18	953	2013-07-02	2013-07-02	2013-07-02	1	2013-07-02	2013-07-02	0.0015	0.0018
