user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
2823295	ramyaragupathy	944	0	938	2015-06-04	2015-06-04	NULL	5	2015-06-28	2015-06-08	0.004	0.006	0.0001
153305	MichaelG68	895	0	762	2012-04-09	2012-04-09	NULL	2	2012-05-22	2012-07-01	0.0081	0.0101	0.0038
89098	InsertUser	1171	1	1150	2012-11-15	2012-11-15	2015-11-14	4	2014-05-07	2013-11-08	0.0067	0.0074	0.0011
522978	asdf1234	800	0	768	2014-08-15	2014-08-15	NULL	4	2015-01-02	2015-01-11	0.0052	0.0058	0.0015
2758805	villamanj35	825	0	777	2015-03-15	2015-03-15	NULL	7	2015-04-29	2015-04-28	0.988	1.0	0.8276
469297	KathleenLD	755	0	747	2013-05-05	2013-05-05	NULL	1	2013-05-05	2013-05-05	0.0365	0.0402	0.0038
2554698	ruthmaben	768	0	749	2015-02-17	2015-03-05	NULL	17	2015-05-24	2015-07-17	0.0028	0.004	0.0002
1260280	jacobbraeutigam	777	0	760	2013-12-08	2013-12-08	NULL	8	2014-09-24	2015-02-15	0.0005	0.0006	0.0
94578	andygol	1397	0	1224	2013-01-11	2015-01-16	NULL	15	2015-04-10	2015-07-03	0.0007	0.0008	0.0003
2115749	srividya_c	785	0	741	2015-02-03	2015-02-03	NULL	29	2015-05-10	2015-05-09	0.0023	0.003	0.0005
8703	rolandg	928	0	887	2012-12-06	2012-12-06	NULL	7	2013-01-06	2013-03-02	0.001	0.0016	0.0001
2449734	cetuseatslettuce	1245	0	1206	2014-11-07	2014-11-07	NULL	6	2014-12-22	2014-12-08	0.283	0.4209	0.0254
2644101	Chetan_Gowda	1420	1	1372	2015-05-19	2015-05-19	2015-06-29	17	2015-07-19	2015-07-16	0.0044	0.0059	0.0005
128470	vkungys	1268	0	1183	2013-04-20	2013-04-20	NULL	5	2013-07-02	2013-07-25	0.0443	0.0714	0.007
665694	aarp65	1406	0	1396	2014-08-16	2014-08-16	NULL	4	2014-09-06	2014-09-04	0.0109	0.0116	0.0012
2053369	NayanataraM	1547	0	873	2014-05-09	2014-05-09	NULL	8	2014-06-04	2014-06-06	0.067	0.086	0.0521
