user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
213820	b_c	11852	0	6589	2009-12-31	2009-12-31	NULL	241	2011-03-29	2011-03-01	0.6717	0.7105
1320246	arthurchumak	10046	0	5189	2014-02-05	2014-02-05	NULL	133	2014-12-16	2014-11-12	0.8705	0.9597
1719801	q3137	11161	0	5566	2013-08-22	2013-09-25	NULL	62	2013-12-22	2014-01-07	0.395	0.3748
515330	Alexey_ND	43095	1	21585	2011-09-01	2011-09-01	2013-09-19	268	2013-08-02	2013-05-08	0.1048	0.0786
112677	Sergey Azarkevich	6672	3	2300	2009-07-08	2009-07-08	2009-09-08	44	2010-04-25	2009-12-09	0.1709	0.0998
1396577	shrddr	72096	0	27527	2013-04-27	2013-04-27	NULL	248	2015-06-11	2015-04-06	0.7749	0.8362
86479	osm-belarus	18833	0	2778	2008-12-21	2009-07-16	NULL	60	2011-09-18	2011-02-02	0.0493	0.0112
270915	Hegny	21509	0	11800	2011-12-28	2011-12-28	NULL	23	2012-09-11	2012-07-19	0.1219	0.0901
129758	pOison	27800	0	19009	2009-05-29	2009-05-29	NULL	90	2010-07-25	2010-04-17	0.308	0.3256
186987	bushyla	9571	0	9305	2009-10-17	2009-10-17	NULL	32	2010-05-10	2010-05-12	0.7884	0.8189
449017	bes_internal	21511	0	9503	2011-05-04	2011-05-04	NULL	121	2012-12-03	2012-12-27	0.108	0.165
71631	andrewsh	8848	0	4874	2008-10-07	2009-02-03	NULL	151	2010-12-28	2010-04-01	0.0882	0.1062
380564	danvyr	21750	0	17727	2010-12-06	2010-12-06	NULL	145	2015-03-04	2015-05-23	0.1206	0.1269
486950	M10	7959	0	5482	2011-07-12	2011-07-12	NULL	100	2014-11-17	2014-11-16	0.6909	0.7211
862503	applemat	7568	0	6222	2012-09-06	2012-09-06	NULL	77	2013-09-21	2013-03-07	0.1072	0.1029
563561	Zergez	9072	0	3476	2011-12-04	2011-12-04	NULL	75	2012-03-06	2012-02-12	0.215	0.1568
3088953	Panorama-mingas	11374	0	10052	2015-07-24	2015-07-24	NULL	38	2015-12-02	2015-12-14	0.6255	0.7959
29320	Komяpa	257588	20	176717	2008-03-01	2008-03-01	2008-03-22	453	2010-11-06	2010-07-12	0.1128	0.1139
74135	borism346	7118	0	645	2008-10-22	2008-10-29	NULL	177	2012-02-12	2009-07-09	0.0697	0.0207
450366	iglezz	71351	0	33839	2011-09-23	2011-09-23	NULL	178	2014-01-14	2013-04-29	0.7944	0.818
78039	sanek999	18090	6	3707	2008-11-13	2008-11-13	2008-11-14	31	2009-02-01	2008-12-15	0.2088	0.1629
34326	Asdert	14041	3	8689	2008-05-07	2008-05-07	2008-05-12	42	2008-10-18	2008-08-13	0.5194	0.6439
31882	Jagor	42644	8	16995	2008-03-30	2008-03-30	2008-03-30	122	2008-10-30	2008-09-05	0.4962	0.9037
519956	IKS__BY	18219	0	3682	2011-10-25	2011-10-25	NULL	37	2012-12-25	2012-03-18	0.0446	0.0183
234168	Расслабон	203647	1	66745	2010-02-16	2010-02-16	2014-03-26	508	2014-02-03	2014-04-18	0.4877	0.4496
549827	MastZ	6344	0	4695	2011-11-07	2011-11-07	NULL	49	2012-02-26	2012-02-26	0.0792	0.0982
285344	dima67574	8409	1	6631	2010-05-09	2010-05-12	2011-01-21	36	2010-10-29	2010-11-11	0.8102	0.8347
3322697	exorcist88	9546	0	5440	2015-10-20	2015-10-20	NULL	19	2015-11-22	2015-11-16	0.7053	0.907
29431	jekhor	17794	0	3820	2008-04-28	2008-04-28	NULL	108	2010-06-06	2009-12-02	0.1727	0.0838
109654	timerov	36979	0	5655	2009-03-22	2009-03-22	NULL	95	2010-03-03	2009-10-27	0.8925	0.756
174731	severality	7485	0	4944	2011-06-22	2011-06-22	NULL	112	2014-10-16	2014-10-16	0.069	0.0607
21417	wildMan	257300	346	196574	2007-12-10	2007-12-10	2007-12-10	348	2009-08-12	2008-09-23	0.0898	0.1073
381729	Uhx	997	0	716	2012-08-27	2012-08-27	NULL	16	2013-05-20	2012-11-30	0.0629	0.0572
631868	rgiyf	7	0	1	2016-01-13	2016-01-13	NULL	1	2016-01-13	2016-01-13	0.875	1.0
414529	irrisorrimus	3090	0	981	2011-02-26	2011-02-26	NULL	55	2011-09-07	2011-09-10	0.6486	0.4957
278075	[F1]MiSHuTka	3477	0	2338	2010-12-01	2010-12-01	NULL	87	2012-08-30	2012-08-12	0.1392	0.1149
134851	kos32	2882	0	141	2009-08-05	2009-12-15	NULL	17	2011-02-24	2010-02-03	0.0288	0.0032
70279	AlexeySi	3435	0	3307	2008-10-12	2008-10-12	NULL	9	2009-05-06	2008-12-09	0.0644	0.0659
384855	Vad_73	3583	0	1413	2010-12-17	2010-12-17	NULL	46	2013-06-01	2013-07-26	0.7941	0.7983
159783	andrejczyk	2812	0	2269	2011-12-22	2012-01-12	NULL	47	2012-08-24	2012-07-26	0.4316	0.9201
388123	dez	1460	0	471	2013-05-20	2013-05-20	NULL	14	2014-08-01	2014-08-10	0.0428	0.0196
377096	varjat	2710	0	1923	2010-11-29	2010-11-29	NULL	49	2012-12-22	2012-04-24	0.5596	0.5935
203838	Sasha_Nahayko_oldprofile	2313	0	1595	2009-12-16	2009-12-16	NULL	57	2011-03-16	2011-04-06	0.4076	0.6062
425120	mprach	2186	0	638	2011-09-16	2011-09-18	NULL	74	2012-10-11	2012-09-06	0.1293	0.0714
138038	alx	2234	2	1682	2009-06-25	2009-06-25	2009-07-31	32	2010-01-18	2009-09-07	0.1143	0.15
350717	favask	1707	0	1347	2013-07-10	2013-07-10	NULL	85	2014-10-22	2014-11-30	0.6984	0.7841
53495	aliaksei	2769	1	2087	2008-07-24	2008-07-24	2008-08-08	27	2008-09-17	2008-09-18	0.5297	0.5118
3019436	Igor Sharovar	1582	0	795	2015-06-28	2015-06-28	NULL	4	2015-07-07	2015-07-08	0.0126	0.0074
76410	alex73	2546	0	42	2013-10-13	2013-10-13	NULL	29	2014-09-12	2014-12-30	0.079	0.2593
367897	Sokol9111	2242	0	1195	2010-11-07	2010-11-07	NULL	12	2011-10-13	2012-02-23	0.9404	0.9214
413914	KartaBY	1562	0	1193	2014-08-05	2014-08-05	NULL	9	2014-09-30	2014-09-22	0.0037	0.0033
388440	d_kMT50	1601	0	800	2010-12-27	2010-12-27	NULL	32	2012-02-25	2012-02-28	0.3653	0.2592
2175566	Eropification	2302	0	2095	2015-05-18	2015-05-18	NULL	11	2015-06-26	2015-06-07	0.0932	0.1006
225555	MblKiTA	1823	0	899	2010-01-27	2010-02-14	NULL	167	2011-06-18	2010-12-10	0.485	0.4046
75770	uamana	1663	0	187	2008-10-27	2008-10-27	NULL	8	2009-09-29	2008-11-11	0.9579	1.0
188024	Schmelenok	1819	0	920	2009-10-19	2009-10-19	NULL	21	2011-08-22	2011-11-29	0.3998	0.3806
131376	tibman	2046	0	1512	2009-06-12	2009-06-12	NULL	29	2009-09-18	2009-08-13	0.0475	0.0656
47914	grisha	2490	0	2196	2009-08-23	2009-08-23	NULL	61	2011-06-06	2011-06-19	0.1216	0.1342
2007589	Prostor9	2142	0	1789	2014-03-29	2014-03-29	NULL	23	2014-07-11	2014-04-24	0.4024	0.4719
112398	bigopenmac	1716	0	1055	2009-10-17	2009-10-17	NULL	101	2014-09-05	2014-12-01	0.1597	0.1336
3091348	Reinkarnator	2710	0	2296	2015-07-24	2015-07-24	NULL	9	2015-10-03	2015-08-12	0.618	0.6558
76243	ViniPda	2527	0	936	2009-06-19	2009-06-19	NULL	68	2010-05-09	2010-04-07	0.3253	0.3515
365631	shliman	2459	0	1790	2010-11-01	2010-11-01	NULL	16	2010-11-28	2010-11-22	0.9407	0.9956
88164	Med	15	0	0	2015-07-12	NULL	NULL	1	2015-07-12	2015-07-12	0.0002	0.0
126537	Unomano	4802	0	2993	2010-08-04	2010-08-04	NULL	192	2014-04-05	2014-02-15	0.2052	0.1827
35410	Zits	1383	0	1242	2008-04-21	2008-04-21	NULL	7	2010-04-22	2008-05-20	0.901	0.9583
217232	dikmax	889	0	542	2010-01-09	2010-01-09	NULL	15	2013-05-04	2013-01-30	0.6447	0.6237
397326	trolleway	5420	0	5295	2011-10-30	2011-10-30	NULL	14	2014-02-05	2014-03-01	0.0039	0.0042
603398	AndreiTk	1304	0	324	2012-02-11	2012-02-11	NULL	4	2012-08-30	2012-02-25	0.8711	0.8351
268171	vshcherb	3888	0	2789	2010-04-17	2010-04-17	NULL	38	2010-08-22	2010-06-12	0.4646	0.6817
731311	Latentor	6028	0	2243	2014-02-05	2014-02-05	NULL	92	2015-04-17	2015-06-01	0.1196	0.0814
317898	Torzer	1359	0	826	2010-07-13	2010-07-13	NULL	13	2010-10-23	2011-04-01	0.4635	0.6082
3070773	i+f	933	0	631	2015-07-17	2015-07-17	NULL	54	2015-11-09	2015-10-17	0.9006	1.0
394875	yarosl	1011	0	635	2011-01-13	2011-01-13	NULL	9	2011-09-02	2011-04-04	0.188	0.2062
540710	Dobrogor	4382	0	725	2011-10-23	2011-10-23	NULL	29	2014-01-10	2013-02-25	0.0687	0.0181
515217	Doctor Frankenstein	5329	0	2217	2011-09-01	2011-09-01	NULL	44	2013-03-06	2012-11-30	0.4625	0.4213
507032	eimista	6339	0	3326	2012-04-12	2012-07-30	NULL	43	2014-01-30	2013-05-19	0.8856	1.0
211288	kakub	1196	0	857	2009-12-23	2009-12-23	NULL	175	2012-12-17	2013-04-21	0.4316	0.4681
155088	mixdm	5554	0	2924	2010-09-23	2010-09-23	NULL	296	2013-01-31	2012-10-20	0.0021	0.0018
318793	wampire	1421	0	868	2013-09-08	2013-09-08	NULL	34	2014-09-25	2014-04-07	0.6973	0.7239
