user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
224440	Syl	1	0	0	2012-10-03	NULL	NULL	1	2012-10-03	2012-10-03	0.0	0.0	0.0
143865	Francisco Castro	2219	5	2117	2009-07-09	2009-07-09	2009-07-09	13	2010-03-22	2009-11-15	0.8075	0.8448	0.4215
70696	xybot	220761	0	0	2009-09-21	NULL	NULL	12	2011-02-15	2010-10-12	0.0656	0.0	0.0656
384351	EkiZ	24671	7	21677	2010-12-17	2010-12-17	2010-12-24	40	2013-01-05	2014-04-18	0.8685	0.9231	0.6083
17497	katpatuka	5618	15	601	2008-12-25	2008-12-25	2008-12-25	2	2008-12-26	2008-12-25	0.0002	0.0	0.0013
138913	dklight	3788	12	3449	2009-06-25	2009-06-25	2009-07-06	17	2009-07-11	2009-07-14	0.9703	0.9868	0.8289
125041	Zeroth	62414	840	51454	2009-05-29	2009-05-29	2009-05-31	96	2010-02-11	2009-11-26	0.2936	0.2828	0.3573
683270	ilignelli	7985	0	6915	2012-05-16	2012-05-16	NULL	9	2012-06-23	2012-05-27	0.3568	0.5451	0.1104
755114	muralito	127364	58	90435	2012-07-26	2012-07-26	2012-09-08	580	2014-03-01	2013-05-12	0.1457	0.172	0.1061
226559	mardar	6197	0	64	2011-06-20	2011-06-20	NULL	3	2012-04-13	2013-05-06	0.0541	0.0597	0.054
55730	MaxM	328661	95	328588	2010-09-18	2010-09-18	2010-09-18	5	2010-10-02	2010-10-03	0.9539	1.0	0.0046
2536690	Romanvm	2067	0	1114	2015-03-07	2015-03-07	NULL	13	2015-03-22	2015-03-14	0.7788	1.0	0.6188
486142	dcal1982	26	0	19	2011-07-16	2011-07-16	NULL	4	2011-10-20	2011-09-28	0.8966	0.95	0.7778
379675	Hoverfish	3900	16	3358	2011-05-11	2011-05-11	2011-05-11	6	2011-05-18	2011-05-12	0.976	0.9964	0.8658
1617449	aceman444	1	0	0	2013-08-22	NULL	NULL	1	2013-08-22	2013-08-22	0.0	0.0	0.0
1758931	Jack Pham	2	0	2	2013-10-17	2013-10-17	NULL	1	2013-10-17	2013-10-17	0.0001	0.0001	0.0
613747	Pipebolso	5	0	5	2012-03-01	2012-03-01	NULL	1	2012-03-01	2012-03-01	1.0	1.0	-0.0
881549	Rafael Alvez Amor	10	0	3	2013-06-21	2013-06-21	NULL	5	2013-07-18	2013-07-15	1.0	1.0	1.0
1717864	castroal	16	0	4	2013-08-18	2013-08-18	NULL	2	2013-10-22	2013-09-19	0.6957	1.0	0.6316
481667	Martin Leibner	1	0	1	2011-07-04	2011-07-04	NULL	1	2011-07-04	2011-07-04	NULL	1.0	-0.0
