user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
80198	SoS	3158	0	0	2009-09-08	NULL	NULL	7	2009-11-25	2009-10-03	0.9329	NULL	0.9329
99343	cupoftea	13803	10	9027	2009-02-13	2009-02-13	2009-02-13	55	2009-10-10	2010-06-05	0.3745	0.3224	0.5395
213452	Felix5551	19	0	0	2010-01-12	NULL	NULL	1	2010-01-12	2010-01-12	1.0	NULL	1.0
962086	crab64	13338	0	7660	2012-10-09	2012-10-09	NULL	111	2013-06-25	2013-03-30	0.6856	0.6929	0.676
174822	Canabis	13193	0	5527	2009-11-23	2009-11-23	NULL	169	2011-02-11	2011-03-29	0.0984	0.0572	0.2051
1892	JLS	1	0	0	2009-02-06	NULL	NULL	1	2009-02-06	2009-02-06	0.0001	0.0	0.0009
227736	FtW	9365	0	6709	2010-03-06	2010-03-06	NULL	256	2012-08-22	2011-10-10	0.8557	0.9109	0.7421
75496	navigARTor	9497	0	3200	2008-10-30	2008-10-30	NULL	108	2009-08-13	2009-01-28	0.1445	0.0891	0.211
153221	Dimon	9342	0	7891	2009-08-09	2009-08-09	NULL	45	2010-04-14	2009-12-14	0.2669	0.2722	0.2411
1083405	vylekzhanin	8818	0	3187	2012-11-25	2012-11-25	NULL	206	2014-06-12	2014-02-10	0.5606	0.5835	0.5484
212137	rumigu	8913	0	4855	2009-12-26	2009-12-26	NULL	31	2012-02-15	2011-10-15	0.1248	0.0821	0.3305
381865	Oleg Naumov	7618	0	4951	2011-01-23	2011-01-23	NULL	44	2013-02-01	2012-09-16	0.4383	0.4294	0.4557
127494	chilin	9821	0	5452	2009-09-06	2009-09-06	NULL	158	2010-12-13	2010-12-26	0.0256	0.0186	0.0482
97421	vespex	8531	4	2721	2009-02-07	2009-12-08	2010-01-05	69	2010-06-24	2010-05-22	0.073	0.0284	0.2749
421524	Scondo	11914	0	7354	2011-03-14	2011-03-14	NULL	115	2012-09-05	2012-10-26	0.1872	0.1509	0.3059
363136	neo-plan	11292	0	9044	2010-10-26	2010-10-26	NULL	482	2014-04-25	2014-03-11	0.1469	0.1351	0.2259
117498	Tararan	8465	0	5559	2009-09-28	2009-09-28	NULL	71	2014-01-18	2015-07-21	0.8623	0.8927	0.8095
393484	staric	7698	0	7139	2011-01-23	2011-01-23	NULL	63	2011-06-24	2011-02-07	0.7505	0.7764	0.5264
161476	Alexandr Zeinalov	9398	0	2594	2009-10-11	2009-10-11	NULL	83	2011-12-17	2011-01-27	0.0474	0.0303	0.0603
71680	Fiks	9302	0	5208	2008-10-08	2008-10-08	NULL	161	2010-03-06	2009-06-29	0.4675	0.3557	0.7785
329833	pankdm	8966	0	6334	2010-08-31	2010-08-31	NULL	77	2012-01-22	2011-07-29	0.0193	0.016	0.0375
177747	Vadim Zudkin	7603	1	6643	2009-12-09	2009-12-09	2009-12-25	96	2011-10-20	2011-01-04	0.1586	0.1513	0.237
36778	asaw	11071	2	7497	2008-05-29	2008-05-29	2008-05-29	97	2010-02-24	2009-12-23	0.386	0.3919	0.374
218873	Stasik	7748	0	4384	2010-04-06	2010-04-06	NULL	36	2010-10-21	2011-01-09	0.0808	0.0547	0.2138
119110	Alastor	11893	0	10454	2009-06-30	2009-06-30	NULL	70	2010-04-19	2010-04-03	0.0847	0.1037	0.0364
72694	medvesonok	11743	1	6199	2008-10-11	2008-10-11	2008-10-25	58	2009-08-30	2009-03-18	0.9043	0.9387	0.8687
15220	dk42	10566	62	4100	2007-10-02	2007-10-02	2007-10-02	110	2008-12-19	2008-09-02	0.8292	0.8355	0.8252
70549	chakhlik	8214	0	2161	2008-10-07	2008-10-07	NULL	31	2009-03-12	2008-10-31	0.9766	0.9507	0.9862
273180	bopoh13	9970	0	2980	2010-04-22	2010-04-22	NULL	75	2011-02-13	2011-08-27	0.4153	0.4008	0.4218
357374	ynx	16884	0	6971	2010-10-11	2010-10-11	NULL	210	2014-04-07	2014-06-29	0.9069	0.9631	0.8712
380996	Enzet	12912	0	7326	2014-04-14	2014-04-14	NULL	62	2015-08-17	2015-08-07	0.3096	0.2106	0.8071
485808	Alexey Lukin	11951	0	2437	2013-10-25	2013-10-25	NULL	97	2015-07-02	2015-07-25	0.6446	0.5727	0.6661
224318	egens	7662	0	5250	2010-01-25	2010-01-26	NULL	32	2011-08-02	2010-12-07	0.626	0.6848	0.5274
12792	Vitaly	11071	80	5450	2007-09-01	2007-09-01	2007-09-01	45	2008-10-17	2008-10-01	0.1953	0.2412	0.1649
1419157	Erelen	10372	0	4749	2013-05-08	2013-05-08	NULL	174	2014-10-11	2014-08-10	0.3668	0.2802	0.4966
760215	pnorman redaction revert	8413	0	0	2012-08-30	NULL	NULL	2	2012-08-31	2012-08-31	0.0068	NULL	0.0068
1775856	Made Dragon	7687	0	1843	2013-10-15	2013-10-15	NULL	18	2014-03-01	2014-06-11	0.9028	0.9544	0.8876
610278	0x2102	8245	0	4276	2012-03-06	2012-03-06	NULL	249	2014-08-14	2014-09-27	0.2843	0.2579	0.3196
217830	Headache	10136	1	8479	2010-01-11	2010-01-11	2010-03-17	20	2010-02-15	2010-02-06	0.3171	0.2862	0.7072
198482	VikDD	12906	0	9963	2009-11-22	2009-11-22	NULL	328	2012-02-02	2011-11-10	0.0541	0.0482	0.0929
119393	SomeSergey	12586	1	10242	2009-05-22	2009-05-22	2010-02-28	62	2010-03-17	2010-01-27	0.8339	0.8124	0.9429
382604	MosKartograf	12737	0	9867	2010-12-11	2010-12-11	NULL	118	2012-02-09	2012-02-24	0.4625	0.5259	0.3269
177165	Ant70	10393	0	4069	2009-09-24	2009-09-24	NULL	55	2009-11-26	2009-10-14	0.5654	0.6037	0.5433
27371	vvoovv	7466	15	6073	2008-02-25	2008-02-25	2008-02-25	32	2008-07-06	2008-05-14	0.139	0.1504	0.1044
1214987	prcoder	13115	0	9598	2013-01-29	2013-01-29	NULL	51	2013-10-23	2013-04-09	0.8695	0.9974	0.6441
128299	MAXimall	10741	0	9548	2009-05-26	2009-06-24	NULL	100	2010-03-24	2009-10-12	0.2096	0.2009	0.3208
395071	Xmypblu	10894	0	6842	2011-01-20	2011-01-20	NULL	22	2012-02-03	2011-05-30	0.005	0.0033	0.0376
65320	hauler	11569	2	2707	2008-09-04	2008-09-04	2008-10-07	59	2009-05-13	2009-01-06	0.6451	0.5666	0.6737
154461	Antares19	10063	2	8184	2009-08-07	2009-08-07	2009-08-09	59	2010-06-20	2010-01-01	0.3828	0.3807	0.3926
1357067	dedVorchun	7392	0	2567	2013-04-25	2013-04-27	NULL	510	2014-05-22	2014-05-26	0.2789	0.1472	0.5326
241875	Flinty	6997	0	4324	2010-03-06	2010-03-06	NULL	29	2011-01-04	2010-10-29	0.9394	0.9861	0.8727
476819	Junglist	5034	0	2349	2013-05-29	2013-05-29	NULL	36	2014-10-05	2014-10-21	0.054	0.0326	0.1259
290271	Zverik	6665	0	2312	2010-11-09	2013-04-16	NULL	32	2014-11-20	2014-02-15	0.0134	0.0075	0.0231
48711	gogast	5382	0	4870	2010-04-03	2010-04-03	NULL	53	2010-09-19	2010-09-04	0.0858	0.0837	0.112
25594	CupIvan	5892	0	853	2012-03-29	2012-03-29	NULL	117	2013-02-24	2012-07-21	0.1431	0.0524	0.2025
75360	krysha	6263	0	2437	2008-11-05	2008-11-22	NULL	77	2010-10-28	2009-10-10	0.0457	0.026	0.0881
166234	Furcube	5383	0	2281	2009-09-01	2009-09-01	NULL	27	2010-05-21	2010-05-29	0.8516	0.8451	0.8564
210286	wawaka	6061	0	1882	2009-12-19	2009-12-19	NULL	36	2010-09-05	2010-04-28	0.2226	0.1163	0.378
154487	Calibrator	7351	0	3936	2009-08-07	2009-08-07	NULL	219	2012-03-27	2011-01-03	0.5041	0.5535	0.4572
570066	Urtchuk	4741	0	4449	2011-12-15	2011-12-15	NULL	20	2012-09-18	2012-07-07	0.0906	0.0897	0.1057
187551	Fomenko	4186	0	4111	2009-12-06	2009-12-06	NULL	13	2009-12-13	2009-12-09	0.9803	0.98	1.0
183099	depo	5484	0	5192	2009-10-08	2009-10-08	NULL	22	2009-12-19	2009-12-07	0.7436	0.768	0.4748
350434	Uriy_L	4318	0	2464	2010-11-14	2010-11-14	NULL	69	2011-01-19	2010-12-20	0.6976	0.8361	0.5717
233639	Cyantooth	5092	0	2846	2010-08-18	2010-08-18	NULL	72	2011-05-21	2011-08-12	0.1196	0.0831	0.2699
67729	parshin	6218	2	1144	2008-09-14	2008-09-14	2008-10-02	37	2009-08-26	2009-01-29	0.2765	0.1183	0.396
470206	newpavlov	7139	0	5661	2012-09-16	2012-09-16	NULL	49	2015-01-01	2015-07-29	0.0431	0.0407	0.0559
2261094	Daniil Musatov	4299	0	3024	2014-08-25	2014-08-25	NULL	36	2015-03-20	2015-04-03	0.577	0.5441	0.6739
214982	shilka	4168	0	2889	2010-01-06	2010-01-06	NULL	101	2011-01-01	2010-04-21	0.3342	0.3263	0.3535
228953	varnav	5057	0	3235	2010-02-04	2010-02-04	NULL	24	2011-12-18	2011-03-14	0.2929	0.2439	0.4556
371263	ksetdekov	7283	0	4699	2011-05-20	2011-05-20	NULL	140	2015-03-07	2015-05-28	0.4431	0.4472	0.4357
236129	Z440	4589	0	1455	2011-01-24	2011-01-24	NULL	23	2013-01-24	2012-09-18	0.0099	0.0047	0.0209
452889	Bludger	6657	3	5006	2011-05-11	2011-05-12	2011-05-12	32	2011-09-26	2011-09-16	0.1467	0.1344	0.2031
3431863	Alex-B-Fox	4260	0	1459	2015-12-05	2015-12-05	NULL	12	2015-12-25	2015-12-20	0.8618	0.8438	0.8715
337358	grayint3	6452	0	3983	2010-08-23	2010-08-23	NULL	42	2012-07-22	2012-09-17	0.0448	0.0372	0.0667
165465	MaXeP	4720	0	2244	2009-09-02	2009-09-02	NULL	103	2010-10-26	2010-06-05	0.2378	0.311	0.1959
1781102	elazarev	5217	0	2995	2013-11-19	2013-11-21	NULL	103	2014-11-07	2014-09-01	0.2045	0.4636	0.1167
457772	darkwish	4602	0	3038	2011-05-20	2011-05-20	NULL	184	2013-04-07	2013-04-09	0.7361	0.7032	0.8095
962812	KasTet	6404	0	5964	2012-10-25	2012-10-25	NULL	20	2013-03-27	2013-06-07	0.9583	1.0	0.612
29320	Komяpa	4534	0	1128	2009-12-22	2009-12-22	NULL	12	2012-07-04	2011-08-28	0.002	0.0007	0.0047
2767564	SergZL	7125	0	5090	2015-03-18	2015-03-18	NULL	105	2015-07-09	2015-06-22	0.1346	0.2353	0.065
547792	vdmit	4893	0	3978	2011-12-12	2011-12-12	NULL	53	2015-01-13	2015-02-26	0.4006	0.3964	0.4203
554227	Maxmeles	6028	0	3738	2012-11-19	2012-11-19	NULL	74	2013-10-23	2013-06-15	0.1452	0.1172	0.2379
205137	Alexey Guseynov	6406	0	4016	2009-12-06	2009-12-06	NULL	30	2010-05-06	2010-03-25	0.073	0.0573	0.136
165265	kefir	4154	0	459	2011-09-09	2011-09-09	NULL	4	2011-09-12	2011-09-11	0.9576	0.8596	0.9713
206189	slpak	6260	1	4279	2009-12-15	2009-12-15	2010-05-04	71	2010-08-11	2010-08-20	0.3196	0.3483	0.2714
126304	TarzanASG	6518	0	1813	2010-04-23	2010-04-23	NULL	67	2011-08-12	2011-11-09	0.1526	0.1437	0.1563
421825	asdqweasd	5525	0	2934	2011-03-16	2011-03-16	NULL	31	2013-11-13	2014-04-11	0.0646	0.0575	0.0749
689721	collob	7008	0	5319	2013-05-12	2013-05-12	NULL	80	2014-01-10	2013-12-18	0.4054	0.4568	0.2994
39086	AlexeyS	6300	0	3929	2010-07-20	2010-09-06	NULL	65	2011-11-18	2012-02-20	0.0194	0.0157	0.0315
23695	ZAV	5760	13	4394	2008-02-14	2008-02-14	2008-02-14	33	2010-01-28	2009-01-31	0.16	0.2312	0.0804
182180	x10kHz	4255	0	2587	2009-10-06	2009-10-06	NULL	23	2010-11-02	2010-09-05	0.7708	0.783	0.7527
97602	Chertov Maxim	4627	0	3880	2009-03-16	2009-03-16	NULL	8	2009-06-02	2009-08-01	0.9241	1.0	0.6628
14952	russpla	4393	100	3644	2007-10-02	2007-10-02	2007-10-02	58	2008-01-29	2008-01-06	0.0915	0.102	0.0609
498998	user2	4229	0	3971	2011-08-01	2011-08-01	NULL	22	2013-06-12	2013-07-04	0.9375	1.0	0.4778
139384	AKz	3835	0	3619	2009-07-07	2009-07-07	NULL	41	2010-06-20	2009-12-08	0.1587	0.1653	0.0949
38399	isagalaev	279	0	46	2008-12-15	2008-12-15	NULL	5	2009-02-28	2009-03-27	0.9929	1.0	0.9915
1813231	keng-ru	67	0	41	2013-11-20	2013-11-20	NULL	2	2013-11-21	2013-11-20	0.8701	1.0	0.7222
3324162	Kurunir_Lan	41	0	0	2015-12-23	NULL	NULL	1	2015-12-23	2015-12-23	1.0	NULL	1.0
503858	VonFront	33	0	2	2011-08-10	2011-08-10	NULL	2	2011-12-04	2012-02-08	1.0	1.0	1.0
444126	AlexVD	15	0	14	2011-04-25	2011-04-25	NULL	1	2011-04-25	2011-04-25	0.8333	1.0	0.25
207745	NE2	10	0	0	2010-08-06	NULL	NULL	1	2010-08-06	2010-08-06	0.0	0.0	0.0
628076	Homaro Defendi	6	0	5	2012-03-14	2012-03-14	NULL	1	2012-03-14	2012-03-14	1.0	1.0	NULL
2966369	zerru	5	0	2	2015-06-05	2015-06-05	NULL	1	2015-06-05	2015-06-05	1.0	1.0	1.0
3090855	Drafu	3	0	0	2015-08-01	NULL	NULL	1	2015-08-01	2015-08-01	0.125	0.0	0.1364
1757768	ksplinter	2	0	0	2013-09-26	NULL	NULL	1	2013-09-27	2013-09-27	1.0	NULL	1.0
623086	upcfrost	2	0	2	2012-05-30	2012-05-30	NULL	1	2012-05-30	2012-05-30	1.0	1.0	-0.0
1755460	Jefry Jonson	2	0	2	2013-09-24	2013-09-24	NULL	1	2013-09-24	2013-09-24	1.0	1.0	-0.0
3390503	Администратор магазина	2	0	1	2015-11-16	2015-11-16	NULL	1	2015-11-16	2015-11-16	1.0	1.0	NULL
3388818	Михаил Галушко	2	0	2	2015-11-15	2015-11-15	NULL	1	2015-11-15	2015-11-15	1.0	1.0	NULL
1758931	Jack Pham	2	0	2	2013-10-17	2013-10-17	NULL	1	2013-10-17	2013-10-17	0.0001	0.0001	0.0
1747845	Mikhail123	2	0	0	2013-09-17	NULL	NULL	1	2013-09-17	2013-09-17	0.1111	0.0	1.0
