user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
2905518	himabindhu	19966	0	16761	2015-06-11	2015-06-11	NULL	5	2015-06-13	2015-06-14	0.0577	0.053
2901753	vamshikrishna	22207	0	20280	2015-06-11	2015-06-11	NULL	4	2015-06-13	2015-06-13	0.0423	0.0448
2906619	saikumard	19821	0	15024	2015-06-12	2015-06-12	NULL	7	2015-06-16	2015-06-17	0.0865	0.0878
2913190	harishvarma	23392	0	23255	2015-06-10	2015-06-10	NULL	6	2015-06-13	2015-06-12	0.0514	0.0556
2897465	maheshrkm	29469	0	9336	2015-06-13	2015-06-13	NULL	9	2015-06-25	2015-06-23	0.0494	0.0447
2900372	Apreethi	21998	0	18806	2015-06-11	2015-06-11	NULL	6	2015-06-14	2015-06-13	0.0441	0.0422
2901516	bindhu	20867	0	17252	2015-06-10	2015-06-10	NULL	7	2015-06-16	2015-06-14	0.0542	0.0565
2950032	Nagarjunreddy	34822	0	18394	2015-06-10	2015-06-10	NULL	16	2015-07-02	2015-06-30	0.1294	0.1449
2900596	harisha	22388	0	21951	2015-06-11	2015-06-11	NULL	5	2015-06-16	2015-06-15	0.0422	0.0458
28466	shekhar	101341	0	97425	2008-07-02	2008-07-02	NULL	62	2011-08-19	2010-06-18	0.9824	0.9999
2949585	venkatkotha	40106	0	24920	2015-06-10	2015-06-10	NULL	9	2015-06-26	2015-06-26	0.0953	0.1139
2901478	premkumar	27113	0	21140	2015-06-10	2015-06-10	NULL	7	2015-06-17	2015-06-14	0.0399	0.0369
2901500	pvprasad	32080	0	10688	2015-06-10	2015-06-10	NULL	12	2015-06-21	2015-06-15	0.0832	0.0339
99655	MJL Wood	57218	35	30904	2009-07-09	2009-07-09	2009-08-06	163	2010-03-17	2010-02-06	0.2476	0.1774
1306	PlaneMad	62083	163	46631	2010-01-24	2010-01-24	2010-01-24	141	2012-07-19	2012-04-14	0.0315	0.0322
2901769	anushap	39439	0	30798	2015-06-10	2015-06-10	NULL	7	2015-06-13	2015-06-13	0.2279	0.2073
2901493	himalay	24348	0	16591	2015-06-12	2015-06-12	NULL	7	2015-06-21	2015-06-21	0.0533	0.0444
2901758	anthony1	37746	0	30488	2015-06-10	2015-06-10	NULL	7	2015-06-13	2015-06-13	0.0844	0.0814
56597	Oberaffe	30251	5	2772	2010-06-22	2013-05-19	2013-05-19	22	2014-09-26	2010-12-17	0.0064	0.0008
2907738	vamshiN	29397	0	25102	2015-06-10	2015-06-10	NULL	6	2015-06-13	2015-06-13	0.0618	0.0629
2897305	Ashok09	64313	0	25293	2015-06-24	2015-06-24	NULL	13	2015-07-04	2015-07-02	0.1686	0.1633
1293487	Giyavudeen	27420	0	26694	2013-03-23	2013-03-23	NULL	12	2013-03-30	2013-03-29	0.6556	0.6745
2900563	thrinath	20668	0	17733	2015-06-10	2015-06-10	NULL	5	2015-06-12	2015-06-12	0.0526	0.0549
12946	AND	27123	254	27123	2008-02-04	2008-02-04	2008-02-04	1	2008-02-04	2008-02-04	0.004	0.0069
2905734	sampath reddy	20062	0	19084	2015-06-11	2015-06-11	NULL	5	2015-06-13	2015-06-14	0.055	0.0583
2901764	kushwanth	34624	0	15638	2015-06-10	2015-06-10	NULL	5	2015-06-13	2015-06-14	0.0854	0.0444
2996436	ravikumar1	35373	0	9667	2015-06-23	2015-06-23	NULL	9	2015-07-06	2015-07-08	0.1	0.0672
2901519	sravann	19940	0	17991	2015-06-11	2015-06-11	NULL	8	2015-06-18	2015-06-14	0.053	0.0615
2949621	Narsimulu	56840	0	27008	2015-06-10	2015-06-10	NULL	15	2015-07-03	2015-07-02	0.1456	0.1679
2897134	Naresh08	43856	0	13708	2015-06-24	2015-06-24	NULL	11	2015-07-05	2015-07-07	0.1505	0.1317
2949569	Rahuldhanraj	41246	0	23844	2015-06-10	2015-06-10	NULL	12	2015-06-27	2015-06-24	0.1453	0.1205
715224	parambyte	43643	0	40618	2012-11-01	2012-11-01	NULL	158	2014-05-23	2013-12-17	0.0483	0.0474
2913195	sathishshetty	26311	0	24718	2015-06-10	2015-06-10	NULL	8	2015-06-14	2015-06-14	0.0859	0.0884
2900516	jasvinderkaur	38832	0	27484	2015-06-10	2015-06-10	NULL	6	2015-06-13	2015-06-14	0.0635	0.0548
2907704	kranthikumar	32263	0	26818	2015-06-11	2015-06-11	NULL	5	2015-06-13	2015-06-13	0.0809	0.0752
2897104	Srikanth07	33943	0	20343	2015-06-26	2015-06-26	NULL	11	2015-07-06	2015-07-06	0.1278	0.1603
224440	Syl	6	0	0	2012-10-03	NULL	NULL	2	2013-03-09	2012-11-25	0.0001	0.0
207745	NE2	2	0	0	2010-08-06	NULL	NULL	1	2010-08-06	2010-08-06	0.0	0.0
94872	KkB	10235	31	1825	2009-01-27	2009-01-27	2009-01-27	17	2009-03-20	2009-02-17	0.9182	0.9505
2907853	masthanvali	17984	0	15995	2015-06-10	2015-06-10	NULL	6	2015-06-13	2015-06-12	0.0418	0.0416
2915929	hareesh11	9686	0	8801	2015-06-10	2015-06-10	NULL	4	2015-06-13	2015-06-12	0.0259	0.0261
57987	deye	6069	0	1692	2009-02-16	2009-02-16	NULL	8	2009-03-10	2009-02-19	0.8587	0.9302
2907745	shivajim	4300	0	3495	2015-06-12	2015-06-12	NULL	2	2015-06-15	2015-06-13	0.0161	0.0154
2900478	rajashaker	14688	0	12086	2015-06-10	2015-06-10	NULL	5	2015-06-12	2015-06-12	0.041	0.0368
1603038	gaurav jain	6935	0	6858	2013-07-02	2013-07-02	NULL	10	2013-07-07	2013-07-08	0.9758	1.0
1821999	Aadesh	3982	0	3962	2013-11-28	2013-11-28	NULL	10	2013-12-29	2014-01-09	0.9945	1.0
2901739	pallavi1	6888	0	2486	2015-06-11	2015-06-11	NULL	4	2015-06-14	2015-06-13	0.023	0.0099
2910514	akhilsai	4688	0	4596	2015-06-11	2015-06-11	NULL	2	2015-06-12	2015-06-11	0.0217	0.0256
2901502	shalinins	11221	0	9119	2015-06-10	2015-06-10	NULL	5	2015-06-12	2015-06-12	0.0478	0.0429
2897436	venkatesh10	12313	0	7631	2015-06-16	2015-06-16	NULL	14	2015-08-06	2015-06-26	0.0414	0.0845
1157969	singleton	11185	0	6005	2013-02-27	2013-02-27	NULL	36	2014-05-25	2014-03-10	0.073	0.0549
2905508	sdivya	13906	0	13320	2015-06-11	2015-06-11	NULL	4	2015-06-13	2015-06-13	0.0359	0.0397
3163276	monalip	5443	0	1531	2015-10-20	2015-10-20	NULL	6	2015-10-23	2015-10-23	0.0521	0.0168
2901517	subhashini	15621	0	12985	2015-06-10	2015-06-10	NULL	6	2015-06-13	2015-06-12	0.0534	0.0497
