user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
408968	ngendahayojc	41931	1	41191	2011-02-14	2011-02-14	2011-08-16	48	2011-08-24	2011-08-26	0.8419	0.8463	0.6526
343553	mathias_on_the_road	29788	409	24054	2010-09-10	2010-09-10	2010-11-02	187	2012-09-10	2012-06-11	0.105	0.1242	0.0636
261009	Blasio	10429	2	6639	2010-04-08	2010-04-08	2012-11-20	108	2013-07-25	2013-06-04	0.3032	0.2893	0.331
18236	bo_robert_pedersen	38540	339	29589	2008-04-13	2008-04-13	2008-04-13	95	2009-03-19	2008-10-28	0.2394	0.5446	0.0839
596047	Rps333	25421	84	23793	2012-07-27	2012-07-27	2013-06-20	66	2014-01-03	2014-02-06	0.0389	0.0445	0.0137
204196	auds74	116	0	0	2009-12-02	NULL	NULL	3	2010-01-22	2009-12-22	0.9831	NULL	0.9831
214969	AndrewBuck	1358	0	1308	2011-08-19	2011-08-19	NULL	3	2012-04-28	2011-10-15	0.0002	0.0003	0.0001
617871	simoa	1200	0	1136	2012-03-05	2012-03-05	NULL	6	2013-10-18	2014-07-19	0.8287	1.0	0.2051
261003	omino	6943	0	4472	2010-04-19	2010-04-19	NULL	43	2012-09-17	2013-07-13	0.26	0.2742	0.2378
2277137	MarthaT	2197	2	2135	2014-11-03	2014-11-03	2014-11-03	6	2014-11-17	2014-11-22	0.1331	0.1679	0.0163
19239	ebrelsford	2469	0	99	2010-08-11	2010-08-11	NULL	10	2010-09-28	2010-10-14	0.073	0.0041	0.2461
21640	namtih58	9377	20	1165	2007-12-12	2007-12-12	2007-12-12	4	2008-08-19	2008-01-08	0.9899	1.0	0.9884
2461019	Anne Qoey	1784	0	1766	2014-11-25	2014-11-25	NULL	5	2014-11-27	2014-11-26	0.9229	0.9429	0.3
261848	hassanow	1567	0	1365	2010-04-27	2010-04-30	NULL	25	2011-01-31	2011-01-18	0.3621	0.3407	0.6312
5891	Accurimbono	1109	0	90	2009-01-24	2009-01-24	NULL	1	2009-01-24	2009-01-24	0.0039	0.0013	0.0047
651221	Pallle	2857	25	2785	2012-06-14	2012-06-14	2012-06-14	2	2012-06-16	2012-06-16	0.1863	0.2028	0.045
215343	Map Kibera	6475	0	6475	2010-01-12	2010-01-12	NULL	1	2010-01-12	2010-01-12	1.0	1.0	NULL
60110	dale_p	9365	58	8554	2012-09-24	2012-09-24	2012-10-01	6	2012-11-05	2012-10-18	0.0221	0.0369	0.0042
338627	GCA	2584	0	2295	2014-09-18	2014-11-08	NULL	21	2015-06-17	2015-09-03	0.0147	0.0138	0.0313
345885	simonndunda	1204	0	1073	2010-09-26	2010-09-26	NULL	7	2010-10-01	2010-10-03	0.9533	1.0	0.6895
1805170	aarondennis	3234	0	2864	2015-08-11	2015-08-11	NULL	2	2015-08-12	2015-08-11	0.0348	0.0378	0.0215
1837088	SohelUK	1317	0	1317	2013-12-16	2013-12-16	NULL	2	2014-05-05	2014-09-21	0.7839	0.7839	NULL
6494	FranBoon	1288	91	1288	2007-05-30	2007-05-30	2007-05-30	14	2007-06-16	2007-06-15	0.0258	0.0306	0.0
265690	fondolucy	2098	0	802	2010-04-14	2010-04-14	NULL	92	2013-11-06	2013-09-12	0.3837	0.2113	0.7751
385027	Ori952	1679	0	995	2014-09-03	2014-09-03	NULL	4	2015-01-29	2014-09-19	0.0054	0.0052	0.0057
294552	ZMWandelaar	1550	3	1140	2011-01-11	2011-01-11	2011-01-11	3	2011-01-25	2011-01-29	0.0109	0.0176	0.0053
76281	Quinten Dengerink	2284	2	2261	2015-10-07	2015-10-07	2015-10-08	2	2015-10-08	2015-10-08	0.0489	0.05	0.0152
192579	smap77	1473	39	1377	2009-11-02	2009-12-12	2009-12-12	9	2010-01-26	2010-01-21	0.4986	0.5005	0.4729
261050	muindre	8486	0	3288	2010-04-14	2010-04-14	NULL	81	2013-06-23	2014-06-20	0.3403	0.2348	0.4755
1183974	myxor	8012	7	7941	2013-01-03	2013-01-03	2015-05-26	11	2015-03-22	2015-05-26	0.2303	0.238	0.0501
101038	PZastoupil	3596	109	2875	2009-08-24	2009-08-24	2009-08-25	78	2010-01-25	2010-01-12	0.1336	0.155	0.0862
219668	sev_hotosm	2205	0	1996	2013-11-17	2013-11-17	NULL	6	2014-03-23	2013-11-20	0.0029	0.006	0.0005
261043	regynnah	1079	0	679	2010-04-14	2010-04-16	NULL	24	2012-01-01	2012-03-17	0.8319	1.0	0.6472
261053	anekeya	1182	0	535	2010-04-14	2010-04-14	NULL	44	2012-07-07	2012-04-23	0.8907	1.0	0.8169
35018	WingedStone	3118	18	2222	2010-02-25	2010-02-25	2011-04-10	24	2011-08-30	2011-11-14	0.0076	0.0065	0.014
301356	Jamwa	4625	2	3821	2010-06-09	2010-06-09	2015-12-29	101	2014-10-07	2014-11-16	0.4756	0.459	0.5743
345432	_AJ_	1138	17	1136	2010-09-11	2010-09-11	2010-09-11	1	2010-09-11	2010-09-11	1.0	1.0	1.0
314635	Christian Ledermann	1127	1	939	2010-07-06	2010-07-06	2010-08-16	51	2012-03-25	2012-08-10	0.1008	0.0918	0.1973
3139330	Metpally	1119	0	1107	2015-08-10	2015-08-10	NULL	2	2015-08-11	2015-08-11	0.9747	1.0	0.2927
232642	PrimusK	9563	1	7524	2010-02-12	2010-02-12	2010-05-22	48	2011-04-09	2011-05-17	0.3244	0.291	0.5637
1535212	danbjoseph	1455	0	1273	2015-07-22	2015-07-22	NULL	6	2015-08-14	2015-08-21	0.0021	0.0021	0.0019
1122708	zaizone	2658	0	1379	2013-09-11	2013-09-11	NULL	7	2013-12-13	2013-09-28	0.004	0.0024	0.0125
999	mikelmaron	1188	0	322	2009-10-28	2009-10-28	NULL	79	2012-04-21	2012-01-21	0.017	0.0069	0.0366
429920	othuol	2412	0	2142	2011-04-14	2011-04-14	NULL	39	2012-12-19	2012-12-20	0.6632	0.7097	0.4362
3139249	Sarah Latoza	1208	0	1201	2015-08-10	2015-08-10	NULL	2	2015-08-13	2015-08-12	0.9179	0.9175	1.0
3165119	Tim Miller	657	0	586	2015-08-19	2015-08-19	NULL	1	2015-08-20	2015-08-20	0.7149	0.7173	0.6961
98876	rsoden	763	72	763	2009-04-21	2009-04-21	2009-04-21	2	2009-05-02	2009-04-29	0.003	0.0033	0.0
245634	NickJOB	746	4	597	2011-11-19	2011-11-19	2011-11-19	9	2012-07-01	2012-09-14	0.0063	0.006	0.008
3139318	hlaw-yahoo	574	0	570	2015-08-10	2015-08-10	NULL	1	2015-08-10	2015-08-10	1.0	1.0	1.0
3139514	arnoux_yhoo	559	0	557	2015-08-10	2015-08-10	NULL	2	2015-08-11	2015-08-11	0.9876	1.0	0.2222
1815735	Giblet	928	0	906	2015-10-14	2015-10-14	NULL	2	2015-10-15	2015-10-15	0.0036	0.006	0.0002
3139312	pakJeem	763	0	570	2015-08-10	2015-08-10	NULL	1	2015-08-10	2015-08-10	0.8366	1.0	0.5643
478924	flupflip	679	0	625	2012-02-19	2012-02-19	NULL	1	2012-02-19	2012-02-19	0.3105	0.3537	0.1286
3139493	abrarsheikh	815	0	815	2015-08-10	2015-08-10	NULL	2	2015-08-11	2015-08-11	0.9807	1.0	0.0
3139325	Sean Hu	900	0	894	2015-08-10	2015-08-10	NULL	2	2015-08-11	2015-08-11	0.9259	1.0	0.0769
1213353	Ouma	665	6	651	2013-01-28	2013-01-28	2013-11-22	5	2013-08-28	2013-11-10	0.0229	0.0225	0.1085
579394	ekala	534	0	475	2012-01-04	2012-01-04	NULL	2	2012-01-05	2012-01-05	0.916	0.9979	0.5514
562199	jameli	549	0	548	2011-11-30	2011-11-30	NULL	1	2011-11-30	2011-11-30	1.0	1.0	NULL
531109	Deed91	558	0	532	2011-10-03	2011-10-03	NULL	8	2012-12-29	2013-03-08	0.3814	0.3961	0.2167
719422	pund	841	0	840	2015-08-10	2015-08-10	NULL	1	2015-08-10	2015-08-10	1.0	1.0	NULL
3356190	Max Fiege	743	0	735	2015-11-13	2015-11-13	NULL	1	2015-11-14	2015-11-14	0.793	0.7955	0.6154
429956	mwaura	606	0	588	2012-11-28	2012-11-28	NULL	2	2013-01-09	2013-01-19	1.0	1.0	1.0
261018	kevole	552	0	426	2010-04-09	2010-04-09	NULL	21	2011-10-31	2011-11-15	0.9805	1.0	0.9197
319678	tordenmalm	854	2	846	2010-09-09	2010-09-09	2011-01-01	4	2010-10-16	2010-10-12	0.128	0.1345	0.0208
6458	user_6458	635	2	312	2012-08-29	2012-08-29	2015-10-28	8	2015-01-07	2015-10-15	0.0476	0.0674	0.0371
2043776	Drewbo	600	0	600	2015-07-28	2015-07-28	NULL	1	2015-07-29	2015-07-29	0.0862	0.0946	0.0
3165110	kaizhi	644	0	644	2015-08-19	2015-08-19	NULL	1	2015-08-20	2015-08-20	0.9135	1.0	0.0
2267193	caromimo	906	0	903	2015-11-14	2015-11-14	NULL	2	2015-11-15	2015-11-15	0.7078	0.7525	0.0375
677828	JackHarber	551	0	531	2012-05-09	2012-05-09	NULL	3	2012-05-10	2012-05-09	0.9804	1.0	0.6452
521872	Bentez	583	0	528	2011-09-14	2011-09-14	NULL	4	2011-09-29	2011-09-23	0.9932	1.0	0.9322
125259	abc26324	746	1	746	2013-11-18	2013-11-18	2014-02-02	2	2013-12-26	2013-12-21	0.0004	0.0005	0.0
261052	millicentoo	850	0	516	2010-04-14	2010-04-14	NULL	27	2012-01-29	2012-10-14	0.9341	0.9981	0.8499
769728	mathareriver	685	0	381	2012-08-04	2012-08-04	NULL	6	2012-12-02	2012-12-01	0.6073	1.0	0.407
110656	eebrah	561	1	527	2010-09-04	2010-09-04	2010-09-04	16	2013-03-29	2014-01-17	0.8565	1.0	0.2656
3139492	hshahyahoo	636	0	636	2015-08-10	2015-08-10	NULL	2	2015-08-11	2015-08-11	1.0	1.0	-0.0
24440	jaakkoh	542	0	256	2012-05-27	2012-05-27	NULL	1	2012-05-27	2012-05-27	0.001	0.0009	0.0013
338611	marek kleciak	575	0	361	2011-03-28	2011-03-28	NULL	4	2012-07-29	2012-03-20	0.0003	0.0002	0.0004
1295	robert	554	6	539	2008-02-03	2008-02-03	2008-02-03	1	2008-02-03	2008-02-03	0.0016	0.002	0.0002
224440	Syl	8	0	0	2012-10-03	NULL	NULL	2	2012-10-04	2012-10-04	0.0001	0.0	0.0001
88164	Med	2	0	0	2013-03-24	NULL	NULL	1	2013-03-24	2013-03-24	0.0	0.0	0.0
392438	paddyoneil	501	1	489	2011-01-06	2011-01-06	2011-01-06	1	2011-01-07	2011-01-07	1.0	1.0	1.0
3165250	yaoliu	446	0	446	2015-08-19	2015-08-19	NULL	1	2015-08-20	2015-08-20	0.9409	1.0	0.0
2148477	eosano	534	7	534	2014-07-22	2014-07-22	2014-07-22	5	2014-10-29	2014-11-29	0.0127	0.0133	0.0
599371	iskenderun	470	9	444	2012-02-04	2012-02-04	2012-02-04	5	2012-11-06	2012-12-21	0.011	0.0111	0.0099
3139332	Suhas S	509	0	508	2015-08-10	2015-08-10	NULL	1	2015-08-10	2015-08-10	1.0	1.0	NULL
1486839	ypid	450	0	0	2013-09-08	NULL	NULL	7	2013-12-11	2013-11-21	0.1098	0.0	0.1102
194012	Gitonga	1017	8	865	2010-04-09	2010-04-09	2010-04-13	15	2010-08-22	2010-08-11	0.0541	0.0512	0.08
3156549	ddubyaw	520	0	516	2015-08-17	2015-08-17	NULL	1	2015-08-17	2015-08-17	0.9924	1.0	0.5
70260	Gerit Wagner	438	0	418	2010-11-25	2010-11-25	NULL	1	2010-11-25	2010-11-25	0.0003	0.0005	0.0
