user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
NULL	NULL	92	0	0	2007-10-24	NULL	NULL	2	2007-10-27	2007-10-28	NULL	NULL
46408	jks	10	0	0	2008-06-17	NULL	NULL	1	2008-06-17	2008-06-17	1.0	NULL
318696	n76	1	0	0	2014-02-09	NULL	NULL	1	2014-02-09	2014-02-09	0.0	0.0
30521	dufekin	57594	0	35099	2011-06-29	2011-06-29	NULL	54	2013-03-21	2013-10-27	0.041	0.0475
12290	crystalwalrein	80929	3	25131	2008-02-29	2008-02-29	2009-01-26	106	2009-08-17	2009-02-09	0.0652	0.0603
165869	chdr	65970	7	63935	2009-08-31	2009-08-31	2009-09-01	139	2010-08-26	2010-04-13	0.1304	0.1324
1424765	Korzun	55529	0	45570	2013-05-07	2013-05-07	NULL	208	2014-07-16	2014-08-02	0.5915	0.6404
120146	TIGERcnl	64704	129	64704	2009-07-11	2009-07-11	2009-07-11	4	2009-07-17	2009-07-15	0.0123	0.0123
2088097	DawsZed	7690	1	6995	2014-05-23	2014-05-23	2015-07-18	28	2015-07-21	2015-08-16	0.8229	0.8889
2504882	mrnyc	1	0	1	2014-12-05	2014-12-05	NULL	1	2014-12-05	2014-12-05	NULL	1.0
2011343	Benvc	1	0	0	2014-04-03	NULL	NULL	1	2014-04-03	2014-04-03	0.1429	0.0
1683055	Nyq	4534	0	3396	2013-11-25	2013-11-25	NULL	17	2013-12-24	2013-12-25	0.9255	1.0
768145	Jotam	283	0	0	2015-06-03	NULL	NULL	3	2015-06-05	2015-06-05	0.002	0.0
88164	Med	188	0	0	2015-05-10	NULL	NULL	3	2015-05-14	2015-05-13	0.0029	0.0
70659	gridlockjoe	1	0	0	2009-08-07	NULL	NULL	1	2009-08-07	2009-08-07	0.0	0.0
92274	adjuva	19	0	0	2011-08-13	NULL	NULL	12	2013-02-11	2013-08-11	0.0001	0.0
250487	jharpster	2	0	0	2012-10-14	NULL	NULL	2	2012-10-16	2012-10-16	0.0006	0.0
394697	Degerlocher	1	0	1	2014-06-16	2014-06-16	NULL	1	2014-06-16	2014-06-16	0.0001	0.0002
634097	Ken Hoefer	2	0	1	2012-03-20	2012-03-20	NULL	1	2012-03-20	2012-03-20	1.0	1.0
57884	EdLoach	146	0	144	2010-07-19	2010-07-19	NULL	2	2012-05-23	2014-01-13	0.0	0.0001
339600	rpking	14	0	2	2010-08-29	2010-08-29	NULL	1	2010-08-28	2010-08-28	0.6667	1.0
2064779	monxolopez	11	0	7	2014-05-30	2014-05-30	NULL	1	2014-05-30	2014-05-30	0.8462	1.0
1554107	jgpacker	13	0	0	2014-05-01	NULL	NULL	2	2014-08-05	2014-06-14	0.0004	0.0
