user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
473650	3615fabe	4	0	3	2011-06-19	2011-06-19	NULL	1	2011-06-19	2011-06-19	0.1538	0.1154	NULL
63986	prowan	13	0	0	2008-08-29	NULL	NULL	1	2008-08-29	2008-08-29	0.9286	NULL	0.9286
472165	Fidne	4	0	0	2012-10-22	NULL	NULL	1	2012-10-22	2012-10-22	1.0	NULL	1.0
396733	Ch Pottier	4	0	1	2011-01-17	2011-01-17	NULL	1	2011-01-18	2011-01-18	1.0	1.0	1.0
52921	t-i	3	0	0	2010-07-04	NULL	NULL	1	2010-07-04	2010-07-04	0.0	0.0	0.0
2170694	Cemeke Pirketou	1	0	0	2014-07-20	NULL	NULL	1	2014-07-20	2014-07-20	1.0	NULL	1.0
1267435	Glop	1	0	0	2013-03-13	NULL	NULL	1	2013-03-13	2013-03-13	1.0	NULL	1.0
1704554	Laurent93	22967	0	8733	2013-08-04	2013-08-04	NULL	146	2014-03-30	2013-11-16	0.7825	0.8997	0.7246
163137	Baptiste Mazin	21805	0	21221	2009-08-26	2009-08-26	NULL	21	2011-04-15	2011-01-03	0.8301	1.0	0.1157
6217	Anolnx	18817	0	6050	2007-03-23	2007-03-23	NULL	22	2007-09-28	2007-11-15	0.0627	0.032	0.1151
124750	courdi95	25379	0	24353	2009-05-14	2009-05-14	NULL	33	2012-04-06	2012-06-04	0.3554	0.3668	0.2039
216143	Dam_ned	19543	0	17037	2010-01-06	2010-01-06	NULL	35	2011-09-18	2011-01-01	0.7998	0.813	0.7201
91822	joshx	21065	0	11499	2009-09-03	2009-09-03	NULL	28	2010-04-14	2010-01-30	0.1283	0.1124	0.1545
617760	tchuffart	64	0	47	2014-08-18	2014-08-18	NULL	1	2014-08-18	2014-08-18	0.0654	0.0687	0.0576
403355	Amine Brikci-Nigassa	254	0	134	2011-02-02	2011-02-02	NULL	1	2011-02-02	2011-02-02	0.8141	1.0	0.6742
283562	Deados	210	0	191	2010-08-21	2010-08-21	NULL	2	2010-08-22	2010-08-21	0.3918	0.3954	0.3585
2537011	smimram	3	0	1	2015-01-03	2015-01-03	NULL	2	2015-04-21	2015-03-16	0.0208	0.0088	0.0667
1527714	zeenix	1	0	0	2013-07-25	NULL	NULL	1	2013-07-26	2013-07-26	0.0278	0.0	0.0357
1713137	sboehringer	2	0	0	2013-08-13	NULL	NULL	2	2013-08-14	2013-08-14	0.0011	0.0	0.0011
731132	gpar1	37	0	11	2012-07-13	2012-07-13	NULL	1	2012-07-13	2012-07-13	0.9487	1.0	0.9286
53964	Mathieu Marquer	15649	0	11299	2008-09-17	2008-09-17	NULL	343	2014-01-09	2014-04-13	0.4794	0.5427	0.3678
54342	Mieg Tenk	11498	0	5845	2008-07-25	2008-07-25	NULL	25	2008-09-15	2008-10-06	0.9165	0.973	0.8645
71298	pleiades	13454	0	1947	2008-10-05	2008-10-05	NULL	14	2008-10-18	2008-10-12	0.9766	1.0	0.9727
172867	AmiFritz	18625	0	7391	2009-11-15	2009-11-15	NULL	65	2010-07-05	2010-10-01	0.0072	0.005	0.0102
14213	le_top	14506	0	7021	2007-09-22	2007-09-22	NULL	81	2009-07-04	2008-11-12	0.4379	0.4615	0.4177
