user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
6270	mikes	5008	492	4994	2007-11-04	2007-11-04	2007-11-04	2	2007-11-11	2007-11-04	0.0013	0.0015	0.0
1593814	user_1593814	5484	4	5484	2013-12-27	2013-12-27	2013-12-27	1	2013-12-27	2013-12-27	0.0179	0.0266	0.0
267599	Luis Bahiana	21879	6	19259	2010-04-16	2010-04-16	2010-05-28	123	2014-03-31	2014-04-28	0.8626	0.9952	0.4358
59588	Alamo	16035	2	2371	2008-12-02	2008-12-02	2008-12-02	7	2008-12-04	2008-12-03	0.1534	0.1378	0.1565
1772368	pizzaiolo	22731	0	20150	2014-10-30	2014-11-10	NULL	127	2015-03-28	2015-02-02	0.517	0.521	0.4877
82797	Thundercel	44422	6	19966	2013-12-09	2013-12-09	2014-06-17	294	2014-11-19	2014-10-22	0.1922	0.17	0.215
1483068	PauloCarvalhoRJ	21947	3	18441	2013-12-25	2013-12-25	2014-02-26	89	2014-05-18	2014-03-31	0.4485	0.4666	0.3721
502691	ThiagoPv	142750	14	58182	2011-08-08	2011-08-08	2014-08-08	234	2015-02-12	2015-02-06	0.7666	0.8987	0.6962
65432	bmog	9231	45	8656	2011-02-05	2011-02-05	2011-02-05	8	2011-02-08	2011-02-10	0.0044	0.005	0.0015
397143	Vítor Dias	10368	0	10297	2015-09-21	2015-09-21	NULL	1	2015-09-21	2015-09-21	0.0228	0.0293	0.0007
510836	Rub21	21302	1	21269	2012-06-01	2012-06-01	2012-06-01	11	2013-07-17	2012-07-12	0.0055	0.0069	0.0
69210	Márcio Vínícius Pinheiro	18843	0	14241	2013-11-05	2013-11-05	NULL	150	2014-11-25	2014-12-30	0.7712	0.7932	0.7103
20299	gfonsecabr	7666	59	2498	2007-11-29	2007-11-29	2007-11-29	38	2008-07-28	2007-12-29	0.9788	1.0	0.9689
312448	Roxo	4159	1	2718	2011-07-19	2011-07-19	2011-07-24	29	2012-11-27	2012-08-01	0.2198	0.1746	0.4285
1856060	patodiez	6407	0	6000	2014-01-30	2014-01-30	NULL	7	2015-07-07	2015-10-15	0.0051	0.006	0.0015
12293	Nighto	190522	571	82053	2007-08-22	2007-08-22	2007-08-22	882	2012-04-14	2010-04-10	0.6158	0.6103	0.62
17063	John MacPeek	26578	388	7562	2007-11-11	2007-11-17	2007-11-17	20	2007-12-04	2007-12-05	0.5633	0.4837	0.6027
289524	Import Rio	265667	292	264955	2010-05-19	2010-05-19	2010-05-19	36	2011-03-18	2011-07-25	0.7704	0.9887	0.0093
31385	Skippern	84652	602	24173	2008-06-01	2008-06-01	2008-06-01	88	2011-07-14	2009-04-09	0.0395	0.0137	0.158
1208819	jonasalcantara	4472	8	4066	2013-01-23	2013-01-23	2013-03-17	45	2013-06-23	2013-05-06	0.5146	0.6077	0.2031
814137	tttmio	5373	0	3205	2012-08-17	2012-08-17	NULL	22	2014-04-09	2013-05-28	0.5642	0.6483	0.4734
17497	katpatuka	10664	85	2275	2009-01-26	2009-01-26	2009-01-26	4	2009-05-19	2009-01-27	0.0004	0.0001	0.0021
481662	Geaquinto	114412	32	85122	2011-07-21	2011-07-21	2011-08-20	417	2012-12-22	2012-09-13	0.5037	0.6977	0.2786
612391	mayar	5033	0	4705	2012-03-02	2012-03-02	NULL	3	2012-03-04	2012-03-06	0.1577	0.1566	0.1767
1819774	Helio Coutinho	7475	2	5395	2013-11-26	2013-11-26	2015-10-05	158	2014-05-25	2014-03-12	0.1076	0.0877	0.2623
1631826	Vítor Dias - importação de dados	10207	1	10174	2015-09-22	2015-09-22	2015-09-22	2	2015-09-23	2015-09-21	0.1003	0.1115	0.0032
257555	rene78	4524	0	2292	2014-08-17	2014-08-17	NULL	9	2015-05-30	2015-10-08	0.0105	0.007	0.0225
401472	user_401472	23137	0	24	2013-12-18	2013-12-24	NULL	5	2014-02-03	2014-04-02	0.0792	0.0003	0.1176
893594	Alexandrecw	310337	223	300248	2012-09-18	2012-09-18	2012-09-20	110	2013-10-24	2013-12-05	0.4064	0.4179	0.2233
151926	DebianTUX	6672	1	6209	2009-07-31	2009-07-31	2009-07-31	32	2010-10-23	2010-07-30	0.9732	1.0	0.7156
139043	AlNo	179695	617	170929	2009-07-07	2009-07-07	2009-07-08	259	2011-01-19	2010-11-24	0.3831	0.3833	0.3794
2043491	user_2043491	5395	0	0	2014-05-14	NULL	NULL	1	2014-05-14	2014-05-14	0.2031	NULL	0.2031
2823295	ramyaragupathy	1	0	0	2015-09-09	NULL	NULL	1	2015-09-09	2015-09-09	0.0	0.0	0.0
1427091	Joaquim Jeunon	1	0	1	2013-05-10	2013-05-10	NULL	1	2013-05-10	2013-05-10	1.0	1.0	NULL
1441445	NELSON RICARDO DA COSTA E SILVA	1	0	1	2013-05-12	2013-05-12	NULL	1	2013-05-12	2013-05-12	1.0	1.0	NULL
2835928	nikhilprabhakar	1	0	0	2015-09-14	NULL	NULL	1	2015-09-14	2015-09-14	0.0	0.0	0.0
1587946	Marcel Campello Ferreira	1	0	1	2013-06-27	2013-06-27	NULL	1	2013-06-27	2013-06-27	NULL	1.0	-0.0
394618	Julio César	1	0	1	2011-01-12	2011-01-12	NULL	1	2011-01-12	2011-01-12	NULL	1.0	-0.0
2765181	joaoipp	1	0	0	2015-03-17	NULL	NULL	1	2015-03-17	2015-03-17	1.0	NULL	1.0
1589187	Mark Lenahan	1	0	1	2013-06-27	2013-06-27	NULL	1	2013-06-27	2013-06-27	1.0	1.0	NULL
2847988	jinalfoflia	1	0	0	2015-09-08	NULL	NULL	1	2015-09-08	2015-09-08	0.0	0.0	0.0
178626	Rovastar	1	0	0	2013-04-22	NULL	NULL	1	2013-04-22	2013-04-22	0.0	0.0	0.0
1709892	anor	189	0	85	2014-07-02	2014-08-02	NULL	8	2014-09-18	2014-08-10	0.0019	0.0011	0.0043
437598	dmgroom_ct	295	0	80	2011-12-15	2011-12-15	NULL	6	2012-09-19	2012-09-09	0.0002	0.0001	0.0003
2711760	Thaykko	2	0	1	2015-02-27	2015-02-27	NULL	1	2015-02-27	2015-02-27	1.0	1.0	1.0
509711	andarilha	26	0	24	2012-07-24	2012-07-24	NULL	4	2013-04-24	2012-12-18	1.0	1.0	1.0
207745	NE2	13	0	0	2010-08-06	NULL	NULL	1	2010-08-06	2010-08-06	0.0	0.0	0.0
1226173	Ixf	17	0	16	2013-02-10	2013-02-10	NULL	1	2013-02-10	2013-02-10	1.0	1.0	NULL
181135	Manu1400	4	0	0	2013-05-27	NULL	NULL	4	2014-02-16	2014-02-16	0.0	0.0	0.0
495920	franciscali	1597	0	1375	2011-07-26	2011-07-26	NULL	12	2011-08-19	2011-08-10	0.876	1.0	0.4955
171428	Laobc	878	1	773	2009-09-12	2009-09-12	2009-09-25	5	2009-09-18	2009-09-17	0.938	1.0	0.6442
2620887	pauloguerra	824	0	692	2015-02-01	2015-02-01	NULL	23	2015-03-01	2015-02-16	0.8918	0.9153	0.7857
79543	fbello	1063	0	380	2012-01-26	2012-02-15	NULL	9	2013-07-03	2012-02-26	0.0016	0.0016	0.0017
1429023	jose seggia	744	0	453	2013-05-08	2014-02-07	NULL	38	2014-02-19	2014-03-09	0.575	0.6603	0.4786
2320686	Laicio	1458	0	678	2014-09-08	2014-09-08	NULL	8	2014-10-16	2014-09-19	0.6804	0.5168	0.9386
1281877	Douglas Souto	2352	0	1703	2013-03-18	2013-03-18	NULL	14	2013-11-17	2013-12-08	0.8628	1.0	0.6344
1240849	ediyes	1018	0	1003	2014-01-31	2014-01-31	NULL	9	2014-12-17	2014-02-13	0.0003	0.0004	0.0
1310899	Linhares	711	2	691	2013-05-17	2013-05-17	2013-07-08	21	2014-01-14	2013-12-01	0.0034	0.0034	0.0018
1190212	Moovit Team	3100	2	2843	2013-06-17	2013-06-17	2013-10-22	16	2013-08-30	2013-08-05	0.1332	0.1374	0.0997
2190370	williammarques	656	0	568	2014-11-17	2014-11-17	NULL	5	2014-12-12	2014-12-15	0.969	1.0	0.8073
400116	Santacloud	1136	0	1136	2013-12-22	2013-12-22	NULL	1	2013-12-21	2013-12-21	0.0038	0.0052	0.0
951370	fbax	2	0	0	2015-11-24	NULL	NULL	2	2015-11-25	2015-11-25	0.0	0.0	0.0001
318191	pedropmbastos	2260	1	1961	2010-07-13	2010-07-13	2010-07-15	9	2010-07-23	2010-07-20	1.0	1.0	1.0
1866878	MoitaTurismo	1137	0	1	2014-01-04	2014-01-04	NULL	1	2014-01-04	2014-01-04	1.0	1.0	1.0
92037	Pedro Marins	2947	0	1011	2009-01-16	2009-01-16	NULL	17	2009-04-22	2009-03-08	0.9634	1.0	0.9453
2420869	lfvsmo	1178	0	1068	2014-10-23	2014-10-23	NULL	3	2014-10-25	2014-10-25	0.9132	1.0	0.4955
4951	PeterEastern	673	0	2	2008-12-30	2008-12-30	NULL	1	2008-12-30	2008-12-30	0.0005	0.0	0.0006
967715	Renato Marinho	2	0	2	2012-10-11	2012-10-11	NULL	1	2012-10-11	2012-10-11	1.0	1.0	-0.0
70847	bart9h	732	5	217	2008-10-02	2008-10-02	2008-10-02	7	2008-12-16	2008-10-15	0.9337	1.0	0.9083
2108867	Nielsen100	1124	0	1119	2014-06-06	2014-06-06	NULL	3	2014-06-09	2014-06-10	0.9965	1.0	0.5556
83557	Esperanza36	1035	7	1003	2010-01-17	2010-01-17	2010-01-17	3	2010-04-18	2010-03-16	0.0002	0.0003	0.0
7396	lmpinto	2011	255	1960	2007-11-13	2007-11-13	2007-11-13	13	2008-02-26	2008-04-03	0.0037	0.0054	0.0003
873393	Marcelo Carvalho Fernandes	2	0	2	2012-09-10	2012-09-10	NULL	1	2012-09-10	2012-09-10	1.0	1.0	-0.0
945359	Michele Garcia	2	0	2	2012-10-04	2012-10-04	NULL	1	2012-10-03	2012-10-03	1.0	1.0	NULL
1746977	MarcosCeia	2093	0	1909	2013-09-16	2013-09-16	NULL	3	2013-09-17	2013-09-17	0.9514	1.0	0.6323
365279	bigboss	688	0	596	2011-12-21	2011-12-21	NULL	2	2011-12-22	2011-12-21	0.0088	0.0108	0.0039
463507	naoliv	1549	0	267	2013-08-09	2013-12-18	NULL	36	2014-08-28	2014-06-30	0.0017	0.0006	0.0029
702649	Hanry Abreu	902	1	805	2012-06-13	2012-06-13	2012-11-04	12	2012-12-08	2012-12-05	0.9396	1.0	0.6258
149876	dbusse	1628	1	299	2012-04-07	2012-04-07	2013-01-17	46	2013-10-10	2013-01-18	0.0006	0.0003	0.0007
857705	renatozambone	2	0	1	2012-09-04	2012-09-04	NULL	1	2012-09-04	2012-09-04	1.0	1.0	NULL
343426	CesarB	1160	0	777	2010-09-30	2010-09-30	NULL	55	2012-02-08	2011-10-22	0.6076	0.5995	0.6248
625914	FelipeNDias	743	0	654	2012-03-12	2012-03-12	NULL	6	2014-10-19	2013-03-17	0.8367	1.0	0.3803
2625234	nathanlima	1892	0	821	2015-02-02	2015-02-02	NULL	5	2015-03-18	2015-02-05	0.8691	0.9988	0.7904
1373505	Gladson Ralph	655	0	637	2013-07-03	2013-07-03	NULL	1	2013-07-03	2013-07-03	0.0472	0.0521	0.011
1470980	geocodec	2596	0	2147	2014-07-11	2014-07-11	NULL	1	2014-07-11	2014-07-11	0.0047	0.0053	0.003
689697	fbarra2012	847	0	625	2012-05-26	2012-05-26	NULL	2	2012-05-28	2012-05-27	0.7496	1.0	0.4396
1397296	JairusLopes	763	0	561	2013-04-28	2013-04-28	NULL	7	2013-05-20	2013-05-12	0.9695	1.0	0.8938
99837	wrbraga	1194	0	1047	2012-08-17	2012-08-17	NULL	4	2012-08-21	2012-08-20	0.966	0.9813	0.8698
26798	nitrofurano	1755	3	1719	2011-12-11	2011-12-11	2011-12-11	3	2011-12-12	2011-12-12	0.0035	0.0039	0.0007
668911	Eduardo Medeiros	2879	0	1949	2012-04-27	2012-04-27	NULL	37	2012-11-03	2012-07-26	0.6432	0.8713	0.4154
2113208	Nativo	917	0	315	2014-06-09	2014-06-09	NULL	3	2014-08-03	2014-06-24	0.5294	0.3535	0.7158
141816	jonathanaugusto	3041	3	1947	2009-07-04	2009-07-04	2009-07-04	11	2012-06-02	2011-08-12	0.8199	1.0	0.6209
278150	GeoTomDe	690	4	518	2010-05-10	2010-05-10	2010-06-15	7	2010-09-02	2010-08-21	0.0091	0.0078	0.018
1753437	MelPC	1277	3	1174	2013-09-23	2013-09-23	2013-09-24	5	2013-10-12	2013-09-24	0.4777	0.4595	0.8729
1235704	aquinatis	622	0	453	2013-02-20	2013-02-20	NULL	4	2014-02-06	2013-03-23	0.9765	1.0	0.9185
2122688	Carlos Costa	570	0	513	2014-06-14	2014-06-14	NULL	3	2014-06-22	2014-06-16	0.976	1.0	0.8028
567929	eaglebr	623	0	562	2011-12-11	2011-12-11	NULL	15	2014-07-27	2013-10-22	0.0347	0.0347	0.0353
2953196	jcmds	576	0	523	2015-05-30	2015-05-30	NULL	9	2015-06-21	2015-06-08	0.9697	1.0	0.7465
241942	dcschmidt	567	0	34	2015-09-24	2015-09-24	NULL	2	2015-09-28	2015-09-29	0.9982	1.0	0.9981
1611	Harry Wood	582	22	580	2007-08-15	2007-08-15	2007-08-15	2	2009-04-30	2010-11-15	0.0018	0.0026	0.0
2219338	RichRico	11	0	0	2014-08-19	NULL	NULL	8	2015-02-03	2015-01-09	0.0	0.0	0.0
