user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
362078	ernestogon	2067	0	1039	2010-10-22	2010-10-23	NULL	49	2014-03-30	2014-02-12	0.7608	0.999	0.613
479704	Raul_Barraza	4693	21	4536	2011-06-30	2011-06-30	2011-07-01	17	2012-02-29	2012-07-20	0.6751	0.7067	0.2946
839816	luchooo	5224	0	1743	2012-09-21	2014-01-04	NULL	5	2013-10-03	2014-01-05	0.0416	0.0291	0.053
102573	RStehr	2190	2	523	2009-02-26	2009-02-26	2009-02-28	11	2009-08-04	2009-04-06	0.1741	0.1009	0.2253
416868	chesergio	51362	0	51251	2011-04-12	2011-04-12	NULL	14	2011-04-22	2011-04-20	0.9971	0.9971	0.9823
341452	wynlyn	10117	1	6143	2012-03-12	2012-03-12	2013-07-20	16	2013-09-03	2013-08-06	0.9408	0.9974	0.8649
124232	Marcomm	1784	1	1251	2009-05-26	2009-05-26	2012-09-03	11	2010-06-10	2010-12-08	0.4377	0.4102	0.5195
1190212	Moovit Team	1449	0	1299	2013-06-19	2013-06-19	NULL	7	2013-06-24	2013-06-23	0.0623	0.0628	0.0582
299898	Ro027	3923	0	3098	2010-09-29	2010-09-29	NULL	32	2012-09-16	2012-09-30	0.828	0.9405	0.5713
2325163	emanuelrr	2662	0	2649	2014-09-10	2014-09-10	NULL	4	2014-11-17	2014-11-26	0.9687	0.9782	0.325
1164	dmgroom	2794	0	13	2010-02-28	2010-02-28	NULL	10	2010-03-11	2010-03-10	0.0018	0.0	0.0041
392431	Hanzo51	1414	3	1023	2011-01-06	2011-01-06	2012-02-08	8	2013-10-27	2015-01-13	0.4281	0.5569	0.2667
95748	Danilo Lacoste	2439	0	2437	2010-12-19	2010-12-19	NULL	3	2011-08-26	2011-01-02	0.0177	0.0218	0.0001
666523	Ernesto Martinez	10925	0	5509	2012-04-23	2012-04-23	NULL	163	2012-09-09	2012-09-07	0.8169	0.9955	0.6909
337684	felipeedwards	79471	6	52705	2010-09-30	2010-09-30	2010-11-16	459	2013-03-04	2012-11-29	0.0351	0.0317	0.0448
645089	CristianSC	3930	0	3021	2012-04-04	2012-04-04	NULL	12	2012-04-27	2012-04-08	0.448	0.8724	0.1712
237777	dintrans_g	62517	12	45153	2012-02-23	2012-02-23	2012-08-07	219	2013-09-07	2013-07-04	0.3334	0.3233	0.363
250785	amonares	11207	0	11036	2010-03-23	2010-03-23	NULL	27	2012-11-16	2011-04-11	0.8035	0.8613	0.1507
9176	Maarten Deen	8247	0	335	2009-02-28	2010-09-16	NULL	6	2010-06-16	2010-09-17	0.0093	0.0013	0.0126
1719640	Run_cl	22288	1	10122	2013-08-20	2013-09-21	2014-08-18	172	2014-10-24	2014-09-18	0.2257	0.214	0.2364
435571	Arturo Santiago	1528	2	1280	2011-04-11	2011-04-11	2011-04-11	2	2011-04-11	2011-04-10	0.4509	0.475	0.3573
30755	vblanque	3207	0	1981	2009-07-10	2009-07-10	NULL	47	2012-07-19	2012-03-24	0.3939	0.3591	0.467
230366	felipeacsi	7166	0	5335	2010-02-07	2010-02-07	NULL	99	2012-01-06	2011-08-26	0.0618	0.061	0.0643
432825	Maximi89	3523	0	511	2015-12-10	2015-12-10	NULL	12	2015-12-18	2015-12-18	0.9223	1.0	0.9102
1529288	ignacioabe	2592	0	1598	2013-06-12	2013-11-04	NULL	66	2014-07-28	2014-08-05	0.607	0.6172	0.5913
30854	Julio_Costa_Zambelli	488449	682	240251	2008-03-16	2008-03-16	2008-03-20	837	2011-03-15	2010-03-15	0.0855	0.0749	0.0991
426855	CesarsanCL	1799	0	885	2011-03-24	2011-05-07	NULL	85	2012-08-12	2012-04-30	0.2197	0.2618	0.19
74581	diegoxlopez	13001	2	13001	2010-11-29	2010-11-29	2010-11-29	1	2010-11-29	2010-11-29	0.323	0.5609	0.0
593332	aibacachereyes	2105	0	1716	2012-01-30	2012-01-30	NULL	20	2012-07-20	2012-07-16	0.8946	0.9326	0.7583
