user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
2924920	maphunter36	11311	1	10843	2015-07-21	2015-07-21	2016-01-16	20	2015-10-30	2015-11-18	0.0104	0.0103
371753	sanha	18351	0	4750	2010-11-21	2010-11-21	NULL	25	2012-05-16	2012-08-26	0.0848	0.039
2818856	CitymapperHQ	31377	0	26749	2015-11-13	2015-11-13	NULL	23	2015-11-27	2015-11-19	0.8718	0.8925
49261	HanDDol	58377	105	55463	2008-08-01	2008-08-01	2008-08-01	19	2008-08-30	2008-08-20	0.4971	0.6658
751501	Stleamist	18097	0	9488	2012-07-22	2012-07-22	NULL	114	2013-05-06	2013-02-23	0.5891	0.9002
364040	lee heesam	22842	0	22840	2010-11-06	2010-11-06	NULL	5	2012-02-24	2010-11-11	0.0719	0.0722
365274	thbz	17758	0	13106	2014-03-11	2014-03-11	NULL	222	2015-01-08	2015-01-17	0.5437	0.6257
624466	panhoong	46212	0	41539	2015-10-24	2015-10-24	NULL	18	2015-11-05	2015-11-07	0.9919	1.0
2754525	dabeeo	25546	0	24244	2015-03-13	2015-03-13	NULL	20	2015-05-24	2015-06-26	0.8418	0.86
223224	IRTC1015	10987	0	5441	2011-01-13	2011-01-13	NULL	39	2014-01-25	2014-06-05	0.083	0.0959
2945135	GPIOIPG	22340	0	18860	2015-09-09	2015-09-09	NULL	47	2015-11-12	2015-11-15	0.4924	0.4605
356129	MapPlus	14638	0	14120	2013-11-12	2013-11-12	NULL	18	2014-04-22	2013-12-27	0.6635	0.6752
477186	bizarre07	14309	0	12260	2013-08-25	2013-08-25	NULL	29	2014-09-20	2014-09-29	0.9476	0.9768
103568	dezpim	10870	0	612	2009-03-03	2009-03-03	NULL	9	2009-03-08	2009-03-08	0.3317	0.6931
613089	전기곰돌	32856	7	31139	2012-03-01	2012-03-01	2012-03-04	37	2014-03-06	2014-03-22	0.1274	0.13
74529	cyana	168901	472	100354	2008-10-23	2008-10-23	2008-10-27	60	2009-07-21	2009-06-13	0.0586	0.0603
2050413	Exj　	12572	0	11611	2014-04-28	2014-04-28	NULL	54	2014-12-05	2014-11-28	0.1549	0.1568
220265	bviksoe	1846	0	1765	2015-01-25	2015-01-25	NULL	7	2015-04-03	2015-02-21	0.0337	0.0368
1869518	arttimes	1	0	0	2014-01-06	NULL	NULL	1	2014-01-06	2014-01-06	NULL	NULL
269948	minimini	10545	0	9120	2013-11-26	2013-11-26	NULL	53	2014-02-24	2014-01-26	0.9462	0.9655
83557	Esperanza36	10371	0	4959	2010-03-05	2010-03-05	NULL	18	2012-08-01	2012-04-10	0.0025	0.0015
224440	Syl	1	0	0	2012-10-03	NULL	NULL	1	2012-10-04	2012-10-04	0.0	0.0
42429	42429	2184	2	1678	2013-04-23	2013-04-23	2014-11-04	21	2014-01-08	2013-07-10	0.0008	0.0013
1411881	nice micro	1446	0	1315	2014-09-02	2014-09-02	NULL	16	2015-08-20	2015-08-25	0.9737	0.9858
433575	mwtree	10171	0	9470	2013-03-20	2013-03-20	NULL	33	2013-07-18	2013-07-18	0.8784	0.9137
2593828	pizza4days	1434	0	551	2015-10-13	2015-10-13	NULL	2	2015-10-16	2015-10-16	0.0031	0.007
1189612	Myungsu Chae	1799	0	1450	2013-01-07	2013-01-07	NULL	7	2013-01-13	2013-01-13	0.8666	0.9979
23878	Lightning	2720	0	2213	2013-11-14	2013-11-14	NULL	6	2014-01-15	2013-12-08	0.0665	0.0749
2249998	Gunggu	1984	1	1942	2014-08-11	2014-08-11	2014-08-16	6	2014-08-14	2014-08-12	0.8869	0.94
16268	MasterMG	1370	17	529	2008-08-03	2008-08-03	2008-08-11	10	2008-08-11	2008-08-08	0.0175	0.0171
3070222	jkh765	2069	0	2064	2015-08-13	2015-08-13	NULL	4	2015-09-24	2015-09-25	0.3254	0.3265
33888	aphedox	8725	1	143	2009-02-21	2009-03-21	2009-03-21	3	2009-03-13	2009-03-22	0.0729	0.0117
706173	maskkwon	1803	0	1778	2012-06-17	2012-06-17	NULL	3	2012-06-18	2012-06-17	0.9386	0.9626
2106424	root361	2971	0	2317	2014-06-04	2014-06-04	NULL	10	2015-01-08	2015-02-11	0.8104	0.8179
565465	jbeank	6323	1	5557	2012-09-30	2012-09-30	2012-10-01	85	2015-04-29	2015-06-15	0.3029	0.3345
720609	Vulcanodong	2941	0	2676	2012-10-23	2012-10-23	NULL	21	2014-02-10	2013-02-16	0.0103	0.0111
472018	DenisCarriere	5542	0	5020	2015-09-03	2015-09-03	NULL	6	2015-09-08	2015-09-09	0.0163	0.0193
1844039	jyajya	1999	0	1833	2013-12-16	2013-12-16	NULL	9	2014-04-07	2014-03-04	0.4719	0.529
1765666	Lantian	1494	0	1379	2014-03-23	2014-03-23	NULL	13	2014-05-24	2014-04-05	0.0418	0.0479
201652	Uhyon	1319	0	510	2009-11-25	2009-11-25	NULL	2	2009-11-26	2009-11-26	0.9572	1.0
3350410	asdfqwer51	2641	0	2461	2015-11-28	2015-11-28	NULL	10	2015-12-10	2015-12-11	0.1401	0.1643
330924	ChangwooRyu	2973	0	2345	2010-08-09	2010-08-09	NULL	35	2011-08-23	2010-12-29	0.7623	0.7365
5553	dkt	4276	114	4276	2008-02-01	2008-02-01	2008-02-01	1	2008-02-02	2008-02-02	0.0041	0.0053
714035	namuori	5084	6	3545	2012-07-06	2012-07-06	2012-07-19	18	2012-09-01	2012-08-29	0.0866	0.0686
150368	Cicerone	9713	0	8671	2009-08-10	2009-08-10	NULL	23	2010-02-17	2010-03-05	0.026	0.0324
616154	headaches	2096	0	2009	2012-03-05	2012-03-05	NULL	6	2012-03-08	2012-03-09	0.6998	0.7084
476671	aquilegia	3934	0	1400	2014-06-11	2014-06-11	NULL	19	2014-06-25	2014-06-21	0.0489	0.031
505905	Geokraft	3839	0	2385	2012-06-06	2012-06-06	NULL	12	2012-08-21	2012-07-16	0.3069	0.2991
165061	mapper999	6023	0	4081	2015-10-28	2015-10-28	NULL	15	2015-11-18	2015-11-19	0.0065	0.0062
427807	samden	8080	0	5535	2013-09-05	2013-09-05	NULL	21	2014-01-17	2013-10-10	0.0758	0.1074
1778378	sorilove	1772	0	1761	2013-12-19	2013-12-19	NULL	2	2013-12-20	2013-12-20	0.5456	0.5943
612943	Eungbong	1763	0	1525	2012-03-02	2012-03-02	NULL	18	2012-05-21	2012-04-15	0.9343	0.9967
7213	alimamo	4350	1	2516	2009-01-09	2009-11-07	2010-08-09	23	2010-11-06	2010-09-21	0.0029	0.0027
