user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
7617	Franc	910	0	0	2007-10-09	NULL	NULL	77	2008-11-23	2008-07-09	0.0329	0.0
251844	*B*	32	0	0	2010-03-25	NULL	NULL	1	2010-03-25	2010-03-25	1.0	NULL
408202	BFX	15048	42	13861	2012-08-04	2012-08-04	2012-08-04	12	2012-08-12	2012-08-11	0.0423	0.0573
139659	LiteEarthTreader	13528	5	10904	2009-07-11	2009-07-11	2009-07-11	54	2011-01-30	2010-05-18	0.6444	0.6435
2520955	drfrogsplat	9432	0	4974	2014-12-15	2014-12-15	NULL	19	2015-08-18	2015-09-01	0.9254	0.9462
1466296	BalancingBean	13925	7	10458	2013-05-20	2013-05-20	2013-06-05	68	2014-05-02	2014-05-10	0.1955	0.1802
181013	Zhent	10245	1	6450	2009-10-03	2010-11-23	2015-08-08	44	2013-03-29	2014-01-23	0.0577	0.0461
59921	John Dalton	14386	0	11241	2012-06-22	2012-06-22	NULL	116	2013-04-12	2013-04-11	0.9416	0.9452
58158	Teeds	12615	52	10893	2008-08-16	2008-08-16	2008-08-16	20	2008-09-05	2008-09-01	0.7271	0.8496
713671	auspod	14416	0	13788	2012-06-27	2012-06-27	NULL	20	2012-07-09	2012-07-08	0.5142	0.9295
92387	SimonPoole	10532	5	7382	2012-07-20	2012-07-20	2012-07-23	13	2012-09-17	2012-07-28	0.0181	0.0257
2585	rw_	11480	6	9599	2012-07-24	2012-07-24	2012-08-02	13	2012-07-31	2012-07-31	0.0948	0.2231
705018	woftam	13475	0	7447	2012-06-15	2012-06-15	NULL	25	2012-07-16	2012-07-21	0.6688	0.7324
11321	Pecisk	11489	0	8365	2012-07-23	2012-07-23	NULL	12	2012-08-05	2012-08-04	0.0471	0.0442
14723	Rikki	9525	38	7324	2007-10-08	2007-10-08	2007-10-08	89	2010-04-26	2009-04-11	0.0791	0.0745
348784	mjog	9768	0	2739	2012-05-04	2012-05-04	NULL	119	2014-08-14	2014-12-29	0.8789	0.8876
341998	petero114	14125	1	11058	2012-01-08	2012-01-08	2012-02-01	48	2012-09-24	2012-09-23	0.7494	0.8417
561304	nadeem41	12610	11	8493	2013-10-01	2013-10-01	2013-10-22	32	2013-10-31	2013-11-01	0.1956	0.2292
32394	AntBurnett	10247	0	7886	2008-05-13	2008-05-13	NULL	22	2010-07-09	2011-05-05	0.8645	0.8794
62882	friedl	8150	0	4951	2012-07-27	2012-07-27	NULL	8	2012-08-04	2012-08-06	0.0109	0.0105
312012	GammaPiSigma	6049	1	4099	2010-07-04	2010-07-04	2010-07-06	37	2014-01-24	2014-06-16	0.847	0.9143
67896	mrpulley	9207	2	4662	2009-02-28	2009-03-07	2009-03-08	80	2013-05-10	2014-02-01	0.0126	0.0174
37137	Derick Rethans	7582	1	5422	2012-07-27	2012-07-27	2012-08-02	8	2012-08-01	2012-08-01	0.0253	0.029
223157	markus_g	3069	17	3005	2010-07-11	2010-07-11	2010-07-11	7	2010-08-27	2010-07-17	0.0018	0.0033
18952	MikeAus	8838	1	3226	2007-11-14	2007-11-14	2007-12-02	46	2010-09-13	2009-04-30	0.8494	0.9113
47419	ploppy	4428	0	2719	2009-05-05	2009-05-05	NULL	83	2011-12-19	2012-03-03	0.1105	0.0894
717576	samuelrussell	3238	4	2852	2012-07-04	2012-07-04	2012-07-05	114	2013-11-04	2013-05-27	0.8015	0.8946
533418	wildwalks1	4951	3	4329	2011-11-25	2011-11-25	2011-11-25	11	2012-05-21	2012-06-30	0.1676	0.1815
751139	Hampsterman	3538	0	1786	2012-07-22	2012-07-22	NULL	12	2012-08-04	2012-07-28	0.8814	1.0
