user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
288333	RM87	1263	0	0	2011-08-03	NULL	NULL	1	2011-08-03	2011-08-03	0.0061	0.0
539656	kragon77	18668	2	14949	2012-07-27	2012-07-27	2012-10-02	14	2013-01-12	2012-11-22	0.0278	0.0285
149824	LucaPescatore	14688	135	13995	2009-07-27	2009-07-27	2009-09-25	40	2010-01-15	2009-11-14	0.1118	0.1094
19080	guenter	3000	56	1397	2008-10-29	2008-10-29	2008-10-30	4	2008-11-24	2008-12-08	0.0076	0.0052
750240	pragmatik	6466	1	4436	2012-07-25	2012-07-28	2012-09-05	44	2012-09-19	2012-08-18	0.1729	0.2097
2330248	CourtneyMClark	2317	0	2316	2015-03-06	2015-03-06	NULL	2	2015-03-08	2015-03-08	0.0099	0.0114
493173	KristiG	1693	3	1551	2011-07-21	2011-07-21	2011-07-21	3	2011-07-24	2011-07-21	0.3776	0.8466
71486	humboldtmap	5855	57	1458	2008-10-05	2008-10-05	2008-10-05	5	2008-10-07	2008-10-07	0.0256	0.0272
1701410	caci99	1298	0	1000	2013-08-01	2013-08-01	NULL	20	2014-01-21	2014-01-25	0.4987	0.6219
1751908	Blues Brothers	21755	1	18894	2013-11-07	2013-11-07	2014-06-23	40	2014-12-02	2014-07-23	0.0437	0.0436
521572	James Michael DuPont	1421	0	1369	2011-09-15	2011-09-15	NULL	5	2013-10-16	2015-03-23	0.0019	0.0028
1980916	guidoaltendorf	4135	3	3624	2014-03-12	2014-03-12	2014-03-21	32	2014-06-12	2014-04-04	0.2746	0.2736
88174	robertogroppi	1024	0	0	2009-02-05	NULL	NULL	7	2009-02-24	2009-02-13	0.2358	NULL
712336	DenisJu	1167	0	1048	2014-12-24	2014-12-24	NULL	4	2015-05-18	2014-12-30	0.0016	0.0017
350549	f00bar	1246	0	800	2013-02-06	2013-02-07	NULL	2	2013-02-07	2013-02-07	0.0047	0.0036
235925	Massimiliano Rossi	5402	40	5402	2010-04-10	2010-04-10	2010-04-10	5	2010-04-14	2010-04-14	0.0401	0.0401
39504	malenki	4603	3	3113	2011-08-12	2011-08-12	2011-08-20	40	2014-03-05	2014-02-19	0.0019	0.0018
318127	kaprik	1541	1	1235	2010-07-12	2010-07-12	2011-06-27	16	2011-04-11	2011-03-13	0.592	0.6135
