user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
111204	hip5963	20	0	0	2009-04-05	NULL	NULL	2	2009-04-16	2009-04-07	0.0002	0.0	0.0007
2963752	Murao Yugi	62	0	50	2015-06-11	2015-06-11	NULL	3	2015-06-15	2015-06-14	0.5487	0.5263	0.6667
214697	d1g	9	0	0	2014-12-12	NULL	NULL	1	2014-12-13	2014-12-13	0.0	0.0	0.0001
621168	mrshun	22	0	17	2012-03-09	2012-03-09	NULL	1	2012-03-09	2012-03-09	0.5238	0.6538	0.3125
370313	Hans Kå	19893	0	18393	2010-12-30	2010-12-30	NULL	90	2013-08-15	2013-04-30	0.2249	0.2309	0.1702
689252	M_Kakuda	18276	0	9999	2012-05-27	2012-05-27	NULL	204	2013-07-01	2013-05-03	0.9339	0.9952	0.8692
1286413	Nuko	28662	0	18069	2013-03-20	2013-03-20	NULL	274	2014-04-29	2013-09-13	0.6905	0.8115	0.5505
22052	kiya	17195	122	16183	2008-04-03	2008-04-03	2008-04-03	23	2008-07-26	2008-08-09	0.024	0.0243	0.0198
2240479	mtag	17742	0	16563	2014-08-06	2014-08-06	NULL	82	2014-11-15	2014-09-14	0.9809	0.9988	0.7839
631760	kimi_310	15224	0	12296	2012-03-18	2012-03-18	NULL	74	2012-06-28	2012-05-20	0.517	0.6468	0.2805
2377377	abel801	15632	0	2502	2015-01-28	2015-03-02	NULL	48	2015-07-08	2015-10-16	0.0112	0.0037	0.0181
71810	mapset	19369	12	11415	2008-10-07	2008-10-07	2008-10-07	95	2009-06-16	2009-10-13	0.414	0.3609	0.5251
955553	txma25918	34860	0	11447	2012-10-07	2012-10-07	NULL	52	2013-07-19	2013-02-20	0.5924	0.723	0.5444
85925	harapopo	34533	630	32550	2008-12-18	2008-12-18	2008-12-18	151	2009-12-27	2009-09-03	0.57	0.5708	0.557
416346	Brian@Brea	15383	0	13281	2011-05-05	2011-05-05	NULL	52	2013-08-02	2013-03-10	0.0235	0.0256	0.0153
1240849	ediyes	22597	0	11151	2014-07-15	2014-07-15	NULL	93	2015-01-23	2015-07-26	0.0067	0.0046	0.012
