user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
356740	norbody2	883	0	749	2010-10-09	2010-10-09	NULL	39	2012-05-25	2012-05-12	0.7502	0.7722	0.6473
2550748	jamaps	981	0	424	2015-01-03	2015-01-03	NULL	51	2015-07-12	2015-08-09	0.8074	0.8671	0.7672
91657	Pink Duck	933	0	0	2010-06-10	NULL	NULL	1	2010-06-10	2010-06-10	0.0009	0.0	0.0016
28895	PurpleMustang	1086	1	1039	2008-03-30	2008-11-08	2012-02-07	10	2011-06-22	2012-02-15	0.0003	0.0003	0.0001
110263	werner2101	1074	0	821	2011-07-28	2013-11-17	NULL	3	2013-02-17	2013-12-02	0.0012	0.0019	0.0005
103816	tsapiano	1376	0	1332	2009-12-27	2009-12-27	NULL	5	2010-03-07	2009-12-28	0.9892	0.9992	0.7586
56884	echo7	1046	3	915	2008-08-16	2008-08-16	2008-09-04	9	2008-09-01	2008-08-30	0.732	0.9839	0.2625
76908	zoke	1623	1	994	2009-01-04	2009-01-04	2009-01-04	8	2010-03-16	2009-09-20	0.211	0.142	0.909
445671	flierfy	1401	0	949	2015-03-30	2015-03-30	NULL	7	2015-04-13	2015-04-02	0.0181	0.0186	0.017
83854	David Henderson	1140	0	0	2008-12-05	NULL	NULL	5	2008-12-10	2008-12-11	0.318	NULL	0.318
36223	dalmond	1176	0	648	2008-04-28	2008-04-28	NULL	25	2010-07-26	2008-12-25	0.0068	0.0041	0.0385
205828	wdtaylor	1047	0	976	2009-12-07	2009-12-07	NULL	21	2010-01-12	2010-01-02	0.9632	0.9702	0.8765
109002	stevenlundy	1009	0	0	2009-03-20	NULL	NULL	1	2009-03-19	2009-03-19	1.0	NULL	1.0
3365078	sssmc	921	0	911	2015-11-27	2015-11-27	NULL	6	2015-12-17	2015-12-28	0.1258	0.1374	0.0145
1425239	Mapster2013	1387	0	1154	2013-05-07	2013-05-07	NULL	17	2014-01-07	2013-12-17	0.5168	0.55	0.3976
84464	OC_Transpo	1591	0	5	2008-12-20	2008-12-20	NULL	1	2008-12-20	2008-12-20	0.0147	0.0014	0.0151
51600	brandoncote	961	0	548	2009-08-07	2009-08-07	NULL	29	2012-11-02	2013-10-20	0.0142	0.0156	0.0126
1717128	Greying_Geezer	1846	0	1513	2014-12-16	2014-12-16	NULL	45	2015-06-13	2015-06-07	0.211	0.1943	0.3472
74448	Martina Riehm	1656	0	324	2008-11-25	2008-11-25	NULL	1	2008-11-25	2008-11-25	0.0285	0.0238	0.03
92076	cholmes	920	0	154	2009-01-16	2009-01-16	NULL	2	2010-08-13	2009-01-17	0.9967	1.0	0.9961
329962	edred	1148	0	1020	2012-05-03	2012-05-03	NULL	9	2012-08-11	2012-05-18	0.5053	0.5499	0.307
1066031	Terrametrics	908	0	532	2012-12-20	2012-12-22	NULL	9	2014-08-01	2014-10-24	0.9548	1.0	0.8974
802468	Toronto Zoo	1460	0	1103	2012-08-13	2012-08-13	NULL	8	2013-05-20	2012-10-11	0.5256	1.0	0.2131
28236	The_Tom	1583	0	868	2008-02-24	2008-02-24	NULL	34	2010-05-24	2010-01-13	0.0642	0.2298	0.0343
290680	wheelmap_visitor	1463	0	0	2010-09-09	NULL	NULL	98	2012-08-19	2011-08-18	0.004	0.0	0.004
99083	CyberStingray	1009	0	378	2009-02-11	2009-02-11	NULL	7	2010-06-05	2009-04-27	0.9501	1.0	0.9225
8047	scruss	1837	0	1469	2010-07-29	2010-07-29	NULL	153	2013-06-24	2013-06-03	0.2492	0.2508	0.2429
156137	Darren Best	1379	0	1301	2010-08-09	2010-08-09	NULL	5	2010-08-19	2010-08-25	0.8481	1.0	0.24
186708	Mauitz	899	0	380	2009-10-15	2009-10-16	NULL	22	2009-11-13	2009-11-16	0.7838	1.0	0.6767
11810	alecs	993	44	992	2007-08-10	2007-08-10	2007-09-13	10	2007-09-22	2007-09-24	0.0663	0.0845	0.0003
149100	Muskoka	877	0	415	2012-02-13	2012-02-13	NULL	4	2012-02-15	2012-02-14	0.039	0.1129	0.0245
2417	mmather	1861	9	1787	2007-06-28	2007-06-28	2007-07-03	40	2007-09-22	2007-09-14	0.6435	0.644	0.6325
14273	Joe42	1818	3	1406	2007-09-23	2007-09-23	2007-10-02	18	2008-06-01	2008-01-16	0.7017	0.7285	0.6233
