user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness	v2countlocalness
156015	mgb	8	0	0	2009-08-12	NULL	NULL	2	2009-08-16	2009-08-19	0.32	0.0	0.4706
1733683	sansell	734	0	712	2013-09-04	2013-09-04	NULL	17	2014-08-24	2014-06-10	0.1556	0.168	0.0459
657317	lachliggity	1445	0	1329	2012-04-13	2012-04-13	NULL	7	2012-07-30	2012-06-10	0.6138	0.6682	0.3178
36478	nuckster	1273	19	1022	2008-04-30	2008-05-04	2008-05-04	7	2008-05-08	2008-05-07	0.9251	1.0	0.709
504304	purple_circles	1399	0	1036	2011-08-10	2011-08-10	NULL	7	2013-06-11	2014-06-07	0.8991	1.0	0.6981
3065461	DangNgu	800	4	538	2015-07-16	2015-07-16	2015-08-06	6	2015-07-27	2015-07-28	0.6999	0.731	0.6437
79995	rafm	997	1	845	2008-12-01	2008-12-01	2008-12-07	8	2009-01-07	2009-01-03	0.9423	0.958	0.8636
28236	The_Tom	681	23	474	2008-05-19	2008-05-19	2008-05-19	4	2009-05-30	2008-11-14	0.0276	0.1255	0.0099
1796809	doug_sfba	912	0	524	2015-05-11	2015-05-11	NULL	4	2015-05-17	2015-05-16	0.014	0.0118	0.0187
196995	ak1992	1413	0	599	2009-11-14	2009-11-14	NULL	10	2011-12-11	2011-03-29	0.6803	1.0	0.5507
109062	Jojo4u	1543	0	737	2015-01-26	2015-01-26	NULL	5	2015-07-15	2015-09-14	0.0243	0.0298	0.0208
1769463	Chill88	1302	0	1186	2014-07-04	2014-07-04	NULL	10	2014-11-30	2014-12-26	0.3374	0.356	0.2197
1351219	rallan23	907	0	895	2013-04-12	2013-04-12	NULL	9	2013-08-02	2013-08-10	0.9721	0.9749	0.8
343922	Marius Muja	1019	0	666	2010-09-12	2010-09-12	NULL	7	2010-12-06	2010-11-16	0.752	0.9199	0.5594
3026975	Dalesy	785	0	772	2015-07-22	2015-07-22	NULL	20	2015-09-05	2015-09-07	0.9776	1.0	0.4194
131138	PBrn46	1287	0	533	2009-06-02	2009-06-02	NULL	10	2009-07-22	2009-07-19	0.9817	1.0	0.9692
1820014	MuzikMachine	1225	0	800	2014-01-15	2014-01-15	NULL	14	2014-11-14	2015-03-12	0.0117	0.0118	0.0116
171569	dsh	777	0	752	2009-09-13	2009-09-13	NULL	3	2009-09-13	2009-09-14	0.9949	1.0	0.8621
5449	Michael Hamilton	881	111	848	2007-01-08	2007-01-08	2007-01-08	15	2008-06-26	2007-05-26	0.8854	0.9012	0.6111
