user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted	countlocalness	v1countlocalness
2179993	TSF Fabien	25204	0	25115	2014-07-17	2014-07-17	NULL	7	2014-09-03	2014-09-03	0.3903	0.4362
2866788	anders2045	3	0	3	2015-04-27	2015-04-27	NULL	1	2015-04-27	2015-04-27	0.2727	0.3333
2315574	FANIVE	678	0	652	2016-01-15	2016-01-15	NULL	1	2016-01-15	2016-01-15	0.001	0.0012
72928	magiconair	4547	41	3619	2009-06-10	2009-06-10	2009-06-11	29	2009-12-30	2009-11-20	0.2454	0.292
250214	emilde	4	0	2	2014-09-04	2014-09-04	NULL	1	2014-09-04	2014-09-04	0.0	0.0
1999311	R GUILBERT	1	0	1	2014-03-23	2014-03-23	NULL	1	2014-03-24	2014-03-24	0.125	0.2
326703	markpierce	1	0	1	2011-05-21	2011-05-21	NULL	1	2011-05-21	2011-05-21	0.0001	0.0001
3043782	DK_VJCS	1	0	0	2015-07-08	NULL	NULL	1	2015-07-08	2015-07-08	0.0017	NULL
645457	rumpelsocke	28	0	0	2014-10-23	NULL	NULL	2	2015-02-09	2014-11-08	0.0007	0.0
2736869	Andre Bb	28	0	23	2015-04-29	2015-04-29	NULL	2	2015-04-30	2015-04-29	0.7368	1.0
53964	Mathieu Marquer	2	0	0	2012-04-30	NULL	NULL	2	2012-05-01	2012-05-01	0.0001	0.0
2811804	Ebolowa	8	0	8	2015-04-07	2015-04-07	NULL	1	2015-04-07	2015-04-07	0.3077	0.4211
290680	wheelmap_visitor	2	0	0	2015-03-07	NULL	NULL	2	2015-08-03	2015-08-03	0.0	0.0
189477	michel-kamerun	19	1	19	2010-08-29	2010-08-29	2010-08-29	1	2010-08-29	2010-08-29	0.0093	0.0188
2010493	bhaller	4	0	0	2014-12-29	NULL	NULL	1	2014-12-29	2014-12-29	0.0008	0.0
1694420	Little Brother	40	0	1	2014-10-17	2014-10-17	NULL	2	2014-11-24	2014-10-19	0.0007	0.0001
262206	Базич	43	0	1	2015-03-26	2015-03-26	NULL	2	2015-04-01	2015-03-27	0.0008	0.0
17497	katpatuka	161	5	147	2009-01-11	2009-01-11	2009-01-11	4	2009-12-05	2010-03-24	0.0	0.0
2061800	newils	560	0	537	2014-10-25	2014-10-25	NULL	1	2014-10-25	2014-10-25	0.006	0.0059
459945	Greg Henderson	1	1	1	2011-08-02	2011-08-02	2011-08-02	1	2011-08-02	2011-08-02	0.0357	0.0526
503712	Frank Gyselinck	30	0	18	2011-10-09	2011-10-09	NULL	1	2011-10-09	2011-10-09	0.2381	0.3158
86150	Tahbou	1777	0	1625	2014-07-16	2014-07-16	NULL	5	2014-07-20	2014-07-18	0.2611	0.2589
1737020	elvisplatini	1	0	1	2013-09-08	2013-09-08	NULL	1	2013-09-08	2013-09-08	0.007	0.0294
417368	lann	20	0	3	2014-06-29	2014-06-29	NULL	2	2014-07-01	2014-07-02	0.0	0.0
88337	ruph	33	0	3	2015-02-16	2015-10-19	NULL	9	2015-07-09	2015-06-03	0.0002	0.0
