place,bounds_area,land_area
amsterdam,362441533,362441533
auckland,1945997687,1148256096
bayarea,25893153048,17023764173
berlin,2058871244,2058871244
boston,4043804851,3173243971
buenosaires,4010040957,4010040957
cairo,5245543282,5245543282
crimea,71971037373,27964066016
cyprus,29126100196,9248931163
douala,488399738,466489591
haiti,82042733759,31890924278
istanbul,9288754244,4398711437
jakarta,1546192632,1470321621
jerusalem,28737432075,19774795972
london,3288808974,3288808974
losangeles,17696059740,15238668798
manchester,397428063,397428063
mexicocity,2413585215,2413585215
minsk,459065017,459065017
montevideo,1737277492,1737277492
montreal,2060779208,2060779208
moscow,1328050971,1328050971
mumbai,1439427176,1012710652
nairobi,1754085589,1754085589
newyork,11250270282,6979190624
paris,3818551569,3818551569
quebec,740527214,658437308
rio,4765895905,3658500921
santiago,1368031752,1368031752
seattle,7802619396,6261888387
seoul,811610143,811610143
tirana,362833082,362833082
tokyo,7971880454,6959265048
toronto,3381923580,3381923580
vancouver,3088651581,2549922093
yaounde,240556467,240556467
