place,population
amsterdam,953736
auckland,1024915
bayarea,7254630
berlin,1939415
boston,3158505
buenosaires,10259203
cairo,13709769
crimea,1851028
cyprus,725747
douala,88863
haiti,7058239
istanbul,2588188
jakarta,13856170
jerusalem,6826731
london,8514280
losangeles,12746245
manchester,1094441
mexicocity,14739742
minsk,1240330
montevideo,862224
montreal,3007949
moscow,4122703
mumbai,13127079
nairobi,3022977
newyork,16425550
paris,9934700
quebec,585197
rio,7663568
santiago,1448309
seattle,3199281
seoul,11400212
tirana,74765
tokyo,30834537
toronto,3637923
vancouver,1639064
yaounde,483353
