username	uid	count	places
 Alex Duffield	187650	1	vancouver
!Florian	321848	1	berlin
!TS!	2916708	1	london
!i!	25720	3	berlin,losangeles,miami
!link	3338255	1	bayarea
!Андрей!	1784428	1	moscow
#DWD*	37297	1	vancouver
#HELP!T7	597926	1	mexicocity
#daf	377791	2	crimea,moscow
#smolsen	395900	1	bayarea
$hurup	708408	1	crimea
&quot	21432	1	london
()zzie	1194159	1	amsterdam
(SPAN)	2981316	1	boston
(Turgay)	1707388	1	istanbul
(yo)	2979683	1	tokyo
**[<<>>]**	622741	1	boston
*B*	251844	1	sydney
*Joker*	157434	1	berlin
*KAP*	406788	1	moscow
*LAH	2942316	1	istanbul
*Quasar*	1835528	1	moscow
*ch*	105897	1	berlin
*justus77	330927	1	berlin
*kv007*	3012284	1	mumbai
*roy*	39588	1	berlin
*socks*	253127	1	sydney
*wheelz*	701645	1	berlin
++Vitoco	2017553	1	santiago
+491758031655	531063	2	london,vancouver
- Meellaira Ahr -	316411	1	moscow
-*Aleksey*_	2949551	1	crimea
---------	224170	1	haiti
--3	3420983	1	tokyo
--IKS--	32651	1	seattle
--Mark--	113739	1	sydney
--toc	1229096	1	london
-=AreKs=-	1450993	1	moscow
-=TWINKI=-	1782736	1	moscow
-=[JoKer]=-	46885	1	berlin
-=alexl=-	108030	1	minsk
-=dk=-	151525	1	moscow
-=sAm=-	381669	1	minsk
-Ced-	978554	1	paris
-Chaz-	585091	1	london
-Christoph-	2433338	1	kathmandu
-Detroit-	2318003	1	buenosaires
-G-	1129128	1	losangeles
-HA-	2580428	1	newyork
-JD-	3455649	1	london
-James-	491706	4	barcelona,crimea,cyprus,moscow
-Jk-	508252	1	minsk
-MA	437215	1	berlin
-MegaByte-	1745338	1	bayarea
-None-	641585	1	london
-O-O-	79637	1	toronto
-Phoenix	289087	1	moscow
-RS-	13331	1	cairo
-Tom73-	3418825	1	berlin
-XJ-	520276	1	moscow
-balagur-	2906575	1	moscow
-cMc-	2433146	2	boston,newyork
-df-	149319	1	paris
-ed-	96568	1	paris
-error	290413	1	moscow
-heidieh-	1801991	1	london
-jal	2812699	1	bayarea
-jha-	16315	5	bayarea,berlin,haiti,nairobi,paris
-karlos-	72555	1	london
-mauli-	375423	1	berlin
-off-	671609	1	crimea
-raul	234874	6	barcelona,berlin,crimea,london,moscow,tokyo
-zuck-	1440846	1	berlin
00000	1359384	1	berlin
00050	1923056	1	tokyo
000777cc	3104899	1	crimea
0055	1415405	1	tokyo
00pi	103545	1	bayarea
00rac	2014880	1	seattle
00u	2291177	1	paris
0101010	2334541	1	bayarea
0109	2873152	1	kathmandu
0123456789	55782	9	barcelona,bayarea,berlin,boston,cairo,haiti,london,manchester,paris
01_debora	560977	1	buenosaires
02389402348	224300	1	haiti
024680	2364492	1	paris
02f603653	1706673	1	manchester
030condor	3182972	1	berlin
030daten	2861685	1	berlin
0331	410071	1	losangeles
03July	1269905	1	paris
03jpr	852239	1	paris
0426yuki	1808965	1	tokyo
048	2881438	1	kathmandu
051f58	954647	3	bayarea,losangeles,seattle
05hamburg	715129	1	berlin
06Ivonne	1025819	1	jakarta
0815jogger	1986536	1	berlin
0815pseudonym	495425	1	berlin
09ndodge	2461665	1	london
0_0	1599582	1	crimea
0acht15	1874538	1	berlin
0atman	1787420	1	london
0jGhz9iq2wph	2122866	1	berlin
0km	1260805	1	berlin
0leg-ch	2024275	1	moscow
0liver	147186	1	paris
0n1y	2088952	1	moscow
0und1	876479	1	berlin
0ver	289001	1	moscow
0x006A	584291	1	mumbai
0x17	132497	1	berlin
0x2102	610278	1	moscow
0x21h	160331	1	crimea
0xx0	2023451	1	paris
0zlw	520286	1	auckland
1 Percent NYC	2573520	1	newyork
100	576766	1	bayarea
100010038	993686	1	paris
1001	37193	1	london
101	602485	1	london
101geo	1922013	1	london
10243berlin	1792748	1	berlin
1029	2080321	1	tokyo
1031kouichi	2396660	1	tokyo
10Jama	487406	1	mexicocity
10deers	2023934	1	tokyo
10zorglub	138321	1	paris
110864	716082	1	berlin
110q	2612096	1	tokyo
111-4	1031477	1	berlin
111111111111111111111111111	395947	1	rio
111ypuk	348044	1	moscow
112chrissi	1957912	1	london
11_silver_11	1743170	1	newyork
11mission	2264883	1	seattle
11vasya	326599	1	crimea
11이현신	1524781	1	seoul
1212602	683233	1	tokyo
1222222222	2945171	1	tokyo
1234abcd	632506	1	newyork
1234andyroberts	2786598	1	london
123RaZoR321	138146	2	minsk,moscow
123a	1709501	1	berlin
123berlin	2177726	1	berlin
123gold	3202939	1	berlin
123maps	542575	2	bayarea,seattle
12412214	107998	1	miami
1248	170672	11	bayarea,berlin,boston,chicago,london,losangeles,miami,mumbai,nairobi,newyork,seattle
12Erin	1809659	1	bayarea
12Katniss	2955726	1	jerusalem
12as	3458337	1	haiti
12rus	261173	2	crimea,moscow
13 digits	35935	5	bayarea,berlin,chicago,losangeles,paris
13-17Ka210	3301818	1	paris
130ph11ofps	1789429	1	crimea
13Nilpferd	2953097	1	paris
13eightyfour1	1946919	1	london
13ot198	644541	1	berlin
13scoter	2323075	1	kathmandu
142lab	2575142	1	moscow
14478	457362	1	berlin
148-92	1874728	1	moscow
14riesma	2866340	1	kathmandu
14rkarls	2880720	1	kathmandu
14＠	384433	1	tokyo
1530291	1872555	1	seattle
1547Gary	2418586	1	vancouver
156281	1279955	1	chicago
158tjb	3420634	1	london
15Tr	1987359	2	kathmandu,seoul
15_the_circle	238598	1	haiti
15drei28	539069	1	berlin
15slou	223612	1	haiti
16356Ahr	3495936	1	berlin
16pide	268977	1	paris
17hertz	1680743	1	losangeles
1800getarugs	2527291	1	newyork
1892	386297	1	berlin
1899	2313076	1	barcelona
1930map	2465506	1	london
1982mvc	568874	2	crimea,moscow
19alimk	2898906	1	kathmandu
19jaa19	296913	1	buenosaires
1Atalante1	3425757	1	berlin
1BVB	1723987	1	berlin
1Falkensee	2540450	1	berlin
1HealthPlz	931055	1	newyork
1Palgi	1071026	1	jerusalem
1Vlad	2162593	1	crimea
1ak	536362	1	minsk
1ale	2819355	1	buenosaires
1architect	500050	1	newyork
1azb0y	379253	1	jakarta
1burg	1824022	1	tokyo
1c3d57121ng5	1883072	1	bayarea
1dnorlund	1513091	1	seattle
1edL	2289752	1	buenosaires
1gn1710n	1869537	1	losangeles
1gorok	1872841	3	crimea,jerusalem,moscow
1guess	7017	1	sydney
1harts	176702	1	london
1in9ui5t	645721	1	toronto
1kay	63898	1	berlin
1lazza	314733	1	london
1masha	2898416	1	nairobi
1master	212271	1	moscow
1normal123	2105370	1	berlin
1pferd	33540	1	bayarea
1piedsurTerre	320096	1	paris
1rice	1583038	1	montreal
1stMachine	149603	1	berlin
1stone	1965716	1	tokyo
2-U-Turns	607826	1	bayarea
20-100	1186986	1	paris
2001F	1202526	1	tokyo
2003900	1317293	1	seattle
2006Maieo	2134161	1	berlin
200metrov	401970	1	crimea
20100	49803	1	paris
201020112012	743874	1	boston
2011victor	513088	1	london
2015cfelicia	2889538	1	kathmandu
2015rarens	2889542	1	kathmandu
203Marketing	2590897	1	newyork
2046smh	1965170	1	sydney
20GoFri02	3122235	1	berlin
20_100	236030	1	paris
20osm11	471591	1	berlin
20vkp61	378426	1	auckland
2121vijay(Adyota)	831625	1	kathmandu
21Dirham	2538500	1	jakarta
21Supermaus	2502376	1	berlin
21grammru	2415499	1	moscow
220200	1574180	1	tokyo
22324	2884255	1	losangeles
22843346001	1367202	1	paris
228bail	1915075	1	lasvegas
22HERTZ	1819875	1	toronto
22yves22	224154	1	haiti
2309ms	1659777	1	berlin
232 U 1	88302	1	paris
2333237	1028097	1	crimea
23WLakeshore	2456530	1	toronto
23ruby	3396814	1	haiti
24367dfa	2890265	1	kathmandu
246mp	3024365	2	seattle,toronto
247WasteRemoval	2436714	1	london
247pestcontrol	2486753	1	london
24HrCentral	2402923	1	london
24dakenlo	3354215	1	tokyo
24e	3434855	1	haiti
25or6to4	37392	9	bayarea,boston,chicago,haiti,lasvegas,losangeles,miami,newyork,seattle
2600	1964176	1	newyork
26eb5473101d742b174d730717409668	57054	4	barcelona,berlin,haiti,moscow
27041975	1006597	1	moscow
275kV	2341158	1	tokyo
2779777	978084	1	moscow
27bird	3486573	1	jerusalem
27men	370678	1	moscow
27montefiore	2101830	1	jerusalem
28901236	3353456	1	buenosaires
28MzXP5-_uXH	1940221	1	berlin
28th	199005	1	seattle
29C	223639	1	haiti
2D - OSM	313135	1	paris
2JOUR	538338	1	toronto
2Qayer	2514695	1	moscow
2V Software	138953	1	crimea
2WYCE	442087	1	chicago
2XB	3470060	1	paris
2_3_4	1897530	1	london
2beers	317216	1	berlin
2bre99	3132250	1	losangeles
2ch_hk	1994719	1	crimea
2dew2	815710	1	crimea
2dfx	80605	1	toronto
2dh3uif7y2s	2557539	1	newyork
2leon76	408072	1	moscow
2m62u0039	547432	1	moscow
2madera	3504550	1	rio
2mas	1904826	1	berlin
2morrow	2910314	1	toronto
