uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
1974440	sebastic_BAG	2014-03-01	105592	74814	105510	4734	2636	4527	14	10	13	110340	110050	0.9973717600145007
1974440	sebastic_BAG	2014-04-01	667598	658660	660113	84888	83836	83988	232	212	201	752718	744302	0.9888191859368316
1974440	sebastic_BAG	2014-05-01	280446	276964	279675	44772	43806	44465	62	54	56	325280	324196	0.9966674864731924
1974440	sebastic_BAG	2014-06-01	1	0	0	4	0	1	2	0	0	7	1	0.14285714285714285
195219	3dShapes	2009-11-01	79474	79464	68827	10126	10112	8204	9	8	4	89609	77035	0.8596792732872814
195219	3dShapes	2009-12-01	44834	44835	41467	4472	4468	3851	5	4	4	49311	45322	0.9191052706292714
195219	3dShapes	2010-01-01	22826	22826	21401	3751	3751	3428	2	2	1	26579	24830	0.9341961699085745
195219	3dShapes	2010-03-01	8355	8355	7727	1476	1476	1396	0	0	0	9831	9123	0.9279829111992676
195219	3dShapes	2010-04-01	106932	106930	96136	12635	12453	8508	104	99	82	119671	104726	0.8751159428767203
195219	3dShapes	2010-05-01	109894	109894	67514	13493	13492	8383	32	32	22	123419	75919	0.6151321919639602
195219	3dShapes	2010-07-01	11946	11946	10776	980	974	78	14	14	9	12940	10863	0.8394899536321484
195219	3dShapes	2010-08-01	113289	113288	98816	9577	8661	1147	206	201	146	123072	100109	0.8134181617264691
195219	3dShapes	2010-09-01	82701	82701	73711	6482	6381	1043	143	143	107	89326	74861	0.8380650650426528
195219	3dShapes	2011-02-01	86193	86192	78615	7571	7538	707	213	213	22	93977	79344	0.8442916883918405
195219	3dShapes	2011-03-01	36147	36148	31424	3597	2425	296	92	85	6	39836	31726	0.7964153027412391
1994943	Plompy_BAG	2014-03-01	83190	82964	83145	12759	12630	12677	5	2	3	95954	95825	0.9986556058111178
1994943	Plompy_BAG	2014-04-01	283205	281297	282724	43258	42700	42885	21	20	20	326484	325629	0.9973811886646818
1994943	Plompy_BAG	2014-05-01	65240	64657	65147	10891	10708	10752	2	2	2	76133	75901	0.9969527011939632
1974371	florisje_BAG	2014-03-01	193099	190416	191411	17715	17340	17207	226	218	210	211040	208828	0.9895185746777863
1974371	florisje_BAG	2014-04-01	104807	104041	104090	10309	10201	10234	29	28	26	115145	114350	0.9930956619914021
1974371	florisje_BAG	2014-05-01	95424	94754	95316	13352	13224	13270	21	20	21	108797	108607	0.9982536283169573
48448	paulbe	2008-06-01	76	20	6	136	9	8	0	0	0	212	14	0.0660377358490566
48448	paulbe	2008-07-01	4496	1292	716	3831	406	288	13	0	0	8340	1004	0.12038369304556355
48448	paulbe	2008-08-01	6340	1867	1073	6350	545	541	8	0	0	12698	1614	0.12710663096550637
48448	paulbe	2008-09-01	4836	1639	789	4262	582	405	70	0	1	9168	1195	0.13034467713787085
48448	paulbe	2008-10-01	8429	924	606	3005	375	397	21	0	1	11455	1004	0.08764731558271498
48448	paulbe	2008-11-01	2773	196	113	699	54	68	3	0	0	3475	181	0.0520863309352518
48448	paulbe	2008-12-01	8415	683	643	2154	244	305	21	0	1	10590	949	0.08961284230406043
48448	paulbe	2009-01-01	19744	1319	1270	3794	488	392	21	0	0	23559	1662	0.07054628804278619
48448	paulbe	2009-02-01	14425	912	2241	3115	385	428	82	0	0	17622	2669	0.15145840426739304
48448	paulbe	2009-03-01	6696	609	885	1590	213	162	18	0	0	8304	1047	0.12608381502890173
48448	paulbe	2009-04-01	7011	878	1019	1991	339	272	47	0	1	9049	1292	0.1427782075367444
48448	paulbe	2009-05-01	2097	711	650	945	210	131	28	0	0	3070	781	0.25439739413680784
48448	paulbe	2009-06-01	2063	864	787	699	207	69	18	3	1	2780	857	0.308273381294964
48448	paulbe	2009-07-01	2088	838	669	527	206	50	10	0	0	2625	719	0.27390476190476193
48448	paulbe	2009-08-01	81	21	15	27	4	0	0	0	0	108	15	0.1388888888888889
48448	paulbe	2009-09-01	58	10	10	16	0	1	0	0	0	74	11	0.14864864864864866
48448	paulbe	2009-10-01	191	23	35	74	3	13	6	0	1	271	49	0.18081180811808117
48448	paulbe	2009-11-01	1985	596	634	770	197	100	12	0	0	2767	734	0.26526924466931695
48448	paulbe	2009-12-01	2100	830	742	707	196	132	11	0	1	2818	875	0.31050390347764373
48448	paulbe	2010-01-01	1406	535	656	320	52	60	9	0	0	1735	716	0.41268011527377524
48448	paulbe	2010-02-01	120	22	34	61	4	8	7	0	0	188	42	0.22340425531914893
48448	paulbe	2010-03-01	545	108	227	119	14	30	2	0	0	666	257	0.3858858858858859
48448	paulbe	2010-04-01	340	107	184	120	17	33	15	0	0	475	217	0.4568421052631579
48448	paulbe	2010-05-01	2574	531	990	496	47	108	21	0	3	3091	1101	0.3561954060174701
48448	paulbe	2010-06-01	3609	1287	1748	873	204	216	19	0	0	4501	1964	0.4363474783381471
48448	paulbe	2010-07-01	3674	1064	1591	1042	202	182	55	0	1	4771	1774	0.3718298050723119
48448	paulbe	2010-08-01	666	93	213	92	16	14	6	0	0	764	227	0.29712041884816753
