uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
142831	Rudy355	2009-07-01	210	157	92	224	50	42	0	0	0	434	134	0.3087557603686636
142831	Rudy355	2009-08-01	410	331	228	99	56	28	0	0	0	509	256	0.5029469548133595
142831	Rudy355	2009-10-01	157	126	84	36	10	10	0	0	0	193	94	0.48704663212435234
142831	Rudy355	2009-11-01	8231	5729	3999	2433	705	739	4	0	0	10668	4738	0.44413198350206223
142831	Rudy355	2009-12-01	4573	2833	1821	380	184	80	0	0	0	4953	1901	0.38380779325661213
142831	Rudy355	2010-01-01	6151	3364	2503	1142	395	268	2	0	0	7295	2771	0.3798492117888965
142831	Rudy355	2010-02-01	5183	3159	2577	994	347	227	43	0	0	6220	2804	0.4508038585209003
142831	Rudy355	2010-03-01	14246	8580	7256	1943	607	437	100	0	0	16289	7693	0.472281908036098
142831	Rudy355	2010-04-01	9381	6207	4946	1314	520	354	13	0	0	10708	5300	0.49495704146432573
142831	Rudy355	2010-05-01	16799	11480	9735	2453	1099	950	1	0	0	19253	10685	0.5549784449176751
142831	Rudy355	2010-06-01	31626	23813	18295	5949	2816	1396	2	0	0	37577	19691	0.5240173510391996
142831	Rudy355	2010-07-01	12815	9900	7758	1970	1023	665	3	2	1	14788	8424	0.5696510684338653
142831	Rudy355	2010-08-01	12511	9095	7141	2396	950	691	9	4	2	14916	7834	0.525207830517565
142831	Rudy355	2010-09-01	5784	3301	2521	1576	613	551	84	1	0	7444	3072	0.4126813541106932
142831	Rudy355	2010-10-01	8838	6096	5418	1632	718	755	20	1	1	10490	6174	0.588560533841754
142831	Rudy355	2010-11-01	9386	4222	5500	1672	523	980	6	1	0	11064	6480	0.5856832971800434
142831	Rudy355	2010-12-01	13587	9095	9752	2996	1100	1482	16	4	3	16599	11237	0.676968492077836
142831	Rudy355	2011-01-01	7355	5432	5050	1056	706	638	1	0	0	8412	5688	0.6761768901569187
142831	Rudy355	2011-02-01	27614	22861	23160	2539	1706	1663	4	0	0	30157	24823	0.8231256424710681
142831	Rudy355	2011-03-01	3722	2623	2953	496	252	236	1	0	0	4219	3189	0.7558663190329462
142831	Rudy355	2011-04-01	15313	13451	13775	1130	755	804	11	1	1	16454	14580	0.8861067217697824
142831	Rudy355	2011-05-01	27990	21741	23867	2659	1688	1857	1	1	1	30650	25725	0.8393148450244698
142831	Rudy355	2011-06-01	27565	21251	23798	2267	1278	1312	2	0	0	29834	25110	0.8416571696721861
142831	Rudy355	2011-07-01	483	468	452	30	18	19	0	0	0	513	471	0.9181286549707602
142831	Rudy355	2011-08-01	6471	5721	6136	394	210	249	1	1	1	6866	6386	0.9300903000291291
142831	Rudy355	2011-09-01	8394	6225	6201	1334	1055	1007	19	1	4	9747	7212	0.7399199753770391
142831	Rudy355	2011-10-01	12743	10664	10876	2041	1688	1674	15	12	12	14799	12562	0.8488411379147239
142831	Rudy355	2011-11-01	2617	1777	2214	617	377	461	5	1	1	3239	2676	0.8261809200370485
142831	Rudy355	2011-12-01	5164	3297	4502	815	532	698	2	1	1	5981	5201	0.8695870255810065
142831	Rudy355	2012-01-01	2102	1617	1820	317	166	188	6	0	0	2425	2008	0.828041237113402
142831	Rudy355	2012-02-01	1276	854	1035	207	130	133	0	0	0	1483	1168	0.7875927174645988
142831	Rudy355	2012-03-01	1378	966	965	232	105	99	1	0	0	1611	1064	0.6604593420235878
