uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
1750701	jolivares	2013-09-01	228	193	12	338	69	1	1	1	0	567	13	0.02292768959435626
1750701	jolivares	2013-10-01	5740	5679	4965	2431	1049	802	2	2	2	8173	5769	0.7058607610424569
1750701	jolivares	2013-11-01	58262	53363	53901	17526	16130	16327	19	0	0	75807	70228	0.9264052132388829
1750701	jolivares	2013-12-01	226464	226434	224617	61001	60933	60630	14	0	5	287479	285252	0.992253347201013
1750701	jolivares	2014-02-01	1	1	0	0	0	0	0	0	0	1	0	0
1750701	jolivares	2014-03-01	2	1	1	2	1	2	0	0	0	4	3	0.75
1750701	jolivares	2015-11-01	3	2	0	9	0	9	0	0	0	12	9	0.75
573582	DanielBautista	2014-01-01	358	343	324	77	62	52	2	2	2	437	378	0.8649885583524027
573582	DanielBautista	2014-02-01	572	545	518	90	79	56	1	0	1	663	575	0.8672699849170438
573582	DanielBautista	2014-04-01	870	811	817	156	118	91	3	2	2	1029	910	0.8843537414965986
573582	DanielBautista	2014-07-01	25624	24437	25165	4493	3326	3236	30	22	22	30147	28423	0.9428135469532624
573582	DanielBautista	2014-08-01	6312	5992	6162	1026	525	514	28	12	6	7366	6682	0.9071409177301113
573582	DanielBautista	2014-11-01	25537	25228	25362	2853	1762	2029	60	29	26	28450	27417	0.9636906854130053
573582	DanielBautista	2014-12-01	17890	17527	17731	1667	1090	1129	46	23	20	19603	18880	0.9631178901188594
243992	josepmunoz	2011-07-01	8621	8171	6881	1739	1175	430	10	2	2	10370	7313	0.7052073288331726
243992	josepmunoz	2011-08-01	35385	33634	33345	6808	4524	3818	77	21	13	42270	37176	0.8794889992902768
243992	josepmunoz	2011-09-01	710	605	581	267	40	143	10	7	0	987	724	0.7335359675785208
243992	josepmunoz	2011-10-01	10365	9896	8470	1357	1006	753	33	21	10	11755	9233	0.7854529987239472
243992	josepmunoz	2011-11-01	4976	4811	4509	852	489	383	9	6	1	5837	4893	0.8382730854891212
243992	josepmunoz	2011-12-01	3354	1919	3091	268	136	148	4	1	1	3626	3240	0.8935466078323221
243992	josepmunoz	2012-01-01	642	627	596	70	54	34	0	0	0	712	630	0.8848314606741573
243992	josepmunoz	2012-04-01	2381	2311	2326	232	170	166	4	1	1	2617	2493	0.9526175009552923
