uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
55774	nmixter	2008-08-01	10685	2986	1845	1822	100	75	0	0	0	12507	1920	0.1535140321420005
55774	nmixter	2008-09-01	13905	3949	2313	2937	264	169	0	0	0	16842	2482	0.14736967106044413
55774	nmixter	2008-10-01	12385	5229	1942	1608	721	402	0	0	0	13993	2344	0.16751232759236762
55774	nmixter	2008-11-01	26053	6004	1622	1661	625	357	0	0	0	27714	1979	0.07140795265930576
55774	nmixter	2008-12-01	12535	2310	1483	1002	170	102	0	0	0	13537	1585	0.11708650365664475
55774	nmixter	2009-01-01	7775	1366	1043	626	110	96	0	0	0	8401	1139	0.13557909772646112
55774	nmixter	2009-02-01	9790	1538	1273	554	132	60	0	0	0	10344	1333	0.12886697602474864
55774	nmixter	2009-03-01	6104	1022	1068	633	95	66	0	0	0	6737	1134	0.16832417990203355
55774	nmixter	2009-04-01	5926	1523	1649	364	94	83	0	0	0	6290	1732	0.2753577106518283
55774	nmixter	2009-05-01	15027	4155	2026	1362	403	232	0	0	0	16389	2258	0.13777533711635853
55774	nmixter	2009-06-01	6570	4825	2864	723	510	263	0	0	0	7293	3127	0.4287673111202523
55774	nmixter	2009-07-01	19478	13716	9599	2187	1217	564	0	0	0	21665	10163	0.46909762289406876
55774	nmixter	2009-08-01	29574	25828	17127	4258	2633	1548	0	0	0	33832	18675	0.5519921967368172
55774	nmixter	2009-09-01	241796	240298	230721	4798	4136	695	140	138	119	246734	231535	0.9383992477729053
55774	nmixter	2009-10-01	231022	227027	222178	5785	5222	2873	212	203	131	237019	225182	0.9500588560410769
55774	nmixter	2009-11-01	77624	76334	63969	2609	1779	1173	46	45	24	80279	65166	0.8117440426512538
55774	nmixter	2009-12-01	7666	2260	1846	451	218	176	1	0	1	8118	2023	0.24919931017491992
55774	nmixter	2010-01-01	818	631	367	179	92	96	1	0	1	998	464	0.4649298597194389
55774	nmixter	2010-02-01	3237	1256	2824	346	158	147	0	0	0	3583	2971	0.8291934133407759
55774	nmixter	2010-03-01	120	57	54	46	9	6	0	0	0	166	60	0.3614457831325301
55774	nmixter	2010-04-01	4446	3868	3624	605	318	320	0	0	0	5051	3944	0.7808354781231439
55774	nmixter	2010-05-01	1934	1630	1222	351	131	122	3	2	2	2288	1346	0.5882867132867133
55774	nmixter	2010-06-01	1755	1596	1613	146	90	80	5	5	5	1906	1698	0.8908709338929696
55774	nmixter	2010-07-01	16902	16300	14536	1090	877	356	3	3	1	17995	14893	0.8276187829952765
55774	nmixter	2010-08-01	2732	2284	1849	231	119	85	0	0	0	2963	1934	0.652716841039487
55774	nmixter	2010-09-01	5897	5211	4076	608	257	310	0	0	0	6505	4386	0.674250576479631
55774	nmixter	2010-10-01	184145	183155	182226	6690	6643	1783	13	13	0	190848	184009	0.9641651995305164
55774	nmixter	2010-11-01	114	107	27	33	14	10	0	0	0	147	37	0.25170068027210885
55774	nmixter	2010-12-01	2157	1799	1192	333	251	239	2	2	2	2492	1433	0.5750401284109149
55774	nmixter	2011-01-01	1092	984	675	197	163	161	0	0	0	1289	836	0.6485647788983708
55774	nmixter	2011-02-01	2533	2087	1586	440	375	366	1	0	1	2974	1953	0.6566913248150639
55774	nmixter	2011-03-01	4574	4199	2622	940	778	710	1	0	0	5515	3332	0.6041704442429737
55774	nmixter	2011-04-01	915	762	312	126	113	107	0	0	0	1041	419	0.4024975984630163
55774	nmixter	2011-05-01	26537	25988	22358	1147	1043	946	8	8	3	27692	23307	0.8416510183446483
55774	nmixter	2011-06-01	134402	133473	129040	2285	2192	2072	46	46	34	136733	131146	0.9591393445620296
55774	nmixter	2011-07-01	125760	124872	115251	3695	3515	3066	83	83	59	129538	118376	0.9138322345566552
55774	nmixter	2011-08-01	48111	46975	44316	1882	1762	1321	18	15	7	50011	45644	0.9126792105736737
55774	nmixter	2011-09-01	16065	11115	10623	1821	1673	1726	0	0	0	17886	12349	0.6904282679190429
55774	nmixter	2011-10-01	49079	6065	47082	5891	734	5508	30	0	27	55000	52617	0.9566727272727272
55774	nmixter	2011-11-01	15063	11679	8378	2061	1770	1836	0	0	0	17124	10214	0.5964727867320719
55774	nmixter	2011-12-01	12359	11182	10691	1013	836	899	4	0	1	13376	11591	0.866552033492823
