uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
881429	atpl_pilot	2012-09-01	6998	5372	4461	740	258	81	1	0	0	7739	4542	0.5868975319808761
881429	atpl_pilot	2012-10-01	17312	11594	7319	2847	1818	669	36	16	16	20195	8004	0.3963357266650161
881429	atpl_pilot	2012-11-01	7315	3532	4630	1195	226	171	12	5	3	8522	4804	0.5637174372213095
881429	atpl_pilot	2013-01-01	7287	4741	5774	848	384	299	5	0	0	8140	6073	0.7460687960687961
881429	atpl_pilot	2013-02-01	900	819	695	77	57	30	4	4	4	981	729	0.7431192660550459
881429	atpl_pilot	2013-03-01	7184	3992	5841	879	304	320	9	9	9	8072	6170	0.764370664023786
881429	atpl_pilot	2013-04-01	23517	13501	19635	4127	1465	1095	29	9	15	27673	20745	0.7496476710150688
881429	atpl_pilot	2013-05-01	31736	19305	26463	5260	2394	1319	17	13	12	37013	27794	0.7509253505525085
881429	atpl_pilot	2013-06-01	3805	2517	3577	868	498	418	4	2	2	4677	3997	0.8546076544793672
881429	atpl_pilot	2013-07-01	335	206	279	47	12	7	3	0	1	385	287	0.7454545454545455
881429	atpl_pilot	2013-08-01	1739	1430	1666	256	171	60	0	0	0	1995	1726	0.8651629072681705
881429	atpl_pilot	2013-09-01	1408	858	1197	152	33	88	2	0	0	1562	1285	0.822663252240717
881429	atpl_pilot	2013-10-01	10848	6842	9401	1502	730	829	11	7	5	12361	10235	0.8280074427635304
881429	atpl_pilot	2013-11-01	4581	3255	4046	707	447	444	7	2	0	5295	4490	0.8479697828139755
881429	atpl_pilot	2014-01-01	97	26	86	10	2	5	0	0	0	107	91	0.8504672897196262
881429	atpl_pilot	2014-03-01	22603	16412	19838	1708	664	1111	9	7	5	24320	20954	0.8615953947368421
881429	atpl_pilot	2014-04-01	38542	26740	33085	4176	2114	2577	44	36	31	42762	35693	0.8346896777512745
881429	atpl_pilot	2014-05-01	109787	84224	63531	11600	5512	6355	95	64	57	121482	69943	0.5757478474177244
881429	atpl_pilot	2014-06-01	286530	272028	265025	49775	27238	41317	95	53	63	336400	306405	0.9108353151010702
881429	atpl_pilot	2014-07-01	206651	197249	175751	32093	15749	23854	44	16	18	238788	199623	0.8359842203125786
881429	atpl_pilot	2014-08-01	74012	72707	73433	11080	7698	9632	16	16	16	85108	83081	0.9761832025191521
881429	atpl_pilot	2014-09-01	93474	83956	83100	10418	5876	6805	390	68	71	104282	89976	0.86281429201588
881429	atpl_pilot	2014-10-01	89492	87630	88184	14890	12013	14104	23	11	11	104405	102299	0.9798285522724007
881429	atpl_pilot	2014-11-01	105251	98145	96357	13779	6685	9978	270	169	66	119300	106401	0.8918776194467728
881429	atpl_pilot	2014-12-01	215206	196090	180194	35324	22738	19517	334	57	107	250864	199818	0.7965192295427004
881429	atpl_pilot	2015-01-01	150927	117761	128987	28330	12956	16787	124	20	30	179381	145804	0.8128174109855559
881429	atpl_pilot	2015-02-01	118830	86801	96839	26605	7885	19365	66	32	35	145501	116239	0.7988879801513392
881429	atpl_pilot	2015-03-01	39520	35727	38417	5462	2478	4858	59	31	41	45041	43316	0.9617015608001599
881429	atpl_pilot	2015-04-01	136104	113940	132043	18989	7979	15434	158	67	86	155251	147563	0.9504801901437028
881429	atpl_pilot	2015-05-01	8889	7902	8433	1295	726	1159	32	12	15	10216	9607	0.9403876272513704
881429	atpl_pilot	2015-06-01	14076	13391	13909	2050	359	1812	54	32	35	16180	15756	0.9737948084054389
881429	atpl_pilot	2015-07-01	71371	64684	68711	9611	3535	8828	84	56	68	81066	77607	0.9573310635778255
881429	atpl_pilot	2015-08-01	12814	10884	12046	2456	1086	1758	58	16	21	15328	13825	0.9019441544885177
881429	atpl_pilot	2015-09-01	58538	55270	58266	11882	4025	10902	24	16	18	70444	69186	0.9821418431662029
881429	atpl_pilot	2015-10-01	19	0	18	449	0	412	30	0	30	498	460	0.9236947791164659
881429	atpl_pilot	2015-11-01	126843	101652	123813	17636	8316	15225	427	260	342	144906	139380	0.961864933129063
881429	atpl_pilot	2015-12-01	260217	146288	239323	35206	10567	33014	241	105	205	295664	272542	0.92179636343958
881429	atpl_pilot	2016-01-01	46863	41222	46547	5081	2189	4708	133	88	121	52077	51376	0.9865391631622406
1260280	jacobbraeutigam	2013-09-01	2579	782	2299	1360	166	176	0	0	0	3939	2475	0.6283320639756284
1260280	jacobbraeutigam	2013-10-01	3416	2275	2360	4768	484	1294	22	0	6	8206	3660	0.44601511089446744
1260280	jacobbraeutigam	2013-11-01	2225	2007	1341	863	498	242	0	0	0	3088	1583	0.5126295336787565
1260280	jacobbraeutigam	2013-12-01	13	12	12	48	41	8	0	0	0	61	20	0.32786885245901637
1260280	jacobbraeutigam	2014-01-01	614	437	292	924	41	87	0	0	0	1538	379	0.24642392717815345
1260280	jacobbraeutigam	2014-02-01	120	121	110	53	51	3	0	0	0	173	113	0.653179190751445
1260280	jacobbraeutigam	2014-03-01	48	47	11	140	0	24	0	0	0	188	35	0.18617021276595744
1260280	jacobbraeutigam	2014-04-01	3121	3006	2620	2222	912	1119	0	0	0	5343	3739	0.6997941231517874
1260280	jacobbraeutigam	2014-05-01	1	1	0	3	2	3	0	0	0	4	3	0.75
1260280	jacobbraeutigam	2014-06-01	8919	8763	117	2220	0	637	1	0	0	11140	754	0.06768402154398563
1260280	jacobbraeutigam	2014-07-01	1	0	0	0	0	0	0	0	0	1	0	0
1260280	jacobbraeutigam	2014-08-01	84537	44965	8627	17655	537	3553	94	0	14	102286	12194	0.11921475079678548
1260280	jacobbraeutigam	2014-09-01	163487	34410	62470	30913	5675	18688	90	6	41	194490	81199	0.4174970435497969
1260280	jacobbraeutigam	2014-10-01	277246	274535	274406	37729	33649	36007	5	5	3	314980	310416	0.9855101911232459
1260280	jacobbraeutigam	2014-11-01	32839	30938	32486	3631	2682	3402	1	1	1	36471	35889	0.984042115653533
1260280	jacobbraeutigam	2014-12-01	12885	12554	12542	1666	1297	768	10	1	1	14561	13311	0.9141542476478264
