uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
1137433	jremillard-massgis	2012-12-01	6225	6225	6224	917	917	897	2	2	2	7144	7123	0.9970604703247481
1137433	jremillard-massgis	2013-03-01	2682599	2682599	2672053	367109	367109	356377	219	219	171	3049927	3028601	0.9930077014958063
1137433	jremillard-massgis	2013-04-01	1680051	1680051	1676196	229388	229388	228010	138	138	108	1909577	1904314	0.9972438922337251
1137433	jremillard-massgis	2013-08-01	5054	5051	4952	25	22	15	1	0	0	5080	4967	0.977755905511811
1137433	jremillard-massgis	2013-09-01	19484	19484	18924	296706	395	291375	18	18	13	316208	310312	0.9813540454384456
1137433	jremillard-massgis	2013-10-01	0	0	0	1090	0	993	0	0	0	1090	993	0.9110091743119266
1034	crschmidt	2006-01-01	5	5	3	2	2	2	0	0	0	7	5	0.7142857142857143
1034	crschmidt	2007-10-01	13099	12937	9544	1324	965	615	0	0	0	14423	10159	0.7043610899258129
1034	crschmidt	2007-11-01	0	0	0	1	0	0	0	0	0	1	0	0
1034	crschmidt	2008-02-01	0	0	0	4	0	3	0	0	0	4	3	0.75
1034	crschmidt	2008-04-01	2630	2631	1651	0	0	0	0	0	0	2630	1651	0.6277566539923954
1034	crschmidt	2008-10-01	2	0	0	1	0	0	0	0	0	3	0	0
1034	crschmidt	2009-01-01	2157556	2154115	2014346	321367	318074	16338	597	597	483	2479520	2031167	0.8191775020971801
1034	crschmidt	2009-02-01	180192	50	61299	921	19	144	6	0	1	181119	61444	0.3392465726952998
1034	crschmidt	2009-03-01	0	0	0	0	0	0	1	0	0	1	0	0
1034	crschmidt	2009-04-01	0	0	0	0	0	0	1	0	0	1	0	0
221294	morganwahl	2010-01-01	867	773	369	289	77	40	2	2	0	1158	409	0.3531951640759931
221294	morganwahl	2010-02-01	702	514	531	137	82	31	0	0	0	839	562	0.6698450536352801
221294	morganwahl	2010-03-01	4542	4400	4246	352	291	202	2	1	1	4896	4449	0.9087009803921569
221294	morganwahl	2010-04-01	2862	2480	2572	315	247	228	0	0	0	3177	2800	0.881334592382751
221294	morganwahl	2010-07-01	451	446	411	24	13	9	0	0	0	475	420	0.8842105263157894
221294	morganwahl	2010-10-01	427961	427119	423638	4855	4354	3083	91	90	82	432907	426803	0.985899973897396
221294	morganwahl	2010-11-01	105777	105650	101009	1390	1352	1084	22	22	15	107189	102108	0.9525977479032364
221294	morganwahl	2010-12-01	412340	410127	402489	9651	8534	7653	296	264	220	422287	410362	0.971760911418064
221294	morganwahl	2011-01-01	996	461	656	177	68	58	28	17	10	1201	724	0.6028309741881765
221294	morganwahl	2011-06-01	0	0	0	9	8	0	6	0	0	15	0	0
221294	morganwahl	2012-03-01	2578	1346	2574	622	216	174	57	31	28	3257	2776	0.8523180841264968
221294	morganwahl	2012-05-01	310	229	309	84	46	45	8	5	3	402	357	0.8880597014925373
221294	morganwahl	2012-07-01	189	157	187	42	25	25	4	3	2	235	214	0.9106382978723404
221294	morganwahl	2012-08-01	813	770	785	141	104	112	8	8	8	962	905	0.9407484407484408
221294	morganwahl	2012-10-01	2474	2043	2440	453	275	331	21	15	17	2948	2788	0.9457259158751696
221294	morganwahl	2012-11-01	0	0	0	0	0	0	1	1	0	1	0	0
221294	morganwahl	2013-02-01	2	1	1	0	0	0	0	0	0	2	1	0.5
221294	morganwahl	2013-03-01	247	246	238	31	27	24	0	0	0	278	262	0.9424460431654677
221294	morganwahl	2013-04-01	121	96	119	16	9	13	2	0	2	139	134	0.9640287769784173
221294	morganwahl	2013-08-01	4	4	3	2	1	2	1	0	1	7	6	0.8571428571428571
221294	morganwahl	2013-10-01	14	14	11	0	0	0	0	0	0	14	11	0.7857142857142857
221294	morganwahl	2014-02-01	1	1	0	2	2	2	0	0	0	3	2	0.6666666666666666
15750	MassGIS Import	2007-10-01	821495	821489	586704	73333	73003	38362	0	0	0	894828	625066	0.6985320083859692
354704	OceanVortex	2010-10-01	31291	21191	22227	3944	1790	1611	73	15	11	35308	23849	0.6754559873116575
354704	OceanVortex	2010-11-01	14872	10570	13228	1653	1014	1102	18	14	15	16543	14345	0.8671341352838058
354704	OceanVortex	2010-12-01	1068	781	989	124	61	75	1	1	1	1193	1065	0.892707460184409
354704	OceanVortex	2011-03-01	1535	674	1334	453	92	25	0	0	0	1988	1359	0.6836016096579477
354704	OceanVortex	2011-10-01	14056	8000	13522	1272	704	858	91	50	45	15419	14425	0.9355340813282313
354704	OceanVortex	2011-11-01	33978	24990	31916	3658	2205	2224	82	29	28	37718	34168	0.9058804814677343
354704	OceanVortex	2011-12-01	22743	14195	21857	2048	1063	1378	10	4	7	24801	23242	0.9371396314664732
354704	OceanVortex	2012-01-01	6407	3446	6296	673	313	443	2	2	2	7082	6741	0.951849759954815
354704	OceanVortex	2012-02-01	5771	2435	5487	867	276	238	6	4	4	6644	5729	0.8622817579771223
354704	OceanVortex	2012-03-01	1814	629	1612	283	81	79	0	0	0	2097	1691	0.8063900810681927
354704	OceanVortex	2012-04-01	21677	8830	21042	3596	659	885	8	3	2	25281	21929	0.8674103081365452
354704	OceanVortex	2012-05-01	27094	16607	26484	2949	1042	1273	28	16	18	30071	27775	0.9236473678959796
354704	OceanVortex	2012-06-01	5251	1966	5216	888	123	198	0	0	0	6139	5414	0.8819025899983711
354704	OceanVortex	2012-08-01	23	22	22	3	2	2	0	0	0	26	24	0.9230769230769231
354704	OceanVortex	2012-09-01	14780	6828	14564	2629	753	818	6	5	5	17415	15387	0.8835486649440137
354704	OceanVortex	2012-10-01	19405	10138	19313	2833	681	923	18	11	13	22256	20249	0.9098220704529115
354704	OceanVortex	2012-11-01	2282	1191	2278	655	80	179	3	0	0	2940	2457	0.8357142857142857
354704	OceanVortex	2012-12-01	4810	4594	4727	1120	1061	1109	1	0	0	5931	5836	0.9839824650143315
354704	OceanVortex	2013-02-01	46	21	45	5	0	4	0	0	0	51	49	0.9607843137254902
354704	OceanVortex	2013-05-01	1164	652	1117	97	34	85	3	0	2	1264	1204	0.9525316455696202
354704	OceanVortex	2013-06-01	101	74	100	13	2	5	0	0	0	114	105	0.9210526315789473
354704	OceanVortex	2013-07-01	175	100	174	13	0	12	0	0	0	188	186	0.9893617021276596
354704	OceanVortex	2013-10-01	2125	1437	2092	187	79	171	0	0	0	2312	2263	0.9788062283737025
354704	OceanVortex	2013-11-01	6211	4822	6166	416	192	380	17	6	7	6644	6553	0.9863034316676701
354704	OceanVortex	2013-12-01	32548	21094	32398	2631	1206	2396	92	66	73	35271	34867	0.9885458308525418
354704	OceanVortex	2014-01-01	14282	11020	14269	1140	696	1095	18	14	14	15440	15378	0.9959844559585492
354704	OceanVortex	2014-04-01	3074	2083	3068	293	110	266	0	0	0	3367	3334	0.9901989901989902
354704	OceanVortex	2014-08-01	55	22	54	6	0	6	0	0	0	61	60	0.9836065573770492
354704	OceanVortex	2014-09-01	7976	5691	7857	465	123	404	6	2	3	8447	8264	0.9783355037291346
354704	OceanVortex	2014-10-01	68190	43311	67681	10116	1397	9762	85	50	68	78391	77511	0.9887742215305328
354704	OceanVortex	2014-11-01	47124	28961	46954	7569	1601	7402	35	23	34	54728	54390	0.9938240023388394
354704	OceanVortex	2014-12-01	28027	18723	27997	3092	857	3037	8	6	8	31127	31042	0.9972692517749864
354704	OceanVortex	2015-01-01	3274	1092	3269	351	59	344	0	0	0	3625	3613	0.9966896551724138
326503	wambag	2010-07-01	0	0	0	0	0	0	0	0	0	0	0	0
326503	wambag	2010-08-01	5385	3406	3856	1274	392	291	25	5	7	6684	4154	0.6214841412327947
326503	wambag	2010-09-01	8826	3777	4990	1788	457	654	11	4	3	10625	5647	0.5314823529411765
326503	wambag	2010-10-01	24	0	23	3	1	3	0	0	0	27	26	0.9629629629629629
326503	wambag	2010-11-01	4956	1762	1800	1019	162	171	22	0	2	5997	1973	0.32899783224945806
326503	wambag	2010-12-01	11483	4402	7566	2558	538	771	33	1	5	14074	8342	0.5927241722324854
326503	wambag	2011-01-01	7014	2410	5786	1623	333	641	56	0	0	8693	6427	0.7393304958012193
326503	wambag	2011-02-01	6309	2415	3940	887	319	336	31	0	1	7227	4277	0.5918084959180849
326503	wambag	2011-03-01	361	250	273	26	8	4	3	0	0	390	277	0.7102564102564103
326503	wambag	2011-06-01	11678	5488	9146	1333	461	633	20	1	1	13031	9780	0.7505179955490753
326503	wambag	2011-07-01	12399	5293	8721	1976	546	699	58	0	0	14433	9420	0.652670962377884
326503	wambag	2011-08-01	14031	7861	12300	1571	524	811	43	4	6	15645	13117	0.8384148290188559
326503	wambag	2011-09-01	18925	12101	17145	2655	1074	1496	47	3	3	21627	18644	0.8620705599482129
326503	wambag	2011-10-01	5746	3229	5174	800	171	422	46	0	3	6592	5599	0.8493628640776699
326503	wambag	2011-11-01	2569	834	2084	529	76	247	30	0	1	3128	2332	0.7455242966751918
326503	wambag	2011-12-01	5768	2055	4906	788	195	413	57	2	4	6613	5323	0.8049296839558445
326503	wambag	2012-01-01	8879	6125	7646	1029	319	510	44	3	0	9952	8156	0.8195337620578779
326503	wambag	2012-02-01	8790	6407	8076	988	328	654	10	0	0	9788	8730	0.8919084593379648
326503	wambag	2012-04-01	5581	1973	4530	1098	319	630	9	3	3	6688	5163	0.7719796650717703
326503	wambag	2012-05-01	2797	1169	2369	580	223	428	11	0	0	3388	2797	0.8255608028335301
326503	wambag	2012-06-01	6629	2443	5962	1026	225	652	25	1	1	7680	6615	0.861328125
326503	wambag	2012-07-01	8590	3743	7800	1441	414	965	53	1	10	10084	8775	0.8701904006346688
326503	wambag	2012-08-01	4	0	0	0	0	0	0	0	0	4	0	0
326503	wambag	2012-09-01	6076	3759	5645	981	394	630	8	4	2	7065	6277	0.8884642604387827
326503	wambag	2012-10-01	1896	1201	1624	200	79	117	3	1	3	2099	1744	0.8308718437351119
326503	wambag	2012-11-01	4078	1754	3758	1064	234	668	56	2	3	5198	4429	0.8520584840323201
326503	wambag	2012-12-01	4140	1582	3091	992	184	478	21	0	0	5153	3569	0.6926062487871143
326503	wambag	2013-01-01	437	172	408	103	10	63	10	0	0	550	471	0.8563636363636363
326503	wambag	2013-02-01	3602	1683	3348	637	152	374	11	0	0	4250	3722	0.8757647058823529
326503	wambag	2013-03-01	6553	3766	6157	1087	242	728	25	2	3	7665	6888	0.8986301369863013
326503	wambag	2013-04-01	7021	3443	6097	1243	264	686	30	1	7	8294	6790	0.8186640945261635
326503	wambag	2013-05-01	236	186	229	47	10	23	13	0	0	296	252	0.8513513513513513
326503	wambag	2013-06-01	0	0	0	4	0	0	11	0	0	15	0	0
326503	wambag	2013-07-01	487	260	369	81	8	31	4	0	0	572	400	0.6993006993006993
326503	wambag	2013-08-01	9149	6440	8502	746	219	404	43	10	7	9938	8913	0.8968605353189777
326503	wambag	2013-09-01	6146	4213	5785	643	188	345	26	4	9	6815	6139	0.9008070432868672
326503	wambag	2013-10-01	4073	1530	3357	804	194	494	33	0	1	4910	3852	0.7845213849287169
326503	wambag	2014-01-01	2489	897	2242	716	154	466	6	0	0	3211	2708	0.8433509810028028
326503	wambag	2014-02-01	8139	3594	7532	1484	323	903	78	1	11	9701	8446	0.8706318936192146
326503	wambag	2014-03-01	51	30	41	17	3	9	0	0	0	68	50	0.7352941176470589
326503	wambag	2014-04-01	2235	964	1881	403	93	193	2	0	0	2640	2074	0.7856060606060606
326503	wambag	2014-05-01	12613	5568	11892	2027	472	1236	20	1	3	14660	13131	0.8957025920873124
326503	wambag	2014-06-01	14460	8479	13193	1823	541	1146	62	2	9	16345	14348	0.8778219639033343
326503	wambag	2014-07-01	10214	5054	8802	2214	705	1398	40	2	4	12468	10204	0.8184151427654797
326503	wambag	2014-08-01	13901	6526	11832	1568	468	1069	38	0	4	15507	12905	0.8322048107306378
326503	wambag	2014-09-01	8162	3870	7592	1409	327	957	35	0	9	9606	8558	0.8909015198834062
326503	wambag	2014-10-01	9627	5748	9336	1263	457	865	12	1	4	10902	10205	0.9360667767382131
326503	wambag	2014-11-01	9679	5206	9209	1134	333	766	9	0	3	10822	9978	0.9220107189059323
326503	wambag	2014-12-01	7688	3720	7196	1042	301	742	7	0	2	8737	7940	0.9087787570104154
326503	wambag	2015-01-01	8099	4039	7679	1399	441	965	16	1	6	9514	8650	0.9091864620559176
81285	Ahlzen	2009-02-01	237	17	49	267	65	26	0	0	0	504	75	0.1488095238095238
81285	Ahlzen	2009-03-01	4463	4072	3814	336	208	121	0	0	0	4799	3935	0.819962492185872
81285	Ahlzen	2009-04-01	2381	2096	1707	204	111	49	3	3	2	2588	1758	0.6792890262751159
81285	Ahlzen	2009-05-01	2202	1970	677	731	493	112	0	0	0	2933	789	0.2690078418002046
81285	Ahlzen	2009-07-01	7	4	0	2	0	0	0	0	0	9	0	0
81285	Ahlzen	2009-09-01	126	87	55	45	25	18	0	0	0	171	73	0.4269005847953216
81285	Ahlzen	2009-11-01	29	16	18	12	5	2	0	0	0	41	20	0.4878048780487805
81285	Ahlzen	2009-12-01	7776	7011	6155	766	459	300	8	7	4	8550	6459	0.755438596491228
81285	Ahlzen	2010-01-01	3892	2097	3056	647	298	412	0	0	0	4539	3468	0.7640449438202247
81285	Ahlzen	2010-02-01	4651	2826	4055	632	287	392	3	0	0	5286	4447	0.8412788497919031
81285	Ahlzen	2010-03-01	4162	2508	3896	425	222	315	4	4	2	4591	4213	0.9176649967327379
81285	Ahlzen	2010-05-01	530	257	389	120	54	50	3	1	1	653	440	0.6738131699846861
81285	Ahlzen	2010-06-01	6045	4805	5938	967	737	856	6	6	6	7018	6800	0.968937019093759
81285	Ahlzen	2010-08-01	9134	8130	8718	658	423	425	12	9	7	9804	9150	0.9332925336597307
81285	Ahlzen	2010-09-01	11654	10176	10746	1614	1043	943	57	27	21	13325	11710	0.8787992495309569
81285	Ahlzen	2010-10-01	3325	2802	3123	459	311	325	7	5	4	3791	3452	0.9105776839883936
81285	Ahlzen	2010-11-01	1880	1579	1497	286	202	47	1	0	0	2167	1544	0.7125057683433318
81285	Ahlzen	2011-01-01	1169	743	1002	421	109	311	0	0	0	1590	1313	0.8257861635220126
81285	Ahlzen	2011-02-01	7433	6602	7365	994	892	789	1	1	1	8428	8155	0.967607973421927
81285	Ahlzen	2011-03-01	7339	6594	7266	1016	861	878	2	2	2	8357	8146	0.9747517051573531
81285	Ahlzen	2011-04-01	376	235	316	118	42	84	0	0	0	494	400	0.8097165991902834
81285	Ahlzen	2011-05-01	7155	6327	7000	1008	655	851	20	15	17	8183	7868	0.9615055603079555
81285	Ahlzen	2011-06-01	2445	2199	2428	343	280	314	2	2	2	2790	2744	0.9835125448028674
81285	Ahlzen	2011-07-01	2062	1950	2043	133	89	108	15	14	13	2210	2164	0.9791855203619909
81285	Ahlzen	2011-09-01	5553	4977	5505	758	569	643	4	4	4	6315	6152	0.9741884402216944
81285	Ahlzen	2011-10-01	109	91	103	24	17	24	0	0	0	133	127	0.9548872180451128
81285	Ahlzen	2011-11-01	5	5	4	2	1	2	0	0	0	7	6	0.8571428571428571
81285	Ahlzen	2012-01-01	1289	1237	1233	73	55	54	0	0	0	1362	1287	0.9449339207048458
81285	Ahlzen	2012-02-01	1962	1760	1885	269	137	230	15	0	0	2246	2115	0.9416740872662511
