uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
75298	Fearandir	2008-10-01	38845	5078	1863	2614	762	34	29	1	0	41488	1897	0.04572406478981874
75298	Fearandir	2008-11-01	103281	11428	5991	8048	2122	105	22	0	0	111351	6096	0.054745803809575125
75298	Fearandir	2008-12-01	43281	3585	2381	3056	599	53	0	0	0	46337	2434	0.05252821719144528
75298	Fearandir	2009-01-01	3582	275	138	263	51	1	0	0	0	3845	139	0.03615084525357607
75298	Fearandir	2009-02-01	627	46	11	49	11	0	0	0	0	676	11	0.016272189349112426
75298	Fearandir	2009-03-01	3917	300	274	314	75	2	0	0	0	4231	276	0.06523280548333728
75298	Fearandir	2009-04-01	431	63	16	44	15	1	0	0	0	475	17	0.035789473684210524
75298	Fearandir	2009-07-01	123	117	53	63	17	2	0	0	0	186	55	0.2956989247311828
75298	Fearandir	2009-08-01	633	606	332	251	159	21	0	0	0	884	353	0.3993212669683258
75298	Fearandir	2009-09-01	4560	4118	1014	1632	1005	152	3	0	0	6195	1166	0.18821630347054075
75298	Fearandir	2009-10-01	51	52	6	19	9	3	0	0	0	70	9	0.12857142857142856
75298	Fearandir	2009-11-01	492	488	133	180	106	11	0	0	0	672	144	0.21428571428571427
75298	Fearandir	2009-12-01	552	525	125	216	116	8	7	1	0	775	133	0.17161290322580644
75298	Fearandir	2010-02-01	491	436	249	150	77	2	0	0	0	641	251	0.3915756630265211
75298	Fearandir	2010-04-01	1757	1630	1149	394	270	70	0	0	0	2151	1219	0.5667131566713157
75298	Fearandir	2010-05-01	182	183	96	88	53	4	0	0	0	270	100	0.37037037037037035
75298	Fearandir	2011-05-01	38	36	26	21	6	2	0	0	0	59	28	0.4745762711864407
89271	estela	2009-12-01	0	0	0	0	0	0	0	0	0	0	0	0
89271	estela	2010-01-01	7	2	2	0	0	0	0	0	0	7	2	0.2857142857142857
89271	estela	2010-02-01	10632	10569	4882	5052	1511	62	1	0	0	15685	4944	0.31520561045584955
89271	estela	2010-03-01	15483	15160	9785	6402	2023	262	0	0	0	21885	10047	0.4590815627141878
89271	estela	2010-04-01	28356	27391	9654	10031	4343	400	0	0	0	38387	10054	0.26191158465105374
89271	estela	2010-05-01	14968	14097	3798	5851	2704	339	4	0	0	20823	4137	0.19867454257311626
89271	estela	2010-06-01	983	983	449	378	174	25	0	0	0	1361	474	0.34827332843497427
89271	estela	2010-09-01	0	0	0	36	2	14	0	0	0	36	14	0.3888888888888889
89271	estela	2010-10-01	3751	3658	1325	1627	652	166	12	0	0	5390	1491	0.2766233766233766
89271	estela	2010-11-01	11577	11184	5193	5009	1890	750	14	0	0	16600	5943	0.3580120481927711
89271	estela	2010-12-01	4	1	1	1	0	0	0	0	0	5	1	0.2
89271	estela	2011-06-01	215	102	130	55	15	1	0	0	0	270	131	0.48518518518518516
89271	estela	2011-11-01	333	286	259	47	14	3	0	0	0	380	262	0.6894736842105263
89271	estela	2011-12-01	9774	9421	8712	458	332	206	2	0	1	10234	8919	0.8715067422317764
89271	estela	2012-01-01	30651	29315	24423	2200	1614	1163	5	0	1	32856	25587	0.7787618699780862
89271	estela	2012-02-01	19075	15928	16606	1366	916	864	0	0	0	20441	17470	0.8546548603297295
89271	estela	2012-03-01	6649	5901	6379	427	291	293	0	0	0	7076	6672	0.9429055963821368
89271	estela	2012-04-01	1629	1480	1464	178	120	105	0	0	0	1807	1569	0.8682899833978971
89271	estela	2012-08-01	3	3	2	1	0	1	0	0	0	4	3	0.75
89271	estela	2012-10-01	10497	9695	10282	724	476	497	2	0	0	11223	10779	0.9604383854584335
89271	estela	2013-06-01	0	0	0	0	0	0	0	0	0	0	0	0
89271	estela	2014-03-01	0	0	0	0	0	0	1	0	0	1	0	0
255141	Souchong	2013-07-01	0	0	0	2	0	0	0	0	0	2	0	0
255141	Souchong	2013-09-01	1696	1183	1117	485	167	84	2	0	0	2183	1201	0.5501603298213468
255141	Souchong	2013-10-01	8868	4133	6025	1884	482	634	49	10	9	10801	6668	0.617350245347653
255141	Souchong	2013-11-01	965	678	629	215	99	103	17	0	1	1197	733	0.6123642439431913
255141	Souchong	2013-12-01	29489	20126	24787	4308	1423	1435	137	49	26	33934	26248	0.7735015029174279
255141	Souchong	2014-01-01	6437	2495	3743	2902	334	1361	107	13	43	9446	5147	0.5448867245394876
255141	Souchong	2014-02-01	33782	23740	29301	5897	1627	3693	168	68	52	39847	33046	0.829322157251487
