uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
674454	chicago-buildings	2012-05-01	2322451	2322122	2318680	406641	401923	391251	65	62	49	2729157	2709980	0.992973288088593
674454	chicago-buildings	2013-02-01	428	413	427	53	53	16	0	0	0	481	443	0.920997920997921
674454	chicago-buildings	2013-03-01	2628671	2627608	2618156	417942	415416	407902	178	171	142	3046791	3026200	0.9932417418851507
567034	Umbugbene	2011-12-01	3471	2405	2530	346	185	74	2	2	2	3819	2606	0.6823775857554334
567034	Umbugbene	2012-01-01	11648	9622	9578	1470	970	270	19	18	12	13137	9860	0.7505518763796909
567034	Umbugbene	2012-02-01	10808	9196	9423	1501	894	316	8	7	7	12317	9746	0.7912641065194447
567034	Umbugbene	2012-03-01	9646	7701	8587	2047	705	500	16	12	10	11709	9097	0.7769237338799214
567034	Umbugbene	2012-04-01	4755	3780	4167	1676	371	507	5	5	1	6436	4675	0.7263828464885022
567034	Umbugbene	2012-05-01	6740	5266	4775	2191	377	663	12	6	4	8943	5442	0.608520630660852
567034	Umbugbene	2012-06-01	2965	1803	1987	2151	280	667	3	1	1	5119	2655	0.5186559874975581
567034	Umbugbene	2012-07-01	2574	1404	1932	2640	131	780	5	0	0	5219	2712	0.5196397777351983
567034	Umbugbene	2012-08-01	44206	36979	40611	8733	1848	4318	33	24	24	52972	44953	0.8486181378841652
567034	Umbugbene	2012-09-01	54877	45207	52618	7839	3619	4856	65	53	51	62781	57525	0.9162804033067329
567034	Umbugbene	2012-10-01	58285	50486	56774	7976	3452	4932	77	50	50	66338	61756	0.9309294823479756
567034	Umbugbene	2012-11-01	22889	21081	22375	2928	1437	1820	31	20	20	25848	24215	0.9368229650263077
567034	Umbugbene	2012-12-01	33981	30924	33282	4396	1794	2491	41	16	16	38418	35789	0.9315685355822791
567034	Umbugbene	2013-01-01	41267	37791	40841	3356	1966	2464	42	27	30	44665	43335	0.9702227695063249
567034	Umbugbene	2013-02-01	40796	35846	39918	4889	2875	3511	49	25	29	45734	43458	0.9502339616040583
567034	Umbugbene	2013-03-01	89977	78582	88208	8755	4723	6254	106	66	73	98838	94535	0.9564641129929784
567034	Umbugbene	2013-04-01	54616	49521	54055	5400	3469	4245	60	42	48	60076	58348	0.9712364338504561
567034	Umbugbene	2013-05-01	42352	39218	41939	4100	2637	3207	54	32	37	46506	45183	0.9715520577989937
567034	Umbugbene	2013-06-01	28180	23950	27651	4200	2613	3226	42	22	26	32422	30903	0.9531490962926408
567034	Umbugbene	2013-07-01	53997	48641	53342	4733	2941	3834	53	29	36	58783	57212	0.9732745861898848
567034	Umbugbene	2013-08-01	54522	49102	54027	5637	3487	4622	46	24	31	60205	58680	0.9746698779171166
567034	Umbugbene	2013-09-01	33593	29608	33231	3611	1968	2867	35	21	25	37239	36123	0.9700314186739708
567034	Umbugbene	2013-10-01	15042	13595	14877	1940	1138	1637	8	8	6	16990	16520	0.972336668628605
567034	Umbugbene	2013-11-01	9197	8508	9152	624	354	538	7	5	5	9828	9695	0.9864672364672364
567034	Umbugbene	2013-12-01	22	12	21	8	5	6	0	0	0	30	27	0.9
567034	Umbugbene	2014-01-01	428	360	421	124	68	104	2	0	1	554	526	0.9494584837545126
567034	Umbugbene	2014-02-01	24	0	23	2	0	2	1	0	0	27	25	0.9259259259259259
567034	Umbugbene	2014-04-01	292	147	255	45	14	37	0	0	0	337	292	0.8664688427299704
567034	Umbugbene	2014-05-01	3205	2535	3151	620	283	565	3	3	3	3828	3719	0.9715256008359456
567034	Umbugbene	2014-07-01	104	26	103	24	8	20	0	0	0	128	123	0.9609375
567034	Umbugbene	2014-08-01	20	11	17	12	5	9	0	0	0	32	26	0.8125
567034	Umbugbene	2014-09-01	297	239	288	63	38	38	0	0	0	360	326	0.9055555555555556
567034	Umbugbene	2014-11-01	2	2	1	1	1	0	0	0	0	3	1	0.3333333333333333
567034	Umbugbene	2015-05-01	665	371	664	103	54	101	1	0	0	769	765	0.9947984395318595
567034	Umbugbene	2015-06-01	1091	1063	1085	83	64	56	0	0	0	1174	1141	0.9718909710391823
567034	Umbugbene	2015-09-01	500	429	498	78	52	73	0	0	0	578	571	0.9878892733564014
567034	Umbugbene	2015-11-01	124	111	120	13	8	12	2	1	2	139	134	0.9640287769784173
567034	Umbugbene	2016-01-01	934	777	926	152	116	138	1	1	1	1087	1065	0.9797608095676172
18480	nickvet419	2007-11-01	3312	1524	418	615	177	79	0	0	0	3927	497	0.1265597147950089
18480	nickvet419	2008-05-01	3297	1053	659	862	157	33	0	0	0	4159	692	0.1663861505169512
18480	nickvet419	2008-06-01	14518	8591	3545	5102	1040	359	25	4	1	19645	3905	0.19877831509289895
18480	nickvet419	2008-07-01	3546	2533	1450	954	259	82	0	0	0	4500	1532	0.34044444444444444
18480	nickvet419	2008-08-01	3451	1952	1453	2219	369	204	7	0	0	5677	1657	0.2918795138277259
18480	nickvet419	2008-09-01	236	201	55	162	51	14	0	0	0	398	69	0.17336683417085427
18480	nickvet419	2008-10-01	33591	1527	603	3041	364	130	0	0	0	36632	733	0.020009827473247435
18480	nickvet419	2008-11-01	41873	3317	2726	2818	450	231	0	0	0	44691	2957	0.0661654471817592
18480	nickvet419	2008-12-01	7	0	0	0	0	0	0	0	0	7	0	0
18480	nickvet419	2009-01-01	12877	427	110	250	58	5	0	0	0	13127	115	0.008760569817932506
18480	nickvet419	2009-02-01	116956	6788	6155	7663	1109	388	29	0	0	124648	6543	0.05249181695654964
18480	nickvet419	2009-03-01	27850	2033	1836	1108	126	41	14	0	1	28972	1878	0.06482120668231396
18480	nickvet419	2009-04-01	75033	10023	10311	5343	949	496	1183	30	10	81559	10817	0.13262791353498693
18480	nickvet419	2009-05-01	12257	9131	6241	3146	847	374	570	5	3	15973	6618	0.414324172040318
