uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
372568	sunoptikos	2010-11-01	2699	2316	850	650	355	110	1	1	0	3350	960	0.2865671641791045
372568	sunoptikos	2010-12-01	17558	12408	9297	3534	2353	969	26	9	9	21118	10275	0.48655175679515106
372568	sunoptikos	2011-01-01	70982	64822	50359	11557	9017	5919	23	0	1	82562	56279	0.6816574210896054
372568	sunoptikos	2011-02-01	76612	66369	62096	11970	9519	6901	0	0	0	88582	68997	0.7789054209658847
372568	sunoptikos	2011-03-01	22069	14817	10842	2067	1623	1140	2	0	0	24138	11982	0.49639572458364406
372568	sunoptikos	2011-04-01	1205	1095	1115	299	222	166	0	0	0	1504	1281	0.8517287234042553
372568	sunoptikos	2011-05-01	1752	1638	708	379	297	208	1	0	0	2132	916	0.42964352720450283
372568	sunoptikos	2011-06-01	4994	4505	3875	781	667	461	15	10	8	5790	4344	0.7502590673575129
372568	sunoptikos	2011-07-01	3617	3387	2815	376	257	186	6	6	4	3999	3005	0.7514378594648662
372568	sunoptikos	2011-08-01	38693	35641	33343	3863	2899	2198	91	39	20	42647	35561	0.8338452880624663
372568	sunoptikos	2011-09-01	37991	31717	31419	4045	2364	2109	208	95	48	42244	33576	0.7948110974339552
372568	sunoptikos	2011-10-01	11216	9431	9895	1306	871	792	72	18	16	12594	10703	0.8498491345084961
372568	sunoptikos	2011-11-01	11	9	8	41	1	1	0	0	0	52	9	0.17307692307692307
372568	sunoptikos	2012-01-01	352	120	239	45	15	21	0	0	0	397	260	0.654911838790932
372568	sunoptikos	2012-02-01	904	822	496	169	132	52	4	0	0	1077	548	0.5088207985143919
372568	sunoptikos	2012-03-01	171	113	95	23	17	7	0	0	0	194	102	0.5257731958762887
372568	sunoptikos	2012-04-01	1055	982	923	173	124	110	0	0	0	1228	1033	0.8412052117263844
372568	sunoptikos	2012-05-01	587	476	341	81	56	42	1	0	1	669	384	0.5739910313901345
372568	sunoptikos	2012-06-01	353	106	289	39	14	19	0	0	0	392	308	0.7857142857142857
372568	sunoptikos	2012-07-01	765	463	633	137	84	81	1	0	0	903	714	0.7906976744186046
372568	sunoptikos	2012-08-01	29910	25110	27310	2964	2368	2415	28	16	10	32902	29735	0.903744453224728
372568	sunoptikos	2012-09-01	59	56	24	15	12	7	0	0	0	74	31	0.4189189189189189
372568	sunoptikos	2012-10-01	7715	1020	3135	300	134	127	27	1	1	8042	3263	0.40574483959214125
372568	sunoptikos	2012-11-01	278	109	197	129	25	57	2	0	1	409	255	0.6234718826405868
372568	sunoptikos	2012-12-01	163	83	129	129	16	31	0	0	0	292	160	0.547945205479452
372568	sunoptikos	2013-01-01	1347	626	954	271	83	95	14	0	0	1632	1049	0.6427696078431373
372568	sunoptikos	2013-02-01	159	82	140	24	11	17	0	0	0	183	157	0.8579234972677595
372568	sunoptikos	2013-03-01	242	162	225	36	23	16	0	0	0	278	241	0.8669064748201439
372568	sunoptikos	2013-04-01	63	55	62	25	12	18	0	0	0	88	80	0.9090909090909091
372568	sunoptikos	2013-07-01	0	0	0	3	0	0	0	0	0	3	0	0
372568	sunoptikos	2013-08-01	547	210	429	47	27	13	0	0	0	594	442	0.7441077441077442
372568	sunoptikos	2013-09-01	5	3	0	4	0	0	3	0	0	12	0	0
372568	sunoptikos	2013-10-01	142	100	140	27	17	19	0	0	0	169	159	0.9408284023668639
372568	sunoptikos	2013-11-01	75	46	62	17	10	8	4	0	0	96	70	0.7291666666666666
372568	sunoptikos	2013-12-01	91	27	88	17	2	13	0	0	0	108	101	0.9351851851851852
372568	sunoptikos	2014-02-01	39	28	38	13	7	11	0	0	0	52	49	0.9423076923076923
372568	sunoptikos	2014-03-01	32	12	31	8	3	5	0	0	0	40	36	0.9
372568	sunoptikos	2014-06-01	63	54	62	8	4	7	0	0	0	71	69	0.971830985915493
372568	sunoptikos	2014-09-01	2	2	1	3	1	2	1	0	0	6	3	0.5
477248	Alnes	2011-06-01	13272	10321	5170	2456	1503	697	2	0	0	15730	5867	0.3729815638906548
477248	Alnes	2011-07-01	20605	14365	16811	2135	1389	1147	18	15	13	22758	17971	0.789656384568064
477248	Alnes	2011-08-01	15348	14055	14152	2171	1594	1383	7	6	6	17526	15541	0.8867397010156339
477248	Alnes	2011-09-01	9911	8465	8733	1341	908	787	5	1	3	11257	9523	0.845962512214622
477248	Alnes	2011-10-01	13931	13365	13322	2170	1756	1730	8	8	8	16109	15060	0.9348811223539636
477248	Alnes	2011-11-01	12927	11844	12346	983	867	847	0	0	0	13910	13193	0.9484543493889288
477248	Alnes	2011-12-01	4992	4338	4462	506	369	292	0	0	0	5498	4754	0.8646780647508184
477248	Alnes	2012-01-01	9659	8631	8025	1194	854	656	2	0	0	10855	8681	0.7997236296637494
477248	Alnes	2012-02-01	15714	15096	15021	1518	1072	958	0	0	0	17232	15979	0.927286443825441
477248	Alnes	2012-03-01	352	257	271	720	207	214	57	17	9	1129	494	0.437555358724535
477248	Alnes	2012-04-01	9	8	7	7	3	1	0	0	0	16	8	0.5
477248	Alnes	2012-05-01	233	166	174	52	14	23	0	0	0	285	197	0.6912280701754386
477248	Alnes	2012-07-01	5757	5713	3602	1193	915	824	14	3	3	6964	4429	0.635985066053992
477248	Alnes	2012-09-01	17356	15460	16827	1556	1244	1332	12	6	1	18924	18160	0.9596279856267174
477248	Alnes	2012-10-01	4930	3424	4387	536	364	449	0	0	0	5466	4836	0.884742041712404
477248	Alnes	2012-11-01	876	809	867	67	59	57	0	0	0	943	924	0.9798515376458112
477248	Alnes	2012-12-01	409	263	374	15	10	12	0	0	0	424	386	0.910377358490566
477248	Alnes	2013-01-01	383	312	382	31	15	31	0	0	0	414	413	0.9975845410628019
477248	Alnes	2013-02-01	1370	1089	1315	465	264	295	3	0	1	1838	1611	0.8764961915125136
477248	Alnes	2013-03-01	2949	1366	2799	682	234	475	2	1	1	3633	3275	0.9014588494357281
477248	Alnes	2013-05-01	50	35	49	10	6	7	0	0	0	60	56	0.9333333333333333
477248	Alnes	2013-06-01	2384	1440	2199	179	80	78	0	0	0	2563	2277	0.8884120171673819
