uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
143266	Sergey Astakhov	2010-09-01	797	410	53	53	27	15	1	1	0	851	68	0.0799059929494712
143266	Sergey Astakhov	2010-10-01	17809	10485	10909	1775	1007	931	16	8	4	19600	11844	0.6042857142857143
143266	Sergey Astakhov	2010-11-01	17678	5481	12796	2274	612	1281	18	8	5	19970	14082	0.7051577366049073
143266	Sergey Astakhov	2010-12-01	343	163	277	47	27	35	0	0	0	390	312	0.8
143266	Sergey Astakhov	2011-07-01	0	0	0	3	0	0	0	0	0	3	0	0
143266	Sergey Astakhov	2012-09-01	45057	17801	34158	4359	2196	3294	40	25	20	49456	37472	0.7576835975412488
143266	Sergey Astakhov	2012-10-01	59575	33071	54150	7155	3956	5927	51	36	32	66781	60109	0.9000913433461614
143266	Sergey Astakhov	2012-11-01	45362	21755	39695	6109	2992	4574	33	31	31	51504	44300	0.8601273687480584
143266	Sergey Astakhov	2012-12-01	10379	5570	9823	1297	715	1102	28	14	7	11704	10932	0.9340396445659603
143266	Sergey Astakhov	2013-01-01	38139	24992	35551	5076	3357	4259	80	74	74	43295	39884	0.9212149208915579
143266	Sergey Astakhov	2013-02-01	33707	25185	30279	5208	3774	4419	63	57	54	38978	34752	0.8915798655651906
61855	Zenon	2008-08-01	7437	6571	3322	213	87	16	0	0	0	7650	3338	0.43633986928104573
61855	Zenon	2008-09-01	15236	11093	4574	872	359	97	0	0	0	16108	4671	0.2899801340948597
61855	Zenon	2008-10-01	12229	8359	1876	1162	421	112	0	0	0	13391	1988	0.14845791949817042
61855	Zenon	2008-11-01	3766	2543	2006	1363	368	88	0	0	0	5129	2094	0.4082667186586079
61855	Zenon	2008-12-01	11072	7774	3228	2880	1047	126	0	0	0	13952	3354	0.24039564220183487
61855	Zenon	2009-01-01	18744	4721	7721	7926	229	2980	0	0	0	26670	10701	0.40123734533183353
61855	Zenon	2009-02-01	7170	4113	2449	1820	885	209	0	0	0	8990	2658	0.2956618464961068
61855	Zenon	2009-03-01	7738	6511	3498	1177	874	116	0	0	0	8915	3614	0.4053841839596186
61855	Zenon	2009-04-01	559	155	248	81	24	14	0	0	0	640	262	0.409375
61855	Zenon	2009-06-01	304	171	158	326	63	156	0	0	0	630	314	0.4984126984126984
61855	Zenon	2009-07-01	203	44	114	20	3	9	0	0	0	223	123	0.5515695067264574
61855	Zenon	2009-09-01	200	73	50	29	9	6	0	0	0	229	56	0.2445414847161572
61855	Zenon	2009-10-01	80	57	16	36	15	3	0	0	0	116	19	0.16379310344827586
61855	Zenon	2009-11-01	2759	892	1299	1470	152	425	0	0	0	4229	1724	0.40766138567037125
61855	Zenon	2009-12-01	2111	918	1071	697	183	250	0	0	0	2808	1321	0.4704415954415954
61855	Zenon	2010-01-01	5336	4860	2889	902	454	308	0	0	0	6238	3197	0.512504007694774
61855	Zenon	2010-02-01	516	353	201	85	38	18	0	0	0	601	219	0.3643926788685524
61855	Zenon	2010-03-01	47	31	16	3	2	0	0	0	0	50	16	0.32
61855	Zenon	2010-04-01	447	202	238	86	49	31	0	0	0	533	269	0.5046904315196998
61855	Zenon	2010-05-01	656	573	334	21	10	9	0	0	0	677	343	0.5066469719350074
61855	Zenon	2010-07-01	3	3	1	2	1	1	0	0	0	5	2	0.4
61855	Zenon	2010-08-01	85	57	26	13	4	3	0	0	0	98	29	0.29591836734693877
61855	Zenon	2010-11-01	3938	3772	2205	531	111	216	0	0	0	4469	2421	0.5417319310807787
61855	Zenon	2010-12-01	3958	3053	2293	944	301	544	0	0	0	4902	2837	0.5787433700530396
61855	Zenon	2011-01-01	17120	12888	11556	1913	1247	877	0	0	0	19033	12433	0.6532338569852362
61855	Zenon	2011-02-01	19901	5627	5967	1124	672	577	0	0	0	21025	6544	0.31124851367419737
61855	Zenon	2011-03-01	3570	2734	1687	308	218	127	0	0	0	3878	1814	0.46776689014956163
61855	Zenon	2011-04-01	13	9	12	2	1	0	0	0	0	15	12	0.8
61855	Zenon	2011-05-01	1509	385	538	120	51	25	2	0	2	1631	565	0.3464132434089516
61855	Zenon	2011-07-01	811	336	217	96	44	16	0	0	0	907	233	0.25689084895259096
