uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
302972	SOGEFI	2014-01-01	13	9	10	4	1	1	0	0	0	17	11	0.6470588235294118
302972	SOGEFI	2014-03-01	0	0	0	0	0	0	1	0	0	1	0	0
302972	SOGEFI	2014-04-01	33	33	32	6	6	5	0	0	0	39	37	0.9487179487179487
302972	SOGEFI	2014-06-01	118	92	112	39	15	18	57	7	0	214	130	0.6074766355140186
302972	SOGEFI	2014-07-01	4	0	1	2288	0	2248	27	0	5	2319	2254	0.9719706770159552
302972	SOGEFI	2014-08-01	2341072	2340814	2340781	263421	263371	257894	249	238	248	2604742	2598923	0.9977659975536924
302972	SOGEFI	2014-09-01	533535	532809	533480	125312	121440	124734	2	1	2	658849	658216	0.9990392335724878
302972	SOGEFI	2014-10-01	605	474	604	2341	12	2331	1	0	1	2947	2936	0.996267390566678
302972	SOGEFI	2014-11-01	96	53	95	24	5	18	0	0	0	120	113	0.9416666666666667
50912	philmas	2010-05-01	18485	18485	11639	5280	5278	416	0	0	0	23765	12055	0.5072585735325058
50912	philmas	2010-06-01	1	1	0	0	0	0	0	0	0	1	0	0
50912	philmas	2014-12-01	1	1	0	0	0	0	0	0	0	1	0	0
2303930	mathurin	2014-09-01	19020	19020	19012	2127	2127	2125	0	0	0	21147	21137	0.9995271196860075
1122708	zaizone	2013-06-01	1	1	0	4	0	1	0	0	0	5	1	0.2
1122708	zaizone	2013-07-01	9815	5848	9308	1859	631	891	11	7	5	11685	10204	0.8732563115104836
1122708	zaizone	2014-11-01	356	293	355	28	5	24	1	0	1	385	380	0.987012987012987
1122708	zaizone	2015-01-01	89	86	87	14	10	13	1	1	1	104	101	0.9711538461538461
218888	christal	2010-08-01	24	1	1	1	0	1	0	0	0	25	2	0.08
218888	christal	2010-09-01	1515	224	285	2577	57	75	0	0	0	4092	360	0.08797653958944282
218888	christal	2010-10-01	31	8	13	607	0	16	0	0	0	638	29	0.045454545454545456
218888	christal	2011-02-01	0	0	0	0	0	0	0	0	0	0	0	0
67862	HolgerJeromin	2010-12-01	451	434	317	23	9	2	0	0	0	474	319	0.6729957805907173
67862	HolgerJeromin	2011-01-01	1023	484	624	249	72	62	2	0	0	1274	686	0.5384615384615384
67862	HolgerJeromin	2011-02-01	750	571	487	108	53	27	3	2	1	861	515	0.5981416957026713
67862	HolgerJeromin	2011-05-01	56	50	18	8	3	0	0	0	0	64	18	0.28125
67862	HolgerJeromin	2012-01-01	64	14	48	1677	3	70	0	0	0	1741	118	0.06777713957495692
67862	HolgerJeromin	2012-11-01	0	0	0	0	0	0	0	0	0	0	0	0
597179	AlkalIn	2013-01-01	38	20	36	10	0	0	0	0	0	48	36	0.75
597179	AlkalIn	2013-02-01	740	421	687	133	21	29	1	0	0	874	716	0.8192219679633868
597179	AlkalIn	2013-05-01	531	185	446	2856	37	2100	0	0	0	3387	2546	0.7516976675524063
597179	AlkalIn	2013-07-01	0	0	0	1	0	1	0	0	0	1	1	1
597179	AlkalIn	2013-11-01	0	0	0	0	1	0	0	0	0	0	0	0
479788	sobzeros	2011-07-01	1260	144	912	28	27	23	0	0	0	1288	935	0.7259316770186336
479788	sobzeros	2012-01-01	61	61	60	10	10	10	0	0	0	71	70	0.9859154929577465
479788	sobzeros	2012-06-01	1705	1554	1606	330	223	214	2	2	1	2037	1821	0.8939617083946981
479788	sobzeros	2013-02-01	11	9	10	1	1	1	0	0	0	12	11	0.9166666666666666
479788	sobzeros	2014-08-01	227	74	190	16	11	16	0	0	0	243	206	0.8477366255144033
479788	sobzeros	2014-09-01	341	271	339	78	54	77	0	0	0	419	416	0.9928400954653938
479788	sobzeros	2014-12-01	96	83	95	39	11	39	0	0	0	135	134	0.9925925925925926
453695	RR81	2012-07-01	1038	818	822	209	75	49	0	0	0	1247	871	0.698476343223737
42429	42429	2010-05-01	643	169	305	493	70	65	0	0	0	1136	370	0.3257042253521127
570551	kr12	2013-03-01	781	450	656	125	66	17	0	0	0	906	673	0.7428256070640177
30960	vheim	2009-05-01	468	462	443	45	43	28	0	0	0	513	471	0.9181286549707602
581213	mzve	2012-01-01	399	290	379	14	7	2	1	0	0	414	381	0.9202898550724637
28378	PHerison	2011-01-01	288	117	171	54	13	11	0	0	0	342	182	0.5321637426900585
498613	iopensa	2014-07-01	261	259	259	50	47	49	0	0	0	311	308	0.9903536977491961
338611	marek kleciak	2013-03-01	276	205	261	28	13	14	0	0	0	304	275	0.9046052631578947
86289	Gustry	2013-06-01	0	0	0	51	0	9	0	0	0	51	9	0.17647058823529413
86289	Gustry	2013-07-01	169	169	156	7	6	0	4	3	0	180	156	0.8666666666666667
17497	katpatuka	2009-01-01	44	40	35	6	2	2	0	0	0	50	37	0.74
17497	katpatuka	2009-09-01	0	0	0	0	0	0	0	0	0	0	0	0
17497	katpatuka	2010-09-01	111	21	53	18	5	6	1	1	0	130	59	0.45384615384615384
580057	forge24	2012-01-01	159	28	132	17	9	2	0	0	0	176	134	0.7613636363636364
392827	pnorman_mechanical	2014-07-01	77	0	0	1	0	0	0	0	0	78	0	0
392827	pnorman_mechanical	2014-08-01	78	0	77	1	0	1	0	0	0	79	78	0.9873417721518988
22714	nhoffm	2008-04-01	154	153	153	3	1	1	0	0	0	157	154	0.9808917197452229
120364	phono	2010-12-01	133	129	27	21	20	6	0	0	0	154	33	0.21428571428571427
84853	mdp553	2010-01-01	153	153	152	1	1	1	0	0	0	154	153	0.9935064935064936
2424360	MATAGNE	2014-10-01	4	4	3	1	1	1	0	0	0	5	4	0.8
2424360	MATAGNE	2014-11-01	127	77	126	18	17	18	0	0	0	145	144	0.993103448275862
7079	mapwitch	2011-11-01	11	10	10	5	1	0	0	0	0	16	10	0.625
7079	mapwitch	2012-01-01	121	112	114	2	1	0	0	0	0	123	114	0.926829268292683
7079	mapwitch	2012-11-01	2	2	1	1	1	1	1	0	0	4	2	0.5
114310	Joe E	2014-04-01	109	94	106	20	6	15	0	0	0	129	121	0.937984496124031
5330	Coastlines-RJB	2007-01-01	115	115	112	11	11	9	0	0	0	126	121	0.9603174603174603
1076672	Lutino	2012-11-01	104	104	103	15	15	15	0	0	0	119	118	0.9915966386554622
1307325	zebaze	2013-03-01	74	58	61	29	13	13	0	0	0	103	74	0.7184466019417476
1961093	Gildas_Clmnt	2014-03-01	94	89	92	6	2	2	0	0	0	100	94	0.94
179778	JulienBalas	2014-07-01	77	0	0	1	0	0	0	0	0	78	0	0
13832	Peter14	2013-12-01	21	2	17	24	0	15	0	0	0	45	32	0.7111111111111111
13832	Peter14	2014-01-01	21	1	20	3	0	3	0	0	0	24	23	0.9583333333333334
13832	Peter14	2014-05-01	5	0	4	5	0	3	0	0	0	10	7	0.7
51045	Geogast	2013-07-01	0	0	0	63	0	30	0	0	0	63	30	0.47619047619047616
525302	Diana94	2011-09-01	51	52	24	9	8	0	0	0	0	60	24	0.4
150478	Coyau	2013-06-01	41	40	36	19	9	10	0	0	0	60	46	0.7666666666666667
2110809	nolfj	2014-06-01	41	41	39	16	8	13	0	0	0	57	52	0.9122807017543859
17422	meppen7	2011-10-01	0	0	0	0	0	0	0	0	0	0	0	0
17422	meppen7	2012-11-01	0	0	0	0	0	0	1	0	0	1	0	0
17422	meppen7	2013-01-01	0	0	0	0	0	0	0	0	0	0	0	0
17422	meppen7	2013-02-01	2	2	1	4	2	0	0	0	0	6	1	0.16666666666666666
17422	meppen7	2013-03-01	39	21	22	6	2	3	1	0	0	46	25	0.5434782608695652
1366199	GeoCameroun	2013-05-01	0	0	0	0	0	0	0	0	0	0	0	0
1366199	GeoCameroun	2013-09-01	44	28	40	10	3	9	0	0	0	54	49	0.9074074074074074
651869	Aurimas Fišeras	2014-05-01	33	1	27	21	1	16	0	0	0	54	43	0.7962962962962963
2232316	Marcelj3	2014-08-01	42	31	38	6	2	6	0	0	0	48	44	0.9166666666666666
1281635	Atangana Jacques Landry	2014-03-01	45	45	44	1	1	1	0	0	0	46	45	0.9782608695652174
2675	Eckhart Wörner	2014-12-01	44	0	43	0	0	0	1	1	1	45	44	0.9777777777777777
24207	RatZillaS	2012-02-01	38	21	30	6	4	4	0	0	0	44	34	0.7727272727272727
1833486	tomrrr	2013-12-01	1	0	0	0	0	0	0	0	0	1	0	0
1833486	tomrrr	2014-01-01	39	39	35	0	0	0	0	0	0	39	35	0.8974358974358975
111410	Dave Stanley	2013-01-01	9	6	6	2	1	2	0	0	0	11	8	0.7272727272727273
111410	Dave Stanley	2013-05-01	23	13	22	6	2	6	0	0	0	29	28	0.9655172413793104
1707236	Leonard Kouoh	2013-08-01	32	32	31	7	7	7	0	0	0	39	38	0.9743589743589743
76002	salix01	2013-11-01	15	9	14	22	0	21	0	0	0	37	35	0.9459459459459459
13203	bahnpirat	2011-04-01	35	30	34	1	0	0	0	0	0	36	34	0.9444444444444444
341677	willyeno	2010-09-01	33	33	32	2	2	2	0	0	0	35	34	0.9714285714285714
1242882	Franck_Camidus	2013-02-01	28	2	25	2	1	0	0	0	0	30	25	0.8333333333333334
90245	Trizek	2014-05-01	27	27	26	1	1	1	0	0	0	28	27	0.9642857142857143
196617	venerdi	2014-03-01	21	4	20	7	0	5	0	0	0	28	25	0.8928571428571429
464523	doualart	2011-06-01	23	7	10	2	0	0	0	0	0	25	10	0.4
464523	doualart	2012-03-01	2	1	1	0	0	0	0	0	0	2	1	0.5
12614	rabenkind	2011-01-01	20	12	12	7	2	3	0	0	0	27	15	0.5555555555555556
