uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
3114	chippy	2009-01-01	244791	241834	162034	3323	1664	67	0	0	0	248114	162101	0.6533327422072112
3114	chippy	2009-02-01	10	0	1	6	4	0	0	0	0	16	1	0.0625
3114	chippy	2010-01-01	14	13	2	24	6	2	0	0	0	38	4	0.10526315789473684
24440	jaakkoh	2010-01-01	739	571	156	281	129	17	0	0	0	1020	173	0.1696078431372549
24440	jaakkoh	2010-07-01	738	492	531	287	146	97	0	0	0	1025	628	0.6126829268292683
24440	jaakkoh	2010-08-01	1001	696	384	182	117	62	0	0	0	1183	446	0.37700760777683856
24440	jaakkoh	2010-09-01	875	689	716	189	115	73	0	0	0	1064	789	0.7415413533834586
24440	jaakkoh	2010-10-01	3596	2467	2962	693	443	331	0	0	0	4289	3293	0.7677780368384238
24440	jaakkoh	2010-11-01	1579	1206	1329	377	217	175	0	0	0	1956	1504	0.7689161554192229
24440	jaakkoh	2010-12-01	19843	18528	18549	1411	1211	999	4	0	1	21258	19549	0.9196067362875153
24440	jaakkoh	2011-01-01	752	471	481	213	94	67	0	0	0	965	548	0.5678756476683938
24440	jaakkoh	2011-02-01	309	207	205	90	45	48	0	0	0	399	253	0.6340852130325815
24440	jaakkoh	2011-03-01	5851	5437	4716	870	530	445	4	3	3	6725	5164	0.7678810408921933
24440	jaakkoh	2011-04-01	1683	1086	1218	1911	315	416	0	0	0	3594	1634	0.454646633277685
24440	jaakkoh	2011-05-01	3551	1604	1294	389	110	124	10	0	5	3950	1423	0.36025316455696205
24440	jaakkoh	2011-06-01	1895	1151	1297	990	120	204	4	1	1	2889	1502	0.5199030806507442
24440	jaakkoh	2011-07-01	56	29	42	6	4	1	0	0	0	62	43	0.6935483870967742
24440	jaakkoh	2011-08-01	6868	5843	6605	601	445	450	8	4	4	7477	7059	0.9440952253577638
24440	jaakkoh	2011-09-01	4978	2731	3464	936	396	414	8	1	2	5922	3880	0.6551840594393786
