uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
76518	Firman Hadi	2008-10-01	1133	139	20	104	34	0	0	0	0	1237	20	0.016168148746968473
76518	Firman Hadi	2008-11-01	108025	6274	5919	6574	1375	669	0	0	0	114599	6588	0.05748741263012766
76518	Firman Hadi	2008-12-01	90975	14318	13692	6393	3097	1803	0	0	0	97368	15495	0.1591385260044368
76518	Firman Hadi	2009-01-01	28734	14937	13421	5521	3985	2566	0	0	0	34255	15987	0.4667055904247555
76518	Firman Hadi	2009-02-01	14365	11188	10191	4222	2783	1744	0	0	0	18587	11935	0.6421154570398666
76518	Firman Hadi	2009-03-01	17839	10867	8754	4027	1999	1651	4	1	1	21870	10406	0.47581161408321904
76518	Firman Hadi	2009-04-01	4378	3774	3756	2526	1325	1330	0	0	0	6904	5086	0.7366743916570104
76518	Firman Hadi	2009-05-01	13302	11997	11478	4453	2596	2396	0	0	0	17755	13874	0.7814136862855534
76518	Firman Hadi	2009-06-01	2097	1707	1632	537	229	188	0	0	0	2634	1820	0.6909643128321944
76518	Firman Hadi	2009-07-01	125	113	99	47	8	4	0	0	0	172	103	0.5988372093023255
76518	Firman Hadi	2009-08-01	206	190	158	69	32	7	0	0	0	275	165	0.6
76518	Firman Hadi	2009-09-01	1718	1266	1167	828	293	217	0	0	0	2546	1384	0.5435978004713276
76518	Firman Hadi	2009-10-01	117	108	85	52	20	5	0	0	0	169	90	0.5325443786982249
76518	Firman Hadi	2009-11-01	94	56	76	23	4	3	0	0	0	117	79	0.6752136752136753
76518	Firman Hadi	2009-12-01	5	0	1	0	0	0	0	0	0	5	1	0.2
76518	Firman Hadi	2010-05-01	15	12	8	5	3	0	0	0	0	20	8	0.4
76518	Firman Hadi	2010-07-01	355	343	289	166	122	104	0	0	0	521	393	0.7543186180422264
76518	Firman Hadi	2010-08-01	19	19	11	12	8	2	0	0	0	31	13	0.41935483870967744
76518	Firman Hadi	2010-09-01	12	10	8	7	3	1	0	0	0	19	9	0.47368421052631576
76518	Firman Hadi	2011-02-01	5945	4904	4997	1449	1015	749	0	0	0	7394	5746	0.7771165810116311
76518	Firman Hadi	2011-03-01	88	87	87	25	8	10	0	0	0	113	97	0.8584070796460177
76518	Firman Hadi	2011-04-01	69	22	13	15	5	5	0	0	0	84	18	0.21428571428571427
76518	Firman Hadi	2011-05-01	129	29	128	20	12	15	0	0	0	149	143	0.959731543624161
76518	Firman Hadi	2011-06-01	4931	4273	4316	1118	716	606	0	0	0	6049	4922	0.8136882129277566
76518	Firman Hadi	2011-07-01	4606	4259	4247	1396	1110	877	0	0	0	6002	5124	0.8537154281906031
76518	Firman Hadi	2011-08-01	1702	1271	1416	505	366	346	0	0	0	2207	1762	0.7983688264612596
76518	Firman Hadi	2011-09-01	630	527	558	232	151	126	0	0	0	862	684	0.7935034802784223
76518	Firman Hadi	2011-10-01	2171	1831	1881	381	273	190	0	0	0	2552	2071	0.8115203761755486
76518	Firman Hadi	2011-12-01	90	77	86	3	0	1	0	0	0	93	87	0.9354838709677419
76518	Firman Hadi	2012-01-01	19	17	18	4	1	2	0	0	0	23	20	0.8695652173913043
76518	Firman Hadi	2012-04-01	203	57	97	18	6	9	0	0	0	221	106	0.4796380090497738
76518	Firman Hadi	2012-08-01	1035	438	819	149	82	108	0	0	0	1184	927	0.7829391891891891
76518	Firman Hadi	2012-09-01	6	6	5	1	1	1	0	0	0	7	6	0.8571428571428571
76518	Firman Hadi	2012-11-01	45	33	43	17	7	8	0	0	0	62	51	0.8225806451612904
76518	Firman Hadi	2012-12-01	0	0	0	0	0	0	0	0	0	0	0	0
76518	Firman Hadi	2013-01-01	250	213	230	58	17	31	0	0	0	308	261	0.8474025974025974
76518	Firman Hadi	2013-04-01	247	94	190	61	13	38	0	0	0	308	228	0.7402597402597403
76518	Firman Hadi	2013-05-01	13	0	0	3	0	2	0	0	0	16	2	0.125
76518	Firman Hadi	2013-06-01	1287	632	1117	243	55	136	0	0	0	1530	1253	0.818954248366013
76518	Firman Hadi	2013-07-01	3927	1765	3490	749	264	584	0	0	0	4676	4074	0.8712574850299402
76518	Firman Hadi	2013-08-01	1413	954	1289	466	99	281	1	0	0	1880	1570	0.8351063829787234
76518	Firman Hadi	2013-09-01	8	1	7	9	1	2	0	0	0	17	9	0.5294117647058824
76518	Firman Hadi	2013-10-01	110	58	104	60	21	47	0	0	0	170	151	0.888235294117647
76518	Firman Hadi	2013-11-01	1	1	0	14	6	8	0	0	0	15	8	0.5333333333333333
76518	Firman Hadi	2013-12-01	482	307	405	192	47	115	0	0	0	674	520	0.771513353115727
76518	Firman Hadi	2014-01-01	9	6	8	12	1	3	0	0	0	21	11	0.5238095238095238
76518	Firman Hadi	2014-02-01	16	6	15	7	0	6	0	0	0	23	21	0.9130434782608695
76518	Firman Hadi	2014-07-01	2	2	1	23	0	12	0	0	0	25	13	0.52
76518	Firman Hadi	2014-08-01	53	46	52	13	12	10	0	0	0	66	62	0.9393939393939394
2292325	PutriRachiemnys	2014-08-01	18754	18697	18434	4655	4652	4640	0	0	0	23409	23074	0.9856892648126789
2292325	PutriRachiemnys	2014-09-01	11489	11489	11232	2870	2870	2855	0	0	0	14359	14087	0.981057176683613
2292325	PutriRachiemnys	2014-10-01	107832	107822	106826	26810	26809	26616	0	0	0	134642	133442	0.991087476418948
2292325	PutriRachiemnys	2014-11-01	563	547	562	136	136	136	0	0	0	699	698	0.9985693848354793
2447359	jonhari	2014-11-01	140940	140940	140939	0	0	0	0	0	0	140940	140939	0.9999929047821768
2056157	zahrabanu	2014-07-01	13	13	12	2	1	2	0	0	0	15	14	0.9333333333333333
2056157	zahrabanu	2014-08-01	9877	9858	9865	2313	2307	2295	0	0	0	12190	12160	0.9975389663658737
2056157	zahrabanu	2014-09-01	3221	3208	3220	775	773	775	0	0	0	3996	3995	0.9997497497497497
2056157	zahrabanu	2014-10-01	87143	87040	87029	21722	21704	21716	0	0	0	108865	108745	0.9988977173563588
2292326	Dosandriani	2014-08-01	3321	3271	3269	791	780	787	0	0	0	4112	4056	0.9863813229571985
2292326	Dosandriani	2014-09-01	7412	7389	7411	1840	1834	1836	1	0	0	9253	9247	0.9993515616556793
2292326	Dosandriani	2014-10-01	70961	70569	70097	17744	17734	17738	0	0	0	88705	87835	0.9901922101347161
1953086	dfo	2014-02-01	61	34	60	9	7	8	0	0	0	70	68	0.9714285714285714
1953086	dfo	2014-03-01	0	0	0	1	0	0	0	0	0	1	0	0
1953086	dfo	2014-08-01	3490	3485	3460	771	749	755	0	0	0	4261	4215	0.9892044121098333
1953086	dfo	2014-09-01	7463	7443	7283	1760	1741	1739	0	0	0	9223	9022	0.9782066572698688
1953086	dfo	2014-10-01	63797	62303	62964	15160	15123	15142	0	0	0	78957	78106	0.9892219815849133
2292368	naomiangelia	2014-08-01	3348	3342	3262	832	823	821	0	0	0	4180	4083	0.9767942583732058
2292368	naomiangelia	2014-09-01	16	14	11	10	3	9	0	0	0	26	20	0.7692307692307693
2292368	naomiangelia	2014-10-01	68335	67482	68053	16858	16804	16783	0	0	0	85193	84836	0.9958095148662449
2292329	miftajnh	2014-08-01	3267	3229	3217	739	734	737	0	0	0	4006	3954	0.9870194707938093
2292329	miftajnh	2014-10-01	58295	57204	58059	14308	14304	14295	0	0	0	72603	72354	0.9965703896533201
615320	Dewi Sulistioningrum	2012-03-01	21863	21848	21286	1031	1007	731	0	0	0	22894	22017	0.9616930200052416
615320	Dewi Sulistioningrum	2012-04-01	16597	16276	15173	1633	1278	798	0	0	0	18230	15971	0.8760833790455294
615320	Dewi Sulistioningrum	2012-05-01	1959	1808	1852	379	203	265	0	0	0	2338	2117	0.9054747647562019
615320	Dewi Sulistioningrum	2012-07-01	20	4	17	12	1	11	0	0	0	32	28	0.875
615320	Dewi Sulistioningrum	2012-09-01	164	157	151	25	24	22	0	0	0	189	173	0.9153439153439153
615320	Dewi Sulistioningrum	2012-10-01	157	11	123	17	3	7	0	0	0	174	130	0.7471264367816092
615320	Dewi Sulistioningrum	2012-11-01	742	740	729	187	183	177	0	0	0	929	906	0.9752421959095802
615320	Dewi Sulistioningrum	2012-12-01	1120	883	1066	118	78	93	2	1	1	1240	1160	0.9354838709677419
615320	Dewi Sulistioningrum	2013-01-01	241	221	240	8	5	8	1	0	1	250	249	0.996
615320	Dewi Sulistioningrum	2013-02-01	275	163	148	43	28	2	0	0	0	318	150	0.4716981132075472
615320	Dewi Sulistioningrum	2013-03-01	15	15	14	0	0	0	0	0	0	15	14	0.9333333333333333
615320	Dewi Sulistioningrum	2013-04-01	961	954	956	224	222	224	0	0	0	1185	1180	0.9957805907172996
615320	Dewi Sulistioningrum	2013-05-01	12	4	11	1	0	1	0	0	0	13	12	0.9230769230769231
615320	Dewi Sulistioningrum	2013-10-01	506	237	466	67	33	39	0	0	0	573	505	0.881326352530541
615320	Dewi Sulistioningrum	2013-12-01	18	2	16	1	0	1	0	0	0	19	17	0.8947368421052632
615320	Dewi Sulistioningrum	2014-04-01	79	7	70	11	0	10	0	0	0	90	80	0.8888888888888888
615320	Dewi Sulistioningrum	2014-05-01	5378	5061	5339	1275	1229	1249	5	4	5	6658	6593	0.9902373085010514
615320	Dewi Sulistioningrum	2014-06-01	2	0	1	0	0	0	0	0	0	2	1	0.5
615320	Dewi Sulistioningrum	2014-07-01	13850	984	12832	821	57	767	4	4	4	14675	13603	0.9269505962521295
615320	Dewi Sulistioningrum	2014-08-01	872	129	856	42	22	40	0	0	0	914	896	0.9803063457330415
615320	Dewi Sulistioningrum	2014-09-01	1191	52	1145	202	19	188	3	0	2	1396	1335	0.9563037249283668
615320	Dewi Sulistioningrum	2014-11-01	0	0	0	0	0	0	3	0	2	3	2	0.6666666666666666
615320	Dewi Sulistioningrum	2014-12-01	2	0	0	0	0	0	0	0	0	2	0	0
615320	Dewi Sulistioningrum	2015-01-01	57	26	56	39	5	33	27	0	11	123	100	0.8130081300813008
617220	raniedwianugrah	2012-03-01	5806	5212	5294	553	428	292	0	0	0	6359	5586	0.8784400062902972
617220	raniedwianugrah	2012-04-01	3446	3100	3336	329	284	270	0	0	0	3775	3606	0.9552317880794702
617220	raniedwianugrah	2012-07-01	831	713	663	87	52	53	0	0	0	918	716	0.7799564270152506
617220	raniedwianugrah	2012-09-01	255	235	228	46	32	40	0	0	0	301	268	0.8903654485049833
617220	raniedwianugrah	2012-10-01	30	6	30	13	0	6	0	0	0	43	36	0.8372093023255814
617220	raniedwianugrah	2012-11-01	15	7	14	5	0	5	0	0	0	20	19	0.95
617220	raniedwianugrah	2013-01-01	1328	1215	617	264	176	125	7	6	5	1599	747	0.46716697936210133
617220	raniedwianugrah	2013-02-01	666	650	643	169	139	166	0	0	0	835	809	0.9688622754491018
617220	raniedwianugrah	2013-03-01	224	213	195	47	47	45	0	0	0	271	240	0.8856088560885609
617220	raniedwianugrah	2013-04-01	2462	2344	2435	576	570	570	0	0	0	3038	3005	0.989137590520079
617220	raniedwianugrah	2013-09-01	1	1	0	0	0	0	0	0	0	1	0	0
617220	raniedwianugrah	2013-10-01	1439	428	1382	148	69	117	0	0	0	1587	1499	0.9445494643982356
617220	raniedwianugrah	2013-12-01	1155	1045	1137	270	247	260	1	1	1	1426	1398	0.9803646563814866
617220	raniedwianugrah	2014-04-01	34	5	20	5	1	4	0	0	0	39	24	0.6153846153846154
617220	raniedwianugrah	2014-05-01	16905	16064	16819	3968	3852	3784	0	0	0	20873	20603	0.987064628946486
617220	raniedwianugrah	2014-06-01	3252	2897	3228	725	676	715	0	0	0	3977	3943	0.991450842343475
