uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
189946	BMM994	2009-10-01	663	424	316	189	94	10	0	0	0	852	326	0.3826291079812207
189946	BMM994	2009-11-01	2058	1759	593	1009	514	88	0	0	0	3067	681	0.22204108249103358
189946	BMM994	2009-12-01	770	546	228	271	107	26	0	0	0	1041	254	0.24399615754082613
189946	BMM994	2010-02-01	0	0	0	1	0	0	0	0	0	1	0	0
189946	BMM994	2010-03-01	430	310	110	91	47	8	0	0	0	521	118	0.22648752399232247
189946	BMM994	2010-05-01	287	171	79	51	16	1	0	0	0	338	80	0.23668639053254437
189946	BMM994	2010-06-01	4269	3632	1877	864	496	120	0	0	0	5133	1997	0.38905123709331774
189946	BMM994	2010-07-01	4235	3169	1759	1103	569	153	0	0	0	5338	1912	0.3581865867366055
189946	BMM994	2010-08-01	1123	885	540	194	116	28	0	0	0	1317	568	0.4312832194381169
189946	BMM994	2010-09-01	7632	7033	6181	573	437	272	0	0	0	8205	6453	0.7864716636197441
189946	BMM994	2010-10-01	6536	5695	5299	750	387	258	0	0	0	7286	5557	0.762695580565468
189946	BMM994	2010-11-01	8752	7434	6303	905	564	381	0	0	0	9657	6684	0.6921404162783473
189946	BMM994	2010-12-01	2568	1870	1845	316	156	112	0	0	0	2884	1957	0.6785714285714286
189946	BMM994	2011-01-01	1393	1173	748	195	88	41	0	0	0	1588	789	0.4968513853904282
189946	BMM994	2011-02-01	2160	1594	1470	366	138	55	0	0	0	2526	1525	0.6037212984956453
189946	BMM994	2011-03-01	5072	4148	2586	894	530	137	5	0	1	5971	2724	0.4562049907888126
189946	BMM994	2011-04-01	5273	3838	2195	834	472	176	0	0	0	6107	2371	0.3882429998362535
189946	BMM994	2011-05-01	10214	8282	5614	1463	788	253	1	0	1	11678	5868	0.5024833019352629
189946	BMM994	2011-06-01	11363	9140	7295	1310	665	436	1	0	0	12674	7731	0.6099889537636105
189946	BMM994	2011-07-01	14646	11164	11455	1210	731	442	1	0	0	15857	11897	0.7502680204326165
189946	BMM994	2011-08-01	11661	9908	9535	1264	788	503	3	0	0	12928	10038	0.7764542079207921
189946	BMM994	2011-09-01	6210	5474	4326	457	194	121	0	0	0	6667	4447	0.6670166491675417
189946	BMM994	2011-10-01	9053	8330	7566	904	445	220	2	0	1	9959	7787	0.7819058138367306
189946	BMM994	2011-11-01	13726	12091	10109	1242	673	285	5	0	0	14973	10394	0.6941828624858077
