uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
781054	Manoj-OSMNepal	2012-08-01	1772	1585	1138	310	214	152	11	3	1	2093	1291	0.6168179646440516
781054	Manoj-OSMNepal	2012-09-01	3388	2849	2171	379	255	119	9	3	3	3776	2293	0.6072563559322034
781054	Manoj-OSMNepal	2012-10-01	778	505	450	107	56	34	12	2	2	897	486	0.5418060200668896
781054	Manoj-OSMNepal	2012-11-01	4452	3749	2383	905	650	374	30	7	6	5387	2763	0.5129014293669946
781054	Manoj-OSMNepal	2012-12-01	5842	5208	3729	974	768	487	22	7	5	6838	4221	0.617285756069026
781054	Manoj-OSMNepal	2013-01-01	8789	7955	5938	1947	1675	1137	3	3	2	10739	7077	0.6589999068814602
781054	Manoj-OSMNepal	2013-02-01	14698	14246	10826	3484	3326	2693	5	5	4	18187	13523	0.7435530873700995
781054	Manoj-OSMNepal	2013-03-01	19551	19040	14899	4769	4506	4134	4	0	1	24324	19034	0.7825193224798553
781054	Manoj-OSMNepal	2013-04-01	2915	2718	1771	711	555	334	0	0	0	3626	2105	0.5805295091009377
781054	Manoj-OSMNepal	2013-05-01	3986	3560	2908	824	640	78	1	1	1	4811	2987	0.6208688422365413
781054	Manoj-OSMNepal	2013-06-01	2852	2639	1824	508	448	28	2	2	2	3362	1854	0.5514574657941701
781054	Manoj-OSMNepal	2013-07-01	1355	795	860	201	121	43	1	1	1	1557	904	0.5806037251123957
781054	Manoj-OSMNepal	2013-08-01	9137	8212	3043	2677	1919	1828	10	3	2	11824	4873	0.4121278755074425
781054	Manoj-OSMNepal	2013-09-01	18315	13199	13761	3150	2873	1670	2	1	2	21467	15433	0.7189174081147808
781054	Manoj-OSMNepal	2013-10-01	2100	1562	1926	540	355	466	0	0	0	2640	2392	0.906060606060606
781054	Manoj-OSMNepal	2013-11-01	1878	1212	1699	327	283	295	0	0	0	2205	1994	0.9043083900226757
781054	Manoj-OSMNepal	2013-12-01	695	329	495	145	49	43	4	3	4	844	542	0.6421800947867299
781054	Manoj-OSMNepal	2014-01-01	895	686	719	268	117	173	3	3	3	1166	895	0.7675814751286449
781054	Manoj-OSMNepal	2014-02-01	541	173	479	85	9	60	6	0	0	632	539	0.8528481012658228
781054	Manoj-OSMNepal	2014-03-01	446	84	365	216	12	122	12	0	1	674	488	0.7240356083086054
781054	Manoj-OSMNepal	2014-04-01	1897	646	1775	450	118	365	1	0	1	2348	2141	0.911839863713799
781054	Manoj-OSMNepal	2014-05-01	3612	613	3091	898	20	694	9	1	3	4519	3788	0.8382385483514052
781054	Manoj-OSMNepal	2014-06-01	1056	348	851	124	8	84	3	0	0	1183	935	0.790363482671175
781054	Manoj-OSMNepal	2014-07-01	3416	2749	3108	622	551	477	0	0	0	4038	3585	0.887815750371471
781054	Manoj-OSMNepal	2014-08-01	4650	2277	3526	299	119	172	1	1	1	4950	3699	0.7472727272727273
781054	Manoj-OSMNepal	2014-09-01	323	270	276	25	10	6	0	0	0	348	282	0.8103448275862069
781054	Manoj-OSMNepal	2014-10-01	1501	988	1404	412	242	361	0	0	0	1913	1765	0.9226346053319394
781054	Manoj-OSMNepal	2014-11-01	405	222	385	74	51	65	0	0	0	479	450	0.9394572025052192
781054	Manoj-OSMNepal	2015-01-01	89	42	57	14	3	9	0	0	0	103	66	0.6407766990291263
781054	Manoj-OSMNepal	2015-02-01	0	0	0	0	0	0	0	0	0	0	0	0
781054	Manoj-OSMNepal	2015-03-01	2	2	1	0	0	0	0	0	0	2	1	0.5
781054	Manoj-OSMNepal	2015-04-01	20	20	19	4	3	0	0	0	0	24	19	0.7916666666666666
781054	Manoj-OSMNepal	2015-05-01	3	4	0	1	1	1	0	0	0	4	1	0.25
781054	Manoj-OSMNepal	2015-09-01	59	51	58	12	11	11	0	0	0	71	69	0.971830985915493
781054	Manoj-OSMNepal	2015-10-01	24	9	23	4	2	4	0	0	0	28	27	0.9642857142857143
781054	Manoj-OSMNepal	2015-12-01	20	2	19	3	0	3	0	0	0	23	22	0.9565217391304348
781054	Manoj-OSMNepal	2016-01-01	8	1	7	5	2	5	0	0	0	13	12	0.9230769230769231
2512300	samely	2015-04-01	740	645	697	118	83	83	1	0	0	859	780	0.9080325960419092
2512300	samely	2015-05-01	98321	18812	57564	2869	2054	2567	1	0	1	101191	60132	0.5942425709796326
2512300	samely	2015-07-01	0	0	0	3	0	2	0	0	0	3	2	0.6666666666666666
2512300	samely	2015-08-01	3	3	2	4	0	4	0	0	0	7	6	0.8571428571428571
680067	amritkarma	2012-05-01	57	47	21	31	12	3	1	1	0	89	24	0.2696629213483146
680067	amritkarma	2012-07-01	26	24	14	7	3	0	0	0	0	33	14	0.42424242424242425
680067	amritkarma	2012-08-01	0	0	0	0	0	0	0	0	0	0	0	0
680067	amritkarma	2012-09-01	2835	2352	1441	1330	723	369	12	0	0	4177	1810	0.43332535312425186
680067	amritkarma	2012-10-01	7575	5519	3813	3187	887	718	33	10	6	10795	4537	0.42028716998610466
680067	amritkarma	2012-11-01	971	550	480	412	140	125	19	4	4	1402	609	0.43437945791726107
680067	amritkarma	2012-12-01	3622	1734	1332	869	184	297	43	12	6	4534	1635	0.36060873400970445
680067	amritkarma	2013-01-01	4366	2389	2248	716	345	363	11	4	2	5093	2613	0.513057137247202
680067	amritkarma	2013-02-01	2332	2013	1651	509	348	374	14	7	6	2855	2031	0.7113835376532399
680067	amritkarma	2013-03-01	932	494	710	264	92	121	7	2	6	1203	837	0.6957605985037406
680067	amritkarma	2013-04-01	6773	6244	3573	1410	1042	788	2	2	0	8185	4361	0.5328039095907148
680067	amritkarma	2013-05-01	4494	3412	2763	846	588	236	3	1	1	5343	3000	0.5614823133071308
680067	amritkarma	2013-06-01	3120	2435	1821	437	309	71	30	11	3	3587	1895	0.5282966267075551
680067	amritkarma	2013-07-01	811	452	528	188	63	35	3	0	0	1002	563	0.56187624750499
680067	amritkarma	2013-08-01	3633	75	1803	13983	12	5946	3	0	1	17619	7750	0.439866053692037
680067	amritkarma	2013-09-01	3540	3358	3313	2198	800	1957	5	3	4	5743	5274	0.9183353647919206
680067	amritkarma	2013-10-01	3527	1673	3244	841	364	268	0	0	0	4368	3512	0.8040293040293041
680067	amritkarma	2013-11-01	3114	1996	2897	750	442	334	0	0	0	3864	3231	0.8361801242236024
680067	amritkarma	2013-12-01	61	6	34	9516	1	6624	1	0	0	9578	6658	0.6951346836500313
680067	amritkarma	2014-01-01	250	134	176	108	49	62	181	2	1	539	239	0.44341372912801486
680067	amritkarma	2014-02-01	711	691	683	49	32	31	0	0	0	760	714	0.9394736842105263
680067	amritkarma	2014-03-01	720	178	369	204	7	152	5	2	0	929	521	0.5608180839612487
680067	amritkarma	2014-04-01	94	14	69	133	2	62	0	0	0	227	131	0.5770925110132159
680067	amritkarma	2014-05-01	134	31	73	39	12	17	9	6	5	182	95	0.521978021978022
680067	amritkarma	2014-06-01	80	31	59	37	7	23	2	0	1	119	83	0.6974789915966386
680067	amritkarma	2014-07-01	24	5	15	4	0	1	0	0	0	28	16	0.5714285714285714
680067	amritkarma	2014-08-01	147	99	139	64	17	54	0	0	0	211	193	0.9146919431279621
680067	amritkarma	2014-10-01	179	3	20	14	2	5	0	0	0	193	25	0.12953367875647667
680067	amritkarma	2014-11-01	1	1	0	0	0	0	0	0	0	1	0	0
680067	amritkarma	2014-12-01	87	10	46	5	2	2	0	0	0	92	48	0.5217391304347826
680067	amritkarma	2015-01-01	7	0	0	3	0	0	2	0	0	12	0	0
680067	amritkarma	2015-02-01	18	7	16	8	2	6	0	0	0	26	22	0.8461538461538461
680067	amritkarma	2015-05-01	2	1	1	3	0	2	0	0	0	5	3	0.6
680067	amritkarma	2015-07-01	35	24	34	13	7	13	2	1	1	50	48	0.96
680067	amritkarma	2015-09-01	18	18	17	3	2	3	0	0	0	21	20	0.9523809523809523
680067	amritkarma	2015-10-01	9	8	8	0	0	0	0	0	0	9	8	0.8888888888888888
2219338	RichRico	2014-10-01	1	0	0	1	0	1	0	0	0	2	1	0.5
2219338	RichRico	2015-04-01	2338	1916	2000	523	414	462	0	0	0	2861	2462	0.8605382733310032
2219338	RichRico	2015-05-01	79264	10033	73898	2518	1476	2441	1	0	0	81783	76339	0.9334335986696501
2219338	RichRico	2015-07-01	1	0	0	2	0	2	0	0	0	3	2	0.6666666666666666
338611	marek kleciak	2011-05-01	10882	6565	2683	1221	680	189	11	11	8	12114	2880	0.237741456166419
338611	marek kleciak	2011-07-01	182	168	18	36	25	8	1	1	1	219	27	0.1232876712328767
338611	marek kleciak	2011-10-01	1282	409	208	133	83	32	2	2	2	1417	242	0.1707833450952717
338611	marek kleciak	2011-11-01	393	277	61	69	44	15	0	0	0	462	76	0.1645021645021645
338611	marek kleciak	2012-02-01	1057	830	206	70	43	8	1	1	1	1128	215	0.19060283687943264
338611	marek kleciak	2012-05-01	26	5	0	5	1	0	0	0	0	31	0	0
338611	marek kleciak	2012-06-01	566	413	252	92	63	29	1	0	0	659	281	0.4264036418816389
338611	marek kleciak	2012-07-01	1271	1184	413	19	8	1	0	0	0	1290	414	0.3209302325581395
338611	marek kleciak	2012-09-01	18	14	1	3	2	0	0	0	0	21	1	0.047619047619047616
338611	marek kleciak	2012-10-01	3038	1625	1938	447	136	138	6	2	1	3491	2077	0.5949584646233171
338611	marek kleciak	2012-11-01	16	16	15	5	4	4	0	0	0	21	19	0.9047619047619048
338611	marek kleciak	2013-01-01	279	251	197	46	40	30	0	0	0	325	227	0.6984615384615385
338611	marek kleciak	2013-03-01	9	5	8	4	1	1	0	0	0	13	9	0.6923076923076923
338611	marek kleciak	2013-11-01	467	221	364	74	34	39	0	0	0	541	403	0.744916820702403
338611	marek kleciak	2014-08-01	4042	2746	3577	267	112	131	13	0	1	4322	3709	0.8581675150393336
338611	marek kleciak	2014-09-01	10863	6986	9981	861	372	463	13	6	6	11737	10450	0.8903467666354264
338611	marek kleciak	2014-10-01	2347	1289	2083	193	60	97	0	0	0	2540	2180	0.8582677165354331
338611	marek kleciak	2014-12-01	45	38	40	3	1	0	0	0	0	48	40	0.8333333333333334
338611	marek kleciak	2015-01-01	1631	834	1368	237	123	150	3	1	0	1871	1518	0.8113308391234634
338611	marek kleciak	2015-02-01	9615	5952	8698	1578	896	1083	29	12	15	11222	9796	0.8729281767955801
338611	marek kleciak	2015-04-01	6435	4970	5547	1022	707	748	6	6	6	7463	6301	0.8442985394613426
338611	marek kleciak	2015-05-01	19305	17310	18272	2618	2011	2375	7	6	6	21930	20653	0.9417692658458733
338611	marek kleciak	2015-06-01	166	141	165	23	9	22	0	0	0	189	187	0.9894179894179894
338611	marek kleciak	2015-07-01	13	0	12	0	0	0	0	0	0	13	12	0.9230769230769231
338611	marek kleciak	2015-10-01	66	59	65	15	10	15	1	0	1	82	81	0.9878048780487805
2748195	karitotp	2015-05-01	68840	15100	64343	4562	3622	4465	0	0	0	73402	68808	0.9374131495054631
2748195	karitotp	2015-06-01	52	5	36	9	1	8	0	0	0	61	44	0.7213114754098361
2748195	karitotp	2015-07-01	0	0	0	0	0	0	0	0	0	0	0	0
1700096	GautamPratik	2013-08-01	5481	5275	4861	1091	1002	935	1	1	1	6573	5797	0.881941274912521
1700096	GautamPratik	2013-09-01	40466	28882	32864	6488	6194	4020	12	2	3	46966	36887	0.7853979474513478
1700096	GautamPratik	2013-10-01	6378	4943	5930	1689	1122	1384	1	1	1	8068	7315	0.9066683192860684
1700096	GautamPratik	2013-11-01	4412	2827	4052	766	674	624	1	0	1	5179	4677	0.9030700907511102
1700096	GautamPratik	2013-12-01	147	94	138	47	22	20	0	0	0	194	158	0.8144329896907216
1700096	GautamPratik	2014-01-01	1	1	0	3	0	1	0	0	0	4	1	0.25
