uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
7213	alimamo	2009-03-01	9	0	5	2	0	0	0	0	0	11	5	0.45454545454545453
7213	alimamo	2009-06-01	2	1	0	21	0	2	0	0	0	23	2	0.08695652173913043
7213	alimamo	2009-07-01	17	8	11	6	2	0	0	0	0	23	11	0.4782608695652174
7213	alimamo	2009-10-01	9	0	1	2	0	0	0	0	0	11	1	0.09090909090909091
7213	alimamo	2010-06-01	71	64	63	10	9	9	0	0	0	81	72	0.8888888888888888
7213	alimamo	2010-10-01	123	49	105	24	6	16	0	0	0	147	121	0.8231292517006803
7213	alimamo	2011-10-01	7264	5197	5253	517	384	56	0	0	0	7781	5309	0.6823030458809921
7213	alimamo	2011-11-01	4426	4402	4192	300	273	43	0	0	0	4726	4235	0.8961066440964875
7213	alimamo	2011-12-01	10326	10125	9714	661	587	121	0	0	0	10987	9835	0.8951488122326385
7213	alimamo	2012-01-01	58363	55449	56123	3082	2163	1762	3	3	3	61448	57888	0.9420648353079026
7213	alimamo	2012-03-01	8667	8159	8220	546	348	287	0	0	0	9213	8507	0.923369152284815
7213	alimamo	2012-04-01	7849	7592	7550	362	242	249	0	0	0	8211	7799	0.9498234076239191
7213	alimamo	2012-05-01	10655	9884	9487	1024	852	489	2	2	2	11681	9978	0.8542076876979711
7213	alimamo	2012-06-01	1834	1491	1552	116	76	39	0	0	0	1950	1591	0.8158974358974359
7213	alimamo	2012-07-01	19092	18111	18632	1233	906	842	3	0	0	20328	19474	0.9579889807162535
7213	alimamo	2012-09-01	2029	1851	1839	211	147	93	0	0	0	2240	1932	0.8625
7213	alimamo	2012-10-01	1316	1212	1222	72	45	36	1	0	0	1389	1258	0.9056875449964003
7213	alimamo	2012-11-01	5188	3623	5011	1279	675	840	3	1	1	6470	5852	0.9044822256568779
7213	alimamo	2012-12-01	8300	7290	8142	2217	1142	1658	0	0	0	10517	9800	0.9318246648283731
7213	alimamo	2013-01-01	34478	29775	33612	4791	3054	3931	0	0	0	39269	37543	0.9560467544373424
7213	alimamo	2013-02-01	19202	17570	18811	2053	1372	1625	0	0	0	21255	20436	0.9614678899082569
7213	alimamo	2013-03-01	21559	19253	20702	1994	1187	1398	4	0	0	23557	22100	0.9381500191026022
7213	alimamo	2013-04-01	12708	11601	12469	1235	893	1054	1	0	0	13944	13523	0.9698078026391279
7213	alimamo	2013-05-01	5094	4582	4961	544	358	403	0	0	0	5638	5364	0.9514012061014544
7213	alimamo	2013-06-01	8493	7431	8282	1076	693	810	0	0	0	9569	9092	0.9501515309854739
7213	alimamo	2013-07-01	4603	4283	4536	841	623	713	0	0	0	5444	5249	0.9641807494489346
7168	DaveHansenTiger	2007-11-01	110447	110448	2970	24949	24949	2773	0	0	0	135396	5743	0.04241631953676623
147510	woodpeck_fixbot	2009-07-01	0	0	0	0	0	0	0	0	0	0	0	0
147510	woodpeck_fixbot	2009-09-01	34891	0	26414	0	0	0	0	0	0	34891	26414	0.757043363618125
147510	woodpeck_fixbot	2009-11-01	32669	0	24713	0	0	0	0	0	0	32669	24713	0.756466374850776
147510	woodpeck_fixbot	2009-12-01	34171	0	25964	0	0	0	0	0	0	34171	25964	0.759825583096778
147510	woodpeck_fixbot	2010-01-01	3	0	2	0	0	0	0	0	0	3	2	0.6666666666666666
398919	gMitchellD	2011-01-01	14956	12656	13388	2181	1821	93	0	0	0	17137	13481	0.7866604423177919
398919	gMitchellD	2011-02-01	38482	35862	36075	5894	4919	309	6	0	0	44382	36384	0.8197918074895227
336460	robgeb	2011-05-01	5362	4475	3782	531	297	167	5	2	2	5898	3951	0.6698880976602238
336460	robgeb	2011-06-01	2614	2334	2389	355	155	199	4	4	3	2973	2591	0.8715102589976454
336460	robgeb	2011-08-01	25	16	17	3	1	0	0	0	0	28	17	0.6071428571428571
336460	robgeb	2011-09-01	367	304	276	37	10	22	0	0	0	404	298	0.7376237623762376
336460	robgeb	2011-10-01	20689	18898	18473	1419	949	850	19	6	3	22127	19326	0.8734125728747684
336460	robgeb	2011-11-01	17887	16925	17068	1111	637	549	38	19	7	19036	17624	0.9258247530993906
336460	robgeb	2011-12-01	0	0	0	0	0	0	0	0	0	0	0	0
336460	robgeb	2012-01-01	331	240	286	54	24	3	0	0	0	385	289	0.7506493506493507
336460	robgeb	2012-07-01	0	0	0	0	0	0	0	0	0	0	0	0
336460	robgeb	2012-08-01	0	0	0	2	0	0	0	0	0	2	0	0
336460	robgeb	2012-09-01	85	49	84	14	7	7	0	0	0	99	91	0.9191919191919192
336460	robgeb	2012-12-01	0	0	0	27	0	24	0	0	0	27	24	0.8888888888888888
336460	robgeb	2013-07-01	42	21	41	19	2	18	3	0	3	64	62	0.96875
