uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
6809	TimSC_Data_CC0_To_Andy_Allan	2007-03-01	29	29	15	1	1	1	0	0	0	30	16	0.5333333333333333
6809	TimSC_Data_CC0_To_Andy_Allan	2007-04-01	4	5	0	5	5	4	0	0	0	9	4	0.4444444444444444
6809	TimSC_Data_CC0_To_Andy_Allan	2007-05-01	5	6	4	0	0	0	0	0	0	5	4	0.8
6809	TimSC_Data_CC0_To_Andy_Allan	2007-06-01	138	139	23	32	32	11	0	0	0	170	34	0.2
6809	TimSC_Data_CC0_To_Andy_Allan	2007-07-01	5460	5461	1565	858	858	236	0	0	0	6318	1801	0.2850585628363406
6809	TimSC_Data_CC0_To_Andy_Allan	2007-08-01	23809	23810	9213	5979	5979	1600	0	0	0	29788	10813	0.3629985228951256
6809	TimSC_Data_CC0_To_Andy_Allan	2007-09-01	5865	5866	3075	2543	2543	537	2	2	1	8410	3613	0.4296076099881094
6809	TimSC_Data_CC0_To_Andy_Allan	2007-10-01	27254	10994	4218	6473	3040	839	0	0	0	33727	5057	0.14993921783734102
6809	TimSC_Data_CC0_To_Andy_Allan	2007-11-01	36590	16739	7937	11509	5141	1475	9	1	0	48108	9412	0.19564313627671073
6809	TimSC_Data_CC0_To_Andy_Allan	2007-12-01	30413	8961	4613	5021	1779	410	0	0	0	35434	5023	0.1417565050516453
6809	TimSC_Data_CC0_To_Andy_Allan	2008-01-01	44801	9041	4458	5776	1745	503	0	0	0	50577	4961	0.09808806374438975
6809	TimSC_Data_CC0_To_Andy_Allan	2008-02-01	3739	3281	1352	1505	609	163	0	0	0	5244	1515	0.2889016018306636
6809	TimSC_Data_CC0_To_Andy_Allan	2008-03-01	6006	5429	2500	2489	1041	324	0	0	0	8495	2824	0.3324308416715715
6809	TimSC_Data_CC0_To_Andy_Allan	2008-04-01	1471	1356	668	810	358	99	0	0	0	2281	767	0.33625602805786936
6809	TimSC_Data_CC0_To_Andy_Allan	2008-05-01	4063	3744	1737	1543	701	362	0	0	0	5606	2099	0.3744202640028541
6809	TimSC_Data_CC0_To_Andy_Allan	2008-06-01	1493	1302	598	607	282	153	3	0	1	2103	752	0.357584403233476
6809	TimSC_Data_CC0_To_Andy_Allan	2008-07-01	417	417	305	65	46	7	0	0	0	482	312	0.6473029045643154
6809	TimSC_Data_CC0_To_Andy_Allan	2008-08-01	4012	3527	2154	871	482	195	0	0	0	4883	2349	0.481056727421667
6809	TimSC_Data_CC0_To_Andy_Allan	2008-09-01	351	338	167	62	36	8	0	0	0	413	175	0.423728813559322
6809	TimSC_Data_CC0_To_Andy_Allan	2008-10-01	16040	7633	5412	2104	1336	747	0	0	0	18144	6159	0.3394510582010582
6809	TimSC_Data_CC0_To_Andy_Allan	2008-11-01	6120	2924	2432	750	465	307	0	0	0	6870	2739	0.3986899563318777
6809	TimSC_Data_CC0_To_Andy_Allan	2008-12-01	7098	2407	2036	793	482	261	2	0	0	7893	2297	0.29101735715190674
6809	TimSC_Data_CC0_To_Andy_Allan	2009-01-01	471	216	183	145	62	36	19	0	0	635	219	0.34488188976377954
6809	TimSC_Data_CC0_To_Andy_Allan	2009-02-01	767	414	389	207	98	57	5	0	0	979	446	0.45556690500510727
6809	TimSC_Data_CC0_To_Andy_Allan	2009-03-01	305	39	52	38	6	7	9	0	0	352	59	0.16761363636363635
6809	TimSC_Data_CC0_To_Andy_Allan	2009-04-01	169	158	90	53	27	18	7	1	1	229	109	0.4759825327510917
6809	TimSC_Data_CC0_To_Andy_Allan	2009-05-01	4085	2998	1850	1064	523	283	10	2	0	5159	2133	0.41345221942236865
6809	TimSC_Data_CC0_To_Andy_Allan	2009-06-01	12808	12177	6089	1737	933	470	19	1	1	14564	6560	0.4504257072232903
6809	TimSC_Data_CC0_To_Andy_Allan	2009-07-01	2427	1954	1364	1073	485	398	4	1	0	3504	1762	0.5028538812785388
6809	TimSC_Data_CC0_To_Andy_Allan	2009-08-01	350	228	188	147	79	52	6	0	0	503	240	0.47713717693836977
6809	TimSC_Data_CC0_To_Andy_Allan	2009-09-01	0	1	0	0	0	0	0	0	0	0	0	0
6809	TimSC_Data_CC0_To_Andy_Allan	2009-10-01	181	73	48	16	11	5	0	0	0	197	53	0.26903553299492383
6809	TimSC_Data_CC0_To_Andy_Allan	2009-11-01	18219	17750	10650	2174	1789	691	15	0	0	20408	11341	0.5557134457075656
6809	TimSC_Data_CC0_To_Andy_Allan	2009-12-01	18961	18350	12194	2266	1811	897	3	1	2	21230	13093	0.6167216203485634
6809	TimSC_Data_CC0_To_Andy_Allan	2010-01-01	27155	26736	19406	3596	3003	1491	7	0	0	30758	20897	0.6794004811756291
6809	TimSC_Data_CC0_To_Andy_Allan	2010-02-01	10120	9652	7425	1376	1164	565	2	0	1	11498	7991	0.6949904331188033
6809	TimSC_Data_CC0_To_Andy_Allan	2010-03-01	20026	16899	12648	2459	2071	929	9	0	0	22494	13577	0.6035831777362852
6809	TimSC_Data_CC0_To_Andy_Allan	2010-04-01	1018	856	393	457	174	123	0	0	0	1475	516	0.34983050847457625
6809	TimSC_Data_CC0_To_Andy_Allan	2010-05-01	8993	8734	6574	1122	945	536	16	2	4	10131	7114	0.7022011647418813
6809	TimSC_Data_CC0_To_Andy_Allan	2010-06-01	1271	1257	949	238	194	87	4	3	1	1513	1037	0.6853932584269663
6809	TimSC_Data_CC0_To_Andy_Allan	2010-07-01	254	159	223	70	45	42	0	0	0	324	265	0.8179012345679012
6809	TimSC_Data_CC0_To_Andy_Allan	2010-09-01	1093	851	905	315	135	128	25	4	5	1433	1038	0.724354501046755
6809	TimSC_Data_CC0_To_Andy_Allan	2010-10-01	205	117	77	120	37	37	7	1	0	332	114	0.3433734939759036
6809	TimSC_Data_CC0_To_Andy_Allan	2010-11-01	0	1	0	0	0	0	0	0	0	0	0	0
6809	TimSC_Data_CC0_To_Andy_Allan	2010-12-01	20	20	11	3	2	2	0	0	0	23	13	0.5652173913043478
6809	TimSC_Data_CC0_To_Andy_Allan	2011-01-01	4933	4275	4085	411	287	194	9	4	1	5353	4280	0.7995516532785354
6809	TimSC_Data_CC0_To_Andy_Allan	2011-02-01	59	40	27	12	9	3	4	0	0	75	30	0.4
6809	TimSC_Data_CC0_To_Andy_Allan	2011-03-01	432	406	325	344	130	93	25	0	0	801	418	0.5218476903870163
6809	TimSC_Data_CC0_To_Andy_Allan	2011-04-01	490	451	388	165	88	78	4	0	2	659	468	0.7101669195751138
403871	busdoc	2011-02-01	43	2	10	2	1	0	0	0	0	45	10	0.2222222222222222
403871	busdoc	2011-03-01	1902	1244	1119	308	156	67	5	1	1	2215	1187	0.5358916478555305
403871	busdoc	2012-01-01	25087	24267	23720	3711	3107	2933	2	0	1	28800	26654	0.9254861111111111
403871	busdoc	2012-02-01	29253	27808	28725	4510	3564	3548	0	0	0	33763	32273	0.955868850516838
403871	busdoc	2012-03-01	29014	26531	28018	7672	4980	5081	3	0	1	36689	33100	0.9021777644525607
403871	busdoc	2012-04-01	33385	31778	32295	8757	5529	5485	9	0	0	42151	37780	0.8963013926122749
403871	busdoc	2012-05-01	1436	1408	1391	342	313	314	0	0	0	1778	1705	0.9589426321709786
403871	busdoc	2012-07-01	248	239	226	106	93	101	0	0	0	354	327	0.923728813559322
403871	busdoc	2012-08-01	5226	5014	5163	758	664	665	0	0	0	5984	5828	0.9739304812834224
403871	busdoc	2012-09-01	20739	19498	20231	3221	2739	2812	1	0	0	23961	23043	0.9616877425816952
403871	busdoc	2012-10-01	55534	51866	53751	8486	7257	7577	32	5	0	64052	61328	0.9574720539561606
403871	busdoc	2012-11-01	11402	10801	11208	1877	1663	1706	3	0	0	13282	12914	0.9722933293178738
403871	busdoc	2012-12-01	7528	5556	7089	961	407	494	1	0	0	8490	7583	0.893168433451119
403871	busdoc	2013-01-01	106300	98258	104512	16557	14061	14390	19	0	2	122876	118904	0.9676747289950844
403871	busdoc	2013-11-01	7	6	6	7	1	4	0	0	0	14	10	0.7142857142857143
346	Tom Chance	2006-10-01	0	1	0	1	1	0	0	0	0	1	0	0
346	Tom Chance	2006-11-01	47	48	1	6	6	0	0	0	0	53	1	0.018867924528301886
346	Tom Chance	2006-12-01	993	994	430	33	33	3	0	0	0	1026	433	0.4220272904483431
346	Tom Chance	2007-01-01	902	903	591	80	80	18	0	0	0	982	609	0.620162932790224
346	Tom Chance	2007-02-01	83	84	57	6	6	4	0	0	0	89	61	0.6853932584269663
346	Tom Chance	2007-03-01	740	741	382	57	57	16	0	0	0	797	398	0.4993726474278545
346	Tom Chance	2007-04-01	59	60	56	8	8	4	0	0	0	67	60	0.8955223880597015
346	Tom Chance	2007-05-01	478	479	180	79	79	8	0	0	0	557	188	0.3375224416517056
346	Tom Chance	2007-06-01	182	183	77	136	136	39	0	0	0	318	116	0.36477987421383645
346	Tom Chance	2007-07-01	967	968	333	200	200	38	0	0	0	1167	371	0.31790916880891174
346	Tom Chance	2007-08-01	1346	1347	461	385	385	78	3	3	0	1734	539	0.3108419838523645
346	Tom Chance	2007-09-01	1243	1244	597	262	262	62	2	2	0	1507	659	0.43729263437292637
346	Tom Chance	2007-10-01	750	717	197	195	138	25	2	2	0	947	222	0.23442449841605068
346	Tom Chance	2007-11-01	163	76	58	40	20	4	0	0	0	203	62	0.3054187192118227
346	Tom Chance	2007-12-01	305	223	138	98	40	21	0	0	0	403	159	0.3945409429280397
346	Tom Chance	2008-01-01	188	162	53	164	56	17	1	1	0	353	70	0.19830028328611898
346	Tom Chance	2008-02-01	826	766	309	248	142	52	2	1	0	1076	361	0.3355018587360595
346	Tom Chance	2008-03-01	1682	1538	578	364	185	102	0	0	0	2046	680	0.33235581622678395
346	Tom Chance	2008-04-01	282	280	216	64	45	27	0	0	0	346	243	0.7023121387283237
346	Tom Chance	2008-05-01	355	249	275	103	49	42	0	0	0	458	317	0.6921397379912664
346	Tom Chance	2008-06-01	334	306	88	126	70	21	1	0	0	461	109	0.23644251626898047
346	Tom Chance	2008-07-01	115	89	11	22	15	8	0	0	0	137	19	0.1386861313868613
346	Tom Chance	2008-08-01	0	1	0	0	0	0	0	0	0	0	0	0
346	Tom Chance	2008-09-01	32	0	0	8	0	0	0	0	0	40	0	0
346	Tom Chance	2008-10-01	13	0	0	2	0	0	0	0	0	15	0	0
346	Tom Chance	2008-11-01	64	28	34	9	6	0	0	0	0	73	34	0.4657534246575342
346	Tom Chance	2009-01-01	141	121	83	28	15	11	0	0	0	169	94	0.5562130177514792
346	Tom Chance	2009-02-01	202	180	79	46	26	16	0	0	0	248	95	0.38306451612903225
346	Tom Chance	2009-03-01	108	63	30	30	10	3	2	2	1	140	34	0.24285714285714285
346	Tom Chance	2009-04-01	1499	972	857	212	75	31	7	0	2	1718	890	0.5180442374854481
346	Tom Chance	2009-05-01	1035	691	463	238	123	88	29	16	0	1302	551	0.42319508448540705
346	Tom Chance	2009-06-01	1100	925	455	218	143	67	5	4	0	1323	522	0.3945578231292517
346	Tom Chance	2009-07-01	1	1	0	25	0	7	0	0	0	26	7	0.2692307692307692
346	Tom Chance	2009-08-01	428	221	100	152	94	40	90	8	2	670	142	0.21194029850746268
346	Tom Chance	2009-09-01	573	192	266	69	41	36	17	10	0	659	302	0.4582701062215478
346	Tom Chance	2009-10-01	391	254	206	86	38	23	19	6	0	496	229	0.46169354838709675
346	Tom Chance	2009-11-01	233	203	156	66	51	49	19	12	1	318	206	0.6477987421383647
346	Tom Chance	2009-12-01	33	30	22	7	4	1	0	0	0	40	23	0.575
346	Tom Chance	2010-01-01	1790	1389	1025	238	126	74	17	7	3	2045	1102	0.5388753056234719
346	Tom Chance	2010-02-01	135	54	105	51	29	21	12	4	0	198	126	0.6363636363636364
346	Tom Chance	2010-03-01	569	383	288	142	76	37	41	6	1	752	326	0.43351063829787234
346	Tom Chance	2010-04-01	77	46	33	62	13	20	3	0	0	142	53	0.3732394366197183
346	Tom Chance	2010-05-01	4085	3943	3855	1081	976	20	41	11	14	5207	3889	0.7468792010754753
346	Tom Chance	2010-06-01	4784	4434	4494	1185	1050	40	34	20	16	6003	4550	0.7579543561552557
346	Tom Chance	2010-07-01	2695	2404	2378	444	408	348	4	3	4	3143	2730	0.8685968819599109
346	Tom Chance	2010-08-01	45314	44139	43809	7872	6458	3144	143	35	70	53329	47023	0.8817528924225093
346	Tom Chance	2010-09-01	8547	7053	7242	1937	1454	706	112	51	40	10596	7988	0.7538693846734617
346	Tom Chance	2010-10-01	11098	9469	9634	2389	1985	988	48	23	19	13535	10641	0.7861839674916882
346	Tom Chance	2010-11-01	5853	5279	5197	1338	1193	269	36	20	11	7227	5477	0.757852497578525
346	Tom Chance	2010-12-01	10409	8051	8168	1842	1313	970	67	26	19	12318	9157	0.7433836661795746
346	Tom Chance	2011-01-01	7682	5611	5862	1113	894	440	44	17	17	8839	6319	0.714899875551533
346	Tom Chance	2011-02-01	12766	11233	10281	2222	1149	709	26	17	16	15014	11006	0.7330491541228187
346	Tom Chance	2011-03-01	2545	2295	2446	710	306	560	10	7	9	3265	3015	0.9234303215926493
346	Tom Chance	2011-04-01	5464	5299	5235	9770	1028	8828	69	9	12	15303	14075	0.9197542965431614
346	Tom Chance	2011-05-01	225	159	117	72	43	40	12	4	3	309	160	0.517799352750809
346	Tom Chance	2011-06-01	135	82	97	21	11	11	2	0	1	158	109	0.689873417721519
346	Tom Chance	2011-07-01	1111	861	832	608	100	254	7	1	1	1726	1087	0.6297798377752027
346	Tom Chance	2011-08-01	6968	6580	6735	2296	1221	1384	4	2	2	9268	8121	0.8762408286577471
346	Tom Chance	2011-10-01	432	420	425	102	78	64	5	2	2	539	491	0.9109461966604824
346	Tom Chance	2011-11-01	49	43	10	14	7	3	0	0	0	63	13	0.20634920634920634
346	Tom Chance	2011-12-01	3664	3282	3553	1023	631	119	42	18	15	4729	3687	0.77965743286107
346	Tom Chance	2012-01-01	607	294	467	152	53	48	29	0	12	788	527	0.6687817258883249
346	Tom Chance	2012-02-01	5214	4517	4959	1488	777	1067	93	18	16	6795	6042	0.8891832229580574
346	Tom Chance	2012-03-01	1744	1519	1706	325	267	281	24	9	13	2093	2000	0.9555661729574773
346	Tom Chance	2012-04-01	52572	52549	30416	587	113	502	11	2	4	53170	30922	0.581568553695693
346	Tom Chance	2012-05-01	1383	1258	1361	472	265	263	15	6	9	1870	1633	0.8732620320855615
346	Tom Chance	2012-06-01	210	169	180	179	31	33	9	1	1	398	214	0.5376884422110553
346	Tom Chance	2012-07-01	857	676	783	340	123	122	30	4	4	1227	909	0.7408312958435208
346	Tom Chance	2012-08-01	1656	1547	1412	166	124	63	17	5	3	1839	1478	0.8036976617727025
346	Tom Chance	2012-09-01	1662	1415	1506	677	341	410	28	15	10	2367	1926	0.8136882129277566
346	Tom Chance	2012-10-01	1210	829	997	781	201	305	91	29	5	2082	1307	0.6277617675312199
346	Tom Chance	2012-11-01	17482	16388	15704	1681	1179	1113	41	28	20	19204	16837	0.8767444282441158
346	Tom Chance	2012-12-01	2865	2733	2799	337	275	282	2	2	2	3204	3083	0.962234706616729
346	Tom Chance	2013-01-01	238	206	191	43	21	24	1	0	1	282	216	0.7659574468085106
346	Tom Chance	2013-02-01	295	259	275	57	31	27	1	1	0	353	302	0.8555240793201133
346	Tom Chance	2013-03-01	3733	3509	3683	569	429	403	9	6	3	4311	4089	0.9485038274182325
346	Tom Chance	2013-04-01	432	401	418	121	82	89	3	3	2	556	509	0.9154676258992805
346	Tom Chance	2013-05-01	306	280	303	207	36	198	1	0	0	514	501	0.9747081712062257
346	Tom Chance	2013-06-01	1631	1372	1554	441	313	254	16	12	10	2088	1818	0.8706896551724138
346	Tom Chance	2013-07-01	898	581	846	251	118	182	15	7	8	1164	1036	0.8900343642611683
346	Tom Chance	2013-08-01	125	105	124	121	15	101	4	1	1	250	226	0.904
346	Tom Chance	2013-09-01	264	164	247	83	53	43	11	3	5	358	295	0.8240223463687151
346	Tom Chance	2013-10-01	2	1	1	3	1	3	5	0	0	10	4	0.4
346	Tom Chance	2013-11-01	2	0	2	1	0	0	0	0	0	3	2	0.6666666666666666
346	Tom Chance	2013-12-01	1023	840	1010	569	208	355	21	14	12	1613	1377	0.8536887786732796
346	Tom Chance	2014-01-01	0	0	0	4	0	1	0	0	0	4	1	0.25
346	Tom Chance	2014-02-01	1028	874	1006	266	206	236	6	4	4	1300	1246	0.9584615384615385
346	Tom Chance	2014-03-01	306	290	298	63	51	54	2	2	1	371	353	0.9514824797843666
346	Tom Chance	2014-04-01	45	31	41	20	3	7	0	0	0	65	48	0.7384615384615385
