uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
7168	DaveHansenTiger	2007-05-01	1	2	0	42	42	15	0	0	0	43	15	0.3488372093023256
7168	DaveHansenTiger	2007-09-01	43115	43116	4004	10968	10968	543	0	0	0	54083	4547	0.08407447811696836
7168	DaveHansenTiger	2007-10-01	12631	12632	813	814	814	224	0	0	0	13445	1037	0.07712904425436966
7168	DaveHansenTiger	2007-11-01	680428	680429	76272	116948	116948	15649	0	0	0	797376	91921	0.11527936632153464
96974	mattmaxon	2009-02-01	275012	58727	47335	4566	1320	599	0	0	0	279578	47934	0.17145125868272898
96974	mattmaxon	2009-03-01	142884	26136	28137	15056	2472	991	37	0	0	157977	29128	0.18438127069130317
96974	mattmaxon	2009-04-01	30217	3771	6412	4756	403	176	14	0	0	34987	6588	0.18829851087546803
96974	mattmaxon	2009-06-01	155	88	71	28	11	7	0	0	0	183	78	0.4262295081967213
96974	mattmaxon	2010-01-01	20997	17210	17665	1511	710	505	0	0	0	22508	18170	0.8072685267460459
96974	mattmaxon	2012-12-01	1367	880	1247	108	42	47	0	0	0	1475	1294	0.8772881355932204
96974	mattmaxon	2013-01-01	734	483	718	83	30	48	0	0	0	817	766	0.9375764993880049
96974	mattmaxon	2013-02-01	867	624	801	116	44	55	31	5	2	1014	858	0.8461538461538461
96974	mattmaxon	2013-04-01	27	15	25	4	0	3	0	0	0	31	28	0.9032258064516129
96974	mattmaxon	2013-07-01	292	206	270	56	34	49	0	0	0	348	319	0.9166666666666666
96974	mattmaxon	2014-07-01	1172	897	1151	84	51	55	1	0	0	1257	1206	0.9594272076372315
96974	mattmaxon	2014-08-01	50789	49270	50468	3345	2741	2979	31	27	26	54165	53473	0.9872242222837626
96974	mattmaxon	2015-05-01	414	274	401	106	30	51	2	1	2	522	454	0.8697318007662835
96974	mattmaxon	2015-09-01	5154	4558	4961	427	191	267	1	0	1	5582	5229	0.9367610175564314
96974	mattmaxon	2015-10-01	21544	19865	21226	1937	1391	1625	24	17	20	23505	22871	0.9730270155286109
96974	mattmaxon	2015-11-01	2	1	1	0	0	0	0	0	0	2	1	0.5
96974	mattmaxon	2015-12-01	1879	1783	1849	70	46	53	4	3	3	1953	1905	0.9754224270353302
96974	mattmaxon	2016-01-01	49	36	48	11	3	9	0	0	0	60	57	0.95
55774	nmixter	2009-04-01	2	2	1	0	0	0	0	0	0	2	1	0.5
55774	nmixter	2009-11-01	8881	8882	5880	230	230	18	6	6	1	9117	5899	0.6470330152462432
55774	nmixter	2010-03-01	13369	13370	12815	226	226	17	2	2	1	13597	12833	0.943811134809149
55774	nmixter	2010-04-01	27701	27690	27493	451	422	65	8	7	5	28160	27563	0.9787997159090909
55774	nmixter	2010-05-01	4	4	3	1	1	1	0	0	0	5	4	0.8
55774	nmixter	2010-08-01	8944	8944	8775	163	163	2	0	0	0	9107	8777	0.9637641374766663
55774	nmixter	2010-09-01	699	699	695	13	13	10	0	0	0	712	705	0.9901685393258427
55774	nmixter	2010-10-01	435759	435758	428785	10377	10375	635	36	36	2	446172	429422	0.9624584241055019
55774	nmixter	2010-11-01	18614	18614	18571	472	471	19	0	0	0	19086	18590	0.9740123650843551
55774	nmixter	2011-01-01	121	0	117	150	0	3	0	0	0	271	120	0.44280442804428044
55774	nmixter	2011-02-01	108	108	53	9	7	5	0	0	0	117	58	0.49572649572649574
55774	nmixter	2011-03-01	1671	1509	1258	853	225	287	2	0	1	2526	1546	0.6120348376880443
55774	nmixter	2011-04-01	93	94	1	0	0	0	0	0	0	93	1	0.010752688172043012
55774	nmixter	2011-10-01	2058	2043	1688	304	298	247	0	0	0	2362	1935	0.81922099915326
55774	nmixter	2012-07-01	1030	495	574	127	56	46	0	0	0	1157	620	0.5358686257562663
55774	nmixter	2012-08-01	426	310	414	80	23	58	4	2	3	510	475	0.9313725490196079
55774	nmixter	2012-09-01	316	34	315	58	4	49	5	5	2	379	366	0.9656992084432717
55774	nmixter	2013-05-01	0	0	0	0	0	0	0	0	0	0	0	0
55774	nmixter	2014-03-01	3	3	2	0	0	0	0	0	0	3	2	0.6666666666666666
55774	nmixter	2014-04-01	474	404	460	82	70	71	0	0	0	556	531	0.9550359712230215
55774	nmixter	2014-09-01	1	1	0	0	0	0	0	0	0	1	0	0
55774	nmixter	2014-12-01	95	55	94	457	9	442	7	0	4	559	540	0.9660107334525939
55774	nmixter	2015-07-01	567	505	566	41	28	41	3	1	2	611	609	0.9967266775777414
55774	nmixter	2015-08-01	1	1	0	0	0	0	0	0	0	1	0	0
55774	nmixter	2015-09-01	1	1	0	0	0	0	0	0	0	1	0	0
147510	woodpeck_fixbot	2009-07-01	43	0	13	28	0	12	0	0	0	71	25	0.352112676056338
147510	woodpeck_fixbot	2009-08-01	78583	0	55026	0	0	0	0	0	0	78583	55026	0.7002277846353537
147510	woodpeck_fixbot	2009-09-01	69765	0	53674	0	0	0	0	0	0	69765	53674	0.7693542607324589
147510	woodpeck_fixbot	2009-10-01	10042	0	7511	0	0	0	0	0	0	10042	7511	0.7479585739892451
147510	woodpeck_fixbot	2009-11-01	13974	0	11963	0	0	0	0	0	0	13974	11963	0.8560898812079576
147510	woodpeck_fixbot	2009-12-01	224522	0	159586	0	0	0	0	0	0	224522	159586	0.7107811261257249
147510	woodpeck_fixbot	2010-01-01	120021	0	52195	0	0	0	0	0	0	120021	52195	0.4348822289432683
147510	woodpeck_fixbot	2012-03-01	0	0	0	0	0	0	1	0	0	1	0	0
36489	jerjozwik	2008-05-01	303	37	250	38	2	8	0	0	0	341	258	0.7565982404692082
36489	jerjozwik	2008-06-01	28877	16787	12083	6011	1380	498	0	0	0	34888	12581	0.36061109837193306
36489	jerjozwik	2008-07-01	11581	7585	5070	2728	776	300	0	0	0	14309	5370	0.3752882801034314
36489	jerjozwik	2008-08-01	5088	3213	2894	956	326	145	0	0	0	6044	3039	0.5028127068166777
36489	jerjozwik	2008-09-01	11031	8118	6324	1988	637	190	0	0	0	13019	6514	0.5003456486673323
36489	jerjozwik	2008-10-01	14944	4465	3617	1970	588	261	0	0	0	16914	3878	0.22927752157975642
36489	jerjozwik	2008-11-01	1425	390	419	130	30	15	0	0	0	1555	434	0.2790996784565916
36489	jerjozwik	2008-12-01	18208	5592	4166	2268	589	207	0	0	0	20476	4373	0.2135671029497949
36489	jerjozwik	2009-01-01	12686	3237	2659	1206	283	121	0	0	0	13892	2780	0.200115174200979
36489	jerjozwik	2009-02-01	50523	6401	5125	2904	812	187	28	0	0	53455	5312	0.09937330464876999
36489	jerjozwik	2009-03-01	20627	3695	4241	1859	475	144	5	0	0	22491	4385	0.19496687563914455
36489	jerjozwik	2009-04-01	54867	3442	4443	1268	367	250	44	0	0	56179	4693	0.0835365528044287
36489	jerjozwik	2009-05-01	4031	3016	2389	764	236	123	0	0	0	4795	2512	0.5238790406673618
36489	jerjozwik	2009-06-01	78	78	10	8	2	0	0	0	0	86	10	0.11627906976744186
36489	jerjozwik	2009-07-01	6883	3501	3133	848	316	105	19	0	0	7750	3238	0.41780645161290325
36489	jerjozwik	2009-08-01	13045	8624	6699	2140	875	243	38	2	1	15223	6943	0.4560861853773895
36489	jerjozwik	2009-09-01	5408	2896	2515	2004	1202	275	3	0	0	7415	2790	0.37626432906271073
36489	jerjozwik	2009-10-01	6270	3167	3863	965	460	232	9	0	0	7244	4095	0.5652954168967421
36489	jerjozwik	2009-11-01	8199	5559	4868	1098	580	249	6	0	1	9303	5118	0.5501451144792002
36489	jerjozwik	2009-12-01	3092	2849	2637	512	435	418	3	2	2	3607	3057	0.8475187136124203
36489	jerjozwik	2010-01-01	4794	2625	3386	587	377	211	4	0	0	5385	3597	0.667966573816156
36489	jerjozwik	2010-02-01	1160	323	710	375	190	90	0	0	0	1535	800	0.5211726384364821
36489	jerjozwik	2010-03-01	2877	2354	1353	165	78	32	7	0	0	3049	1385	0.45424729419481796
36489	jerjozwik	2010-04-01	3224	1188	2176	357	105	95	2	0	0	3583	2271	0.6338264024560424
36489	jerjozwik	2010-05-01	10616	7865	7532	2002	989	824	3	0	0	12621	8356	0.6620711512558435
36489	jerjozwik	2010-06-01	3122	2254	2488	443	215	265	14	0	0	3579	2753	0.7692092763341716
36489	jerjozwik	2010-07-01	8759	7204	7125	1079	456	598	3	0	1	9841	7724	0.784879585407987
36489	jerjozwik	2010-08-01	4014	3228	3466	605	311	366	0	0	0	4619	3832	0.8296168001731976
