uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
4559	RichardB	2006-11-01	268	269	39	20	20	1	0	0	0	288	40	0.1388888888888889
4559	RichardB	2006-12-01	1450	1451	379	34	34	2	0	0	0	1484	381	0.25673854447439354
4559	RichardB	2007-01-01	4006	4006	1440	28	28	3	0	0	0	4034	1443	0.35770946950917204
4559	RichardB	2007-02-01	1575	1576	551	18	18	8	0	0	0	1593	559	0.35091023226616447
4559	RichardB	2007-03-01	95	95	38	40	40	9	0	0	0	135	47	0.34814814814814815
4559	RichardB	2007-04-01	62	63	25	36	36	22	0	0	0	98	47	0.47959183673469385
4559	RichardB	2007-08-01	66	67	12	30	30	6	0	0	0	96	18	0.1875
4559	RichardB	2007-09-01	1603	1604	559	509	509	81	1	1	0	2113	640	0.3028868906767629
4559	RichardB	2007-10-01	6291	2197	1148	1207	504	214	3	2	2	7501	1364	0.18184242101053194
4559	RichardB	2007-11-01	185	0	58	6	1	1	0	0	0	191	59	0.3089005235602094
4559	RichardB	2007-12-01	337	245	92	101	47	14	0	0	0	438	106	0.2420091324200913
4559	RichardB	2008-01-01	2264	1182	937	226	108	43	1	1	0	2491	980	0.3934162986752308
4559	RichardB	2008-02-01	179	86	37	51	21	6	0	0	0	230	43	0.18695652173913044
4559	RichardB	2008-03-01	0	0	0	0	1	0	0	0	0	0	0	0
4559	RichardB	2008-04-01	789	693	491	172	93	59	0	0	0	961	550	0.5723204994797086
4559	RichardB	2008-05-01	79	3	12	4	0	0	0	0	0	83	12	0.14457831325301204
4559	RichardB	2008-06-01	71	6	10	6	0	0	0	0	0	77	10	0.12987012987012986
4559	RichardB	2008-07-01	106	25	38	13	0	0	0	0	0	119	38	0.31932773109243695
4559	RichardB	2008-08-01	140	55	36	48	11	10	0	0	0	188	46	0.24468085106382978
4559	RichardB	2008-09-01	105	53	12	13	10	1	0	0	0	118	13	0.11016949152542373
4559	RichardB	2008-10-01	4009	2632	2166	1068	567	331	0	0	0	5077	2497	0.491825881426039
4559	RichardB	2008-11-01	509	204	126	96	13	8	0	0	0	605	134	0.22148760330578512
4559	RichardB	2008-12-01	307	192	64	205	4	26	0	0	0	512	90	0.17578125
4559	RichardB	2009-01-01	70	50	42	12	5	4	7	0	0	89	46	0.5168539325842697
4559	RichardB	2009-02-01	219	78	98	53	8	1	22	0	0	294	99	0.336734693877551
4559	RichardB	2009-03-01	2349	1701	1545	410	244	122	19	1	0	2778	1667	0.6000719942404608
4559	RichardB	2009-04-01	714	526	379	186	123	45	9	1	0	909	424	0.46644664466446645
4559	RichardB	2009-05-01	83	24	27	32	6	0	2	0	0	117	27	0.23076923076923078
4559	RichardB	2009-06-01	12	11	11	1	1	1	0	0	0	13	12	0.9230769230769231
4559	RichardB	2009-07-01	90	54	20	23	16	10	2	0	0	115	30	0.2608695652173913
4559	RichardB	2009-09-01	20	2	15	39	0	21	0	0	0	59	36	0.6101694915254238
4559	RichardB	2009-10-01	591	359	415	125	29	40	30	0	0	746	455	0.6099195710455764
4559	RichardB	2009-11-01	0	0	0	0	0	0	0	0	0	0	0	0
4559	RichardB	2009-12-01	0	0	0	0	0	0	12	0	0	12	0	0
4559	RichardB	2010-03-01	450	268	305	104	64	49	2	1	0	556	354	0.6366906474820144
4559	RichardB	2010-04-01	3119	2751	2746	584	485	429	70	13	2	3773	3177	0.8420355155049033
4559	RichardB	2010-05-01	6996	6101	6268	1494	1218	1110	103	10	6	8593	7384	0.859304084720121
4559	RichardB	2010-09-01	51	32	25	65	12	24	1	0	0	117	49	0.4188034188034188
4559	RichardB	2010-10-01	3879	2440	2982	742	401	330	25	5	3	4646	3315	0.7135170038743005
4559	RichardB	2010-11-01	6309	5430	5797	1394	1124	1177	3	1	1	7706	6975	0.9051388528419414
4559	RichardB	2010-12-01	290	247	182	68	29	9	0	0	0	358	191	0.5335195530726257
4559	RichardB	2011-01-01	57	49	51	11	5	2	20	0	0	88	53	0.6022727272727273
4559	RichardB	2011-02-01	5694	5689	5660	70	26	22	97	3	2	5861	5684	0.9698003753625661
4559	RichardB	2011-03-01	0	0	0	0	0	0	2	0	0	2	0	0
4559	RichardB	2011-04-01	4846	3668	4161	1008	650	810	0	0	0	5854	4971	0.8491629654936795
4559	RichardB	2011-05-01	10100	8243	8746	1640	1077	1121	22	16	17	11762	9884	0.8403332766536303
4559	RichardB	2011-06-01	2363	2047	2092	610	484	465	7	3	3	2980	2560	0.8590604026845637
4559	RichardB	2011-07-01	788	632	729	189	133	135	2	2	0	979	864	0.8825331971399387
4559	RichardB	2011-09-01	1721	1221	1695	138	53	114	1	1	1	1860	1810	0.9731182795698925
4559	RichardB	2011-10-01	6754	4691	6440	878	221	685	2	0	1	7634	7126	0.9334555933979565
4559	RichardB	2011-12-01	772	588	631	113	58	62	27	1	1	912	694	0.7609649122807017
4559	RichardB	2012-01-01	4718	3269	3806	667	344	301	18	1	1	5403	4108	0.7603183416620396
4559	RichardB	2012-02-01	517	391	417	18	6	14	0	0	0	535	431	0.805607476635514
4559	RichardB	2012-09-01	667	515	614	82	29	62	30	0	0	779	676	0.8677792041078306
4559	RichardB	2012-10-01	1808	1359	1775	249	87	187	16	0	1	2073	1963	0.9469368065605402
4559	RichardB	2012-11-01	0	0	0	0	0	0	0	0	0	0	0	0
4559	RichardB	2012-12-01	145	112	145	77	11	74	1	0	0	223	219	0.9820627802690582
4559	RichardB	2013-05-01	284	136	250	75	22	58	6	0	0	365	308	0.8438356164383561
4559	RichardB	2013-10-01	0	0	0	0	0	0	1	0	0	1	0	0
4559	RichardB	2013-11-01	219	202	218	33	30	32	0	0	0	252	250	0.9920634920634921
4559	RichardB	2014-01-01	14	14	13	5	4	5	0	0	0	19	18	0.9473684210526315
4559	RichardB	2014-03-01	0	0	0	4	0	3	2	0	0	6	3	0.5
4559	RichardB	2014-09-01	0	0	0	0	0	0	3	0	2	3	2	0.6666666666666666
4559	RichardB	2014-10-01	82	42	81	12	10	12	0	0	0	94	93	0.9893617021276596
89098	InsertUser	2012-08-01	123	86	74	37	20	12	1	0	0	161	86	0.5341614906832298
89098	InsertUser	2012-09-01	7	0	2	1	0	0	0	0	0	8	2	0.25
89098	InsertUser	2012-10-01	6623	6080	6263	1058	790	837	29	8	1	7710	7101	0.9210116731517509
89098	InsertUser	2012-11-01	2622	2430	2425	478	375	372	13	10	11	3113	2808	0.9020237712817218
89098	InsertUser	2012-12-01	1339	1236	1305	282	208	242	6	4	6	1627	1553	0.9545175169022742
89098	InsertUser	2013-01-01	3068	2984	2994	496	468	473	4	4	4	3568	3471	0.9728139013452914
89098	InsertUser	2013-02-01	25420	24937	24977	4003	3818	3879	10	9	9	29433	28865	0.9807019332042265
89098	InsertUser	2013-03-01	1994	1962	1990	464	436	458	0	0	0	2458	2448	0.9959316517493898
89098	InsertUser	2013-04-01	0	0	0	10	6	3	9	0	0	19	3	0.15789473684210525
89098	InsertUser	2013-05-01	1	1	0	2	1	0	0	0	0	3	0	0
89098	InsertUser	2013-08-01	181	147	180	45	36	41	1	1	1	227	222	0.9779735682819384
89098	InsertUser	2013-11-01	1	1	0	0	0	0	0	0	0	1	0	0
89098	InsertUser	2013-12-01	1	0	0	0	0	0	0	0	0	1	0	0
89098	InsertUser	2014-03-01	1	1	0	1	1	1	0	0	0	2	1	0.5
89098	InsertUser	2014-08-01	67	41	66	21	7	19	0	0	0	88	85	0.9659090909090909
89098	InsertUser	2014-10-01	35	33	34	6	1	6	0	0	0	41	40	0.975609756097561
89098	InsertUser	2014-11-01	1	0	0	8	3	8	0	0	0	9	8	0.8888888888888888
89098	InsertUser	2014-12-01	63	60	62	39	21	38	0	0	0	102	100	0.9803921568627451
98964	RobChafer	2009-02-01	422	221	159	123	43	42	0	0	0	545	201	0.3688073394495413
98964	RobChafer	2009-03-01	573	393	216	200	100	44	0	0	0	773	260	0.33635187580853815
98964	RobChafer	2009-04-01	25	24	11	14	4	5	0	0	0	39	16	0.41025641025641024
98964	RobChafer	2009-09-01	14	14	7	3	3	1	0	0	0	17	8	0.47058823529411764
98964	RobChafer	2009-10-01	84	83	36	54	30	3	0	0	0	138	39	0.2826086956521739
98964	RobChafer	2009-11-01	56	56	36	6	5	0	0	0	0	62	36	0.5806451612903226
98964	RobChafer	2010-01-01	2	2	1	4	2	1	0	0	0	6	2	0.3333333333333333
98964	RobChafer	2010-02-01	3	2	3	0	0	0	0	0	0	3	3	1
98964	RobChafer	2010-10-01	21	21	1	4	2	1	0	0	0	25	2	0.08
98964	RobChafer	2011-01-01	3	3	1	1	1	0	0	0	0	4	1	0.25
98964	RobChafer	2011-11-01	6859	5943	6443	1059	796	692	7	6	5	7925	7140	0.9009463722397476
98964	RobChafer	2011-12-01	2975	2575	2684	532	439	346	3	3	2	3510	3032	0.8638176638176638
98964	RobChafer	2012-01-01	1645	1469	1531	243	204	158	1	0	1	1889	1690	0.8946532556908418
98964	RobChafer	2012-03-01	57	42	54	8	4	5	0	0	0	65	59	0.9076923076923077
98964	RobChafer	2012-06-01	2701	2600	2632	402	349	309	0	0	0	3103	2941	0.9477924589107316
98964	RobChafer	2012-11-01	48	45	46	12	7	11	0	0	0	60	57	0.95
98964	RobChafer	2012-12-01	266	235	252	73	45	59	0	0	0	339	311	0.9174041297935103
98964	RobChafer	2013-01-01	1080	979	1016	229	178	167	2	2	2	1311	1185	0.9038901601830663
98964	RobChafer	2013-02-01	1298	1241	1221	242	213	184	3	3	3	1543	1408	0.9125081011017498
98964	RobChafer	2013-03-01	3099	2956	2886	580	480	465	7	7	4	3686	3355	0.9102007596310363
98964	RobChafer	2013-04-01	1618	1471	1590	352	274	309	1	0	0	1971	1899	0.9634703196347032
98964	RobChafer	2013-05-01	0	0	0	1	0	0	0	0	0	1	0	0
98964	RobChafer	2013-10-01	296	288	295	53	36	38	1	1	1	350	334	0.9542857142857143
